Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,75.4,75.4,71.21,71.72,71.72,20059700,0,0
2015-04-28,72.5,74.13,71.45,72.71,72.71,9460700,0,0
2015-04-29,72.48,74.72,72.07,74.5,74.5,10419900,0,0
2015-04-30,74.45,75.26,71.13,72.26,72.26,8070800,0,0
2015-05-01,72.72,74.61,72.28,73.89,73.89,8592100,0,0
2015-05-04,74.2,74.23,72.94,73.05,73.05,5087600,0,0
2015-05-05,73.23,73.76,72.32,72.89,72.89,5803900,0,0
2015-05-06,73.09,73.85,70.39,71.05,71.05,10831900,0,0
2015-05-07,71.05,71.72,69.62,70.39,70.39,9584800,0,0
2015-05-08,71.1,71.52,69.73,71.31,71.31,10074200,0,0
2015-05-11,71.28,71.95,70.31,71.63,71.63,6188300,0,0
2015-05-12,70.99,71.41,69.85,70.33,70.33,4219400,0,0
2015-05-13,70.37,71.2,70.06,70.85,70.85,3237100,0,0
2015-05-14,71.29,71.68,70.13,71.53,71.53,4671600,0,0
2015-05-15,71.23,71.98,70.59,70.67,70.67,3418900,0,0
2015-05-18,70.45,71.42,69.5,71.38,71.38,7446300,0,0
2015-05-19,70.28,71.69,70.28,71.35,71.35,4109900,0,0
2015-05-20,71.5,71.54,70.24,70.45,70.45,3963200,0,0
2015-05-21,70.16,71.03,69.75,69.94,69.94,4578300,0,0
2015-05-22,70.0,70.55,69.49,69.66,69.66,4333800,0,0
2015-05-26,69.5,71.05,69.49,70.55,70.55,5445400,0,0
2015-05-27,70.59,72.48,70.57,72.04,72.04,6467300,0,0
2015-05-28,72.5,73.15,72.08,72.68,72.68,4730200,0,0
2015-05-29,72.73,73.86,72.56,72.63,72.63,7327900,0,0
2015-06-01,72.42,73.76,72.4,73.32,73.32,3337300,0,0
2015-06-02,72.9,73.3,72.05,72.28,72.28,2888900,0,0
2015-06-03,72.62,73.25,72.15,72.39,72.39,3784900,0,0
2015-06-04,72.0,74.66,71.31,74.29,74.29,8875100,0,0
2015-06-05,74.47,74.62,73.32,74.14,74.14,7507800,0,0
2015-06-08,74.01,74.38,73.48,73.65,73.65,4937900,0,0
2015-06-09,73.78,74.18,73.43,73.8,73.8,3633500,0,0
2015-06-10,73.88,74.25,73.38,74.06,74.06,4535000,0,0
2015-06-11,74.18,74.33,73.63,74.11,74.11,3743700,0,0
2015-06-12,74.02,74.4,73.18,73.7,73.7,3552400,0,0
2015-06-15,73.64,73.77,72.56,73.59,73.59,3121500,0,0
2015-06-16,72.89,73.01,71.58,72.05,72.05,8753500,0,0
2015-06-17,72.24,72.85,71.18,71.23,71.23,4491700,0,0
2015-06-18,71.72,72.99,71.5,72.56,72.56,5491800,0,0
2015-06-19,72.34,72.87,71.44,71.62,71.62,10459800,0,0
2015-06-22,71.95,72.26,71.33,71.42,71.42,2289100,0,0
2015-06-23,71.98,72.0,70.57,71.02,71.02,3040600,0,0
2015-06-24,71.02,71.45,70.6,70.86,70.86,4750800,0,0
2015-06-25,70.9,71.21,69.85,70.36,70.36,2530800,0,0
2015-06-26,70.68,70.86,69.01,69.06,69.06,9251200,0,0
2015-06-29,68.15,68.99,67.33,67.63,67.63,4020800,0,0
2015-06-30,68.28,68.46,67.37,67.86,67.86,4672800,0,0
2015-07-01,68.52,69.76,67.92,69.7,69.7,3595400,0,0
2015-07-02,69.67,70.41,69.34,70.12,70.12,2574100,0,0
2015-07-06,69.14,73.9,69.0,70.75,70.75,8299800,0,0
2015-07-07,71.21,71.58,69.6,71.49,71.49,4377300,0,0
2015-07-08,71.22,71.99,68.89,68.96,68.96,4609200,0,0
2015-07-09,69.71,70.53,68.64,70.35,70.35,4417700,0,0
2015-07-10,71.37,72.99,70.63,71.22,71.22,5804400,0,0
2015-07-13,71.6,71.73,70.11,71.06,71.06,4221800,0,0
2015-07-14,71.08,71.95,70.5,71.42,71.42,4323100,0,0
2015-07-15,71.2,71.42,68.28,70.06,70.06,4503300,0,0
2015-07-16,70.46,70.81,68.05,68.44,68.44,8371300,0,0
2015-07-17,68.4,69.01,68.0,68.47,68.47,5457700,0,0
2015-07-20,68.32,68.45,66.76,66.98,66.98,6750900,0,0
2015-07-21,67.61,67.61,66.6,67.21,67.21,3688800,0,0
2015-07-22,67.2,68.09,66.69,67.9,67.9,3492600,0,0
2015-07-23,66.99,68.04,66.36,66.56,66.56,5788100,0,0
2015-07-24,66.44,67.34,65.46,65.94,65.94,5386300,0,0
2015-07-27,56.04,57.58,55.4,56.37,56.37,34543200,0,0
2015-07-28,56.74,57.0,53.81,56.35,56.35,17876400,0,0
2015-07-29,56.5,58.05,55.62,57.24,57.24,16199800,0,0
2015-07-30,57.4,57.6,56.34,56.35,56.35,9049100,0,0
