Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,50.94,51.15,49.59,49.77,45.9,3872300,0.0,0
2015-04-28,49.68,50.15,49.14,50.09,46.2,4144800,0.0,0
2015-04-29,49.93,51.13,49.75,50.62,46.68,3198800,0.0,0
2015-04-30,50.89,51.36,50.05,50.72,46.78,3113900,0.0,0
2015-05-01,50.76,51.0,50.09,50.24,46.33,2429400,0.0,0
2015-05-04,50.36,51.2,50.11,50.99,47.03,3722200,0.0,0
2015-05-05,52.34,52.69,49.78,49.79,45.92,7426700,0.0,0
2015-05-06,50.4,51.14,48.65,49.18,45.36,3697600,0.0,0
2015-05-07,48.92,48.92,47.49,48.12,44.54,3640600,0.18,0
2015-05-08,48.61,49.38,47.75,49.12,45.47,4166800,0.0,0
2015-05-11,46.72,47.35,45.31,46.07,42.64,20886900,0.0,0
2015-05-12,45.87,46.32,45.63,46.0,42.58,6719300,0.0,0
2015-05-13,46.43,46.63,45.13,45.28,41.91,6508400,0.0,0
2015-05-14,45.44,45.52,44.22,44.5,41.19,6765100,0.0,0
2015-05-15,44.48,45.25,44.11,44.88,41.54,4237900,0.0,0
2015-05-18,44.93,45.27,44.6,45.11,41.76,3486800,0.0,0
2015-05-19,44.6,44.71,43.87,44.23,40.94,3482900,0.0,0
2015-05-20,44.24,44.37,43.46,44.01,40.74,3468100,0.0,0
2015-05-21,44.44,44.49,43.74,43.8,40.54,4967100,0.0,0
2015-05-22,43.43,44.2,43.16,43.8,40.54,3883300,0.0,0
2015-05-26,43.94,44.78,43.73,44.15,40.87,6190400,0.0,0
2015-05-27,44.09,44.35,42.98,43.32,40.1,4745300,0.0,0
2015-05-28,43.18,43.92,42.8,43.65,40.4,5196000,0.0,0
2015-05-29,43.78,44.26,43.26,43.78,40.52,4578400,0.0,0
2015-06-01,43.58,43.77,42.99,43.33,40.11,4066000,0.0,0
2015-06-02,43.67,44.45,43.09,44.03,40.76,2709900,0.0,0
2015-06-03,43.96,44.43,43.65,44.31,41.02,3965900,0.0,0
2015-06-04,43.82,44.0,43.4,43.7,40.45,5211200,0.0,0
2015-06-05,43.39,44.96,43.38,44.59,41.27,5337800,0.0,0
2015-06-08,44.34,44.76,44.11,44.69,41.37,5231500,0.0,0
2015-06-09,45.43,46.56,45.41,45.75,42.35,6903900,0.0,0
2015-06-10,46.61,46.9,46.21,46.63,43.16,4936200,0.0,0
2015-06-11,46.67,46.93,46.17,46.64,43.17,3634300,0.0,0
2015-06-12,46.41,46.76,46.08,46.37,42.92,3494100,0.0,0
2015-06-15,45.95,46.33,45.35,45.38,42.01,3411400,0.0,0
2015-06-16,45.28,45.68,45.01,45.5,42.12,3532100,0.0,0
2015-06-17,45.93,46.29,44.74,44.91,41.57,3652200,0.0,0
2015-06-18,45.15,45.39,44.39,44.46,41.15,3456200,0.0,0
2015-06-19,44.18,44.54,43.32,43.53,40.29,4021400,0.0,0
2015-06-22,43.74,44.6,43.2,44.32,41.02,2786600,0.0,0
2015-06-23,44.35,45.04,44.13,44.8,41.47,3567000,0.0,0
2015-06-24,44.54,44.91,44.11,44.73,41.4,3339700,0.0,0
2015-06-25,44.92,45.3,44.66,44.93,41.59,3961600,0.0,0
2015-06-26,44.82,44.98,44.45,44.81,41.48,8807300,0.0,0
2015-06-29,44.12,44.51,42.44,42.66,39.49,5670300,0.0,0
2015-06-30,43.21,43.27,42.13,42.68,39.51,5329400,0.0,0
2015-07-01,43.03,43.03,41.07,41.3,38.23,4585600,0.0,0
2015-07-02,41.14,41.74,40.93,41.02,37.97,3578900,0.0,0
2015-07-06,40.25,40.73,39.71,40.19,37.2,4776200,0.0,0
2015-07-07,40.33,40.98,38.78,40.77,37.74,5919700,0.0,0
2015-07-08,40.35,40.61,38.72,39.06,36.16,5533500,0.0,0
2015-07-09,39.87,40.12,39.31,39.31,36.39,4453300,0.0,0
2015-07-10,39.67,39.95,38.89,39.06,36.16,3640100,0.0,0
2015-07-13,39.23,39.23,38.59,38.9,36.01,4769600,0.0,0
2015-07-14,39.24,39.71,38.73,39.6,36.66,5447500,0.0,0
2015-07-15,39.31,39.92,38.58,38.75,35.87,4132100,0.0,0
2015-07-16,39.07,39.07,38.21,38.38,35.53,3424400,0.0,0
2015-07-17,38.38,38.88,37.54,38.34,35.49,5592600,0.0,0
2015-07-20,38.09,38.09,36.91,36.97,34.22,9410600,0.0,0
2015-07-21,37.03,37.54,36.82,36.85,34.11,7612100,0.0,0
2015-07-22,36.94,37.28,36.41,36.9,34.16,7017200,0.0,0
2015-07-23,36.94,37.19,36.21,36.7,33.97,3993200,0.0,0
2015-07-24,36.83,36.84,35.32,35.37,32.74,4751500,0.0,0
2015-07-27,34.75,35.47,34.25,34.73,32.15,4661800,0.0,0
2015-07-28,35.36,37.07,34.73,35.5,32.86,8547300,0.0,0
2015-07-29,35.34,36.45,35.24,36.16,33.47,6516300,0.0,0
2015-07-30,35.98,36.65,35.54,36.15,33.63,4844900,0.18,0
2015-07-31,35.9,36.29,34.99,35.23,32.77,5629100,0.0,0
2015-08-03,34.97,34.97,33.67,33.75,31.4,6915300,0.0,0
2015-08-04,34.06,34.75,33.71,34.01,31.64,5022000,0.0,0
2015-08-05,34.54,35.07,33.37,33.41,31.08,4921400,0.0,0
2015-08-06,33.06,33.99,32.39,33.91,31.55,6189300,0.0,0
2015-08-07,33.75,34.24,32.44,32.7,30.42,4168400,0.0,0
2015-08-10,32.8,34.32,32.61,34.24,31.85,4565700,0.0,0
2015-08-11,33.29,34.21,32.98,34.17,31.79,4045800,0.0,0
2015-08-12,33.95,35.6,33.88,35.31,32.85,5075800,0.0,0
2015-08-13,35.87,36.32,34.85,36.3,33.77,12258600,0.0,0
2015-08-14,36.21,37.1,35.82,36.0,33.49,6692400,0.0,0
2015-08-17,35.35,36.1,35.19,35.44,32.97,4279400,0.0,0
2015-08-18,35.57,35.65,34.84,35.1,32.65,5064600,0.0,0
2015-08-19,34.84,35.1,33.72,34.22,31.83,4985000,0.0,0
2015-08-20,34.11,34.48,33.12,33.12,30.81,4247000,0.0,0
2015-08-21,32.91,33.35,32.38,32.85,30.56,5688200,0.0,0
2015-08-24,29.2,32.37,29.17,31.17,29.0,9179600,0.0,0
2015-08-25,32.61,32.63,30.6,30.7,28.56,6645300,0.0,0
2015-08-26,31.49,31.77,30.84,31.75,29.54,5143900,0.0,0
