Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,48.63,48.76,48.11,48.26,43.87,1421100,0.0,0
2015-04-28,48.29,49.44,48.14,49.32,44.83,989500,0.0,0
2015-04-29,49.34,49.75,48.77,48.96,44.51,1024200,0.0,0
2015-04-30,48.89,49.25,48.46,48.63,44.21,647300,0.0,0
2015-05-01,48.84,49.17,48.62,49.05,44.59,640500,0.0,0
2015-05-04,49.22,49.71,49.12,49.62,45.11,712500,0.0,0
2015-05-05,49.54,49.93,49.21,49.43,44.93,1027800,0.0,0
2015-05-06,49.43,49.99,48.74,48.97,44.52,1056300,0.0,0
2015-05-07,48.93,49.92,48.91,49.89,45.35,751100,0.0,0
2015-05-08,50.28,50.79,50.21,50.55,45.95,995400,0.0,0
2015-05-11,50.63,51.16,50.39,50.81,46.19,951100,0.0,0
2015-05-12,50.66,50.87,50.28,50.5,45.91,770900,0.0,0
2015-05-13,50.49,50.93,50.3,50.75,46.13,572800,0.0,0
2015-05-14,51.08,51.48,50.83,51.45,46.77,541900,0.0,0
2015-05-15,51.62,51.77,51.1,51.19,46.53,807600,0.0,0
2015-05-18,51.23,51.84,51.2,51.78,47.07,552500,0.0,0
2015-05-19,52.38,52.42,52.0,52.27,47.52,840900,0.0,0
2015-05-20,52.2,52.23,51.63,51.83,47.12,770600,0.0,0
2015-05-21,51.72,52.41,51.65,52.27,47.52,822100,0.0,0
2015-05-22,52.14,52.94,52.11,52.62,47.83,837500,0.0,0
2015-05-26,52.5,52.57,51.87,51.93,47.21,994600,0.0,0
2015-05-27,51.99,52.25,51.69,52.06,47.33,754100,0.0,0
2015-05-28,51.73,52.45,51.67,52.34,47.58,497500,0.0,0
2015-05-29,52.29,52.43,51.74,51.75,47.04,1059600,0.0,0
2015-06-01,52.05,52.16,51.45,51.49,46.81,1287100,0.0,0
2015-06-02,51.53,51.62,51.19,51.6,46.91,724100,0.0,0
2015-06-03,51.82,52.34,51.68,51.95,47.23,676900,0.0,0
2015-06-04,51.76,51.94,51.03,51.33,46.66,672400,0.0,0
2015-06-05,51.31,51.61,50.43,50.53,45.93,1457100,0.0,0
