Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,46.06,46.33,45.47,45.52,37.7,3486400,0.0,0
2015-04-28,45.45,45.8,45.33,45.69,37.84,2580600,0.0,0
2015-04-29,45.58,45.67,45.21,45.42,37.62,1328000,0.0,0
2015-04-30,45.38,45.71,44.87,44.94,37.22,3039300,0.0,0
2015-05-01,45.01,45.46,44.63,44.84,37.14,2548500,0.0,0
2015-05-04,45.15,46.07,45.15,45.77,37.91,4554600,0.0,0
2015-05-05,45.57,45.95,45.06,45.1,37.35,6216500,0.0,0
2015-05-06,45.13,45.39,44.54,44.74,37.05,3445600,0.0,0
2015-05-07,44.82,45.26,44.58,44.99,37.26,3014400,0.0,0
2015-05-08,45.45,45.98,44.9,45.24,37.47,11604300,0.0,0
2015-05-11,45.17,45.35,44.88,44.91,37.19,2890900,0.0,0
2015-05-12,44.67,44.78,44.32,44.45,36.81,1780600,0.0,0
2015-05-13,44.48,44.64,44.33,44.34,36.72,2797300,0.0,0
2015-05-14,44.75,45.12,44.69,45.04,37.3,2299000,0.0,0
2015-05-15,45.06,45.61,45.01,45.57,37.74,3245400,0.0,0
2015-05-18,45.51,45.97,45.42,45.92,38.03,1621500,0.0,0
2015-05-19,45.87,46.11,45.52,45.67,37.82,2410500,0.0,0
2015-05-20,45.67,45.99,45.51,45.78,37.91,1863900,0.0,0
2015-05-21,45.61,45.96,45.61,45.74,37.88,2316300,0.0,0
2015-05-22,45.71,45.99,45.68,45.84,37.96,1061000,0.0,0
2015-05-26,45.8,45.9,45.17,45.32,37.53,1910300,0.0,0
2015-05-27,45.33,45.53,45.06,45.48,37.67,1236800,0.0,0
2015-05-28,45.34,45.5,44.84,45.1,37.35,1295300,0.0,0
2015-05-29,45.13,45.26,44.71,44.99,37.26,2076300,0.0,0
2015-06-01,45.18,45.25,44.8,44.83,37.13,1554300,0.0,0
2015-06-02,44.31,44.76,44.3,44.72,37.27,1687700,0.28,0
2015-06-03,44.76,45.55,44.67,45.35,37.79,1882500,0.0,0
2015-06-04,45.08,45.49,44.85,44.92,37.44,1955000,0.0,0
2015-06-05,44.85,44.95,44.45,44.76,37.3,1236000,0.0,0
2015-06-08,44.67,44.73,44.29,44.3,36.92,1362700,0.0,0
2015-06-09,44.3,44.69,44.26,44.51,37.09,1380400,0.0,0
2015-06-10,44.62,45.3,44.56,45.22,37.69,978400,0.0,0
2015-06-11,45.0,45.13,44.87,45.06,37.55,3091200,0.0,0
2015-06-12,44.9,45.08,44.81,44.94,37.45,1051700,0.0,0
2015-06-15,44.59,44.86,44.46,44.76,37.3,2076100,0.0,0
2015-06-16,44.79,44.98,44.48,44.82,37.35,1880900,0.0,0
2015-06-17,44.94,45.27,44.77,45.02,37.52,1659000,0.0,0
2015-06-18,45.14,45.8,45.03,45.62,38.02,2951000,0.0,0
2015-06-19,45.47,45.71,45.27,45.54,37.95,3387600,0.0,0
2015-06-22,45.76,46.17,45.61,45.9,38.25,2349700,0.0,0
2015-06-23,45.85,46.05,45.59,45.72,38.1,1648000,0.0,0
2015-06-24,45.81,46.04,45.46,45.61,38.01,2204900,0.0,0
2015-06-25,45.65,45.83,45.52,45.57,37.98,1777100,0.0,0
2015-06-26,45.73,46.85,45.6,46.22,38.52,8506400,0.0,0
