Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,162.05,162.93,160.03,160.13,147.83,1231500,0.0,0
2015-04-28,160.01,160.95,158.91,160.51,148.18,1132300,0.0,0
2015-04-29,162.05,163.38,158.35,159.14,146.92,1397300,0.0,0
2015-04-30,158.18,158.84,152.78,154.04,142.21,2465400,0.0,0
2015-05-01,154.87,156.06,154.29,156.01,144.03,1136500,0.0,0
2015-05-04,156.18,157.43,155.53,155.83,143.86,1028800,0.0,0
2015-05-05,155.68,156.49,152.69,153.28,141.51,1244400,0.0,0
2015-05-06,154.0,154.68,152.44,153.3,141.52,1262300,0.0,0
2015-05-07,153.3,154.14,152.7,153.46,141.67,1075100,0.0,0
2015-05-08,155.0,156.55,154.76,156.31,144.3,934200,0.0,0
2015-05-11,156.25,157.52,156.01,156.35,144.34,746200,0.0,0
2015-05-12,155.95,156.0,154.69,155.44,143.5,947700,0.0,0
2015-05-13,155.38,156.17,155.11,155.22,143.3,822400,0.0,0
2015-05-14,156.59,157.88,156.05,157.67,145.56,917100,0.0,0
2015-05-15,157.71,158.87,157.33,158.01,145.87,667600,0.0,0
2015-05-18,157.91,158.65,157.49,158.02,145.88,704800,0.0,0
2015-05-19,158.0,159.44,157.62,158.93,146.72,954800,0.0,0
2015-05-20,159.43,160.36,158.5,159.62,147.36,1093900,0.0,0
2015-05-21,160.25,161.79,160.04,161.18,148.8,1079900,0.0,0
2015-05-22,160.73,161.05,159.58,160.0,147.71,956700,0.0,0
2015-05-26,159.92,159.92,158.05,158.47,146.3,861400,0.0,0
2015-05-27,159.37,159.65,158.09,159.32,147.08,865500,0.0,0
2015-05-28,158.0,160.58,157.66,160.48,148.9,1256100,0.8,0
2015-05-29,159.9,160.74,158.27,159.18,147.69,1909200,0.0,0
2015-06-01,159.09,160.78,158.3,159.94,148.4,1329700,0.0,0
2015-06-02,159.21,161.25,157.44,160.35,148.78,1258600,0.0,0
2015-06-03,160.57,161.44,159.83,160.26,148.7,1189100,0.0,0
2015-06-04,158.87,160.35,157.8,158.12,146.71,947800,0.0,0
2015-06-05,157.47,157.78,156.51,157.29,145.94,928700,0.0,0
2015-06-08,157.03,157.65,156.49,156.66,145.36,942700,0.0,0
2015-06-09,156.94,157.78,156.18,157.22,145.88,938000,0.0,0
2015-06-10,157.84,159.11,156.44,158.56,147.12,1271400,0.0,0
2015-06-11,158.82,161.05,158.77,160.77,149.17,923900,0.0,0
2015-06-12,159.61,161.36,159.1,161.06,149.44,1027400,0.0,0
2015-06-15,159.67,160.55,159.0,159.96,148.42,924100,0.0,0
2015-06-16,159.04,163.5,159.04,161.49,149.84,871700,0.0,0
2015-06-17,162.0,163.38,161.12,162.87,151.12,831400,0.0,0
2015-06-18,163.28,165.92,163.22,165.16,153.24,1150100,0.0,0
2015-06-19,164.5,165.97,164.5,165.05,153.14,1943500,0.0,0
2015-06-22,165.79,166.55,165.35,165.47,153.53,960400,0.0,0
2015-06-23,165.66,166.21,163.73,164.37,152.51,1249800,0.0,0
2015-06-24,164.24,164.68,162.89,163.21,151.43,869100,0.0,0
2015-06-25,163.62,164.1,162.01,162.13,150.43,891000,0.0,0
2015-06-26,162.42,162.84,161.45,161.77,150.1,2037500,0.0,0
2015-06-29,160.8,161.58,158.64,158.68,147.23,1055400,0.0,0
2015-06-30,159.99,160.24,158.16,158.63,147.18,900600,0.0,0
2015-07-01,159.64,160.51,159.04,160.1,148.55,734400,0.0,0
2015-07-02,160.66,161.23,158.42,159.5,147.99,975900,0.0,0
2015-07-06,158.35,159.59,158.1,159.25,147.76,967300,0.0,0
2015-07-07,159.83,161.51,158.13,161.39,149.75,986300,0.0,0
2015-07-08,160.22,161.75,160.18,160.66,149.07,888500,0.0,0
2015-07-09,163.01,164.0,162.55,162.69,150.95,1228800,0.0,0
2015-07-10,164.3,165.95,163.68,165.37,153.44,1167100,0.0,0
2015-07-13,167.02,167.62,166.0,167.3,155.23,942900,0.0,0
2015-07-14,167.16,168.82,167.04,168.49,156.33,1169800,0.0,0
2015-07-15,168.21,169.05,167.74,168.59,156.43,991000,0.0,0
2015-07-16,169.32,170.07,168.47,169.86,157.6,876600,0.0,0
2015-07-17,169.21,169.97,168.31,168.99,156.8,792100,0.0,0
2015-07-20,169.54,170.35,168.98,169.83,157.58,877700,0.0,0
2015-07-21,169.11,169.47,165.98,166.77,154.74,833800,0.0,0
2015-07-22,166.75,167.24,165.75,166.28,154.28,905400,0.0,0
2015-07-23,166.61,167.59,165.14,165.5,153.56,1222600,0.0,0
2015-07-24,165.59,165.98,164.19,164.8,152.91,665500,0.0,0
2015-07-27,163.92,164.25,162.16,162.56,150.83,970500,0.0,0
2015-07-28,163.41,164.58,162.0,163.34,151.55,1584000,0.0,0
2015-07-29,170.6,176.5,167.18,173.44,160.93,3107200,0.0,0
2015-07-30,172.86,176.02,172.36,175.41,162.75,1656800,0.0,0
2015-07-31,175.85,175.85,172.73,173.01,160.53,1742300,0.0,0
2015-08-03,172.85,173.36,170.67,172.16,159.74,1346300,0.0,0
2015-08-04,172.6,173.21,171.58,172.12,159.7,1392300,0.0,0
2015-08-05,173.05,174.52,172.91,173.68,161.15,1120900,0.0,0
2015-08-06,173.94,174.11,171.7,172.87,160.4,875200,0.0,0
2015-08-07,172.72,173.32,171.03,172.65,160.19,872300,0.0,0
2015-08-10,174.14,175.84,173.74,175.25,162.61,828300,0.0,0
2015-08-11,173.27,173.7,172.17,173.27,160.77,767200,0.0,0
2015-08-12,171.98,172.3,169.61,171.56,159.18,1152800,0.0,0
2015-08-13,172.09,173.62,172.0,172.86,160.39,626000,0.0,0
2015-08-14,173.03,174.35,172.26,174.18,161.61,718200,0.0,0
2015-08-17,173.6,174.87,172.35,174.71,162.1,685700,0.0,0
2015-08-18,174.43,175.78,174.34,175.5,162.84,727100,0.0,0
2015-08-19,174.95,176.83,173.6,175.62,162.95,1024400,0.0,0
2015-08-20,173.95,174.55,172.59,172.59,160.14,1118800,0.0,0
2015-08-21,171.18,171.74,165.21,165.35,153.42,1985300,0.0,0
2015-08-24,152.31,165.91,152.31,160.02,148.47,2293900,0.0,0
2015-08-25,163.66,164.33,159.07,159.69,148.17,1760800,0.0,0
2015-08-26,162.8,164.74,159.14,164.48,152.61,1479700,0.0,0
2015-08-27,165.26,167.95,163.77,167.08,155.78,1168700,0.8,0
2015-08-28,166.58,167.43,164.49,165.54,154.35,979200,0.0,0
2015-08-31,165.5,165.83,163.6,163.74,152.67,974800,0.0,0
2015-09-01,160.75,161.69,158.84,159.37,148.59,1611100,0.0,0
2015-09-02,160.95,164.63,160.47,164.61,153.48,1081300,0.0,0
2015-09-03,164.95,166.91,164.33,164.65,153.52,1055200,0.0,0
2015-09-04,162.93,163.25,161.05,162.3,151.33,1197900,0.0,0
2015-09-08,164.89,168.3,164.52,168.01,156.65,1721700,0.0,0
2015-09-09,169.9,170.17,165.91,166.26,155.02,761800,0.0,0
2015-09-10,165.32,166.84,164.96,165.7,154.5,1045500,0.0,0
2015-09-11,165.27,168.58,164.84,168.52,157.12,927100,0.0,0
2015-09-14,168.42,168.83,167.12,167.83,156.48,871700,0.0,0
2015-09-15,168.23,170.97,167.37,170.33,158.81,1023600,0.0,0
2015-09-16,171.77,171.9,169.72,170.96,159.4,928900,0.0,0
2015-09-17,171.74,173.49,170.33,170.72,159.18,1196300,0.0,0
2015-09-18,168.45,170.8,167.96,168.98,157.55,2347600,0.0,0
2015-09-21,169.29,171.53,169.17,170.21,158.7,986000,0.0,0
2015-09-22,167.36,168.43,166.54,167.63,156.3,887100,0.0,0
2015-09-23,167.92,168.34,166.04,167.42,156.1,844800,0.0,0
2015-09-24,165.92,167.54,163.7,166.78,155.5,1102600,0.0,0
2015-09-25,167.81,168.6,164.84,165.57,154.37,952900,0.0,0
2015-09-28,164.37,165.53,162.5,162.65,151.65,1063900,0.0,0
2015-09-29,162.65,163.9,161.81,163.55,152.49,784000,0.0,0
2015-09-30,165.15,167.26,164.48,165.95,154.73,1248500,0.0,0
2015-10-01,166.0,166.4,162.68,165.72,154.51,1413700,0.0,0
2015-10-02,163.97,167.6,163.2,167.53,156.2,1104100,0.0,0
2015-10-05,169.2,171.26,168.33,170.38,158.86,1218400,0.0,0
2015-10-06,170.35,171.4,168.26,168.41,157.02,1091700,0.0,0
2015-10-07,169.57,171.37,168.81,171.2,159.62,1106100,0.0,0
2015-10-08,170.21,173.8,169.24,173.75,162.0,1139200,0.0,0
2015-10-09,173.64,176.83,173.17,175.75,163.87,1485400,0.0,0
2015-10-12,176.66,177.78,175.39,177.19,165.21,1325200,0.0,0
2015-10-13,176.7,177.92,176.23,177.0,165.03,1015800,0.0,0
2015-10-14,176.81,176.93,173.51,173.8,162.05,708900,0.0,0
2015-10-15,174.52,174.74,172.4,174.06,162.29,1115500,0.0,0
2015-10-16,174.95,175.44,173.62,174.88,163.05,1156100,0.0,0
2015-10-19,174.06,174.63,172.87,174.58,162.78,602600,0.0,0
2015-10-20,173.69,175.34,173.19,174.45,162.65,805000,0.0,0
2015-10-21,175.69,176.05,173.87,174.13,162.36,762400,0.0,0
2015-10-22,175.05,180.35,174.23,179.5,167.36,1286400,0.0,0
2015-10-23,180.12,181.0,178.62,179.83,167.67,920400,0.0,0
2015-10-26,180.04,180.99,178.98,180.29,168.1,1290200,0.0,0
2015-10-27,179.58,181.89,179.58,180.6,168.39,1885800,0.0,0
2015-10-28,191.02,193.99,188.75,190.5,177.62,4034200,0.0,0
2015-10-29,188.67,192.25,188.5,190.07,177.22,1926900,0.0,0
2015-10-30,190.81,190.89,187.75,187.75,175.05,1373800,0.0,0
2015-11-02,188.48,189.83,188.01,189.54,176.72,1110800,0.0,0
2015-11-03,189.11,189.32,186.52,186.64,174.02,941400,0.0,0
2015-11-04,187.29,188.45,185.41,186.17,173.58,1088700,0.0,0
2015-11-05,186.42,187.5,185.47,186.42,173.81,703300,0.0,0
2015-11-06,186.02,186.41,183.12,184.01,171.57,1421500,0.0,0
2015-11-09,183.37,184.2,181.1,181.66,169.38,1105700,0.0,0
2015-11-10,181.04,182.58,180.02,181.49,169.22,928100,0.0,0
2015-11-11,181.69,182.89,181.4,181.7,169.41,855900,0.0,0
2015-11-12,181.29,182.15,179.9,180.31,168.12,929100,0.0,0
2015-11-13,179.47,181.38,178.6,178.82,166.73,960100,0.0,0
2015-11-16,179.9,186.73,179.4,186.61,173.99,1780200,0.0,0
2015-11-17,188.0,188.0,185.11,186.14,173.55,1325500,0.0,0
2015-11-18,186.45,188.48,186.28,188.14,175.42,845100,0.0,0
2015-11-19,188.92,189.44,187.18,188.26,175.53,1030200,0.0,0
2015-11-20,189.36,190.15,188.84,189.48,176.67,1243100,0.0,0
2015-11-23,189.5,190.0,187.77,187.83,175.13,889200,0.0,0
2015-11-24,186.8,188.61,186.18,188.0,175.29,1025800,0.0,0
2015-11-25,187.76,188.95,186.96,187.77,175.82,886900,0.8,0
2015-11-27,188.07,188.95,186.58,188.41,176.42,456300,0.0,0
2015-11-30,188.92,188.93,185.95,186.36,174.5,1534300,0.0,0
2015-12-01,187.09,189.37,186.6,187.31,175.39,1035900,0.0,0
2015-12-02,186.92,187.82,185.42,185.69,173.87,750100,0.0,0
2015-12-03,185.97,186.38,182.01,183.06,171.41,1186600,0.0,0
2015-12-04,183.48,188.2,183.39,187.95,175.99,891900,0.0,0
2015-12-07,187.97,188.44,186.77,187.99,176.03,707700,0.0,0
2015-12-08,186.56,188.92,185.96,188.0,176.04,1213900,0.0,0
2015-12-09,187.16,188.57,185.08,186.55,174.68,1386000,0.0,0
2015-12-10,186.73,188.24,186.68,187.46,175.53,1568700,0.0,0
2015-12-11,185.6,187.11,185.06,186.02,174.18,1594200,0.0,0
2015-12-14,186.62,188.5,185.24,187.07,175.17,1257600,0.0,0
2015-12-15,188.03,189.75,187.61,187.84,175.89,1935600,0.0,0
2015-12-16,189.79,191.0,187.31,189.75,177.68,1423400,0.0,0
2015-12-17,189.91,190.5,188.29,188.31,176.33,2444700,0.0,0
2015-12-18,187.51,187.51,184.41,184.86,173.1,2908000,0.0,0
2015-12-21,186.0,189.07,185.5,189.01,176.98,1368100,0.0,0
2015-12-22,189.92,190.67,187.7,189.37,177.32,876600,0.0,0
2015-12-23,190.41,190.41,189.36,190.0,177.91,490400,0.0,0
2015-12-24,189.4,190.98,189.27,190.11,178.01,230200,0.0,0
2015-12-28,189.94,190.28,188.64,189.98,177.89,419100,0.0,0
2015-12-29,190.82,191.82,190.56,191.48,179.3,616000,0.0,0
2015-12-30,191.4,191.87,189.81,190.08,177.98,470700,0.0,0
2015-12-31,189.46,190.65,187.55,188.81,176.8,550600,0.0,0
2016-01-04,185.98,187.6,185.31,187.51,175.58,1476100,0.0,0
2016-01-05,187.85,192.86,187.85,192.39,180.15,2302200,0.0,0
2016-01-06,190.16,193.2,190.0,190.47,178.35,1879700,0.0,0
2016-01-07,187.9,189.68,186.01,188.11,176.14,2136100,0.0,0
2016-01-08,188.79,189.74,185.9,186.07,174.23,1503300,0.0,0
2016-01-11,187.48,188.71,185.51,188.11,176.14,1773800,0.0,0
2016-01-12,189.06,189.47,187.53,188.92,176.9,1010400,0.0,0
2016-01-13,189.0,189.44,184.57,184.86,173.1,1099200,0.0,0
2016-01-14,184.86,186.51,182.87,185.55,173.74,1062100,0.0,0
2016-01-15,181.0,185.1,180.32,184.21,172.49,1532800,0.0,0
2016-01-19,186.37,187.28,183.56,186.75,174.87,2210300,0.0,0
2016-01-20,183.84,185.17,178.98,182.56,170.94,1841500,0.0,0
2016-01-21,183.47,184.13,180.96,181.22,169.69,1031600,0.0,0
2016-01-22,183.23,184.45,182.01,184.11,172.39,857300,0.0,0
2016-01-25,184.09,184.6,181.62,181.83,170.26,987900,0.0,0
2016-01-26,181.47,182.74,178.87,182.5,170.89,1473400,0.0,0
2016-01-27,181.43,182.49,177.83,178.19,166.85,1613500,0.0,0
2016-01-28,176.4,181.19,175.0,180.15,168.69,2078600,0.0,0
2016-01-29,181.43,185.34,180.03,185.06,173.28,1831700,0.0,0
2016-02-01,186.38,189.75,184.63,188.64,176.64,1426000,0.0,0
2016-02-02,186.93,189.18,186.45,187.44,175.51,1139500,0.0,0
2016-02-03,188.61,190.05,186.86,189.77,177.69,1317200,0.0,0
2016-02-04,188.8,189.9,185.31,186.35,174.49,1550400,0.0,0
2016-02-05,186.72,188.59,185.34,186.49,174.62,1811100,0.0,0
2016-02-08,184.74,187.93,184.0,185.62,173.81,1693700,0.0,0
2016-02-09,184.17,188.39,184.01,187.32,175.4,1287900,0.0,0
2016-02-10,187.74,189.52,187.22,188.33,176.35,1013200,0.0,0
2016-02-11,185.12,186.57,180.1,183.91,172.21,1491500,0.0,0
2016-02-12,184.56,185.57,180.46,181.25,169.72,1594800,0.0,0
2016-02-16,182.4,185.89,180.15,184.22,172.5,2165500,0.0,0
2016-02-17,185.61,191.13,184.45,190.06,177.97,1226900,0.0,0
2016-02-18,190.7,193.75,190.01,192.68,180.42,1340100,0.0,0
2016-02-19,192.16,192.64,190.06,190.68,178.55,1526600,0.0,0
2016-02-22,190.78,193.41,190.67,192.27,180.04,1088600,0.0,0
2016-02-23,192.03,193.32,190.75,191.31,179.14,806500,0.0,0
2016-02-24,190.76,190.92,188.06,190.02,177.93,1020400,0.0,0
2016-02-25,190.05,192.96,189.42,192.93,181.42,812300,0.8,0
2016-02-26,193.0,193.68,191.94,192.22,180.75,861900,0.0,0
2016-02-29,191.99,194.8,191.34,192.22,180.75,1171600,0.0,0
2016-03-01,193.34,194.68,192.43,193.88,182.31,1214600,0.0,0
2016-03-02,193.66,194.7,191.83,193.32,181.78,781200,0.0,0
2016-03-03,192.83,193.53,189.32,192.12,180.66,1137000,0.0,0
2016-03-04,191.62,192.44,190.05,191.07,179.67,1290100,0.0,0
2016-03-07,190.09,191.16,186.35,186.68,175.54,1410800,0.0,0
2016-03-08,185.43,187.67,185.08,186.86,175.71,1676600,0.0,0
2016-03-09,188.26,188.34,186.49,186.74,175.6,1389800,0.0,0
2016-03-10,187.09,189.0,186.41,186.75,175.61,1161600,0.0,0
2016-03-11,188.9,191.25,188.16,189.89,178.56,1006300,0.0,0
2016-03-14,189.17,190.15,187.7,188.57,177.32,978900,0.0,0
2016-03-15,188.04,191.95,187.52,191.67,180.23,911800,0.0,0
2016-03-16,190.54,192.43,190.0,191.57,180.14,878200,0.0,0
2016-03-17,191.6,192.28,190.16,190.91,179.52,1253400,0.0,0
2016-03-18,191.68,194.42,191.05,193.99,182.41,1350100,0.0,0
2016-03-21,193.35,195.47,193.21,194.18,182.59,839700,0.0,0
2016-03-22,194.16,195.17,193.58,194.34,182.74,720100,0.0,0
2016-03-23,193.96,195.64,193.87,194.96,183.33,986400,0.0,0
2016-03-24,193.67,194.68,193.25,194.2,182.61,738700,0.0,0
2016-03-28,194.21,195.44,194.21,194.88,183.25,623300,0.0,0
2016-03-29,194.25,196.75,194.25,196.68,184.94,551400,0.0,0
2016-03-30,197.23,198.88,197.1,198.73,186.87,1231000,0.0,0
2016-03-31,199.0,199.5,197.31,197.9,186.09,1881900,0.0,0
2016-04-01,196.59,200.78,195.66,200.31,188.36,1117700,0.0,0
2016-04-04,200.81,202.05,200.05,201.18,189.17,736700,0.0,0
2016-04-05,200.75,203.88,200.75,202.27,190.2,873000,0.0,0
2016-04-06,201.84,202.5,200.76,202.1,190.04,1717700,0.0,0
2016-04-07,201.52,202.0,199.66,200.55,188.58,854300,0.0,0
2016-04-08,201.63,202.0,200.09,200.57,188.6,798800,0.0,0
2016-04-11,200.66,201.72,199.49,199.51,187.6,797000,0.0,0
2016-04-12,200.05,201.03,199.5,200.2,188.25,706000,0.0,0
2016-04-13,200.68,201.3,199.02,201.13,189.13,670500,0.0,0
2016-04-14,201.42,201.82,199.88,200.13,188.19,506000,0.0,0
2016-04-15,199.64,201.92,198.75,201.88,189.83,941500,0.0,0
2016-04-18,202.0,202.88,201.33,202.79,190.69,664600,0.0,0
2016-04-19,203.0,203.41,201.45,201.59,189.56,798900,0.0,0
