Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,55.61,55.61,54.26,54.69,50.65,5407100,0.0,0
2015-04-28,51.22,52.18,50.18,51.93,48.1,14482800,0.0,0
2015-04-29,50.48,53.12,50.38,52.92,49.01,9186300,0.0,0
2015-04-30,53.23,54.77,52.49,54.41,50.39,7405900,0.0,0
2015-05-01,54.35,55.0,53.85,54.73,50.69,4094500,0.0,0
2015-05-04,54.86,55.12,53.87,54.74,50.7,3808700,0.0,0
2015-05-05,55.47,56.03,54.82,55.4,51.31,4734400,0.0,0
2015-05-06,56.13,56.13,53.99,54.52,50.49,6037000,0.0,0
2015-05-07,53.59,53.59,51.67,51.97,48.13,6945000,0.0,0
2015-05-08,52.5,53.32,51.28,53.23,49.3,4408200,0.0,0
2015-05-11,52.4,52.55,51.1,51.33,47.54,6409100,0.0,0
2015-05-12,51.49,52.01,50.76,51.48,47.68,4334300,0.0,0
2015-05-13,51.99,52.4,51.16,51.88,48.05,5083700,0.0,0
2015-05-14,51.81,52.47,50.93,51.22,47.44,4268400,0.0,0
2015-05-15,51.02,51.65,50.31,51.27,47.48,7305600,0.0,0
2015-05-18,51.11,51.29,50.33,51.18,47.4,3292400,0.0,0
2015-05-19,50.73,50.8,49.27,49.96,46.27,5090900,0.0,0
2015-05-20,50.28,50.37,49.62,50.17,46.47,3473800,0.0,0
2015-05-21,50.44,51.95,50.18,51.4,47.6,5045300,0.0,0
2015-05-22,50.84,51.55,50.51,50.71,46.97,3343500,0.0,0
2015-05-26,50.03,50.69,49.72,49.96,46.27,3521500,0.0,0
2015-05-27,49.79,50.79,49.42,50.3,46.59,3679400,0.0,0
2015-05-28,50.02,50.11,49.08,49.89,46.21,3866400,0.0,0
2015-05-29,49.88,50.35,49.18,49.19,45.56,4627900,0.0,0
2015-06-01,49.16,49.39,48.71,49.08,45.46,3138900,0.0,0
2015-06-02,49.55,50.6,49.45,50.2,46.49,3512900,0.0,0
2015-06-03,50.16,50.7,49.5,49.66,45.99,2722100,0.0,0
2015-06-04,49.3,49.43,48.59,48.63,45.04,3360900,0.0,0
2015-06-05,48.5,49.72,48.35,48.88,45.27,3028300,0.0,0
2015-06-08,48.69,49.55,48.6,48.96,45.34,2925300,0.0,0
2015-06-09,49.44,49.65,47.89,47.9,44.36,5208600,0.0,0
2015-06-10,48.02,49.3,47.84,49.2,46.01,4442400,0.46,0
2015-06-11,49.12,49.24,48.26,48.59,45.44,2969000,0.0,0
2015-06-12,48.27,48.73,48.11,48.3,45.17,2289000,0.0,0
2015-06-15,47.78,48.47,47.47,48.35,45.21,4803900,0.0,0
2015-06-16,48.14,48.84,48.14,48.73,45.57,2849700,0.0,0
2015-06-17,49.11,49.42,48.7,48.89,45.72,4502600,0.0,0
2015-06-18,49.02,49.53,48.58,49.09,45.91,5198400,0.0,0
2015-06-19,48.72,49.7,48.71,49.22,46.03,7633900,0.0,0
2015-06-22,49.33,49.42,48.84,49.16,45.97,3394800,0.0,0
2015-06-23,49.18,49.22,48.43,49.05,45.87,6021100,0.0,0
2015-06-24,48.81,49.84,48.8,49.29,46.09,3829900,0.0,0
2015-06-25,49.13,49.4,48.88,48.97,45.79,3739300,0.0,0
2015-06-26,48.81,49.49,48.4,49.41,46.21,8221400,0.0,0
