Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,105.52,105.62,104.4,104.5,92.82,1798300,0.0,0
2015-04-28,104.35,104.69,103.76,104.37,92.7,1978600,0.0,0
2015-04-29,104.32,104.46,102.11,103.18,92.17,1951700,0.59,0
2015-04-30,102.16,102.52,100.55,100.85,90.09,3540500,0.0,0
2015-05-01,101.54,103.21,101.43,103.21,92.19,2352300,0.0,0
2015-05-04,103.65,104.58,103.17,103.79,92.71,2749200,0.0,0
2015-05-05,103.69,104.28,100.52,100.59,89.85,2021100,0.0,0
2015-05-06,100.33,100.73,98.97,100.11,89.95,2911900,0.59,0
2015-05-07,99.93,101.53,99.78,100.98,90.73,1212400,0.0,0
2015-05-08,101.87,102.18,100.56,100.63,90.42,2405500,0.0,0
2015-05-11,100.35,101.31,100.16,100.16,90.0,1620700,0.0,0
2015-05-12,99.56,99.75,98.94,99.04,88.99,3066000,0.0,0
2015-05-13,98.91,99.84,97.27,97.72,87.8,2935000,0.0,0
2015-05-14,96.8,97.71,96.04,96.71,86.9,3079600,0.0,0
2015-05-15,97.07,97.72,96.63,97.56,87.66,1940700,0.0,0
2015-05-18,97.44,98.17,97.2,97.97,88.03,1647900,0.0,0
2015-05-19,97.85,98.25,97.07,97.28,87.41,1287500,0.0,0
2015-05-20,96.4,96.94,95.73,96.06,86.31,1559200,0.0,0
2015-05-21,96.06,98.12,96.0,97.11,87.26,2503700,0.0,0
2015-05-22,96.86,97.29,95.51,95.53,85.84,1988300,0.0,0
2015-05-26,95.56,95.95,94.33,94.57,84.97,1740700,0.0,0
2015-05-27,95.08,95.23,94.24,94.83,85.21,1582600,0.0,0
2015-05-28,94.5,94.55,92.8,93.71,84.2,2114900,0.0,0
2015-05-29,93.48,93.51,91.85,92.0,82.66,2521200,0.0,0
2015-06-01,92.48,93.06,91.85,92.76,83.35,1598500,0.0,0
2015-06-02,92.54,93.81,92.28,92.7,83.29,1777100,0.0,0
2015-06-03,92.65,93.58,92.03,92.5,83.11,1568100,0.0,0
2015-06-04,92.01,93.06,91.59,91.96,82.63,2135700,0.0,0
2015-06-05,92.25,92.74,91.86,92.51,83.12,1624400,0.0,0
2015-06-08,92.27,92.41,90.98,91.06,81.82,1480200,0.0,0
2015-06-09,91.0,91.25,90.39,90.44,81.26,1473200,0.0,0
2015-06-10,91.0,91.0,89.73,90.54,81.35,1981100,0.0,0
2015-06-11,90.82,92.79,90.42,92.53,83.14,2996700,0.0,0
2015-06-12,91.89,92.84,91.37,91.7,82.4,1965700,0.0,0
2015-06-15,91.24,91.91,90.89,91.36,82.09,1331500,0.0,0
2015-06-16,91.22,91.99,91.17,91.36,82.09,1132900,0.0,0
2015-06-17,91.42,91.84,91.0,91.7,82.4,1439200,0.0,0
2015-06-18,91.95,93.24,91.83,92.96,83.53,1742800,0.0,0
2015-06-19,92.67,93.12,92.07,92.32,82.95,2141200,0.0,0
2015-06-22,92.67,93.3,92.39,92.81,83.39,1575600,0.0,0
2015-06-23,92.72,93.09,92.25,92.31,82.94,1546600,0.0,0
2015-06-24,91.96,92.32,89.99,90.03,80.89,2117400,0.0,0
2015-06-25,90.33,90.62,88.74,88.76,79.75,1945400,0.0,0
2015-06-26,89.09,89.63,88.51,88.87,79.85,2984700,0.0,0
2015-06-29,88.2,88.67,86.94,86.98,78.15,1722600,0.0,0
2015-06-30,87.37,87.89,86.74,87.36,78.5,2404000,0.0,0
2015-07-01,87.88,88.13,87.63,88.1,79.16,2323600,0.0,0
2015-07-02,88.31,88.65,87.72,87.83,78.92,2217000,0.0,0
2015-07-06,87.23,87.98,86.44,86.94,78.12,1466400,0.0,0
