Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,73.05,73.69,72.89,73.01,65.42,1624100,0.0,0
2015-04-28,72.95,73.69,72.76,73.54,65.9,857300,0.0,0
2015-04-29,73.11,74.23,72.9,73.74,66.08,1155000,0.0,0
2015-04-30,73.1,73.95,72.9,73.15,65.55,1194600,0.0,0
2015-05-01,73.64,73.93,73.3,73.7,66.04,989300,0.0,0
2015-05-04,73.7,74.66,73.68,74.55,66.8,715200,0.0,0
2015-05-05,74.09,75.27,73.84,74.56,66.81,2111200,0.0,0
2015-05-06,74.51,74.77,73.71,74.23,66.52,1019400,0.0,0
2015-05-07,74.35,74.82,74.12,74.64,66.88,993300,0.0,0
2015-05-08,75.0,75.36,74.78,75.25,67.43,1090600,0.0,0
2015-05-11,75.26,75.85,74.97,75.05,67.25,906800,0.0,0
2015-05-12,74.61,75.06,74.28,74.64,66.88,1043900,0.0,0
2015-05-13,74.48,75.02,74.43,74.73,66.96,1434300,0.0,0
2015-05-14,74.83,75.17,74.38,75.01,67.22,1169900,0.0,0
2015-05-15,75.23,75.24,74.17,74.72,66.96,1069400,0.0,0
2015-05-18,74.92,75.78,74.77,75.7,67.83,853200,0.0,0
2015-05-19,76.0,76.63,75.8,76.15,68.24,1251000,0.0,0
2015-05-20,76.08,76.52,75.81,76.16,68.25,708100,0.0,0
2015-05-21,75.9,76.34,75.77,76.03,68.13,947500,0.0,0
2015-05-22,76.06,76.16,75.53,75.56,67.71,814600,0.0,0
2015-05-26,75.39,75.5,74.53,74.79,67.02,992900,0.0,0
2015-05-27,74.81,75.67,74.68,75.51,67.66,1112300,0.0,0
2015-05-28,75.39,75.74,75.15,75.65,67.79,810900,0.0,0
2015-05-29,75.65,75.65,74.54,74.55,66.8,1103100,0.0,0
2015-06-01,74.79,75.19,73.98,74.25,66.53,1226500,0.0,0
2015-06-02,74.17,74.54,73.77,74.4,66.67,1535100,0.0,0
2015-06-03,74.42,75.41,74.41,75.1,67.62,768200,0.36,0
2015-06-04,74.74,75.08,73.86,74.27,66.88,833500,0.0,0
2015-06-05,74.72,75.75,74.69,75.25,67.76,1133300,0.0,0
2015-06-08,75.14,75.96,75.09,75.66,68.13,1512200,0.0,0
2015-06-09,75.51,76.06,75.21,75.88,68.33,977000,0.0,0
2015-06-10,76.3,77.51,76.14,77.26,69.57,1245400,0.0,0
2015-06-11,77.35,77.63,77.12,77.5,69.78,865600,0.0,0
2015-06-12,77.47,77.71,76.97,77.59,69.87,1451300,0.0,0
2015-06-15,76.95,77.6,76.63,77.24,69.55,1195700,0.0,0
2015-06-16,76.93,77.6,76.93,77.33,69.63,685000,0.0,0
2015-06-17,77.55,77.77,76.83,76.88,69.23,1152300,0.0,0
2015-06-18,77.37,77.82,76.48,77.7,69.96,1442800,0.0,0
2015-06-19,77.34,77.86,77.17,77.56,69.84,1728000,0.0,0
2015-06-22,78.0,78.58,77.81,78.21,70.42,979700,0.0,0
2015-06-23,78.45,78.88,78.0,78.4,70.59,856800,0.0,0
2015-06-24,78.34,78.61,77.58,77.71,69.97,964300,0.0,0
2015-06-25,78.1,78.4,77.37,77.69,69.96,899500,0.0,0
2015-06-26,78.06,78.85,77.73,78.64,70.81,2107400,0.0,0
2015-06-29,77.68,77.99,76.14,76.28,68.69,1419300,0.0,0
2015-06-30,77.0,77.44,76.08,76.46,68.85,1265100,0.0,0
2015-07-01,77.36,77.57,76.52,76.95,69.29,909200,0.0,0
2015-07-02,77.07,77.74,75.69,76.68,69.05,1145000,0.0,0
2015-07-06,75.99,76.18,75.49,75.99,68.42,742600,0.0,0
2015-07-07,76.2,76.36,74.42,75.87,68.32,803100,0.0,0
2015-07-08,75.31,75.52,73.92,74.05,66.68,1398900,0.0,0
2015-07-09,74.81,75.59,74.46,74.74,67.3,988700,0.0,0
2015-07-10,75.64,76.72,75.33,76.38,68.78,1989700,0.0,0
2015-07-13,76.63,77.3,76.43,77.16,69.48,922700,0.0,0
2015-07-14,76.87,77.38,76.61,77.24,69.55,1108200,0.0,0
2015-07-15,77.58,77.97,77.09,77.71,69.97,845500,0.0,0
2015-07-16,78.24,78.75,77.92,78.66,70.83,882900,0.0,0
2015-07-17,78.44,78.78,77.53,77.92,70.16,947000,0.0,0
2015-07-20,78.21,78.67,77.92,78.34,70.54,867600,0.0,0
2015-07-21,78.26,78.91,77.61,78.05,70.28,1441300,0.0,0
2015-07-22,77.26,78.9,77.13,77.97,70.21,2117400,0.0,0
