Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,48.45,49.28,48.45,48.6,41.84,2607300,0.0,0
2015-04-28,48.71,49.6,48.68,49.56,42.66,2931900,0.0,0
2015-04-29,48.95,49.56,48.71,49.19,42.34,2005800,0.0,0
2015-04-30,48.9,49.39,48.65,48.86,42.06,3100400,0.0,0
2015-05-01,49.3,49.4,48.43,49.0,42.18,2214400,0.0,0
2015-05-04,49.26,49.44,48.94,49.22,42.37,2376500,0.0,0
2015-05-05,49.39,49.81,48.76,48.9,42.09,1763400,0.0,0
2015-05-06,49.16,49.43,48.41,48.59,41.83,1847800,0.0,0
2015-05-07,48.26,48.73,47.83,48.66,41.89,1235200,0.0,0
2015-05-08,49.31,49.39,48.84,48.9,42.09,1719100,0.0,0
2015-05-11,49.0,49.13,48.65,48.93,42.12,1600600,0.0,0
2015-05-12,48.89,48.96,48.32,48.33,41.6,1890600,0.0,0
2015-05-13,48.52,49.07,48.45,48.76,41.97,1448700,0.0,0
2015-05-14,49.23,49.65,49.05,49.6,42.7,2588300,0.0,0
2015-05-15,49.64,49.78,49.25,49.32,42.46,1237500,0.0,0
2015-05-18,49.1,49.33,48.8,49.05,42.22,1177900,0.0,0
2015-05-19,48.8,48.93,47.74,47.95,41.28,1955800,0.0,0
2015-05-20,47.81,48.28,47.7,48.06,41.37,1278200,0.0,0
2015-05-21,48.14,48.21,47.52,47.77,41.12,1355600,0.0,0
2015-05-22,47.72,48.34,47.2,48.1,41.41,1752100,0.0,0
2015-05-26,47.88,47.95,47.01,47.19,40.62,1337400,0.0,0
2015-05-27,47.15,47.9,47.07,47.81,41.16,1337600,0.0,0
2015-05-28,47.48,47.63,47.21,47.58,40.96,961000,0.0,0
2015-05-29,47.47,47.74,47.29,47.3,40.72,1451600,0.0,0
2015-06-01,47.58,48.0,47.0,47.59,40.97,1721400,0.0,0
2015-06-02,47.75,49.59,47.62,49.41,42.53,3087700,0.0,0
2015-06-03,49.35,50.7,49.27,49.77,42.84,3568000,0.0,0
2015-06-04,49.34,49.8,48.78,49.06,42.23,1668100,0.0,0
2015-06-05,49.08,49.25,48.67,48.92,42.11,1155000,0.0,0
2015-06-08,48.87,49.16,48.4,48.52,41.77,1590900,0.0,0
2015-06-09,48.59,48.83,48.29,48.31,41.59,1335900,0.0,0
2015-06-10,48.87,49.12,48.67,48.9,42.09,1252600,0.0,0
2015-06-11,48.73,49.2,48.59,48.9,42.09,1159300,0.0,0
2015-06-12,48.71,48.79,48.01,48.59,41.83,1159700,0.0,0
2015-06-15,48.12,48.12,47.42,47.5,40.89,1420000,0.0,0
2015-06-16,47.33,48.17,47.2,48.09,41.4,1174100,0.0,0
2015-06-17,48.24,48.38,47.5,48.12,41.42,860900,0.0,0
2015-06-18,47.17,48.06,47.14,47.84,41.18,2501600,0.0,0
2015-06-19,47.6,47.93,47.33,47.5,40.89,2100800,0.0,0
2015-06-22,47.5,48.0,47.02,47.17,40.6,1820100,0.0,0
2015-06-23,47.32,48.19,47.06,48.1,41.41,1547200,0.0,0
2015-06-24,48.03,48.27,47.38,47.43,40.83,1445800,0.0,0
2015-06-25,47.5,48.05,47.26,47.3,40.72,1435000,0.0,0
2015-06-26,46.94,47.39,46.2,46.25,40.13,2456500,0.3725,0
2015-06-29,45.91,46.32,44.93,45.01,39.05,1996100,0.0,0
2015-06-30,45.41,45.46,43.91,44.07,38.24,2663900,0.0,0
2015-07-01,44.35,44.89,44.2,44.49,38.6,2210800,0.0,0
2015-07-02,44.49,44.66,43.67,44.25,38.39,1968100,0.0,0
