Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,1347.1,1367.99,1332.02,1339.02,1339.02,35700,0,0
2015-04-28,1336.01,1364.49,1332.34,1356.65,1356.65,30200,0,0
2015-04-29,1352.0,1359.95,1333.61,1350.02,1350.02,26200,0,0
2015-04-30,1349.02,1354.95,1316.3,1326.49,1326.49,29300,0,0
2015-05-01,1327.15,1347.65,1327.15,1345.69,1345.69,22900,0,0
2015-05-04,1347.9,1353.98,1321.39,1339.55,1339.55,23100,0,0
2015-05-05,1335.02,1344.99,1315.04,1321.0,1321.0,41000,0,0
2015-05-06,1322.26,1330.78,1304.21,1330.77,1330.77,40200,0,0
2015-05-07,1327.01,1347.75,1324.6,1333.28,1333.28,25500,0,0
2015-05-08,1344.98,1352.1,1318.01,1323.97,1323.97,38200,0,0
2015-05-11,1318.0,1327.5,1302.0,1307.05,1307.05,34400,0,0
2015-05-12,1305.65,1307.5,1292.11,1306.88,1306.88,32500,0,0
2015-05-13,1310.84,1319.63,1305.42,1318.29,1318.29,37000,0,0
2015-05-14,1320.53,1335.23,1310.32,1335.23,1335.23,23700,0,0
2015-05-15,1333.64,1341.79,1323.5,1335.24,1335.24,39500,0,0
2015-05-18,1334.76,1350.0,1326.01,1347.8,1347.8,15500,0,0
2015-05-19,1350.0,1374.79,1330.0,1371.89,1371.89,31100,0,0
2015-05-20,1369.29,1387.4,1364.0,1382.03,1382.03,19200,0,0
2015-05-21,1382.0,1382.0,1370.0,1373.39,1373.39,32800,0,0
2015-05-22,1370.56,1377.95,1356.25,1373.0,1373.0,15200,0,0
2015-05-26,1370.0,1381.99,1354.87,1359.0,1359.0,13600,0,0
2015-05-27,1361.0,1374.97,1351.17,1370.33,1370.33,18500,0,0
2015-05-28,1366.2,1378.8,1361.21,1377.25,1377.25,17100,0,0
2015-05-29,1371.0,1377.81,1355.0,1360.6,1360.6,22200,0,0
2015-06-01,1361.33,1374.51,1354.88,1362.74,1362.74,11600,0,0
2015-06-02,1359.78,1364.99,1355.08,1361.04,1361.04,15000,0,0
2015-06-03,1367.94,1372.99,1355.0,1372.99,1372.99,29400,0,0
2015-06-04,1367.95,1377.24,1360.0,1364.81,1364.81,11400,0,0
2015-06-05,1368.4,1382.0,1356.5,1366.99,1366.99,13000,0,0
2015-06-08,1367.53,1372.37,1345.07,1351.5,1351.5,16500,0,0
2015-06-09,1350.89,1369.93,1335.0,1346.35,1346.35,14300,0,0
2015-06-10,1351.07,1356.48,1343.0,1350.24,1350.24,13300,0,0
2015-06-11,1354.94,1365.95,1352.5,1358.52,1358.52,24900,0,0
2015-06-12,1355.3,1367.88,1348.0,1367.88,1367.88,15400,0,0
2015-06-15,1367.01,1381.62,1361.9,1366.35,1366.35,20200,0,0
2015-06-16,1363.59,1368.0,1346.0,1349.9,1349.9,18800,0,0
2015-06-17,1352.0,1358.0,1340.56,1356.93,1356.93,29700,0,0
2015-06-18,1360.0,1369.4,1354.27,1360.0,1360.0,19600,0,0
2015-06-19,1367.29,1375.23,1362.0,1366.71,1366.71,26000,0,0
2015-06-22,1373.9,1380.0,1359.04,1371.04,1371.04,22200,0,0
2015-06-23,1372.9,1380.0,1364.49,1371.86,1371.86,27200,0,0
2015-06-24,1374.18,1386.39,1368.95,1374.27,1374.27,30200,0,0
2015-06-25,1377.6,1380.35,1366.5,1373.17,1373.17,20000,0,0
2015-06-26,1372.0,1379.95,1364.0,1374.01,1374.01,17400,0,0
2015-06-29,1364.4,1374.01,1343.01,1357.42,1357.42,35400,0,0
2015-06-30,1369.16,1369.16,1336.04,1340.0,1340.0,37500,0,0
2015-07-01,1343.99,1359.9,1317.23,1357.75,1357.75,46300,0,0
2015-07-02,1360.0,1369.99,1355.0,1362.99,1362.99,18100,0,0
2015-07-06,1358.93,1376.8,1355.0,1371.63,1371.63,32500,0,0
2015-07-07,1371.63,1388.79,1354.98,1381.98,1381.98,24200,0,0
2015-07-08,1377.0,1389.99,1365.0,1376.45,1376.45,20400,0,0
2015-07-09,1385.98,1393.05,1366.05,1384.14,1384.14,11400,0,0
2015-07-10,1392.0,1398.0,1380.0,1388.45,1388.45,13900,0,0
2015-07-13,1395.69,1396.0,1379.0,1394.1,1394.1,15400,0,0
2015-07-14,1393.5,1407.84,1389.0,1404.83,1404.83,37500,0,0
2015-07-15,1400.61,1406.0,1386.34,1397.96,1397.96,35600,0,0
2015-07-16,1398.1,1425.41,1389.0,1408.66,1408.66,38200,0,0
2015-07-17,1410.04,1412.0,1397.0,1404.1,1404.1,20600,0,0
2015-07-20,1407.96,1407.96,1373.65,1400.0,1400.0,24100,0,0
2015-07-21,1420.0,1434.46,1395.0,1421.5,1421.5,76500,0,0
2015-07-22,1425.0,1456.5,1403.2,1453.0,1453.0,70200,0,0
2015-07-23,1458.75,1474.0,1442.0,1449.0,1449.0,46500,0,0
2015-07-24,1454.23,1474.0,1418.98,1434.55,1434.55,47200,0,0
2015-07-27,1439.64,1468.03,1429.49,1446.86,1446.86,30300,0,0
2015-07-28,1456.84,1463.86,1448.55,1460.13,1460.13,33900,0,0
2015-07-29,1463.0,1482.0,1457.17,1475.0,1475.0,70900,0,0
2015-07-30,1476.07,1488.98,1453.95,1486.05,1486.05,44200,0,0
2015-07-31,1484.64,1500.0,1471.02,1490.04,1490.04,24300,0,0
2015-08-03,1481.26,1489.0,1468.03,1488.99,1488.99,26500,0,0
2015-08-04,1490.3,1490.3,1470.0,1476.52,1476.52,17100,0,0
2015-08-05,1481.8,1485.64,1463.01,1470.01,1470.01,27200,0,0
2015-08-06,1484.83,1484.83,1450.0,1460.66,1460.66,14700,0,0
2015-08-07,1464.88,1472.73,1455.7,1472.6,1472.6,17900,0,0
2015-08-10,1479.89,1495.0,1479.89,1486.15,1486.15,15300,0,0
2015-08-11,1489.89,1522.7,1473.39,1512.77,1512.77,24900,0,0
2015-08-12,1514.0,1515.95,1493.61,1511.92,1511.92,20300,0,0
2015-08-13,1502.1,1543.99,1502.1,1526.99,1526.99,20300,0,0
2015-08-14,1525.99,1538.17,1512.54,1524.99,1524.99,23200,0,0
2015-08-17,1525.57,1559.75,1515.0,1559.73,1559.73,25200,0,0
2015-08-18,1564.89,1578.98,1551.21,1569.28,1569.28,40300,0,0
2015-08-19,1548.14,1583.76,1548.14,1583.76,1583.76,41500,0,0
2015-08-20,1560.0,1584.54,1555.1,1562.75,1562.75,22600,0,0
2015-08-21,1558.9,1568.05,1522.0,1540.99,1540.99,25300,0,0
2015-08-24,1500.34,1500.34,1465.25,1488.98,1488.98,43000,0,0
2015-08-25,1505.0,1522.5,1430.12,1459.2,1459.2,39100,0,0
2015-08-26,1471.0,1496.81,1435.0,1487.36,1487.36,36700,0,0
2015-08-27,1497.0,1527.5,1479.06,1509.63,1509.63,26800,0,0
2015-08-28,1492.55,1527.5,1487.03,1509.85,1509.85,28400,0,0
2015-08-31,1500.0,1530.49,1494.0,1519.95,1519.95,29700,0,0
2015-09-01,1514.8,1520.0,1494.0,1502.0,1502.0,29600,0,0
2015-09-02,1510.0,1535.48,1505.0,1535.47,1535.47,22700,0,0
2015-09-03,1547.2,1555.93,1524.96,1552.01,1552.01,23400,0,0
2015-09-04,1537.55,1552.9,1535.0,1545.44,1545.44,12400,0,0
2015-09-08,1556.99,1576.61,1545.45,1574.44,1574.44,31500,0,0
2015-09-09,1583.95,1583.95,1544.0,1550.5,1550.5,31400,0,0
2015-09-10,1557.0,1557.0,1527.99,1547.28,1547.28,24400,0,0
2015-09-11,1548.23,1576.37,1539.22,1575.47,1575.47,13200,0,0
2015-09-14,1575.47,1575.47,1549.04,1571.5,1571.5,23800,0,0
2015-09-15,1572.01,1580.8,1560.0,1574.99,1574.99,19300,0,0
2015-09-16,1572.0,1576.8,1554.0,1574.99,1574.99,29000,0,0
2015-09-17,1574.8,1604.9,1560.0,1587.5,1587.5,30700,0,0
2015-09-18,1571.3,1599.82,1560.08,1571.24,1571.24,64900,0,0
2015-09-21,1580.0,1594.79,1565.0,1567.1,1567.1,27600,0,0
2015-09-22,1555.8,1570.96,1534.28,1553.32,1553.32,37200,0,0
2015-09-23,1552.7,1573.57,1545.0,1572.48,1572.48,21600,0,0
2015-09-24,1565.6,1590.33,1545.0,1581.0,1581.0,23400,0,0
2015-09-25,1589.99,1610.0,1574.01,1592.0,1592.0,16500,0,0
2015-09-28,1586.99,1591.18,1530.0,1557.43,1557.43,37700,0,0
2015-09-29,1552.01,1552.01,1496.3,1517.04,1517.04,44000,0,0
2015-09-30,1530.99,1565.02,1510.01,1525.22,1525.22,36200,0,0
2015-10-01,1540.89,1550.52,1500.23,1548.34,1548.34,32000,0,0
2015-10-02,1530.15,1555.0,1523.62,1547.06,1547.06,29900,0,0
2015-10-05,1554.85,1579.87,1515.21,1568.47,1568.47,36700,0,0
2015-10-06,1569.5,1574.43,1522.01,1534.0,1534.0,38300,0,0
2015-10-07,1538.46,1564.35,1530.8,1560.0,1560.0,43700,0,0
2015-10-08,1554.94,1572.2,1540.04,1569.13,1569.13,37700,0,0
2015-10-09,1569.47,1576.3,1555.01,1570.0,1570.0,30400,0,0
2015-10-12,1568.99,1605.02,1553.32,1602.0,1602.0,29100,0,0
2015-10-13,1594.45,1610.0,1571.16,1580.29,1580.29,21700,0,0
2015-10-14,1580.29,1586.64,1527.0,1547.35,1547.35,105600,0,0
2015-10-15,1549.0,1578.0,1543.17,1560.0,1560.0,61700,0,0
2015-10-16,1560.46,1571.61,1551.77,1553.09,1553.09,37600,0,0
2015-10-19,1557.0,1562.9,1545.01,1555.0,1555.0,41200,0,0
2015-10-20,1550.0,1607.99,1550.0,1590.0,1590.0,48000,0,0
2015-10-21,1599.84,1656.5,1598.1,1627.51,1627.51,47800,0,0
