Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,15.45,15.74,15.45,15.47,14.33,1765700,0.0,0
2015-04-28,15.43,15.88,15.4,15.86,14.7,1510900,0.0,0
2015-04-29,15.8,15.88,15.65,15.66,14.51,1637400,0.0,0
2015-04-30,15.58,15.74,15.53,15.57,14.43,1836000,0.0,0
2015-05-01,15.69,15.94,15.67,15.93,14.76,1244200,0.0,0
2015-05-04,15.9,16.08,15.84,16.07,14.89,855200,0.0,0
2015-05-05,16.12,16.17,15.81,15.92,14.75,1543900,0.0,0
2015-05-06,15.21,15.22,14.78,14.91,13.82,3899100,0.0,0
2015-05-07,14.94,14.95,14.83,14.91,13.82,1733100,0.0,0
2015-05-08,15.02,15.11,14.96,15.09,13.98,470100,0.0,0
2015-05-11,15.07,15.7,15.02,15.59,14.45,2150400,0.0,0
2015-05-12,15.52,15.54,15.09,15.18,14.07,1409900,0.0,0
2015-05-13,15.2,15.24,15.08,15.1,13.99,1496900,0.0,0
2015-05-14,15.14,15.2,15.01,15.14,14.03,1001600,0.0,0
2015-05-15,15.16,15.35,15.11,15.3,14.18,808100,0.0,0
2015-05-18,15.24,15.39,15.12,15.35,14.22,1189400,0.0,0
2015-05-19,15.39,15.42,15.26,15.39,14.26,454900,0.0,0
2015-05-20,15.38,15.43,15.31,15.33,14.2,790400,0.0,0
2015-05-21,15.28,15.39,15.25,15.36,14.23,404800,0.0,0
2015-05-22,15.32,15.35,15.2,15.25,14.13,528200,0.0,0
2015-05-26,15.22,15.31,14.96,15.04,13.94,848700,0.0,0
2015-05-27,15.09,15.26,15.0,15.13,14.02,766700,0.0,0
2015-05-28,15.08,15.1,14.99,15.1,13.99,760600,0.0,0
2015-05-29,15.06,15.13,14.91,14.95,13.85,887400,0.0,0
2015-06-01,14.97,15.06,14.86,15.0,13.9,601200,0.0,0
2015-06-02,14.94,15.04,14.86,14.91,13.82,706300,0.0,0
2015-06-03,14.94,15.03,14.86,14.94,13.84,495700,0.0,0
2015-06-04,14.89,14.94,14.69,14.72,13.64,605900,0.0,0
2015-06-05,14.73,14.73,14.56,14.64,13.56,781100,0.0,0
2015-06-08,14.59,14.68,14.55,14.57,13.5,613600,0.0,0
2015-06-09,14.6,14.6,14.29,14.3,13.25,866700,0.0,0
2015-06-10,14.33,14.46,14.25,14.29,13.24,1272400,0.0,0
2015-06-11,14.37,14.37,14.22,14.26,13.21,859100,0.0,0
2015-06-12,14.24,14.28,14.07,14.18,13.14,752600,0.0,0
2015-06-15,14.15,14.2,14.03,14.05,13.02,644200,0.0,0
2015-06-16,14.05,14.1,13.99,13.99,12.96,544700,0.0,0
2015-06-17,13.99,14.13,13.88,13.95,12.93,744500,0.0,0
2015-06-18,14.04,14.32,14.04,14.23,13.18,1145000,0.0,0
2015-06-19,14.17,14.66,14.17,14.58,13.51,1702100,0.0,0
2015-06-22,14.64,14.8,14.63,14.68,13.6,806300,0.0,0
2015-06-23,14.68,14.8,14.66,14.66,13.58,1188800,0.0,0
2015-06-24,14.64,14.76,14.44,14.47,13.41,1724900,0.0,0
2015-06-25,14.48,14.54,14.33,14.34,13.29,1389500,0.0,0
2015-06-26,14.41,14.74,14.27,14.62,13.55,8440600,0.0,0
