Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,15.59,15.86,15.55,15.57,14.39,2900600,0.0,0
2015-04-28,15.59,16.0,15.51,15.97,14.76,3971800,0.0,0
2015-04-29,15.9,15.99,15.77,15.79,14.6,3211000,0.0,0
2015-04-30,15.72,15.88,15.66,15.78,14.59,4276000,0.0,0
2015-05-01,15.9,16.08,15.89,16.05,14.84,2537000,0.0,0
2015-05-04,16.05,16.19,15.94,16.17,14.95,2291400,0.0,0
2015-05-05,16.13,16.27,15.92,16.02,14.81,5742300,0.0,0
2015-05-06,15.05,15.33,14.82,14.99,13.86,11731400,0.0,0
2015-05-07,15.01,15.02,14.82,14.97,13.84,7108400,0.0,0
2015-05-08,15.09,15.22,15.03,15.14,14.0,3376100,0.0,0
2015-05-11,15.12,15.92,15.12,15.71,14.52,7703000,0.0,0
2015-05-12,15.6,15.6,15.28,15.35,14.19,4116200,0.0,0
2015-05-13,15.32,15.5,15.21,15.26,14.11,3045900,0.0,0
2015-05-14,15.38,15.44,15.13,15.39,14.23,3264900,0.0,0
2015-05-15,15.35,15.59,15.31,15.55,14.37,2960500,0.0,0
2015-05-18,15.56,15.69,15.38,15.68,14.5,3538500,0.0,0
2015-05-19,15.67,15.7,15.54,15.68,14.5,2719300,0.0,0
2015-05-20,15.67,15.74,15.6,15.63,14.45,2039400,0.0,0
2015-05-21,15.58,15.69,15.52,15.63,14.45,1579100,0.0,0
2015-05-22,15.63,15.66,15.5,15.54,14.37,2800100,0.0,0
2015-05-26,15.55,15.64,15.26,15.34,14.18,2740700,0.0,0
2015-05-27,15.4,15.57,15.31,15.44,14.27,2706200,0.0,0
2015-05-28,15.37,15.41,15.26,15.35,14.19,3222200,0.0,0
2015-05-29,15.31,15.4,15.15,15.15,14.01,2048600,0.0,0
2015-06-01,15.2,15.47,15.01,15.23,14.08,2371800,0.0,0
2015-06-02,15.16,15.27,15.08,15.16,14.01,1541600,0.0,0
2015-06-03,15.22,15.3,15.1,15.22,14.07,1751400,0.0,0
2015-06-04,15.17,15.23,14.97,15.0,13.87,2167800,0.0,0
2015-06-05,15.01,15.06,14.85,15.0,13.87,1913600,0.0,0
2015-06-08,14.93,14.98,14.82,14.84,13.72,1731500,0.0,0
2015-06-09,14.81,14.85,14.54,14.56,13.46,2793300,0.0,0
2015-06-10,14.58,14.77,14.57,14.65,13.54,2368300,0.0,0
2015-06-11,14.66,14.7,14.55,14.58,13.48,2224200,0.0,0
2015-06-12,14.51,14.58,14.37,14.41,13.32,2247800,0.0,0
2015-06-15,14.33,14.38,14.2,14.2,13.13,3712500,0.0,0
2015-06-16,14.2,14.28,14.17,14.2,13.13,2405200,0.0,0
2015-06-17,14.26,14.34,14.17,14.22,13.15,2558200,0.0,0
2015-06-18,14.41,14.62,14.39,14.54,13.44,5027700,0.0,0
2015-06-19,14.47,14.99,14.47,14.97,13.84,5635500,0.0,0
2015-06-22,15.01,15.15,14.9,15.05,13.91,2044500,0.0,0
2015-06-23,15.09,15.16,14.98,14.99,13.86,2537400,0.0,0
2015-06-24,14.98,15.12,14.81,14.83,13.71,2491700,0.0,0
2015-06-25,14.82,14.91,14.68,14.75,13.64,3139500,0.0,0
2015-06-26,14.81,15.2,14.65,15.2,14.05,12078800,0.0,0
2015-06-29,15.04,15.11,14.44,14.45,13.36,3593200,0.0,0
2015-06-30,14.53,14.63,14.33,14.59,13.49,4457000,0.0,0
2015-07-01,14.73,14.81,14.54,14.64,13.53,2384000,0.0,0
2015-07-02,14.69,14.99,14.56,14.6,13.5,2998600,0.0,0
2015-07-06,14.45,14.53,14.24,14.3,13.22,2853000,0.0,0
2015-07-07,14.34,14.4,14.04,14.35,13.27,3163500,0.0,0
2015-07-08,14.25,14.33,14.12,14.16,13.09,2478800,0.0,0
2015-07-09,14.31,14.41,14.14,14.18,13.11,2074200,0.0,0
2015-07-10,14.29,14.38,14.13,14.25,13.17,1638300,0.0,0
2015-07-13,14.32,14.51,14.21,14.43,13.34,2069500,0.0,0
2015-07-14,14.39,14.47,14.32,14.43,13.34,2159800,0.0,0
2015-07-15,14.41,14.54,14.35,14.43,13.34,1885700,0.0,0
