Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,49.81,50.34,49.5,49.66,48.94,1685600.0,0.0,0.0
2015-04-28,49.6,50.18,49.48,49.93,49.2,822500.0,0.0,0.0
2015-04-29,49.63,49.74,48.52,48.76,48.05,1646600.0,0.0,0.0
2015-04-30,48.55,49.06,47.29,47.42,46.73,1708500.0,0.0,0.0
2015-05-01,47.19,48.06,47.11,48.01,47.31,1390400.0,0.0,0.0
2015-05-04,48.0,48.43,47.57,47.91,47.22,1028300.0,0.0,0.0
2015-05-05,47.78,48.05,46.92,47.0,46.32,1257300.0,0.0,0.0
2015-05-06,47.23,47.23,46.63,47.18,46.5,622200.0,0.0,0.0
2015-05-07,47.21,47.99,47.19,47.83,47.14,590100.0,0.0,0.0
2015-05-08,48.31,48.76,48.19,48.26,47.56,685800.0,0.0,0.0
2015-05-11,48.27,48.38,47.93,48.09,47.4,730500.0,0.0,0.0
2015-05-12,47.71,48.05,47.41,48.01,47.31,670200.0,0.0,0.0
2015-05-13,48.03,48.09,47.24,47.49,46.8,1082700.0,0.0,0.0
2015-05-14,47.57,48.02,47.17,47.23,46.55,1668200.0,0.0,0.0
2015-05-15,47.21,47.63,47.11,47.31,46.62,706200.0,0.0,0.0
2015-05-18,47.17,48.34,47.15,48.2,47.5,818100.0,0.0,0.0
2015-05-19,48.3,48.53,47.86,47.94,47.24,927900.0,0.0,0.0
2015-05-20,47.9,48.33,47.15,47.18,46.5,845700.0,0.0,0.0
2015-05-21,47.45,48.16,46.91,48.03,47.33,1369200.0,0.0,0.0
2015-05-22,47.95,48.21,47.29,47.49,46.8,764900.0,0.0,0.0
2015-05-26,47.63,47.75,46.65,46.81,46.13,700500.0,0.0,0.0
2015-05-27,47.26,47.79,46.79,47.72,47.03,889100.0,0.0,0.0
2015-05-28,47.7,47.73,47.28,47.6,46.91,884300.0,0.0,0.0
2015-05-29,47.46,47.46,45.01,45.34,44.68,2948900.0,0.0,0.0
2015-06-01,45.62,45.7,44.91,45.61,44.95,1817300.0,0.0,0.0
2015-06-02,45.26,45.54,44.83,45.0,44.35,2212400.0,0.0,0.0
2015-06-03,45.02,45.91,44.88,45.41,44.75,1279500.0,0.0,0.0
2015-06-04,45.19,45.87,45.05,45.72,45.06,1019000.0,0.0,0.0
2015-06-05,45.76,47.22,45.57,46.91,46.23,1293800.0,0.0,0.0
2015-06-08,46.75,46.87,46.07,46.08,45.41,709400.0,0.0,0.0
2015-06-09,46.03,46.51,45.76,46.01,45.35,761300.0,0.0,0.0
2015-06-10,46.04,46.57,45.85,46.41,45.74,1217000.0,0.0,0.0
2015-06-11,46.65,47.09,46.46,47.03,46.35,542900.0,0.0,0.0
2015-06-12,46.83,47.11,46.63,46.84,46.16,698600.0,0.0,0.0
2015-06-15,46.49,46.79,45.91,46.57,45.9,963200.0,0.0,0.0
2015-06-16,46.47,46.86,46.35,46.53,45.86,860400.0,0.0,0.0
2015-06-17,46.38,47.09,46.15,47.03,46.34,1164200.0,0.0,0.0
2015-06-18,47.07,48.19,46.97,47.64,46.95,1148900.0,0.0,0.0
2015-06-19,47.73,48.07,47.37,47.81,47.11,1279200.0,0.0,0.0
2015-06-22,48.0,48.0,47.5,47.66,46.97,951800.0,0.0,0.0
2015-06-23,47.61,47.75,47.15,47.25,46.57,1331400.0,0.0,0.0
2015-06-24,47.28,47.29,45.93,46.24,45.57,1780100.0,0.0,0.0
2015-06-25,46.51,46.57,45.97,46.02,45.35,1060400.0,0.0,0.0
2015-06-26,46.03,46.11,45.58,45.91,45.25,1125500.0,0.0,0.0
2015-06-29,46.37,46.44,45.33,45.37,44.71,923300.0,0.0,0.0
2015-06-30,45.82,46.3,45.61,45.74,45.08,851900.0,0.0,0.0
2015-07-01,44.89,46.4,44.89,46.01,45.34,991100.0,0.0,0.0
2015-07-02,46.11,46.28,45.47,45.8,45.14,621900.0,0.0,0.0
2015-07-06,45.33,45.97,45.05,45.18,44.52,791900.0,0.0,0.0
2015-07-07,45.31,45.31,44.48,45.17,44.52,1221300.0,0.0,0.0
2015-07-08,44.78,45.05,44.14,44.48,43.83,1019700.0,0.0,0.0
2015-07-09,44.97,45.36,44.85,44.93,44.28,542700.0,0.0,0.0
2015-07-10,45.31,45.49,45.05,45.12,44.46,931200.0,0.0,0.0
2015-07-13,45.55,45.73,45.21,45.37,44.71,1507100.0,0.0,0.0
2015-07-14,45.33,45.45,44.84,44.91,44.26,1300500.0,0.0,0.0
2015-07-15,44.99,45.15,44.37,44.39,43.75,995000.0,0.0,0.0
2015-07-16,44.63,45.39,44.6,45.29,44.64,1229700.0,0.0,0.0
2015-07-17,45.25,45.87,45.01,45.26,44.6,927300.0,0.0,0.0
2015-07-20,45.5,46.13,45.47,45.69,45.03,821700.0,0.0,0.0
2015-07-21,45.73,46.58,45.66,46.27,45.6,1210800.0,0.0,0.0
2015-07-22,46.18,46.33,45.75,45.97,45.31,748500.0,0.0,0.0
2015-07-23,46.12,46.13,45.03,45.11,44.46,632100.0,0.0,0.0
2015-07-24,45.11,45.35,44.61,44.71,44.06,558800.0,0.0,0.0
2015-07-27,44.45,44.83,44.15,44.49,43.84,591000.0,0.0,0.0
2015-07-28,44.65,45.48,44.29,45.33,44.68,1029600.0,0.0,0.0
2015-07-29,45.33,47.41,45.31,47.05,46.36,1950000.0,0.0,0.0
2015-07-30,46.55,48.64,45.93,48.49,47.78,2137500.0,0.0,0.0
2015-07-31,48.82,49.57,48.42,48.77,48.06,1808000.0,0.0,0.0
2015-08-03,48.87,49.5,48.36,49.37,48.66,1031300.0,0.0,0.0
2015-08-04,49.32,49.75,49.0,49.15,48.44,969800.0,0.0,0.0
2015-08-05,49.17,49.91,49.07,49.41,48.7,790200.0,0.0,0.0
2015-08-06,49.33,49.61,48.85,48.91,48.2,730200.0,0.0,0.0
2015-08-07,48.77,48.91,47.83,48.22,47.52,1237100.0,0.0,0.0
2015-08-10,48.26,48.83,48.15,48.72,48.01,928800.0,0.0,0.0
2015-08-11,48.57,48.91,48.21,48.71,48.0,710900.0,0.0,0.0
2015-08-12,48.09,48.53,47.75,48.41,47.71,710400.0,0.0,0.0
2015-08-13,48.32,48.73,48.2,48.33,47.63,410300.0,0.0,0.0
2015-08-14,48.05,48.9,48.03,48.76,48.05,311100.0,0.0,0.0
2015-08-17,48.56,48.89,48.05,48.89,48.18,544800.0,0.0,0.0
2015-08-18,48.9,49.05,48.49,48.61,47.9,359300.0,0.0,0.0
2015-08-19,48.39,48.39,47.67,47.87,47.17,731600.0,0.0,0.0
2015-08-20,47.38,47.81,47.05,47.08,46.4,1139700.0,0.0,0.0
2015-08-21,46.61,46.75,45.23,45.47,44.81,1317300.0,0.0,0.0
2015-08-24,43.1,45.46,41.69,43.92,43.28,1311200.0,0.0,0.0
2015-08-25,45.51,45.79,43.08,43.1,42.47,1186400.0,0.0,0.0
2015-08-26,44.0,44.41,43.07,44.15,43.51,887400.0,0.0,0.0
2015-08-27,44.59,45.13,44.17,44.9,44.25,633200.0,0.0,0.0
2015-08-28,44.73,45.22,44.62,44.92,44.27,712700.0,0.0,0.0
2015-08-31,44.65,44.87,44.28,44.33,43.68,989700.0,0.0,0.0
2015-09-01,43.34,43.77,42.85,42.92,42.3,1659600.0,0.0,0.0
2015-09-02,43.16,43.64,43.0,43.61,42.97,1197300.0,0.0,0.0
2015-09-03,43.86,44.49,43.64,44.19,43.55,1121600.0,0.0,0.0
