Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,43.1,43.95,43.07,43.61,40.22,12916000,0.0,0
2015-04-28,43.71,44.58,43.45,44.5,41.04,18287700,0.0,0
2015-04-29,44.4,44.9,43.68,44.73,41.25,36608700,0.0,0
2015-04-30,44.05,44.41,43.51,43.62,40.23,20196300,0.0,0
2015-05-01,43.44,44.38,43.44,44.37,40.92,11942000,0.0,0
2015-05-04,44.55,44.85,44.24,44.59,41.12,9168200,0.0,0
2015-05-05,44.47,44.62,43.89,43.92,40.5,11410200,0.0,0
2015-05-06,44.2,44.24,43.0,43.26,39.89,12732100,0.0,0
2015-05-07,43.17,43.66,43.02,43.48,40.1,8787100,0.0,0
2015-05-08,43.83,44.24,43.69,44.01,40.59,9582900,0.0,0
2015-05-11,43.97,44.2,43.6,43.84,40.43,7429400,0.0,0
2015-05-12,43.65,43.69,43.28,43.57,40.18,8515100,0.0,0
2015-05-13,43.76,44.07,43.62,43.79,40.38,7451200,0.0,0
2015-05-14,44.11,44.4,44.0,44.38,40.93,7293000,0.0,0
2015-05-15,44.41,44.44,43.94,44.15,40.71,9369500,0.0,0
2015-05-18,43.94,44.41,43.88,44.24,40.8,6070900,0.0,0
2015-05-19,44.42,44.46,44.16,44.32,40.87,8640000,0.0,0
2015-05-20,44.22,44.6,44.09,44.29,40.84,9055700,0.0,0
2015-05-21,44.22,44.45,43.95,44.28,40.83,8036400,0.0,0
2015-05-22,44.2,44.27,43.88,43.93,40.51,7484300,0.0,0
2015-05-26,43.74,43.83,43.15,43.33,39.96,10440400,0.0,0
2015-05-27,43.54,44.25,43.41,44.14,40.71,11096800,0.0,0
2015-05-28,44.08,44.25,43.64,43.86,40.45,7273200,0.0,0
2015-05-29,43.79,43.84,43.36,43.49,40.11,10358700,0.0,0
2015-06-01,43.84,44.06,43.64,43.79,40.38,9764300,0.0,0
2015-06-02,43.51,44.01,43.14,43.7,40.3,8275900,0.0,0
2015-06-03,43.74,44.09,43.59,43.97,40.55,9220900,0.0,0
2015-06-04,43.74,44.11,43.51,43.77,40.36,13783100,0.0,0
2015-06-05,43.83,44.02,43.49,43.81,40.4,12850700,0.0,0
2015-06-08,43.81,43.89,43.08,43.1,39.75,9112200,0.0,0
2015-06-09,43.35,43.37,42.82,43.07,39.72,7634200,0.0,0
2015-06-10,43.28,44.05,43.06,43.94,40.52,15518400,0.0,0
2015-06-11,44.17,44.42,44.03,44.28,40.83,12519300,0.0,0
2015-06-12,43.98,44.39,43.9,44.34,40.89,11742300,0.0,0
2015-06-15,43.9,43.99,43.41,43.72,40.32,16727800,0.0,0
2015-06-16,43.91,44.88,43.76,44.64,41.17,18271600,0.0,0
2015-06-17,44.86,45.24,44.37,44.91,41.42,27080800,0.0,0
2015-06-18,41.91,42.98,40.97,42.74,39.41,79138400,0.0,0
2015-06-19,42.9,43.1,41.56,41.59,38.35,37430200,0.0,0
2015-06-22,41.8,41.96,41.45,41.49,38.26,22368300,0.0,0
2015-06-23,41.94,42.06,41.48,41.71,38.46,17394300,0.0,0
2015-06-24,41.54,41.77,41.2,41.2,37.99,17768200,0.0,0
2015-06-25,41.24,41.47,41.06,41.06,37.86,13587200,0.0,0
2015-06-26,41.1,41.37,40.97,40.99,37.8,39687300,0.0,0
2015-06-29,40.63,40.9,40.38,40.42,37.27,18195500,0.0,0
2015-06-30,40.6,40.75,40.11,40.3,37.16,16691500,0.0,0
2015-07-01,40.61,40.7,39.93,40.24,37.11,13948600,0.0,0
2015-07-02,40.38,40.42,40.15,40.36,37.22,11644100,0.0,0
2015-07-06,39.93,40.29,39.77,40.15,37.16,12434100,0.15,0
2015-07-07,40.04,40.27,39.84,40.16,37.17,16437100,0.0,0
2015-07-08,39.9,40.24,39.7,39.77,36.81,14598700,0.0,0
2015-07-09,40.24,40.48,40.15,40.18,37.19,13348300,0.0,0
2015-07-10,40.56,40.65,40.21,40.36,37.36,10470900,0.0,0
2015-07-13,40.52,40.86,40.38,40.8,37.77,10717000,0.0,0
2015-07-14,40.81,40.9,40.58,40.78,37.75,9298800,0.0,0
2015-07-15,40.63,40.92,40.63,40.79,37.76,9326700,0.0,0
2015-07-16,41.02,41.02,40.56,40.96,37.91,14861000,0.0,0
2015-07-17,40.75,40.86,40.16,40.4,37.4,14574400,0.0,0
2015-07-20,40.36,40.39,39.87,39.93,36.96,17488100,0.0,0
2015-07-21,39.76,39.99,39.39,39.57,36.63,14679100,0.0,0
2015-07-22,39.36,39.67,39.25,39.42,36.49,16797000,0.0,0
2015-07-23,39.55,39.6,38.96,39.0,36.1,18083800,0.0,0
2015-07-24,39.1,39.17,38.8,39.0,36.1,12030300,0.0,0
2015-07-27,38.72,38.82,38.47,38.51,35.65,15756800,0.0,0
2015-07-28,38.79,39.37,38.44,39.28,36.36,14289200,0.0,0
2015-07-29,39.37,39.87,39.26,39.79,36.83,13016400,0.0,0
2015-07-30,40.03,40.1,39.55,39.65,36.7,13634200,0.0,0
2015-07-31,39.76,40.12,39.7,39.94,36.97,13706100,0.0,0
2015-08-03,39.95,40.01,39.46,39.71,36.76,12444500,0.0,0
2015-08-04,39.59,40.0,39.53,39.66,36.71,9697300,0.0,0
