Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,49.34,49.38,48.9,49.28,42.01,1673200,0.0,0
2015-04-28,49.14,49.33,48.78,49.27,42.0,1302100,0.0,0
2015-04-29,48.98,49.12,48.63,48.84,41.63,1376300,0.0,0
2015-04-30,48.66,48.95,48.19,48.39,41.25,1728500,0.0,0
2015-05-01,48.51,48.99,48.43,48.85,41.64,1837200,0.0,0
2015-05-04,48.95,49.54,48.87,49.39,42.1,3355100,0.0,0
2015-05-05,49.35,49.35,48.66,49.09,41.85,2230100,0.0,0
2015-05-06,49.08,49.32,48.62,49.0,41.77,2037500,0.0,0
2015-05-07,48.6,49.04,48.44,48.8,41.93,1580500,0.38,0
2015-05-08,49.15,49.56,49.03,49.13,42.21,1454100,0.0,0
2015-05-11,49.0,49.36,48.91,49.07,42.16,1605500,0.0,0
2015-05-12,48.95,49.29,48.54,49.01,42.11,1823400,0.0,0
2015-05-13,49.15,49.46,48.88,48.97,42.07,1114800,0.0,0
2015-05-14,49.26,49.96,49.23,49.93,42.9,1550600,0.0,0
2015-05-15,50.09,50.19,49.61,49.79,42.78,1235200,0.0,0
2015-05-18,49.66,50.26,49.66,50.12,43.06,1620100,0.0,0
2015-05-19,50.12,50.42,49.87,50.33,43.24,1119100,0.0,0
2015-05-20,50.37,50.68,50.15,50.28,43.2,1167000,0.0,0
2015-05-21,50.35,50.4,50.12,50.26,43.18,1010700,0.0,0
2015-05-22,50.25,50.38,49.84,49.86,42.84,1351600,0.0,0
2015-05-26,49.71,49.85,49.04,49.31,42.36,1402600,0.0,0
2015-05-27,49.22,49.85,49.21,49.72,42.72,1317600,0.0,0
2015-05-28,49.66,49.79,49.41,49.58,42.6,1121900,0.0,0
2015-05-29,49.41,49.58,49.04,49.41,42.45,2042600,0.0,0
2015-06-01,49.58,49.79,49.09,49.41,42.45,1258900,0.0,0
2015-06-02,49.21,49.47,48.8,49.16,42.23,3412100,0.0,0
2015-06-03,49.19,49.32,48.85,49.0,42.1,2851900,0.0,0
2015-06-04,48.98,49.14,48.19,48.19,41.4,2149600,0.0,0
2015-06-05,48.17,48.61,48.04,48.43,41.61,2454400,0.0,0
2015-06-08,48.31,48.5,48.02,48.06,41.29,1206600,0.0,0
2015-06-09,48.08,48.09,47.65,47.69,40.97,1965500,0.0,0
2015-06-10,47.87,48.36,47.79,48.1,41.32,1816800,0.0,0
2015-06-11,48.09,48.43,47.79,48.25,41.45,2313700,0.0,0
2015-06-12,47.94,48.25,47.89,48.0,41.24,1587200,0.0,0
2015-06-15,47.74,47.79,47.18,47.49,40.8,1701100,0.0,0
2015-06-16,47.27,47.89,47.14,47.71,40.99,1062200,0.0,0
2015-06-17,47.9,48.03,47.61,47.8,41.07,996600,0.0,0
2015-06-18,47.89,48.41,47.89,48.24,41.44,1802400,0.0,0
2015-06-19,48.25,48.36,48.0,48.1,41.32,2446000,0.0,0
2015-06-22,48.35,49.06,48.31,48.79,41.92,1814100,0.0,0
2015-06-23,48.83,48.87,48.6,48.8,41.93,1240800,0.0,0
2015-06-24,48.64,48.75,48.08,48.15,41.37,1346600,0.0,0
2015-06-25,48.19,48.41,48.03,48.23,41.44,1744000,0.0,0
2015-06-26,48.34,48.51,47.79,47.99,41.23,1675200,0.0,0
2015-06-29,47.55,47.76,46.75,46.8,40.21,2111300,0.0,0
2015-06-30,47.1,47.47,46.52,46.88,40.28,3013300,0.0,0
2015-07-01,46.0,47.83,44.38,47.31,40.65,4253200,0.0,0
2015-07-02,47.8,48.19,47.28,47.65,40.94,3003500,0.0,0
2015-07-06,47.49,48.25,47.39,48.17,41.38,3088400,0.0,0
