Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,15.2,15.24,15.03,15.08,12.28,2412900,0.0,0
2015-04-28,15.09,15.33,15.09,15.33,12.48,3228000,0.0,0
2015-04-29,15.13,15.27,15.1,15.18,12.49,2938200,0.168,0
2015-04-30,15.12,15.33,15.05,15.11,12.44,5721900,0.0,0
2015-05-01,15.22,15.27,14.95,14.99,12.34,2829500,0.0,0
2015-05-04,14.98,15.17,14.97,15.16,12.48,1816500,0.0,0
2015-05-05,15.12,15.24,15.04,15.07,12.4,3131000,0.0,0
2015-05-06,15.13,15.24,14.97,15.24,12.54,4935200,0.0,0
2015-05-07,15.2,15.28,15.08,15.17,12.49,4472600,0.0,0
2015-05-08,15.24,15.35,15.15,15.33,12.62,3600800,0.0,0
2015-05-11,15.28,15.36,15.19,15.33,12.62,3382900,0.0,0
2015-05-12,15.32,15.41,15.17,15.31,12.6,3463100,0.0,0
2015-05-13,15.33,15.43,15.23,15.37,12.65,3957100,0.0,0
2015-05-14,15.4,15.43,15.31,15.41,12.68,2132300,0.0,0
2015-05-15,15.44,15.44,15.23,15.24,12.54,2734600,0.0,0
2015-05-18,15.2,15.42,15.17,15.38,12.66,3292500,0.0,0
2015-05-19,15.44,15.57,15.38,15.57,12.81,3151100,0.0,0
2015-05-20,15.57,15.57,15.4,15.53,12.78,2825200,0.0,0
2015-05-21,15.46,15.53,15.39,15.45,12.72,2092500,0.0,0
2015-05-22,15.45,15.52,15.41,15.42,12.69,1574800,0.0,0
2015-05-26,15.43,15.44,15.26,15.35,12.63,2042600,0.0,0
2015-05-27,15.39,15.54,15.32,15.51,12.76,1906000,0.0,0
2015-05-28,15.47,15.57,15.42,15.56,12.81,2140800,0.0,0
2015-05-29,15.59,15.62,15.42,15.56,12.81,3996200,0.0,0
2015-06-01,15.6,15.65,15.42,15.53,12.78,3184900,0.0,0
2015-06-02,15.5,15.62,15.45,15.56,12.81,2522000,0.0,0
2015-06-03,15.62,15.83,15.61,15.78,12.99,2723700,0.0,0
2015-06-04,15.73,15.82,15.63,15.7,12.92,2478400,0.0,0
2015-06-05,15.73,15.9,15.64,15.89,13.08,3855200,0.0,0
2015-06-08,15.88,15.99,15.84,15.87,13.06,2722100,0.0,0
2015-06-09,15.87,16.04,15.82,15.93,13.11,2298100,0.0,0
2015-06-10,16.0,16.13,15.94,16.07,13.23,2963900,0.0,0
2015-06-11,16.11,16.13,16.01,16.07,13.23,2092900,0.0,0
2015-06-12,16.02,16.08,15.96,16.04,13.2,1524700,0.0,0
2015-06-15,16.0,16.11,15.9,16.03,13.19,2450200,0.0,0
2015-06-16,16.07,16.15,16.0,16.13,13.28,2901200,0.0,0
2015-06-17,16.19,16.2,15.93,15.97,13.14,2617800,0.0,0
2015-06-18,16.03,16.16,15.97,16.13,13.28,2350200,0.0,0
2015-06-19,16.09,16.17,16.05,16.09,13.24,5245500,0.0,0
2015-06-22,16.16,16.32,16.11,16.29,13.41,2716700,0.0,0
2015-06-23,16.34,16.45,16.3,16.41,13.51,2481900,0.0,0
2015-06-24,16.35,16.43,16.25,16.26,13.38,2472100,0.0,0
2015-06-25,16.29,16.41,16.25,16.39,13.49,2892900,0.0,0
2015-06-26,16.4,16.64,16.38,16.59,13.65,4675500,0.0,0
2015-06-29,16.43,16.61,16.25,16.27,13.39,3179800,0.0,0
2015-06-30,16.4,16.47,16.21,16.21,13.34,3981700,0.0,0
2015-07-01,16.38,16.52,16.27,16.42,13.51,7046300,0.0,0
2015-07-02,16.84,16.95,16.19,16.26,13.38,3078900,0.0,0
2015-07-06,16.19,16.24,16.09,16.16,13.3,3785400,0.0,0
2015-07-07,16.28,16.28,15.85,16.04,13.2,4442600,0.0,0
2015-07-08,15.92,16.0,15.8,15.92,13.1,4589600,0.0,0
2015-07-09,16.08,16.15,15.96,16.05,13.21,2704400,0.0,0
2015-07-10,16.24,16.29,16.1,16.15,13.29,3675500,0.0,0
2015-07-13,16.22,16.32,16.2,16.24,13.37,2877200,0.0,0
2015-07-14,16.2,16.34,16.12,16.21,13.34,4128900,0.0,0
2015-07-15,16.2,16.39,16.16,16.36,13.46,3784000,0.0,0
2015-07-16,16.41,16.47,16.34,16.39,13.49,3763200,0.0,0
2015-07-17,16.19,16.41,15.96,16.18,13.32,6733900,0.0,0
2015-07-20,16.17,16.41,16.01,16.33,13.44,3478600,0.0,0
2015-07-21,16.36,16.46,16.17,16.19,13.32,3133100,0.0,0
2015-07-22,16.21,16.44,16.17,16.4,13.5,2716800,0.0,0
2015-07-23,16.35,16.47,16.2,16.24,13.37,2545500,0.0,0
2015-07-24,16.19,16.25,16.09,16.15,13.29,5553100,0.0,0
2015-07-27,16.11,16.28,16.03,16.16,13.3,6117800,0.0,0
2015-07-28,16.14,16.2,15.86,16.14,13.28,5273200,0.0,0
2015-07-29,15.7,16.11,15.64,16.04,13.34,6227300,0.168,0
2015-07-30,15.95,16.15,15.95,16.14,13.42,3484400,0.0,0
2015-07-31,16.17,16.29,16.03,16.27,13.53,8076600,0.0,0
2015-08-03,16.23,16.32,16.05,16.23,13.5,3505500,0.0,0
2015-08-04,16.22,16.4,16.09,16.31,13.56,3203300,0.0,0
2015-08-05,16.35,16.51,16.27,16.35,13.6,2883900,0.0,0
2015-08-06,16.36,16.42,16.25,16.4,13.64,2989600,0.0,0
2015-08-07,16.42,16.44,16.26,16.34,13.59,3800000,0.0,0
2015-08-10,16.47,16.53,16.41,16.52,13.74,3292000,0.0,0
2015-08-11,16.48,16.48,16.25,16.35,13.6,2837000,0.0,0
2015-08-12,16.26,16.26,15.91,16.12,13.41,3798000,0.0,0
2015-08-13,16.1,16.28,16.09,16.25,13.51,2158600,0.0,0
2015-08-14,16.26,16.5,16.24,16.47,13.7,2579500,0.0,0
2015-08-17,16.08,16.6,15.64,16.5,13.72,3452900,0.0,0
2015-08-18,16.53,16.65,16.42,16.57,13.78,4382900,0.0,0
2015-08-19,16.56,16.64,16.37,16.38,13.62,3893600,0.0,0
2015-08-20,16.24,16.28,16.0,16.01,13.32,3495100,0.0,0
2015-08-21,15.89,16.0,15.77,15.77,13.12,4425200,0.0,0
2015-08-24,15.17,15.46,14.84,14.94,12.43,10025500,0.0,0
2015-08-25,15.29,15.3,14.69,14.7,12.23,7750200,0.0,0
2015-08-26,14.89,15.11,14.77,15.08,12.54,5888000,0.0,0
2015-08-27,15.24,15.49,15.16,15.42,12.82,4766900,0.0,0
2015-08-28,15.42,15.58,15.35,15.47,12.87,3373700,0.0,0
2015-08-31,15.35,15.56,15.33,15.5,12.89,2554700,0.0,0
2015-09-01,15.25,15.3,14.83,14.9,12.39,3991200,0.0,0
2015-09-02,15.14,15.14,14.87,15.09,12.55,4003600,0.0,0
2015-09-03,15.13,15.29,15.08,15.21,12.65,2174200,0.0,0
2015-09-04,15.03,15.15,14.96,15.07,12.53,2287400,0.0,0
2015-09-08,15.3,15.52,15.21,15.48,12.87,2525400,0.0,0
2015-09-09,15.62,15.65,15.39,15.41,12.82,2810400,0.0,0
2015-09-10,15.38,15.67,15.36,15.54,12.92,3138900,0.0,0
2015-09-11,15.47,15.52,15.39,15.49,12.88,2868700,0.0,0
2015-09-14,15.42,15.54,15.35,15.5,12.89,3024400,0.0,0
2015-09-15,15.55,15.77,15.44,15.7,13.06,2050100,0.0,0
2015-09-16,15.75,15.85,15.62,15.79,13.13,2516200,0.0,0
2015-09-17,15.75,15.91,15.41,15.48,12.87,3736000,0.0,0
2015-09-18,15.3,15.45,15.13,15.22,12.66,6816500,0.0,0
2015-09-21,15.33,15.56,15.33,15.48,12.87,2915500,0.0,0
2015-09-22,15.25,15.52,15.24,15.36,12.77,3223800,0.0,0
2015-09-23,15.43,15.59,15.36,15.46,12.86,2375500,0.0,0
2015-09-24,15.33,15.55,15.27,15.55,12.93,3983200,0.0,0
2015-09-25,15.72,15.8,15.61,15.68,13.04,3012500,0.0,0
2015-09-28,15.61,15.77,15.42,15.46,12.86,3289700,0.0,0
2015-09-29,15.53,15.58,15.43,15.53,12.92,4520800,0.0,0
2015-09-30,15.63,15.73,15.55,15.73,13.08,3409700,0.0,0
