Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,66.59,66.87,66.21,66.49,54.32,2181100,0.0,0
2015-04-28,66.16,66.94,66.01,66.9,54.65,1716500,0.0,0
2015-04-29,66.91,67.0,65.95,66.26,54.13,1363800,0.0,0
2015-04-30,65.79,66.21,64.97,65.35,53.39,1962900,0.0,0
2015-05-01,65.4,65.81,65.23,65.57,53.57,1814500,0.0,0
2015-05-04,65.8,66.47,65.8,66.06,53.97,1465300,0.0,0
2015-05-05,65.73,66.09,65.02,65.13,53.21,1641400,0.0,0
2015-05-06,65.45,65.46,64.38,64.82,52.95,1348600,0.0,0
2015-05-07,64.82,65.85,64.31,65.69,53.66,1820800,0.0,0
2015-05-08,66.25,66.69,66.01,66.49,54.32,1789400,0.0,0
2015-05-11,66.33,67.02,66.15,66.75,54.53,1571800,0.0,0
2015-05-12,66.44,66.56,65.7,66.1,54.0,1089200,0.0,0
2015-05-13,66.08,66.74,65.94,66.57,54.38,1306000,0.0,0
2015-05-14,67.03,67.17,66.61,66.82,54.59,1456800,0.0,0
2015-05-15,66.92,66.95,65.9,66.45,54.46,1210300,0.22,0
2015-05-18,66.12,66.64,65.36,65.77,53.91,1597300,0.0,0
2015-05-19,65.76,65.98,65.07,65.54,53.72,1026800,0.0,0
2015-05-20,65.46,65.7,65.09,65.39,53.59,770900,0.0,0
2015-05-21,65.26,65.68,65.09,65.54,53.72,801400,0.0,0
2015-05-22,65.47,65.99,65.4,65.77,53.91,1225000,0.0,0
2015-05-26,65.72,65.75,64.8,65.41,53.61,2098800,0.0,0
2015-05-27,65.63,66.74,65.43,66.2,54.26,1536100,0.0,0
2015-05-28,66.17,66.2,64.96,65.17,53.41,1135300,0.0,0
2015-05-29,64.91,65.19,63.42,63.56,52.09,2383000,0.0,0
2015-06-01,64.23,64.57,63.19,64.06,52.5,1498800,0.0,0
2015-06-02,64.0,64.86,63.76,64.59,52.94,1748000,0.0,0
2015-06-03,64.72,65.07,64.29,64.49,52.86,1128800,0.0,0
2015-06-04,64.07,64.34,63.59,63.82,52.31,1018900,0.0,0
2015-06-05,63.68,63.9,63.16,63.53,52.07,1007300,0.0,0
2015-06-08,63.48,63.72,63.35,63.35,51.92,912200,0.0,0
2015-06-09,63.41,64.38,63.38,63.76,52.26,1118600,0.0,0
2015-06-10,64.0,65.25,64.0,65.04,53.31,1547900,0.0,0
2015-06-11,65.09,65.55,65.01,65.47,53.66,1315500,0.0,0
2015-06-12,65.17,65.44,64.9,65.01,53.28,1052800,0.0,0
2015-06-15,64.56,64.71,63.86,64.3,52.7,940300,0.0,0
2015-06-16,64.07,64.31,63.41,64.05,52.5,1165100,0.0,0
2015-06-17,64.24,64.28,63.25,63.9,52.37,1324500,0.0,0
2015-06-18,63.99,65.19,63.99,64.85,53.15,1545800,0.0,0
2015-06-19,64.83,65.0,64.38,64.75,53.07,2554200,0.0,0
2015-06-22,65.09,65.43,64.87,65.16,53.41,1298800,0.0,0
2015-06-23,65.15,65.32,64.75,65.06,53.32,1329200,0.0,0
2015-06-24,65.04,65.17,64.83,64.9,53.19,1246000,0.0,0
