Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.5,42.55,41.31,41.6,34.75,2608100,0.0,0
2015-04-28,41.49,42.05,41.22,42.04,35.11,2022900,0.0,0
2015-04-29,41.84,42.01,41.46,41.82,34.93,1973900,0.0,0
2015-04-30,41.68,41.77,41.02,41.54,34.7,4176000,0.0,0
2015-05-01,41.34,41.99,41.1,41.96,35.05,2736000,0.0,0
2015-05-04,42.02,42.93,41.94,42.69,35.66,3347600,0.0,0
2015-05-05,42.51,42.56,41.54,41.56,34.71,4280300,0.0,0
2015-05-06,41.73,41.87,41.23,41.74,34.86,3426000,0.0,0
2015-05-07,41.93,42.37,41.76,41.96,35.05,2903000,0.0,0
2015-05-08,42.45,42.68,41.84,42.06,35.13,3851600,0.0,0
2015-05-11,42.0,42.48,41.91,42.05,35.12,3863100,0.0,0
2015-05-12,41.82,41.97,41.47,41.89,34.99,2733900,0.0,0
2015-05-13,42.0,42.2,41.45,41.68,34.81,2726200,0.0,0
2015-05-14,41.95,42.31,41.85,42.28,35.31,3172300,0.0,0
2015-05-15,42.46,42.83,42.27,42.54,35.53,3518800,0.0,0
2015-05-18,42.34,42.68,42.23,42.63,35.61,2422300,0.0,0
2015-05-19,42.41,43.09,42.24,43.03,35.94,3019900,0.0,0
2015-05-20,43.05,43.52,42.83,43.33,36.19,3496000,0.0,0
2015-05-21,43.32,43.78,43.15,43.76,36.55,3020900,0.0,0
2015-05-22,43.62,43.97,43.39,43.86,36.63,3076600,0.0,0
2015-05-26,43.74,43.74,42.99,43.12,36.02,2896200,0.0,0
2015-05-27,43.3,43.39,43.05,43.25,36.12,3912700,0.0,0
2015-05-28,43.16,43.38,42.82,43.05,35.96,3190400,0.0,0
2015-05-29,43.06,43.14,42.51,42.63,35.61,5333000,0.0,0
2015-06-01,42.77,43.21,42.53,42.91,35.84,2780800,0.0,0
2015-06-02,42.66,42.75,42.04,42.29,35.32,2812300,0.0,0
2015-06-03,42.28,42.36,41.05,41.34,34.53,3373600,0.0,0
2015-06-04,41.2,41.5,40.82,40.91,34.17,2952600,0.0,0
2015-06-05,40.37,40.47,40.07,40.41,34.08,4170800,0.39,0
2015-06-08,40.32,40.47,40.14,40.14,33.85,3397100,0.0,0
2015-06-09,40.1,40.39,40.02,40.14,33.85,2624500,0.0,0
2015-06-10,40.37,40.73,40.22,40.24,33.93,3471800,0.0,0
2015-06-11,40.45,40.64,40.17,40.4,34.07,3673100,0.0,0
2015-06-12,40.18,40.34,39.67,39.7,33.48,1877900,0.0,0
2015-06-15,39.68,40.22,39.51,40.01,33.74,2691300,0.0,0
2015-06-16,39.88,40.22,39.61,40.19,33.89,1933200,0.0,0
2015-06-17,40.33,40.52,40.01,40.49,34.14,2746600,0.0,0
2015-06-18,40.44,41.29,40.42,41.18,34.73,3438100,0.0,0
2015-06-19,41.13,41.42,40.98,40.99,34.57,3640500,0.0,0
2015-06-22,41.1,41.2,40.62,40.72,34.34,2506500,0.0,0
2015-06-23,40.95,41.05,40.1,40.17,33.87,2207600,0.0,0
2015-06-24,40.18,40.31,39.61,39.61,33.4,3326800,0.0,0
2015-06-25,39.81,39.97,39.03,39.14,33.01,3999300,0.0,0
2015-06-26,39.1,39.62,38.93,39.59,33.39,4075200,0.0,0
2015-06-29,39.49,40.2,39.19,39.22,33.07,4046800,0.0,0
2015-06-30,39.49,39.5,39.11,39.28,33.12,3943600,0.0,0
2015-07-01,39.34,39.53,39.2,39.45,33.27,2580100,0.0,0
2015-07-02,39.7,40.2,39.7,39.94,33.68,2732300,0.0,0
2015-07-06,39.78,40.38,39.72,40.33,34.01,2647200,0.0,0
2015-07-07,40.58,41.78,40.52,41.64,35.11,3834800,0.0,0
2015-07-08,41.52,41.82,41.25,41.38,34.89,4249300,0.0,0
2015-07-09,41.5,41.82,40.99,41.2,34.74,3297800,0.0,0
2015-07-10,41.18,41.64,41.0,41.26,34.79,3190000,0.0,0
2015-07-13,41.44,41.44,40.66,40.98,34.56,1955300,0.0,0
2015-07-14,40.97,41.34,40.75,40.88,34.47,2457000,0.0,0
2015-07-15,40.89,41.05,40.64,41.05,34.62,2335700,0.0,0
2015-07-16,41.08,41.92,41.05,41.89,35.32,1813100,0.0,0
2015-07-17,41.9,41.9,41.3,41.41,34.92,2521100,0.0,0
2015-07-20,41.38,41.47,41.09,41.34,34.86,2926000,0.0,0
2015-07-21,41.23,41.32,40.29,40.49,34.14,2835100,0.0,0
2015-07-22,40.59,41.01,40.5,40.76,34.37,3166600,0.0,0
2015-07-23,40.73,40.73,39.41,39.76,33.53,3137500,0.0,0
2015-07-24,39.8,39.94,39.65,39.78,33.55,2228200,0.0,0
2015-07-27,39.79,40.37,39.78,40.19,33.89,2535500,0.0,0
2015-07-28,40.19,40.45,39.98,40.3,33.98,3304800,0.0,0
2015-07-29,40.21,40.72,39.95,40.68,34.3,3357000,0.0,0
2015-07-30,40.47,41.31,40.39,41.26,34.79,3429300,0.0,0
2015-07-31,41.43,42.12,41.04,41.67,35.14,4065700,0.0,0
2015-08-03,41.83,41.97,41.4,41.63,35.11,2616700,0.0,0
2015-08-04,41.51,41.51,40.57,40.64,34.27,2449800,0.0,0
2015-08-05,40.87,41.29,40.75,41.19,34.73,3598400,0.0,0
2015-08-06,41.15,41.65,40.72,41.6,35.08,3792400,0.0,0
2015-08-07,41.52,42.51,41.28,42.44,35.79,3227200,0.0,0
2015-08-10,42.39,42.49,41.73,41.92,35.35,2802300,0.0,0
2015-08-11,41.91,42.79,41.86,42.47,35.81,3947800,0.0,0
2015-08-12,42.35,43.1,42.25,42.5,35.84,5337600,0.0,0
2015-08-13,42.3,42.53,41.8,42.31,35.68,4100100,0.0,0
2015-08-14,42.27,42.94,42.15,42.91,36.18,2044600,0.0,0
2015-08-17,42.85,43.35,42.77,43.15,36.39,2531200,0.0,0
2015-08-18,43.0,43.07,42.7,43.03,36.29,2151500,0.0,0
2015-08-19,42.87,43.67,42.61,43.48,36.67,2368800,0.0,0
2015-08-20,43.16,43.91,42.9,43.2,36.43,3199600,0.0,0
2015-08-21,42.96,43.18,42.02,42.04,35.45,4782700,0.0,0
2015-08-24,41.0,41.54,40.38,40.65,34.28,6306700,0.0,0
2015-08-25,41.42,41.9,39.7,39.89,33.64,6200900,0.0,0
2015-08-26,40.24,40.44,39.57,40.27,33.96,4789300,0.0,0
2015-08-27,40.51,40.95,40.23,40.94,34.52,2767400,0.0,0
2015-08-28,40.81,40.88,39.74,40.52,34.17,3941100,0.0,0
2015-08-31,40.36,40.49,39.64,40.25,33.94,4389100,0.0,0
2015-09-01,39.73,39.94,38.66,38.98,32.87,5049800,0.0,0
2015-09-02,39.32,39.42,38.6,38.95,32.85,4058200,0.0,0
2015-09-03,39.16,39.58,39.0,39.36,33.19,2743600,0.0,0
2015-09-04,38.64,38.82,38.16,38.36,32.67,2545000,0.39,0
2015-09-08,38.87,39.19,38.62,39.1,33.3,2799600,0.0,0
2015-09-09,39.42,39.42,38.56,38.64,32.91,2847900,0.0,0
2015-09-10,38.64,39.28,38.58,38.88,33.11,2914100,0.0,0
2015-09-11,38.7,39.33,38.57,39.32,33.49,3014400,0.0,0
2015-09-14,39.32,39.71,39.16,39.3,33.47,1871500,0.0,0
2015-09-15,39.36,39.63,39.06,39.59,33.72,2438500,0.0,0
2015-09-16,39.57,40.3,39.45,40.15,34.2,2211200,0.0,0
2015-09-17,40.12,41.16,39.81,40.6,34.58,2867200,0.0,0
2015-09-18,40.6,40.88,40.26,40.34,34.36,4978700,0.0,0
2015-09-21,40.59,40.85,40.33,40.61,34.59,4031800,0.0,0
2015-09-22,40.45,40.74,39.54,39.67,33.79,5109900,0.0,0
2015-09-23,39.73,40.15,39.51,39.94,34.02,3038700,0.0,0
2015-09-24,39.77,40.28,39.68,40.15,34.2,4995500,0.0,0
2015-09-25,40.39,41.38,40.08,40.89,34.83,4223400,0.0,0
2015-09-28,40.81,41.05,40.31,40.59,34.57,4409800,0.0,0
2015-09-29,40.58,41.14,40.56,40.91,34.84,3642800,0.0,0
2015-09-30,41.12,42.18,40.98,42.16,35.91,4322000,0.0,0
2015-10-01,42.16,42.29,41.13,41.34,35.21,3751700,0.0,0
2015-10-02,41.62,42.35,41.31,42.35,36.07,3113900,0.0,0
2015-10-05,42.49,42.84,42.27,42.73,36.39,2713200,0.0,0
2015-10-06,42.68,42.94,42.18,42.88,36.52,3332100,0.0,0
2015-10-07,42.92,43.0,42.23,42.33,36.05,3425100,0.0,0
2015-10-08,42.2,42.95,42.03,42.9,36.54,3222000,0.0,0
2015-10-09,42.9,43.0,42.13,42.3,36.03,2434500,0.0,0
2015-10-12,42.39,42.86,42.36,42.7,36.37,1977000,0.0,0
2015-10-13,42.7,42.98,42.41,42.53,36.22,2422300,0.0,0
2015-10-14,42.6,42.98,42.46,42.67,36.34,2139100,0.0,0
2015-10-15,42.7,43.42,42.55,43.34,36.91,2374800,0.0,0
2015-10-16,43.57,43.78,43.28,43.47,37.02,2250000,0.0,0
2015-10-19,43.46,43.94,43.2,43.89,37.38,3080000,0.0,0
2015-10-20,43.74,44.18,43.42,43.56,37.1,4403100,0.0,0
2015-10-21,43.73,44.09,43.11,43.18,36.78,2705900,0.0,0
2015-10-22,43.38,43.84,43.3,43.62,37.15,3987900,0.0,0
2015-10-23,43.47,43.61,42.55,42.66,36.33,3281300,0.0,0
2015-10-26,42.81,42.85,41.75,41.84,35.64,5431100,0.0,0
2015-10-27,41.84,42.05,41.57,41.78,35.58,2769000,0.0,0
2015-10-28,41.92,42.06,40.91,41.39,35.25,2282600,0.0,0
