Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,20.24,20.32,19.74,19.87,18.4,7623400,0.0,0
2015-04-28,19.84,19.99,19.56,19.94,18.47,5308900,0.0,0
2015-04-29,19.7,19.89,19.47,19.86,18.39,5837300,0.0,0
2015-04-30,19.76,19.77,19.27,19.3,17.88,7395700,0.0,0
2015-05-01,19.39,19.8,19.31,19.62,18.17,4854400,0.0,0
2015-05-04,19.69,19.83,19.37,19.49,18.05,3736600,0.0,0
2015-05-05,19.53,19.68,19.35,19.46,18.02,7734700,0.0,0
2015-05-06,19.5,19.63,19.24,19.41,17.98,4240700,0.0,0
2015-05-07,19.36,19.78,19.33,19.7,18.25,4832100,0.0,0
2015-05-08,19.92,20.2,19.73,19.79,18.33,4635000,0.0,0
2015-05-11,19.82,19.89,19.46,19.52,18.08,4176200,0.0,0
2015-05-12,19.4,19.66,19.2,19.53,18.09,5748400,0.0,0
2015-05-13,19.56,19.78,19.33,19.43,18.0,4013900,0.0,0
2015-05-14,19.5,19.68,19.43,19.58,18.13,3480400,0.0,0
2015-05-15,19.44,20.03,19.4,19.89,18.42,7860700,0.0,0
2015-05-18,19.91,20.05,19.77,19.9,18.43,6608800,0.0,0
2015-05-19,20.27,20.44,19.88,20.05,18.57,8652900,0.0,0
2015-05-20,20.16,20.24,19.75,20.12,18.63,5861500,0.0,0
2015-05-21,20.12,20.18,19.94,20.0,18.52,5628500,0.0,0
2015-05-22,19.96,19.99,19.64,19.76,18.3,6721300,0.0,0
2015-05-26,19.68,19.81,19.47,19.49,18.05,4292300,0.0,0
2015-05-27,19.5,19.56,19.17,19.38,17.95,5550800,0.0,0
2015-05-28,19.32,19.68,19.3,19.43,18.0,5144800,0.0,0
2015-05-29,19.37,19.54,19.18,19.18,17.76,4264900,0.0,0
2015-06-01,19.29,19.46,19.24,19.27,17.85,4345900,0.0,0
2015-06-02,19.23,19.44,19.11,19.21,17.79,5075500,0.0,0
2015-06-03,19.34,19.66,19.19,19.34,17.91,6843100,0.0,0
2015-06-04,19.2,19.33,18.9,19.04,17.63,7702700,0.0,0
2015-06-05,18.95,19.16,18.83,19.08,17.67,3266900,0.0,0
2015-06-08,19.02,19.08,18.85,18.89,17.5,3328000,0.0,0
2015-06-09,18.78,18.95,18.61,18.85,17.53,4478700,0.08,0
2015-06-10,18.91,19.19,18.89,19.1,17.77,3219800,0.0,0
2015-06-11,19.19,19.43,19.17,19.23,17.89,4377800,0.0,0
2015-06-12,19.09,19.29,19.09,19.27,17.92,3405600,0.0,0
2015-06-15,19.2,19.66,19.17,19.38,18.03,5326100,0.0,0
2015-06-16,19.33,19.42,19.2,19.38,18.03,4448300,0.0,0
2015-06-17,19.4,19.49,19.26,19.47,18.11,3858900,0.0,0
2015-06-18,19.5,19.71,19.47,19.56,18.19,3281700,0.0,0
2015-06-19,19.64,20.15,19.62,19.99,18.59,6968800,0.0,0
2015-06-22,20.07,20.33,20.07,20.25,18.83,5536800,0.0,0
2015-06-23,20.32,20.6,20.17,20.31,18.89,5973500,0.0,0
2015-06-24,20.75,21.01,20.5,20.54,19.1,6345900,0.0,0
2015-06-25,20.6,20.81,20.42,20.42,18.99,4084300,0.0,0
2015-06-26,20.49,20.52,20.26,20.48,19.05,4449700,0.0,0
2015-06-29,20.29,20.51,20.05,20.08,18.68,3826300,0.0,0
2015-06-30,20.2,20.39,20.09,20.15,18.74,4948900,0.0,0
