Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,51.79,52.27,51.32,51.54,50.41,1141300,0.0,0
2015-04-28,51.7,51.8,51.23,51.76,50.62,819200,0.0,0
2015-04-29,51.41,51.89,51.24,51.76,50.62,689300,0.0,0
2015-04-30,51.53,51.93,51.01,51.26,50.13,2052100,0.0,0
2015-05-01,51.46,53.52,51.2,52.55,51.39,2652400,0.0,0
2015-05-04,51.87,52.63,51.67,52.06,50.92,1299300,0.0,0
2015-05-05,51.68,51.7,51.08,51.21,50.08,1145400,0.0,0
2015-05-06,51.24,51.37,50.18,50.3,49.19,994900,0.0,0
2015-05-07,50.35,50.64,50.09,50.45,49.34,1154500,0.0,0
2015-05-08,51.01,51.24,50.64,50.75,49.63,915800,0.0,0
2015-05-11,50.68,51.35,50.64,51.12,50.0,826700,0.0,0
2015-05-12,51.0,51.08,50.24,51.0,49.88,837700,0.0,0
2015-05-13,51.19,51.56,51.12,51.27,50.14,604300,0.0,0
2015-05-14,51.44,51.94,51.44,51.78,50.64,841400,0.0,0
2015-05-15,51.8,52.23,51.8,52.16,51.01,1665500,0.0,0
2015-05-18,52.02,52.42,52.0,52.35,51.2,562800,0.0,0
2015-05-19,52.35,52.92,52.28,52.81,51.65,636900,0.0,0
2015-05-20,52.95,53.67,52.91,53.58,52.4,738400,0.0,0
2015-05-21,53.64,53.67,53.25,53.39,52.22,393600,0.0,0
2015-05-22,53.36,53.55,53.14,53.39,52.22,529100,0.0,0
2015-05-26,53.28,53.43,52.68,52.74,51.58,409100,0.0,0
2015-05-27,52.87,53.51,52.66,53.46,52.28,379500,0.0,0
2015-05-28,53.4,53.59,52.82,53.09,51.92,485700,0.0,0
2015-05-29,53.03,53.17,52.48,52.73,51.57,325200,0.0,0
2015-06-01,52.92,52.93,52.36,52.57,51.41,429500,0.0,0
2015-06-02,52.34,52.78,52.11,52.61,51.45,356000,0.0,0
2015-06-03,52.75,52.87,52.39,52.85,51.69,428300,0.0,0
2015-06-04,52.79,52.86,52.33,52.45,51.3,235400,0.0,0
2015-06-05,52.29,52.43,51.94,52.38,51.23,337700,0.0,0
2015-06-08,52.31,52.51,52.0,52.05,50.91,333200,0.0,0
2015-06-09,51.96,52.15,51.7,51.74,50.6,590900,0.0,0
2015-06-10,51.83,52.76,51.83,52.6,51.44,471800,0.0,0
2015-06-11,52.82,52.86,52.52,52.74,51.58,336300,0.0,0
2015-06-12,52.48,52.68,52.02,52.06,50.92,454800,0.0,0
2015-06-15,51.84,52.05,51.5,52.04,50.9,471100,0.0,0
2015-06-16,52.06,52.54,51.91,52.47,51.32,287600,0.0,0
2015-06-17,52.55,53.13,52.46,53.07,51.9,489500,0.0,0
2015-06-18,53.25,54.37,53.24,53.88,52.7,729500,0.0,0
2015-06-19,53.83,54.21,53.76,53.9,52.72,840200,0.0,0
2015-06-22,54.09,54.14,53.9,53.97,52.78,251400,0.0,0
2015-06-23,53.91,54.16,53.54,53.76,52.58,842000,0.0,0
2015-06-24,53.66,54.0,53.4,53.52,52.34,459400,0.0,0
2015-06-25,53.6,54.09,53.19,54.01,52.82,648600,0.0,0
2015-06-26,54.14,54.45,53.91,54.29,53.1,512300,0.0,0
2015-06-29,53.91,54.13,52.75,52.83,51.67,441600,0.0,0
2015-06-30,53.63,53.93,52.63,52.64,51.48,836400,0.0,0
2015-07-01,53.04,53.12,52.42,52.49,51.34,1039000,0.0,0
2015-07-02,52.66,52.84,52.08,52.24,51.09,786500,0.0,0
2015-07-06,51.93,52.36,51.75,52.21,51.06,1242400,0.0,0
2015-07-07,52.49,52.49,51.53,52.18,51.03,1044000,0.0,0
2015-07-08,51.87,51.93,50.9,50.99,49.87,620000,0.0,0
2015-07-09,51.56,51.77,51.0,51.02,49.9,628400,0.0,0
2015-07-10,51.59,51.71,51.29,51.53,50.4,633100,0.0,0
2015-07-13,51.88,52.22,51.68,52.03,50.89,735100,0.0,0
2015-07-14,52.14,53.35,51.87,53.0,51.83,1442500,0.0,0
2015-07-15,53.14,53.43,52.46,52.53,51.44,535300,0.07,0
2015-07-16,52.83,52.83,52.09,52.35,51.27,904100,0.0,0
2015-07-17,52.3,52.73,52.21,52.28,51.2,1007100,0.0,0
2015-07-20,52.35,52.65,52.18,52.25,51.17,1110800,0.0,0
2015-07-21,52.24,52.36,51.64,51.89,50.82,630600,0.0,0
2015-07-22,51.85,52.12,51.43,51.9,50.83,710600,0.0,0
2015-07-23,51.91,52.07,51.54,51.63,50.56,637400,0.0,0
2015-07-24,51.45,51.67,50.85,50.89,49.84,734700,0.0,0
2015-07-27,50.79,50.86,50.17,50.43,49.39,589400,0.0,0
2015-07-28,50.76,50.91,50.33,50.7,49.65,1528200,0.0,0
2015-07-29,50.75,51.08,50.59,50.75,49.7,955800,0.0,0
2015-07-30,50.56,51.54,50.2,51.42,50.36,1085900,0.0,0
2015-07-31,51.7,53.22,51.31,52.92,51.83,913900,0.0,0
2015-08-03,52.96,53.17,52.29,52.5,51.41,963600,0.0,0
2015-08-04,52.54,53.14,52.46,52.92,51.83,732300,0.0,0
2015-08-05,53.23,53.72,52.83,52.85,51.76,641200,0.0,0
2015-08-06,52.99,52.99,51.51,51.62,50.55,398500,0.0,0
2015-08-07,51.56,51.56,50.62,51.2,50.14,531900,0.0,0
2015-08-10,51.49,51.87,51.29,51.59,50.52,451000,0.0,0
2015-08-11,51.22,51.42,50.42,50.7,49.65,613500,0.0,0
2015-08-12,50.34,50.34,49.05,50.08,49.04,1034900,0.0,0
2015-08-13,50.35,50.65,49.98,50.33,49.29,788400,0.0,0
2015-08-14,50.53,50.64,50.14,50.52,49.47,593200,0.0,0
2015-08-17,50.38,50.49,50.12,50.33,49.29,866100,0.0,0
2015-08-18,50.3,50.78,50.22,50.54,49.49,444500,0.0,0
2015-08-19,50.26,50.26,49.62,49.81,48.78,525800,0.0,0
2015-08-20,49.52,49.63,49.08,49.14,48.12,841600,0.0,0
2015-08-21,48.86,48.92,47.7,47.71,46.72,1145600,0.0,0
2015-08-24,45.59,47.38,45.08,45.95,45.0,1289300,0.0,0
2015-08-25,47.16,47.21,45.97,46.02,45.07,1442600,0.0,0
2015-08-26,46.93,48.12,46.37,48.04,47.05,1169900,0.0,0
2015-08-27,48.25,49.52,48.23,49.44,48.42,900100,0.0,0
2015-08-28,49.23,49.56,48.83,49.48,48.46,694700,0.0,0
2015-08-31,49.21,49.37,48.41,48.68,47.67,1240800,0.0,0
2015-09-01,47.74,47.9,46.23,46.42,45.46,1372600,0.0,0
2015-09-02,47.0,47.56,46.57,47.56,46.58,666000,0.0,0
2015-09-03,47.62,48.42,47.59,47.95,46.96,843000,0.0,0
2015-09-04,47.25,47.75,47.05,47.35,46.37,636900,0.0,0
2015-09-08,48.24,48.25,47.59,48.23,47.23,543600,0.0,0
2015-09-09,48.52,48.65,47.22,47.35,46.37,448100,0.0,0
2015-09-10,47.09,47.73,47.04,47.45,46.47,667800,0.0,0
2015-09-11,47.29,47.99,47.08,47.94,46.95,330000,0.0,0
2015-09-14,47.94,48.02,47.38,47.76,46.77,392300,0.0,0
2015-09-15,47.92,48.58,47.63,48.41,47.41,440300,0.0,0
2015-09-16,48.45,48.92,48.2,48.63,47.62,482400,0.0,0
2015-09-17,48.63,49.67,48.6,49.03,48.02,482600,0.0,0
2015-09-18,48.52,48.64,47.28,47.37,46.39,1193400,0.0,0
2015-09-21,47.65,47.8,46.67,46.84,45.87,640100,0.0,0
2015-09-22,46.27,46.53,45.97,46.48,45.52,813900,0.0,0
2015-09-23,46.46,46.78,46.29,46.52,45.56,475300,0.0,0
2015-09-24,46.1,46.13,45.56,45.93,44.98,691000,0.0,0
2015-09-25,46.29,46.48,45.45,45.75,44.8,993000,0.0,0
2015-09-28,45.51,45.58,44.13,44.45,43.53,1114300,0.0,0
2015-09-29,44.45,45.48,44.37,45.29,44.35,1227400,0.0,0
2015-09-30,45.79,46.22,45.22,45.96,45.01,681700,0.0,0
2015-10-01,45.91,46.09,45.06,45.43,44.49,764900,0.0,0
2015-10-02,44.78,46.44,44.71,46.43,45.47,516100,0.0,0
2015-10-05,46.73,47.09,46.35,46.8,45.83,546400,0.0,0
2015-10-06,46.55,46.88,46.27,46.74,45.77,822700,0.0,0
2015-10-07,46.97,47.87,46.87,47.53,46.55,846000,0.0,0
2015-10-08,47.35,47.99,47.13,47.88,46.89,437000,0.0,0
2015-10-09,47.86,48.28,47.81,48.19,47.19,339400,0.0,0
2015-10-12,48.06,48.27,47.71,48.21,47.21,382400,0.0,0
2015-10-13,47.95,48.42,47.5,47.59,46.61,463200,0.0,0
2015-10-14,47.62,47.83,47.04,47.16,46.25,384300,0.07,0
2015-10-15,47.15,48.26,47.12,48.25,47.32,399700,0.0,0
2015-10-16,48.36,48.61,48.02,48.59,47.65,459300,0.0,0
2015-10-19,48.52,48.9,48.3,48.88,47.94,475900,0.0,0
2015-10-20,48.78,49.11,48.56,48.97,48.03,565500,0.0,0
2015-10-21,49.23,49.25,48.57,48.8,47.86,551500,0.0,0
2015-10-22,48.98,49.44,48.71,48.99,48.05,791000,0.0,0
2015-10-23,49.32,50.39,49.09,50.32,49.35,523600,0.0,0
2015-10-26,50.25,50.31,49.74,49.87,48.91,436000,0.0,0
2015-10-27,49.69,50.2,49.55,50.07,49.11,795200,0.0,0
2015-10-28,50.07,51.0,49.9,50.99,50.01,340500,0.0,0
2015-10-29,51.09,51.31,50.61,51.15,50.17,592000,0.0,0
2015-10-30,51.22,51.97,51.13,51.64,50.65,726800,0.0,0
2015-11-02,51.74,53.12,51.53,52.91,51.89,627500,0.0,0
2015-11-03,52.74,52.95,52.37,52.93,51.91,719400,0.0,0
2015-11-04,52.86,53.34,52.73,53.21,52.19,621100,0.0,0
2015-11-05,53.29,53.5,52.35,52.43,51.42,891400,0.0,0
2015-11-06,51.38,53.3,51.38,51.94,50.94,850000,0.0,0
2015-11-09,51.84,51.91,51.38,51.65,50.66,829100,0.0,0
2015-11-10,51.61,52.4,51.4,52.18,51.18,659400,0.0,0
2015-11-11,52.19,52.55,51.51,51.51,50.52,548100,0.0,0
2015-11-12,51.4,51.69,50.67,50.68,49.7,556400,0.0,0
2015-11-13,50.72,51.1,50.37,50.64,49.67,549400,0.0,0
2015-11-16,50.59,51.17,50.31,51.01,50.03,1359500,0.0,0
2015-11-17,51.04,51.63,50.78,51.57,50.58,1524500,0.0,0
2015-11-18,51.7,52.67,51.58,52.59,51.58,828400,0.0,0
2015-11-19,52.65,52.88,52.42,52.63,51.62,496900,0.0,0
2015-11-20,52.9,53.0,52.58,52.67,51.66,1678100,0.0,0
2015-11-23,52.72,53.1,52.6,52.83,51.81,373500,0.0,0
2015-11-24,52.31,52.75,52.01,52.54,51.53,535700,0.0,0
2015-11-25,52.71,53.29,52.37,53.16,52.14,391100,0.0,0
2015-11-27,53.22,53.76,53.07,53.58,52.55,212500,0.0,0
2015-11-30,53.5,53.73,53.14,53.16,52.14,684100,0.0,0
2015-12-01,53.46,53.69,53.01,53.66,52.63,509200,0.0,0
2015-12-02,53.52,53.66,52.49,52.56,51.55,471600,0.0,0
2015-12-03,51.41,51.91,50.58,50.89,49.91,756300,0.0,0
2015-12-04,51.05,52.29,51.05,52.25,51.24,606700,0.0,0
2015-12-07,52.03,52.22,51.19,51.41,50.42,579400,0.0,0
2015-12-08,49.67,51.01,49.4,50.69,49.71,1102800,0.0,0
2015-12-09,50.45,51.05,49.99,50.25,49.28,659000,0.0,0
2015-12-10,50.11,50.58,49.88,50.38,49.41,604700,0.0,0
2015-12-11,49.73,50.6,49.5,50.28,49.31,656600,0.0,0
2015-12-14,50.32,51.05,50.27,51.01,50.03,930200,0.0,0
2015-12-15,51.5,51.8,51.3,51.39,50.4,1022400,0.0,0
2015-12-16,51.75,52.8,51.6,52.62,51.61,850400,0.0,0
2015-12-17,52.65,52.82,51.93,51.94,50.94,568700,0.0,0
2015-12-18,51.69,51.69,50.7,50.87,49.89,2081400,0.0,0
2015-12-21,51.47,52.02,51.3,51.55,50.56,719000,0.0,0
2015-12-22,51.81,52.85,51.54,52.63,51.62,454900,0.0,0
2015-12-23,52.82,53.19,52.57,53.06,52.04,336800,0.0,0
2015-12-24,53.05,53.56,53.03,53.44,52.41,159400,0.0,0
2015-12-28,53.3,53.56,52.95,53.54,52.51,259900,0.0,0
2015-12-29,53.75,54.52,53.74,54.36,53.31,367000,0.0,0
2015-12-30,54.25,54.31,53.92,53.93,52.89,352900,0.0,0
2015-12-31,53.78,54.26,53.56,53.57,52.54,498900,0.0,0
2016-01-04,52.79,52.81,51.72,52.43,51.42,911500,0.0,0
2016-01-05,52.72,53.26,52.49,53.01,51.99,726200,0.0,0
2016-01-06,52.1,52.86,52.02,52.25,51.24,2087800,0.0,0
2016-01-07,51.0,51.41,49.85,50.06,49.1,847800,0.0,0
2016-01-08,50.27,50.75,49.27,49.32,48.37,866700,0.0,0
2016-01-11,49.55,49.76,47.25,47.75,46.83,1677300,0.0,0
2016-01-12,48.17,48.68,47.75,48.55,47.62,733400,0.0,0
2016-01-13,48.67,48.76,46.84,47.09,46.25,538600,0.07,0
2016-01-14,47.36,48.49,47.04,48.1,47.24,765800,0.0,0
2016-01-15,46.78,47.5,46.78,47.41,46.56,881100,0.0,0
2016-01-19,48.12,48.12,46.92,47.77,46.92,622800,0.0,0
2016-01-20,47.0,48.68,46.57,48.16,47.3,1034700,0.0,0
2016-01-21,48.21,48.24,47.27,47.52,46.67,638600,0.0,0
2016-01-22,48.12,49.15,47.75,49.13,48.25,717500,0.0,0
2016-01-25,48.85,49.13,48.24,48.39,47.53,464500,0.0,0
2016-01-26,48.51,48.97,47.8,48.93,48.06,613100,0.0,0
2016-01-27,48.85,49.65,48.22,48.61,47.74,872700,0.0,0
2016-01-28,48.59,48.59,46.6,46.97,46.13,1033200,0.0,0
2016-01-29,47.17,48.34,47.06,48.32,47.46,1193700,0.0,0
2016-02-01,48.11,48.51,47.28,48.23,47.37,1583400,0.0,0
2016-02-02,47.68,47.93,47.18,47.53,46.68,753800,0.0,0
2016-02-03,47.71,47.71,45.75,46.8,45.97,1043700,0.0,0
2016-02-04,46.71,47.43,46.18,46.58,45.75,1119400,0.0,0
2016-02-05,42.46,45.2,39.5,43.26,42.49,3343700,0.0,0
2016-02-08,42.65,42.98,41.02,41.45,40.71,1330400,0.0,0
2016-02-09,40.91,43.19,40.41,42.47,41.71,1377300,0.0,0
2016-02-10,42.85,44.97,42.68,43.99,43.21,1335700,0.0,0
2016-02-11,43.18,43.68,42.81,43.41,42.64,1517800,0.0,0
2016-02-12,44.4,44.59,43.59,44.41,43.62,1273000,0.0,0
2016-02-16,44.98,46.09,44.81,45.67,44.86,1185900,0.0,0
2016-02-17,45.9,46.26,45.6,45.7,44.89,1240900,0.0,0
2016-02-18,45.69,46.57,45.49,45.68,44.87,891500,0.0,0
