Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.71,42.92,42.38,42.45,36.23,2510200,0.0,0
2015-04-28,42.31,42.4,42.11,42.23,36.04,2479400,0.0,0
2015-04-29,41.83,41.99,41.06,41.08,35.06,3649000,0.0,0
2015-04-30,41.02,41.08,39.99,40.2,34.31,4598900,0.0,0
2015-05-01,40.4,40.7,40.18,40.42,34.49,3155500,0.0,0
2015-05-04,40.6,40.82,40.21,40.37,34.45,3073700,0.0,0
2015-05-05,40.18,40.38,39.46,39.51,33.72,3139700,0.0,0
2015-05-06,39.49,39.85,39.34,39.61,33.8,4173900,0.0,0
2015-05-07,39.75,40.34,39.52,40.23,34.33,3379200,0.0,0
2015-05-08,40.69,41.44,40.69,40.75,34.78,2779100,0.0,0
2015-05-11,40.61,40.81,40.36,40.44,34.51,3966300,0.0,0
2015-05-12,40.1,40.46,39.73,40.35,34.44,3410000,0.0,0
2015-05-13,40.46,40.73,39.77,39.91,34.06,2418000,0.0,0
2015-05-14,40.2,40.62,40.08,40.27,34.37,2934400,0.0,0
2015-05-15,40.47,40.81,40.36,40.73,34.76,3541600,0.0,0
2015-05-18,40.55,40.69,40.4,40.58,34.63,2442000,0.0,0
2015-05-19,40.37,40.83,40.37,40.55,34.61,2402700,0.0,0
2015-05-20,40.61,41.0,40.3,40.75,34.78,3039600,0.0,0
2015-05-21,40.81,40.81,40.17,40.33,34.42,2607500,0.0,0
2015-05-22,40.29,40.56,40.12,40.28,34.38,1722700,0.0,0
2015-05-26,40.16,40.25,39.85,39.95,34.09,2870000,0.0,0
2015-05-27,39.97,40.54,39.93,40.37,34.45,2390700,0.0,0
2015-05-28,40.3,40.46,40.05,40.26,34.36,1537900,0.0,0
2015-05-29,40.23,40.37,39.5,39.59,33.79,4352700,0.0,0
2015-06-01,39.47,40.22,39.46,40.12,34.24,2589300,0.0,0
2015-06-02,40.07,40.18,39.69,40.17,34.28,2373600,0.0,0
2015-06-03,40.13,40.24,39.88,39.95,34.09,2610100,0.0,0
2015-06-04,39.88,40.15,39.71,40.06,34.19,3184200,0.0,0
2015-06-05,39.67,40.19,39.38,39.98,34.12,3446500,0.0,0
2015-06-08,40.08,40.23,39.8,39.8,33.97,3936200,0.0,0
2015-06-09,39.54,39.54,38.96,39.07,33.65,2222300,0.36,0
2015-06-10,39.13,39.75,39.03,39.39,33.92,2338100,0.0,0
2015-06-11,39.68,39.89,39.57,39.65,34.15,2681800,0.0,0
2015-06-12,39.64,39.73,39.26,39.29,33.84,2321400,0.0,0
2015-06-15,38.99,39.2,38.85,39.03,33.61,2536800,0.0,0
2015-06-16,39.04,39.34,38.99,39.2,33.76,2458100,0.0,0
2015-06-17,39.31,39.51,38.77,39.4,33.93,2674700,0.0,0
2015-06-18,39.47,40.05,39.34,39.75,34.23,3606500,0.0,0
2015-06-19,39.68,39.79,39.19,39.3,33.85,5699000,0.0,0
2015-06-22,39.59,39.68,39.2,39.22,33.78,3513800,0.0,0
2015-06-23,39.3,39.32,38.72,38.8,33.41,3385300,0.0,0
2015-06-24,38.82,39.02,38.62,38.62,33.26,2956900,0.0,0
2015-06-25,38.6,38.7,38.1,38.11,32.82,2614900,0.0,0
2015-06-26,38.11,38.42,37.86,38.24,32.93,3370200,0.0,0
2015-06-29,38.14,38.32,37.11,37.16,32.0,3460300,0.0,0
2015-06-30,37.55,38.24,37.03,37.1,31.95,5014400,0.0,0
2015-07-01,37.29,37.8,37.05,37.8,32.55,3097200,0.0,0
2015-07-02,38.09,38.41,37.74,37.93,32.67,2513800,0.0,0
2015-07-06,37.61,38.03,37.56,37.89,32.63,2991900,0.0,0
2015-07-07,38.16,38.78,38.16,38.7,33.33,3257100,0.0,0
2015-07-08,38.53,38.61,38.11,38.21,32.91,2008500,0.0,0
2015-07-09,38.5,38.67,38.05,38.25,32.94,2189200,0.0,0
2015-07-10,38.49,38.89,38.35,38.57,33.22,2259200,0.0,0
2015-07-13,38.87,39.12,38.54,38.85,33.46,3272000,0.0,0
2015-07-14,38.94,39.03,38.55,38.89,33.49,1672800,0.0,0
2015-07-15,38.88,39.19,38.74,39.0,33.59,2307400,0.0,0
2015-07-16,39.09,39.54,39.0,39.5,34.02,2275800,0.0,0
2015-07-17,39.4,39.57,39.01,39.5,34.02,2333000,0.0,0
2015-07-20,39.31,39.75,39.05,39.65,34.15,3225500,0.0,0
2015-07-21,39.55,40.43,39.15,40.31,34.71,4231300,0.0,0
2015-07-22,40.66,40.99,39.9,40.14,34.57,3893900,0.0,0
2015-07-23,40.28,40.33,39.57,39.92,34.38,3005600,0.0,0
2015-07-24,39.81,40.06,39.65,39.86,34.33,2195000,0.0,0
2015-07-27,39.79,40.13,39.61,39.95,34.4,2170500,0.0,0
2015-07-28,40.08,40.44,39.85,40.36,34.76,3057600,0.0,0
2015-07-29,40.36,40.81,40.15,40.64,35.0,2050100,0.0,0
2015-07-30,40.45,40.63,40.01,40.2,34.62,1948100,0.0,0
2015-07-31,40.62,40.87,40.41,40.61,34.97,3344200,0.0,0
2015-08-03,40.66,40.87,40.44,40.64,35.0,1916100,0.0,0
2015-08-04,40.43,40.96,40.37,40.45,34.84,2236500,0.0,0
2015-08-05,40.67,40.8,40.28,40.48,34.86,2516100,0.0,0
2015-08-06,40.41,40.76,40.13,40.69,35.04,3190700,0.0,0
2015-08-07,40.69,40.8,40.38,40.76,35.1,1931400,0.0,0
2015-08-10,40.99,41.0,40.59,40.73,35.08,2323400,0.0,0
2015-08-11,40.68,41.25,40.57,41.14,35.43,2985900,0.0,0
2015-08-12,40.9,41.19,40.73,41.18,35.46,3371800,0.0,0
2015-08-13,40.87,41.37,40.76,41.25,35.52,2428900,0.0,0
2015-08-14,41.13,41.38,40.81,41.35,35.61,1985900,0.0,0
2015-08-17,41.14,41.95,41.14,41.94,36.12,2375000,0.0,0
2015-08-18,41.89,42.49,41.76,42.25,36.39,3117100,0.0,0
2015-08-19,42.02,42.37,41.51,42.11,36.27,2756800,0.0,0
2015-08-20,41.77,42.08,41.57,41.61,35.83,3210100,0.0,0
2015-08-21,41.4,41.66,40.63,40.66,35.02,3448500,0.0,0
