Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,91.45,91.72,90.65,90.82,79.62,1981300,0.0,0
2015-04-28,90.67,91.52,90.67,91.41,80.14,1954000,0.0,0
2015-04-29,91.14,92.44,91.1,91.86,80.53,2105000,0.0,0
2015-04-30,91.8,92.44,91.39,91.73,80.42,2047900,0.0,0
2015-05-01,92.33,92.46,91.68,92.0,80.65,1418900,0.0,0
2015-05-04,92.22,93.36,92.15,93.27,81.77,1686900,0.0,0
2015-05-05,92.82,94.27,92.69,93.11,81.63,2011200,0.0,0
2015-05-06,93.3,93.56,92.07,92.66,81.23,1876300,0.0,0
2015-05-07,92.54,92.76,92.15,92.37,80.98,2091200,0.0,0
2015-05-08,93.02,93.77,92.5,93.65,82.1,1767200,0.0,0
2015-05-11,93.44,94.05,93.1,93.65,82.1,1647300,0.0,0
2015-05-12,93.24,94.07,92.68,93.87,82.29,1988100,0.0,0
2015-05-13,93.56,94.61,93.41,94.19,82.57,2181800,0.0,0
2015-05-14,94.96,95.07,94.34,94.96,83.25,2412400,0.0,0
2015-05-15,94.96,95.08,93.33,93.74,82.18,2651900,0.0,0
2015-05-18,93.84,94.76,93.78,94.63,82.96,1195600,0.0,0
2015-05-19,94.76,95.7,94.66,95.56,83.77,2630100,0.0,0
2015-05-20,95.33,95.63,94.93,95.04,83.32,1445300,0.0,0
2015-05-21,94.8,95.23,94.59,94.96,83.25,1514600,0.0,0
2015-05-22,94.99,95.6,94.95,95.22,83.48,2114700,0.0,0
2015-05-26,94.91,95.09,94.19,94.61,82.94,2385400,0.0,0
2015-05-27,95.0,96.03,94.69,95.89,84.06,1881600,0.0,0
2015-05-28,95.89,96.06,95.35,96.0,84.16,1563200,0.0,0
2015-05-29,95.94,95.97,95.32,95.69,83.89,3669700,0.0,0
2015-06-01,96.14,96.14,94.55,94.62,82.95,2359800,0.0,0
2015-06-02,94.44,94.94,93.89,94.64,82.97,2836000,0.0,0
2015-06-03,95.3,96.4,95.01,96.02,84.18,2627600,0.0,0
2015-06-04,95.59,95.94,94.7,94.95,83.24,2269000,0.0,0
2015-06-05,96.08,96.85,95.67,96.51,84.61,3567700,0.0,0
2015-06-08,96.34,97.0,96.18,96.29,84.41,2558900,0.0,0
2015-06-09,96.33,97.66,96.16,97.57,85.54,2419200,0.0,0
2015-06-10,97.97,99.61,97.69,99.18,86.95,3594800,0.0,0
2015-06-11,99.12,99.59,98.59,98.78,86.6,2287200,0.0,0
2015-06-12,98.51,98.9,98.04,98.42,86.28,1839500,0.0,0
