Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,63.89,63.95,62.73,62.98,53.06,684100,0.0,0
2015-04-28,62.73,63.51,62.35,63.42,53.43,697900,0.0,0
2015-04-29,62.76,63.19,62.26,62.81,52.91,571500,0.0,0
2015-04-30,62.06,62.1,60.78,61.2,52.05,1123600,0.595,0
2015-05-01,60.95,61.88,60.13,60.48,51.44,2012800,0.0,0
2015-05-04,61.69,61.76,60.63,61.08,51.95,1407100,0.0,0
2015-05-05,60.87,61.0,59.49,59.62,50.71,1166500,0.0,0
2015-05-06,59.57,60.09,58.82,59.4,50.52,774000,0.0,0
2015-05-07,59.47,60.08,59.37,59.74,50.81,854400,0.0,0
2015-05-08,60.21,60.58,59.5,59.86,50.91,774500,0.0,0
2015-05-11,59.56,60.52,59.43,59.48,50.59,793400,0.0,0
2015-05-12,59.13,59.63,58.86,59.53,50.63,779200,0.0,0
2015-05-13,59.71,59.96,58.37,58.6,49.84,718200,0.0,0
2015-05-14,58.72,59.42,58.72,59.38,50.5,659100,0.0,0
2015-05-15,59.51,60.09,59.35,59.96,51.0,1496100,0.0,0
2015-05-18,59.63,60.72,59.63,60.56,51.51,737900,0.0,0
2015-05-19,60.36,61.01,60.15,60.78,51.69,650100,0.0,0
2015-05-20,60.82,61.47,60.66,60.96,51.85,604200,0.0,0
2015-05-21,60.93,61.22,60.56,61.09,51.96,486100,0.0,0
2015-05-22,60.95,61.16,60.42,60.98,51.86,473300,0.0,0
2015-05-26,60.83,60.84,60.24,60.57,51.51,673600,0.0,0
2015-05-27,60.59,61.28,60.51,61.15,52.01,662900,0.0,0
2015-05-28,61.14,61.39,60.84,61.18,52.03,472900,0.0,0
2015-05-29,61.17,61.43,60.84,60.92,51.81,632400,0.0,0
2015-06-01,61.04,61.34,60.82,60.91,51.8,856200,0.0,0
2015-06-02,60.62,60.69,59.3,59.65,50.73,744600,0.0,0
2015-06-03,59.55,59.72,58.2,58.69,49.91,705700,0.0,0
2015-06-04,58.19,58.95,58.19,58.47,49.73,553400,0.0,0
2015-06-05,57.6,58.02,57.36,57.63,49.01,663600,0.0,0
2015-06-08,57.62,57.63,57.17,57.18,48.63,643200,0.0,0
2015-06-09,57.15,57.44,56.81,56.9,48.39,1277600,0.0,0
2015-06-10,57.37,57.49,56.83,57.09,48.55,882100,0.0,0
