Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,111.73,111.98,110.19,110.43,101.64,2169400,0.0,0.0
2015-04-28,110.26,110.67,109.3,110.38,101.6,1957200,0.0,0.0
2015-04-29,109.85,111.17,109.57,111.08,102.25,1753400,0.0,0.0
2015-04-30,110.24,111.58,110.01,110.78,101.97,2217800,0.0,0.0
2015-05-01,110.86,112.4,110.58,112.28,103.35,1515600,0.0,0.0
2015-05-04,112.44,113.0,112.29,112.51,103.57,1090800,0.0,0.0
2015-05-05,113.25,113.49,110.71,110.79,101.98,1420800,0.0,0.0
2015-05-06,111.33,111.4,110.33,111.03,102.2,1411400,0.0,0.0
2015-05-07,110.75,112.88,110.34,112.46,104.19,2165000,0.72,0.0
2015-05-08,113.89,115.26,113.4,114.53,106.11,1585200,0.0,0.0
2015-05-11,114.26,115.09,113.61,113.67,105.31,1722000,0.0,0.0
2015-05-12,113.25,113.66,112.21,112.25,103.99,1247600,0.0,0.0
2015-05-13,112.25,112.9,111.25,112.7,104.42,1544600,0.0,0.0
2015-05-14,113.61,114.5,113.0,114.4,105.99,1527400,0.0,0.0
2015-05-15,114.34,115.89,113.92,115.85,107.33,1263000,0.0,0.0
2015-05-18,115.85,115.85,114.75,115.46,106.98,1842600,0.0,0.0
2015-05-19,115.44,115.96,114.69,115.0,106.54,1481600,0.0,0.0
2015-05-20,115.0,115.39,114.11,114.46,106.05,1284800,0.0,0.0
2015-05-21,114.16,115.11,114.12,114.61,106.19,664400,0.0,0.0
2015-05-22,114.32,115.16,114.32,114.6,106.17,742800,0.0,0.0
2015-05-26,114.21,114.59,112.88,113.36,105.03,1470800,0.0,0.0
2015-05-27,113.76,114.82,113.61,114.57,106.15,1433800,0.0,0.0
2015-05-28,114.14,115.07,113.68,114.91,106.46,1230800,0.0,0.0
2015-05-29,114.64,115.16,114.02,114.44,106.03,1199800,0.0,0.0
2015-06-01,114.08,115.13,113.64,114.51,106.1,903400,0.0,0.0
2015-06-02,114.33,114.96,113.5,114.12,105.74,768600,0.0,0.0
2015-06-03,114.67,115.05,114.01,115.0,106.54,1114000,0.0,0.0
2015-06-04,114.46,115.12,114.12,114.39,105.98,1406600,0.0,0.0
2015-06-05,113.96,114.58,113.24,114.32,105.91,1045800,0.0,0.0
2015-06-08,114.21,114.29,113.61,114.05,105.67,1051000,0.0,0.0
2015-06-09,114.24,115.14,113.8,114.62,106.2,1070600,0.0,0.0
2015-06-10,115.21,116.5,115.0,115.94,107.42,1979400,0.0,0.0
2015-06-11,116.4,117.47,115.48,117.0,108.4,1806200,0.0,0.0
2015-06-12,116.82,116.97,116.1,116.62,108.05,1160800,0.0,0.0
2015-06-15,115.64,116.14,114.95,115.43,106.95,990500,0.0,2.0
2015-06-16,115.22,116.19,115.0,116.0,107.47,1286900,0.0,0.0
2015-06-17,116.27,116.83,115.14,116.67,108.09,2525400,0.0,0.0
2015-06-18,117.12,118.24,116.79,117.81,109.15,1668900,0.0,0.0
2015-06-19,117.16,118.02,116.82,117.3,108.68,2210000,0.0,0.0
2015-06-22,118.0,118.64,117.76,118.17,109.48,901000,0.0,0.0
2015-06-23,118.48,118.69,117.76,118.29,109.6,1174900,0.0,0.0
2015-06-24,118.28,118.49,117.9,117.97,109.3,1918300,0.0,0.0
2015-06-25,118.1,118.56,117.7,117.74,109.09,1207800,0.0,0.0
2015-06-26,118.14,118.23,117.6,118.01,109.34,751300,0.0,0.0
2015-06-29,117.14,117.31,114.88,114.98,106.53,996800,0.0,0.0
2015-06-30,115.69,116.0,114.4,114.72,106.29,1114600,0.0,0.0
2015-07-01,115.78,116.56,115.23,116.5,107.94,1256400,0.0,0.0
2015-07-02,117.15,117.32,115.24,115.91,107.39,943200,0.0,0.0
2015-07-06,114.81,115.98,114.21,115.1,106.64,1425900,0.0,0.0
2015-07-07,115.33,115.33,113.36,115.06,106.6,1640800,0.0,0.0
