Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,193.86,195.79,187.96,188.28,179.09,3855700,0.0,0
2015-04-28,188.54,190.47,185.57,186.39,177.29,3693200,0.0,0
2015-04-29,190.08,192.19,184.63,184.74,175.72,6209400,0.0,0
2015-04-30,184.98,185.77,181.42,183.28,174.33,2972400,0.0,0
2015-05-01,186.8,186.86,182.65,186.26,177.17,2135500,0.0,0
2015-05-04,186.28,189.64,185.34,187.94,178.76,1456300,0.0,0
2015-05-05,187.91,189.1,186.48,188.13,178.95,1367700,0.0,0
2015-05-06,188.3,190.08,187.62,189.87,180.6,1336100,0.0,0
2015-05-07,189.87,195.0,189.82,191.0,181.68,2536700,0.0,0
2015-05-08,190.71,195.0,190.71,192.6,183.2,1310900,0.0,0
2015-05-11,193.93,194.05,191.84,193.58,184.13,898800,0.0,0
2015-05-12,191.96,195.0,191.96,194.26,184.78,1058100,0.0,0
2015-05-13,194.21,195.0,193.11,193.79,184.33,584000,0.0,0
2015-05-14,194.41,194.79,193.25,194.15,184.67,683900,0.0,0
2015-05-15,193.26,194.57,192.65,194.5,185.0,850600,0.0,0
2015-05-18,193.9,200.96,193.29,198.37,188.69,2045100,0.0,0
2015-05-19,199.81,199.81,197.12,197.68,188.03,597200,0.0,0
2015-05-20,197.85,198.77,196.94,197.54,187.9,541300,0.0,0
2015-05-21,197.58,199.74,195.73,198.26,188.58,1017900,0.0,0
2015-05-22,198.3,199.73,197.21,198.47,188.78,771500,0.0,0
2015-05-26,197.2,199.01,195.32,195.75,186.19,946400,0.0,0
2015-05-27,195.79,196.37,193.6,194.5,185.12,1010800,0.125,0
2015-05-28,192.23,194.91,192.23,193.96,184.61,856600,0.0,0
2015-05-29,195.0,195.0,190.22,190.3,181.13,1612300,0.0,0
2015-06-01,191.7,195.23,191.51,192.99,183.69,1212600,0.0,0
2015-06-02,193.05,195.73,191.91,194.31,184.94,1046200,0.0,0
2015-06-03,194.46,196.55,192.09,195.88,186.44,936600,0.0,0
2015-06-04,195.75,196.55,192.4,192.88,183.58,1088400,0.0,0
2015-06-05,192.54,192.87,190.9,191.26,182.04,969000,0.0,0
2015-06-08,191.45,191.76,188.18,188.93,179.82,1104000,0.0,0
2015-06-09,188.87,190.48,188.01,188.17,179.1,1197200,0.0,0
2015-06-10,187.58,188.78,186.83,188.0,178.94,990800,0.0,0
2015-06-11,187.21,189.34,186.4,186.91,177.9,1026500,0.0,0
2015-06-12,185.81,186.8,184.12,184.57,175.67,1235500,0.0,0
2015-06-15,183.35,186.34,182.91,183.3,174.46,1121400,0.0,0
2015-06-16,187.12,192.05,186.44,191.25,182.03,2242900,0.0,0
2015-06-17,190.39,190.8,188.04,188.33,179.25,859800,0.0,0
2015-06-18,188.5,189.87,188.24,188.28,179.2,756400,0.0,0
2015-06-19,188.09,190.0,184.24,185.0,176.08,3409400,0.0,0
2015-06-22,186.52,186.76,184.32,184.87,175.96,739200,0.0,0
2015-06-23,186.01,190.67,185.79,189.39,180.26,1138400,0.0,0
2015-06-24,189.64,190.17,188.06,189.16,180.04,946200,0.0,0
2015-06-25,190.46,191.75,187.6,189.21,180.09,693500,0.0,0
2015-06-26,190.01,190.68,187.2,190.55,181.36,757100,0.0,0
2015-06-29,187.53,188.29,183.88,184.14,175.26,1025000,0.0,0
2015-06-30,186.26,187.47,183.96,184.83,175.92,927600,0.0,0
2015-07-01,185.74,188.79,184.29,185.06,176.14,1031300,0.0,0
2015-07-02,185.18,186.85,183.13,183.68,174.82,830900,0.0,0
2015-07-06,183.99,188.56,182.32,185.66,176.71,2001300,0.0,0
2015-07-07,185.32,185.86,181.21,182.94,174.12,1549800,0.0,0
2015-07-08,181.79,182.91,178.89,180.32,171.63,879600,0.0,0
2015-07-09,182.35,182.54,179.49,180.01,171.33,805600,0.0,0
2015-07-10,181.61,182.11,179.0,180.86,172.14,999200,0.0,0
