Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,81.0,81.66,80.16,80.22,67.18,1770900,0.0,0
2015-04-28,80.36,81.25,79.79,81.15,67.95,2089400,0.0,0
2015-04-29,81.28,82.96,81.22,82.52,69.1,2922100,0.0,0
2015-04-30,82.16,82.89,81.32,81.6,68.33,3291800,0.0,0
2015-05-01,82.4,83.42,81.99,83.36,69.81,2588500,0.0,0
2015-05-04,83.37,84.44,83.2,84.19,70.5,2439800,0.0,0
2015-05-05,84.26,84.86,83.31,83.4,69.84,2557200,0.0,0
2015-05-06,84.7,84.7,82.79,83.7,70.09,2521500,0.0,0
2015-05-07,85.0,85.58,82.98,85.17,71.32,3464700,0.0,0
2015-05-08,85.47,85.87,84.39,85.58,71.66,2153800,0.0,0
2015-05-11,85.71,87.26,85.45,86.77,72.66,3336900,0.0,0
2015-05-12,86.45,86.89,85.86,86.23,72.21,2274600,0.0,0
2015-05-13,86.45,86.78,85.75,86.08,72.08,2485600,0.0,0
2015-05-14,86.57,86.81,85.96,86.3,72.27,1865100,0.0,0
2015-05-15,86.16,86.28,84.88,85.46,71.56,2382100,0.0,0
2015-05-18,85.37,86.72,85.37,86.43,72.38,2250600,0.0,0
2015-05-19,86.76,87.12,85.96,86.28,72.25,2130600,0.0,0
2015-05-20,86.2,86.28,85.34,85.64,71.71,2111200,0.0,0
2015-05-21,85.2,86.03,84.96,85.63,72.2,1825000,0.58,0
2015-05-22,85.46,85.89,85.04,85.12,71.77,1481600,0.0,0
2015-05-26,85.0,85.12,83.74,83.97,70.8,2320300,0.0,0
2015-05-27,84.15,85.49,84.12,85.2,71.83,1748000,0.0,0
2015-05-28,84.74,85.17,84.2,85.07,71.72,1548300,0.0,0
2015-05-29,85.17,85.17,83.73,84.61,71.34,2642000,0.0,0
2015-06-01,84.86,85.21,83.66,84.32,71.09,1770900,0.0,0
2015-06-02,84.37,85.92,84.24,85.52,72.1,2399900,0.0,0
2015-06-03,86.01,87.45,85.95,86.99,73.34,2964500,0.0,0
2015-06-04,86.28,87.34,86.23,86.6,73.01,3452300,0.0,0
2015-06-05,88.11,89.22,87.42,88.24,74.4,3552400,0.0,0
2015-06-08,88.0,88.62,87.4,87.58,73.84,2025800,0.0,0
2015-06-09,87.59,88.57,87.15,87.97,74.17,1943000,0.0,0
2015-06-10,89.69,90.98,88.86,90.55,76.34,4177500,0.0,0
2015-06-11,90.04,90.94,89.75,89.93,75.82,2960200,0.0,0
2015-06-12,89.55,90.0,88.91,89.24,75.24,1678700,0.0,0
2015-06-15,88.26,89.05,87.84,88.58,74.68,1866600,0.0,0
2015-06-16,88.58,89.93,88.27,89.73,75.65,2162100,0.0,0
2015-06-17,90.09,90.22,88.93,89.14,75.15,2302600,0.0,0
2015-06-18,89.52,90.35,88.83,89.76,75.68,2517900,0.0,0
2015-06-19,89.43,89.85,88.96,89.29,75.28,3096400,0.0,0
2015-06-22,90.07,91.07,89.95,90.98,76.71,2734700,0.0,0
2015-06-23,91.74,91.82,90.81,91.47,77.12,2507400,0.0,0
2015-06-24,91.3,91.66,90.6,90.7,76.47,2068600,0.0,0
2015-06-25,91.08,91.35,89.7,89.73,75.65,1672600,0.0,0
2015-06-26,90.21,90.93,90.07,90.72,76.49,2136000,0.0,0
2015-06-29,89.37,89.77,87.2,87.29,73.59,3201000,0.0,0
2015-06-30,88.29,89.07,86.85,87.52,73.79,5097500,0.0,0
2015-07-01,88.79,89.63,88.59,88.98,75.02,2495200,0.0,0
2015-07-02,88.81,89.06,87.8,88.17,74.34,1448400,0.0,0
2015-07-06,86.92,88.16,86.57,87.51,73.78,2074200,0.0,0
2015-07-07,87.5,87.58,84.12,87.0,73.35,3442900,0.0,0
2015-07-08,85.95,86.24,84.66,84.86,71.55,2531600,0.0,0
2015-07-09,86.48,87.03,85.55,85.72,72.27,2206000,0.0,0
