Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,193.81,194.78,192.72,193.18,161.8,398700,0.0,0
2015-04-28,192.45,193.13,191.48,192.51,161.24,384600,0.0,0
2015-04-29,191.42,191.82,187.82,188.57,157.94,815700,0.0,0
2015-04-30,188.25,189.34,186.4,187.91,157.39,889600,0.0,0
2015-05-01,188.36,192.69,188.36,190.13,159.25,1029200,0.0,0
2015-05-04,190.57,191.79,190.41,191.15,160.1,518200,0.0,0
2015-05-05,190.32,190.9,186.92,187.55,157.09,730500,0.0,0
2015-05-06,188.58,189.15,186.27,187.36,156.93,677000,0.0,0
2015-05-07,188.42,192.72,188.14,191.81,160.66,729600,0.0,0
2015-05-08,193.34,197.45,193.34,196.53,164.61,761100,0.0,0
2015-05-11,196.49,197.1,193.5,194.16,162.62,1058400,0.0,0
2015-05-12,194.46,197.13,192.17,196.19,164.32,660900,0.0,0
2015-05-13,196.7,197.88,192.56,193.23,161.84,542100,0.0,0
2015-05-14,194.24,197.55,194.12,197.38,165.32,576300,0.0,0
2015-05-15,197.95,200.24,197.28,200.07,167.57,670900,0.0,0
2015-05-18,199.28,200.6,198.8,199.48,167.08,715400,0.0,0
2015-05-19,199.08,199.3,196.9,197.15,165.13,872500,0.0,0
2015-05-20,197.16,197.97,196.15,196.15,164.29,1030500,0.0,0
2015-05-21,196.0,197.06,193.91,194.85,163.2,886900,0.0,0
2015-05-22,194.81,196.25,193.37,195.09,163.4,495600,0.0,0
2015-05-26,194.94,194.99,193.24,193.84,162.36,604000,0.0,0
2015-05-27,193.84,196.51,193.54,196.18,164.32,431100,0.0,0
2015-05-28,196.72,196.94,194.61,195.52,163.76,417800,0.0,0
2015-05-29,196.03,196.5,192.75,193.54,162.1,1443200,0.0,0
2015-06-01,193.46,196.67,193.01,196.32,164.43,668800,0.0,0
2015-06-02,195.42,196.0,194.07,195.16,163.46,514200,0.0,0
2015-06-03,194.61,195.02,191.91,193.02,161.67,566200,0.0,0
2015-06-04,192.57,193.38,191.43,191.69,160.55,724600,0.0,0
2015-06-05,191.38,191.38,187.95,188.2,157.63,821300,0.0,0
2015-06-08,188.2,188.69,186.94,186.94,156.58,842800,0.0,0
2015-06-09,187.55,188.23,185.67,185.94,155.74,596500,0.0,0
2015-06-10,186.24,188.93,185.73,187.23,156.82,579400,0.0,0
2015-06-11,186.21,187.53,186.02,186.87,157.95,646700,1.7,0
2015-06-12,186.65,187.33,185.71,186.72,157.83,419400,0.0,0
2015-06-15,186.25,186.25,184.58,185.6,156.88,599200,0.0,0
2015-06-16,185.6,188.15,185.38,187.64,158.6,518800,0.0,0
2015-06-17,187.68,189.08,185.83,188.87,159.64,777600,0.0,0
2015-06-18,189.26,193.23,189.22,192.46,162.68,945500,0.0,0
2015-06-19,192.15,192.54,190.24,191.02,161.46,1254900,0.0,0
2015-06-22,191.16,191.75,188.1,188.34,159.19,812200,0.0,0
2015-06-23,188.09,188.74,186.39,186.68,157.79,491500,0.0,0
2015-06-24,186.8,187.96,184.96,184.96,156.34,493700,0.0,0
2015-06-25,184.88,186.17,183.45,183.62,155.2,483100,0.0,0
2015-06-26,183.77,185.65,183.07,185.45,156.75,634500,0.0,0
2015-06-29,185.43,186.19,182.91,182.98,154.66,761500,0.0,0
2015-06-30,184.16,185.97,183.01,184.37,155.84,801800,0.0,0
2015-07-01,183.36,187.09,182.08,187.07,158.12,900900,0.0,0
2015-07-02,188.8,189.69,186.77,187.24,158.26,604900,0.0,0
2015-07-06,186.33,188.48,185.99,188.38,159.23,567600,0.0,0
2015-07-07,189.1,193.07,188.38,192.68,162.86,908600,0.0,0
2015-07-08,191.81,194.52,191.02,193.28,163.37,799700,0.0,0
2015-07-09,194.39,195.29,193.17,193.73,163.75,611200,0.0,0
2015-07-10,194.61,197.75,193.9,196.13,165.78,718800,0.0,0
2015-07-13,197.25,198.83,195.46,196.7,166.26,681200,0.0,0
2015-07-14,197.09,198.13,196.01,197.68,167.09,546800,0.0,0
2015-07-15,197.09,199.32,196.01,198.75,167.99,445500,0.0,0
2015-07-16,199.34,200.58,199.05,200.19,169.21,427400,0.0,0
2015-07-17,199.49,199.67,197.49,198.4,167.7,464300,0.0,0
2015-07-20,198.4,200.75,197.31,200.14,169.17,426400,0.0,0
2015-07-21,200.46,201.51,199.61,200.83,169.75,660700,0.0,0
2015-07-22,200.89,202.06,200.86,201.49,170.31,679400,0.0,0
2015-07-23,201.15,202.08,199.53,201.1,169.98,572600,0.0,0
2015-07-24,200.9,203.04,200.29,201.93,170.68,435100,0.0,0
2015-07-27,201.82,203.56,201.45,202.92,171.52,504600,0.0,0
2015-07-28,203.24,203.91,202.1,203.41,171.93,436800,0.0,0
2015-07-29,203.29,203.33,201.93,202.93,171.53,689900,0.0,0
2015-07-30,203.0,203.43,200.32,203.02,171.6,561800,0.0,0
2015-07-31,204.25,206.73,203.4,205.18,173.43,618900,0.0,0
2015-08-03,205.18,206.21,204.79,205.52,173.72,496200,0.0,0
2015-08-04,201.92,207.34,201.55,205.38,173.6,466100,0.0,0
2015-08-05,206.36,206.92,205.09,205.63,173.81,595900,0.0,0
2015-08-06,205.63,207.75,204.49,207.49,175.38,528300,0.0,0
2015-08-07,207.97,209.57,207.2,208.81,176.5,574000,0.0,0
2015-08-10,210.0,210.94,206.86,207.45,175.35,494500,0.0,0
2015-08-11,207.24,210.5,207.24,209.1,176.74,547700,0.0,0
2015-08-12,208.65,210.59,208.27,210.53,177.95,490000,0.0,0
2015-08-13,210.07,213.34,209.29,212.55,179.66,739300,0.0,0
2015-08-14,212.21,213.97,210.85,213.73,180.66,465900,0.0,0
2015-08-17,213.99,215.46,213.04,215.35,182.02,368800,0.0,0
2015-08-18,215.35,217.06,214.8,216.85,183.29,537400,0.0,0
2015-08-19,215.66,217.99,215.11,216.86,183.3,553100,0.0,0
2015-08-20,215.8,217.38,215.04,215.31,181.99,515300,0.0,0
2015-08-21,214.82,215.74,212.5,212.51,179.62,784700,0.0,0
