Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,81.87,81.93,81.01,81.07,69.19,2040000,0.0,0
2015-04-28,81.23,81.99,81.05,81.61,69.66,2265000,0.0,0
2015-04-29,81.43,81.94,80.89,81.0,69.13,2855600,0.0,0
2015-04-30,80.9,81.17,78.9,79.31,67.69,4829400,0.0,0
2015-05-01,79.41,81.66,79.14,81.61,69.66,3061900,0.0,0
2015-05-04,82.0,82.19,80.74,80.84,69.0,2833700,0.0,0
2015-05-05,81.1,81.4,80.35,80.44,68.66,2279300,0.0,0
2015-05-06,80.55,80.7,79.61,79.82,68.13,3398700,0.0,0
2015-05-07,79.8,80.12,78.91,79.94,68.23,4047600,0.0,0
2015-05-08,80.4,81.82,79.44,81.63,69.67,3008900,0.0,0
2015-05-11,81.98,81.98,80.26,80.54,68.74,2406400,0.0,0
2015-05-12,80.28,80.8,79.65,80.5,68.71,2245800,0.0,0
2015-05-13,80.95,81.18,80.11,80.77,68.94,2343100,0.0,0
2015-05-14,80.41,81.68,80.4,81.63,70.16,2658400,0.56,0
2015-05-15,81.54,81.54,80.86,81.05,69.66,2046500,0.0,0
2015-05-18,81.11,81.56,80.52,81.33,69.9,2015000,0.0,0
2015-05-19,80.9,81.1,80.23,80.7,69.36,2549200,0.0,0
2015-05-20,80.74,81.22,80.14,80.52,69.2,2551000,0.0,0
2015-05-21,80.69,81.38,80.27,81.0,69.62,2289400,0.0,0
2015-05-22,80.62,81.08,80.51,80.97,69.59,1735000,0.0,0
2015-05-26,80.17,80.38,78.87,79.36,68.21,3202900,0.0,0
2015-05-27,79.82,80.38,78.87,79.19,68.06,3368500,0.0,0
2015-05-28,78.94,79.67,77.98,79.56,68.38,3302200,0.0,0
2015-05-29,79.56,80.54,78.9,79.12,68.0,3734300,0.0,0
2015-06-01,79.55,80.25,79.2,79.35,68.2,3007400,0.0,0
2015-06-02,79.38,79.5,78.47,79.1,67.98,3281600,0.0,0
2015-06-03,78.79,78.86,77.72,78.3,67.3,3198400,0.0,0
2015-06-04,77.71,78.07,77.18,77.38,66.51,2623000,0.0,0
2015-06-05,77.24,78.61,77.17,78.05,67.08,1934400,0.0,0
2015-06-08,77.11,77.76,76.84,77.18,66.33,3344500,0.0,0
2015-06-09,77.34,77.81,76.73,76.79,66.0,3383300,0.0,0
2015-06-10,77.41,78.35,77.18,77.8,66.87,3600200,0.0,0
2015-06-11,77.98,79.29,77.48,78.67,67.61,3126400,0.0,0
2015-06-12,78.16,78.34,76.94,77.65,66.74,2574600,0.0,0
2015-06-15,77.7,78.09,77.16,78.08,67.11,2546600,0.0,0
2015-06-16,78.0,78.44,77.27,78.39,67.37,2511000,0.0,0
2015-06-17,79.15,79.66,77.92,78.84,67.76,2799100,0.0,0
2015-06-18,78.91,80.48,78.8,80.03,68.78,2508100,0.0,0
2015-06-19,79.58,80.62,79.58,79.67,68.47,3030700,0.0,0
2015-06-22,80.02,80.02,78.94,79.6,68.41,3153000,0.0,0
2015-06-23,79.8,80.6,79.56,80.31,69.02,2453100,0.0,0
2015-06-24,79.7,80.12,78.96,79.19,68.06,3106400,0.0,0
2015-06-25,79.19,79.52,78.8,78.89,67.8,2347100,0.0,0
2015-06-26,78.8,79.67,78.56,79.62,68.43,8753600,0.0,0
2015-06-29,78.75,79.41,78.46,78.49,67.46,4888300,0.0,0
2015-06-30,79.24,81.36,79.18,80.56,69.24,4628100,0.0,0
2015-07-01,80.64,81.86,80.52,81.3,69.87,3779600,0.0,0
2015-07-02,81.47,82.18,81.0,81.45,70.0,3388900,0.0,0
2015-07-06,80.39,81.79,79.75,81.54,70.08,3978700,0.0,0
2015-07-07,81.98,82.63,79.92,82.35,70.78,4170700,0.0,0
2015-07-08,81.85,81.86,78.06,78.5,67.47,4513100,0.0,0
2015-07-09,79.6,80.0,79.19,79.45,68.28,3839200,0.0,0
2015-07-10,79.86,81.84,79.66,81.49,70.04,3236100,0.0,0
2015-07-13,82.05,84.24,82.05,83.42,71.7,4148900,0.0,0
2015-07-14,82.89,84.39,82.89,83.52,71.78,4884500,0.0,0
2015-07-15,82.79,83.35,81.42,81.77,70.28,3737700,0.0,0
2015-07-16,82.42,83.44,82.02,83.21,71.52,3017300,0.0,0
2015-07-17,83.21,83.3,82.1,83.24,71.54,2502100,0.0,0
2015-07-20,83.13,83.25,82.24,82.33,70.76,3095200,0.0,0
2015-07-21,82.3,83.0,81.48,81.98,70.46,2215000,0.0,0
2015-07-22,81.84,82.86,81.2,81.83,70.33,3725600,0.0,0
2015-07-23,82.11,82.48,81.22,81.39,69.95,2110100,0.0,0
2015-07-24,81.34,81.56,78.3,79.03,67.92,5377100,0.0,0
2015-07-27,78.0,78.04,75.44,76.72,65.94,7687900,0.0,0
2015-07-28,76.8,79.07,76.42,78.65,67.6,4784200,0.0,0
2015-07-29,78.55,80.18,78.44,80.03,68.78,4380000,0.0,0
2015-07-30,79.49,79.98,78.38,79.12,68.0,4040100,0.0,0
2015-07-31,78.47,80.63,77.91,79.5,68.33,3615800,0.0,0
2015-08-03,78.67,80.22,78.25,78.68,67.62,4085500,0.0,0
2015-08-04,79.11,79.44,78.09,78.26,67.26,3601300,0.0,0
2015-08-05,79.57,80.45,78.19,78.28,67.28,3102700,0.0,0
2015-08-06,78.45,79.86,77.94,79.64,68.45,4605300,0.0,0
2015-08-07,79.27,80.61,78.97,79.62,68.43,2969400,0.0,0
2015-08-10,80.07,82.53,80.0,82.52,70.92,3876700,0.0,0
2015-08-11,81.07,83.81,80.9,83.7,71.94,3584100,0.0,0
2015-08-12,83.37,84.85,82.13,84.32,72.47,5037900,0.0,0
2015-08-13,83.2,84.4,82.49,83.08,71.88,4177400,0.56,0
2015-08-14,82.7,83.52,81.82,82.3,71.21,3277000,0.0,0
2015-08-17,81.92,83.13,81.66,83.06,71.86,2586100,0.0,0
2015-08-18,82.68,83.57,82.38,83.25,72.03,2516800,0.0,0
2015-08-19,82.7,82.93,80.37,80.8,69.91,4913600,0.0,0
2015-08-20,80.24,81.78,79.42,79.53,68.81,3737800,0.0,0
2015-08-21,78.69,79.08,75.67,75.74,65.53,7353200,0.0,0
2015-08-24,71.93,73.82,69.79,71.66,62.0,7050100,0.0,0
2015-08-25,73.62,74.12,70.4,70.55,61.04,4731500,0.0,0
2015-08-26,72.5,73.37,70.56,73.3,63.42,4573100,0.0,0
2015-08-27,75.03,76.54,73.17,75.02,64.91,5814300,0.0,0
2015-08-28,75.14,77.26,75.1,77.23,66.82,4889900,0.0,0
2015-08-31,79.5,80.14,77.28,79.07,68.41,8614300,0.0,0
2015-09-01,78.13,78.42,76.81,77.59,67.13,5302200,0.0,0
2015-09-02,79.14,79.18,76.85,78.56,67.97,3621900,0.0,0
2015-09-03,79.1,80.06,77.77,78.46,67.88,3358300,0.0,0
2015-09-04,77.5,78.01,76.71,77.2,66.79,4266100,0.0,0
2015-09-08,78.21,79.97,77.01,79.88,69.11,6212500,0.0,0
2015-09-09,80.06,82.75,79.96,80.65,69.78,6346100,0.0,0
2015-09-10,81.21,82.07,80.11,81.02,70.1,4424900,0.0,0
2015-09-11,80.83,80.98,79.72,80.6,69.74,3950700,0.0,0
2015-09-14,80.53,80.53,78.05,78.21,67.67,4261200,0.0,0
2015-09-15,78.4,79.64,77.73,79.21,68.53,4053900,0.0,0
2015-09-16,79.4,79.59,78.25,79.19,68.52,4018400,0.0,0
2015-09-17,79.48,80.76,78.38,79.31,68.62,4060300,0.0,0
2015-09-18,78.09,79.56,77.8,78.59,68.0,12950800,0.0,0
2015-09-21,78.81,80.5,78.48,79.26,68.58,3399100,0.0,0
2015-09-22,78.12,78.75,77.76,78.17,67.63,2957200,0.0,0
2015-09-23,78.55,79.53,77.82,77.85,67.36,2485200,0.0,0
2015-09-24,77.61,78.42,76.51,77.65,67.18,3727500,0.0,0
2015-09-25,78.18,78.8,77.26,77.94,67.44,3193100,0.0,0
2015-09-28,77.46,78.07,73.93,74.11,64.12,4161900,0.0,0
2015-09-29,74.81,75.99,74.25,74.51,64.47,4335400,0.0,0
2015-09-30,76.21,77.28,75.45,76.84,66.48,3901000,0.0,0
2015-10-01,77.63,78.48,76.52,77.93,67.43,3044000,0.0,0
2015-10-02,77.11,79.48,76.45,79.48,68.77,2467100,0.0,0
2015-10-05,79.94,82.29,79.88,81.82,70.79,3449600,0.0,0
2015-10-06,81.71,83.49,81.62,82.58,71.45,5355200,0.0,0
2015-10-07,82.93,83.79,81.26,83.24,72.02,4013700,0.0,0
2015-10-08,82.97,84.87,82.37,84.58,73.18,3179500,0.0,0
2015-10-09,84.61,84.79,82.51,83.52,72.26,3104300,0.0,0
2015-10-12,83.75,84.0,82.73,83.87,72.57,1791100,0.0,0
2015-10-13,83.0,83.96,82.01,82.16,71.09,3322200,0.0,0
2015-10-14,82.16,83.4,81.67,82.47,71.35,2172100,0.0,0
2015-10-15,83.03,83.89,81.86,83.49,72.24,2289700,0.0,0
2015-10-16,84.03,84.77,83.44,84.12,72.78,2679000,0.0,0
2015-10-19,83.42,83.7,81.48,81.62,70.62,3054100,0.0,0
2015-10-20,81.32,81.83,80.08,81.6,70.6,2896000,0.0,0
2015-10-21,81.88,81.9,80.23,80.5,69.65,2347500,0.0,0
2015-10-22,81.33,82.85,80.73,82.61,71.48,3323800,0.0,0
2015-10-23,82.61,84.45,82.41,83.35,72.12,2522900,0.0,0
2015-10-26,83.31,83.68,82.41,83.0,71.81,3124300,0.0,0
2015-10-27,82.34,83.56,82.06,83.56,72.3,2595800,0.0,0
2015-10-28,83.69,85.33,83.34,84.89,73.45,2672500,0.0,0
2015-10-29,84.52,86.92,84.52,86.43,74.78,3568900,0.0,0
2015-10-30,88.32,90.82,87.3,89.05,77.05,7125400,0.0,0
2015-11-02,88.39,91.5,88.3,90.6,78.39,4939700,0.0,0
2015-11-03,90.72,93.29,90.18,92.67,80.18,3636600,0.0,0
2015-11-04,93.0,94.12,92.5,93.33,80.75,3933900,0.0,0
2015-11-05,93.34,93.95,92.61,93.68,81.05,3115200,0.0,0
2015-11-06,93.21,93.72,92.04,92.75,80.25,2447100,0.0,0
2015-11-09,92.75,94.0,91.39,92.01,79.61,2730500,0.0,0
2015-11-10,91.39,92.94,90.91,92.1,80.17,2299200,0.56,0
2015-11-11,91.81,92.72,90.41,90.59,78.86,2590000,0.0,0
2015-11-12,89.96,89.96,88.41,89.24,77.68,2692300,0.0,0
2015-11-13,89.26,89.96,87.92,89.08,77.55,3080000,0.0,0
2015-11-16,88.98,91.1,88.33,91.07,79.28,2743500,0.0,0
2015-11-17,90.77,91.98,90.49,91.12,79.32,2306700,0.0,0
2015-11-18,91.28,92.72,91.26,92.54,80.56,1857500,0.0,0
2015-11-19,92.36,92.98,91.63,92.38,80.42,2367400,0.0,0
2015-11-20,92.55,92.99,91.52,91.67,79.8,2758700,0.0,0
2015-11-23,90.49,92.5,90.48,92.17,80.24,2725700,0.0,0
2015-11-24,92.1,93.91,91.54,93.13,81.07,2807400,0.0,0
2015-11-25,93.07,94.06,92.76,92.77,80.76,1949500,0.0,0
2015-11-27,92.29,93.31,92.11,92.76,80.75,769900,0.0,0
2015-11-30,93.09,93.46,91.34,91.53,79.68,4113100,0.0,0
2015-12-01,92.33,92.95,91.21,92.67,80.67,2580500,0.0,0
2015-12-02,92.16,93.0,90.08,90.44,78.73,3024700,0.0,0
2015-12-03,91.0,91.28,88.2,88.57,77.1,2834600,0.0,0
2015-12-04,90.35,90.67,88.7,90.2,78.52,3025900,0.0,0
2015-12-07,88.62,89.46,85.72,86.69,75.46,5261600,0.0,0
2015-12-08,85.57,87.43,85.11,86.45,75.26,3427300,0.0,0
2015-12-09,86.51,87.85,85.2,86.09,74.94,2916800,0.0,0
2015-12-10,86.48,87.55,85.68,86.75,75.52,2694500,0.0,0
2015-12-11,85.46,85.91,82.52,82.78,72.06,4232800,0.0,0
2015-12-14,82.32,82.83,80.28,81.4,70.86,5113500,0.0,0
2015-12-15,82.42,83.3,81.42,81.78,71.19,5233100,0.0,0
2015-12-16,81.55,83.4,81.55,83.06,72.3,3981600,0.0,0
2015-12-17,83.0,83.34,81.76,81.78,71.19,3147700,0.0,0
2015-12-18,81.5,81.78,79.68,80.56,70.13,6246600,0.0,0
2015-12-21,81.02,81.27,79.47,80.62,70.18,2809400,0.0,0
2015-12-22,80.92,82.28,80.67,81.7,71.12,2623100,0.0,0
2015-12-23,82.71,84.85,82.14,84.8,73.82,3113800,0.0,0
2015-12-24,84.53,84.98,83.81,84.36,73.44,1054200,0.0,0
2015-12-28,83.18,83.56,81.91,82.46,71.78,1690500,0.0,0
2015-12-29,83.72,83.87,82.58,82.77,72.05,1906100,0.0,0
2015-12-30,82.31,83.41,81.87,82.01,71.39,1527700,0.0,0
2015-12-31,81.5,82.41,81.21,81.8,71.21,2095800,0.0,0
2016-01-04,81.21,81.89,79.36,80.08,69.71,3251400,0.0,0
2016-01-05,80.37,81.19,80.05,81.0,70.51,2849900,0.0,0
2016-01-06,79.12,80.0,77.6,78.03,67.93,4273300,0.0,0
2016-01-07,76.67,78.11,75.95,76.45,66.55,6358000,0.0,0
2016-01-08,76.92,77.18,75.15,75.21,65.47,6010000,0.0,0
2016-01-11,75.86,77.51,74.37,76.18,66.32,4356000,0.0,0
2016-01-12,76.71,78.38,76.0,77.82,67.74,5370100,0.0,0
2016-01-13,78.91,78.93,74.54,75.25,65.51,6500200,0.0,0
2016-01-14,75.93,80.08,74.32,79.28,69.01,5363500,0.0,0
2016-01-15,76.92,78.6,76.61,78.47,68.31,5343200,0.0,0
2016-01-19,80.38,80.64,77.48,78.67,68.48,4574300,0.0,0
2016-01-20,76.9,78.21,75.37,76.93,66.97,5169900,0.0,0
2016-01-21,76.71,77.23,75.29,76.04,66.19,4360700,0.0,0
2016-01-22,78.45,80.9,77.6,80.03,69.67,4035600,0.0,0
2016-01-25,79.07,79.74,76.17,76.23,66.36,4273700,0.0,0
2016-01-26,76.91,77.8,76.19,77.76,67.69,3177200,0.0,0
2016-01-27,77.14,79.77,76.42,77.73,67.67,4782100,0.0,0
2016-01-28,79.24,80.0,77.0,78.7,68.51,5161000,0.0,0
2016-01-29,78.1,80.23,75.8,80.15,69.77,7448400,0.0,0
2016-02-01,79.68,80.66,77.82,79.48,69.19,4487700,0.0,0
