Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,104.72,105.41,103.91,104.03,103.2,718500,0.0,0
2015-04-28,103.51,104.42,103.14,103.24,102.42,581700,0.0,0
2015-04-29,102.91,103.62,102.3,102.89,102.07,687100,0.0,0
2015-04-30,102.91,104.08,102.52,103.35,102.53,819100,0.0,0
2015-05-01,103.98,104.35,102.9,103.89,103.07,1302000,0.0,0
2015-05-04,104.15,105.78,104.07,105.65,104.81,821400,0.0,0
2015-05-05,105.94,106.22,105.17,105.71,104.87,746900,0.0,0
2015-05-06,105.7,105.7,103.78,105.0,104.17,899500,0.0,0
2015-05-07,105.06,105.63,103.93,105.5,104.66,563600,0.0,0
2015-05-08,106.39,107.15,105.91,106.06,105.22,579200,0.0,0
2015-05-11,105.87,106.22,105.17,105.69,104.85,493500,0.0,0
2015-05-12,104.99,106.45,104.41,104.44,103.61,645300,0.0,0
2015-05-13,104.4,104.51,102.54,103.02,102.2,1019600,0.0,0
2015-05-14,103.53,103.74,102.12,103.02,102.2,935200,0.0,0
2015-05-15,103.25,105.29,103.04,104.91,104.08,765400,0.0,0
2015-05-18,105.17,105.97,104.42,105.55,104.71,601900,0.0,0
2015-05-19,105.31,105.8,103.54,104.55,103.76,879300,0.0375,0
2015-05-20,104.83,105.54,104.26,104.92,104.12,493400,0.0,0
2015-05-21,104.58,105.87,104.42,105.82,105.02,461100,0.0,0
2015-05-22,105.76,106.57,104.75,106.14,105.34,521600,0.0,0
2015-05-26,105.68,106.12,103.91,104.12,103.33,977800,0.0,0
2015-05-27,103.99,105.61,103.39,103.9,103.11,815300,0.0,0
2015-05-28,103.41,105.98,103.41,104.97,104.17,692700,0.0,0
2015-05-29,105.05,105.41,104.18,104.64,103.85,963100,0.0,0
2015-06-01,104.54,105.72,103.9,104.68,103.89,1459700,0.0,0
2015-06-02,108.62,114.3,108.62,112.09,111.24,4506800,0.0,0
2015-06-03,112.69,115.9,112.47,115.43,114.56,1993800,0.0,0
2015-06-04,114.32,116.91,113.71,115.58,114.7,1389900,0.0,0
2015-06-05,115.72,115.81,113.83,114.43,113.56,810600,0.0,0
2015-06-08,114.28,116.38,114.11,115.69,114.81,958100,0.0,0
2015-06-09,116.04,116.36,114.29,115.52,114.64,665000,0.0,0
2015-06-10,116.32,116.32,113.97,113.99,113.13,898400,0.0,0
2015-06-11,114.27,114.86,111.5,112.51,111.66,1473300,0.0,0
2015-06-12,112.4,113.01,111.65,112.75,111.9,692800,0.0,0
2015-06-15,112.08,112.41,110.65,111.17,110.33,909400,0.0,0
2015-06-16,111.51,113.47,110.59,112.93,112.07,1176500,0.0,0
2015-06-17,112.9,113.37,111.05,112.92,112.06,743800,0.0,0
2015-06-18,113.17,114.2,113.17,113.19,112.33,763700,0.0,0
2015-06-19,113.39,115.1,112.84,114.6,113.73,1178600,0.0,0
2015-06-22,115.32,115.32,113.81,114.64,113.77,687400,0.0,0
2015-06-23,114.48,115.17,114.19,114.86,113.99,448000,0.0,0
2015-06-24,114.8,115.02,113.63,113.69,112.83,385800,0.0,0
2015-06-25,114.38,117.11,114.37,116.25,115.37,1043000,0.0,0
2015-06-26,116.5,117.5,115.3,115.5,114.62,1862400,0.0,0
2015-06-29,114.59,115.55,112.83,112.98,112.12,746600,0.0,0
2015-06-30,113.93,115.82,113.4,115.2,114.33,1283200,0.0,0
2015-07-01,116.14,117.57,113.71,117.24,116.35,972900,0.0,0
2015-07-02,117.5,118.27,116.79,117.81,116.92,923600,0.0,0
2015-07-06,116.79,117.91,115.05,115.91,115.03,944200,0.0,0
2015-07-07,115.91,116.18,112.75,115.74,114.86,975300,0.0,0
2015-07-08,115.3,115.53,112.54,112.88,112.02,728900,0.0,0
2015-07-09,114.0,115.56,112.81,112.86,112.0,740900,0.0,0
2015-07-10,114.0,114.08,112.57,113.6,112.74,1008900,0.0,0
2015-07-13,114.5,116.72,114.44,116.53,115.65,760300,0.0,0
2015-07-14,116.47,116.91,115.65,115.76,114.88,503900,0.0,0
2015-07-15,115.67,116.25,114.55,114.8,113.93,576700,0.0,0
2015-07-16,115.19,115.91,113.6,115.42,114.55,660200,0.0,0
