Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,29.34,29.73,29.21,29.48,29.26,1427600,0.0,0
2015-04-28,29.49,29.63,29.37,29.56,29.34,1591500,0.0,0
2015-04-29,29.36,29.72,29.18,29.68,29.46,1923000,0.0,0
2015-04-30,29.63,29.7,28.51,28.91,28.7,4873300,0.0,0
2015-05-01,28.98,28.99,27.68,28.23,28.02,5296600,0.0,0
2015-05-04,28.22,28.32,27.98,28.13,27.92,3991900,0.0,0
2015-05-05,28.11,28.38,27.89,27.95,27.75,3424300,0.0,0
2015-05-06,28.18,28.32,27.77,28.0,27.8,2361900,0.0,0
2015-05-07,27.92,28.23,27.87,28.03,27.83,1665700,0.0,0
2015-05-08,28.31,28.78,28.22,28.77,28.56,1776900,0.0,0
2015-05-11,28.71,29.22,28.64,29.18,28.97,2220800,0.0,0
2015-05-12,29.01,29.1,28.56,28.76,28.55,2061100,0.0,0
2015-05-13,28.81,29.27,28.77,29.23,29.02,2270100,0.0,0
2015-05-14,29.47,29.59,29.18,29.37,29.16,3007400,0.0,0
2015-05-15,29.41,29.86,29.39,29.68,29.46,2715800,0.0,0
2015-05-18,29.57,30.09,29.34,30.01,29.79,2053000,0.0,0
2015-05-19,29.99,30.1,29.31,29.43,29.22,2745100,0.0,0
2015-05-20,29.49,29.7,29.42,29.63,29.41,1169100,0.0,0
2015-05-21,29.8,30.2,29.73,30.15,29.93,1500200,0.0,0
2015-05-22,30.03,30.08,29.57,29.62,29.4,1129600,0.0,0
2015-05-26,29.44,29.47,28.81,28.92,28.71,2271200,0.0,0
2015-05-27,29.0,29.59,28.78,29.53,29.31,1548200,0.0,0
2015-05-28,29.36,29.51,29.01,29.41,29.2,1075400,0.0,0
2015-05-29,29.38,29.47,29.1,29.32,29.11,1670300,0.0,0
2015-06-01,29.4,29.64,29.15,29.5,29.28,1395400,0.0,0
2015-06-02,29.47,30.07,29.24,30.04,29.82,2236500,0.0,0
2015-06-03,30.0,30.39,29.88,30.07,29.85,2147600,0.0,0
2015-06-04,29.85,29.85,29.07,29.18,28.97,2787900,0.0,0
2015-06-05,29.1,29.52,29.01,29.4,29.19,1586200,0.0,0
2015-06-08,29.38,29.55,28.8,28.83,28.62,2730000,0.0,0
2015-06-09,28.91,29.14,28.81,28.9,28.69,1504900,0.0,0
2015-06-10,29.16,29.52,29.08,29.33,29.12,1799200,0.0,0
2015-06-11,29.35,29.61,29.3,29.45,29.24,1175800,0.0,0
2015-06-12,29.38,29.93,29.15,29.74,29.52,1728600,0.0,0
2015-06-15,29.57,29.57,28.91,29.44,29.23,1964500,0.0,0
2015-06-16,29.44,30.07,29.22,29.92,29.7,2675900,0.0,0
2015-06-17,30.05,30.32,29.63,29.83,29.61,2522000,0.0,0
2015-06-18,29.87,30.17,29.77,29.8,29.58,2105800,0.0,0
2015-06-19,29.74,30.13,29.7,29.84,29.62,3042300,0.0,0
2015-06-22,30.05,30.45,29.8,30.41,30.19,2310400,0.0,0
2015-06-23,30.42,30.61,30.1,30.25,30.03,1962700,0.0,0
2015-06-24,30.23,30.35,29.57,29.6,29.38,1535200,0.0,0
2015-06-25,29.63,29.77,29.15,29.19,28.98,1598600,0.0,0
2015-06-26,29.21,29.82,29.06,29.7,29.48,3213000,0.0,0
2015-06-29,29.35,29.49,28.73,28.83,28.62,2266500,0.0,0
2015-06-30,29.07,29.2,28.7,28.82,28.61,1694400,0.0,0
2015-07-01,29.03,29.1,28.66,28.74,28.53,2279200,0.0,0
2015-07-02,28.83,28.91,28.35,28.55,28.34,1853800,0.0,0
2015-07-06,28.16,28.58,28.01,28.32,28.11,2094500,0.0,0
2015-07-07,28.3,28.88,27.55,28.79,28.58,3302100,0.0,0
2015-07-08,28.5,28.7,27.43,27.7,27.5,3127700,0.0,0
2015-07-09,28.12,28.26,27.87,27.93,27.73,2374300,0.0,0
2015-07-10,28.27,28.27,27.94,28.09,27.88,1775400,0.0,0
2015-07-13,28.41,28.62,28.35,28.6,28.39,1663700,0.0,0
2015-07-14,28.61,28.98,28.49,28.9,28.69,1495700,0.0,0
2015-07-15,28.78,28.87,28.24,28.29,28.08,2188400,0.0,0
2015-07-16,28.52,28.63,28.33,28.51,28.3,1527800,0.0,0
2015-07-17,28.51,28.62,28.07,28.19,27.98,1497300,0.0,0
2015-07-20,28.2,28.24,27.75,28.15,27.94,2650900,0.0,0
2015-07-21,28.14,28.3,27.94,28.11,27.9,3226000,0.0,0
2015-07-22,27.94,28.16,27.71,27.77,27.57,2525000,0.0,0
2015-07-23,27.85,28.01,27.4,27.46,27.26,1930500,0.0,0
2015-07-24,27.48,27.52,26.84,27.0,26.8,1640700,0.0,0
2015-07-27,26.8,26.97,26.5,26.63,26.44,2208800,0.0,0
2015-07-28,26.81,27.36,26.8,27.21,27.01,2072500,0.0,0
2015-07-29,27.22,27.93,27.21,27.79,27.59,1525100,0.0,0
2015-07-30,27.73,27.88,27.47,27.78,27.58,1223400,0.0,0
2015-07-31,27.79,27.79,27.43,27.62,27.42,1774100,0.0,0
2015-08-03,27.54,27.86,27.24,27.42,27.22,1658500,0.0,0
2015-08-04,27.46,27.63,27.19,27.33,27.13,2286200,0.0,0
2015-08-05,25.27,25.75,23.01,23.11,22.94,13491900,0.0,0
2015-08-06,23.15,23.77,22.68,23.34,23.17,6586600,0.0,0
2015-08-07,23.19,23.78,23.15,23.64,23.47,4275800,0.0,0
2015-08-10,23.84,24.73,23.8,24.48,24.3,4260000,0.0,0
2015-08-11,24.16,24.51,24.07,24.45,24.27,3675900,0.0,0
2015-08-12,24.2,25.05,24.18,24.94,24.76,3923300,0.0,0
2015-08-13,24.84,24.89,24.14,24.19,24.01,4153200,0.0,0
2015-08-14,24.18,24.71,24.17,24.53,24.35,2558100,0.0,0
2015-08-17,24.36,24.52,24.12,24.46,24.28,2927900,0.0,0
2015-08-18,24.38,24.6,24.34,24.49,24.31,2330600,0.0,0
2015-08-19,24.35,24.53,24.14,24.18,24.0,3267500,0.0,0
2015-08-20,24.01,24.18,23.65,23.66,23.49,2873300,0.0,0
2015-08-21,23.44,23.72,23.06,23.06,22.89,3864300,0.0,0
2015-08-24,21.39,22.94,21.35,21.97,21.81,5594200,0.0,0
2015-08-25,22.71,22.97,21.81,21.83,21.67,4348200,0.0,0
2015-08-26,22.36,22.49,21.9,22.41,22.25,4251400,0.0,0
2015-08-27,22.81,23.83,22.68,23.65,23.48,3729900,0.0,0
2015-08-28,23.49,23.9,23.49,23.77,23.6,4427800,0.0,0
2015-08-31,23.51,24.46,23.32,24.24,24.06,3629800,0.0,0
