Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,72.99,73.15,70.19,70.46,62.57,3354700,0.0,0
2015-04-28,70.52,71.1,69.07,70.01,62.17,3264300,0.0,0
2015-04-29,69.68,70.01,67.85,68.61,60.93,3033800,0.0,0
2015-04-30,68.96,69.32,67.58,68.06,60.44,1739000,0.0,0
2015-05-01,68.24,68.96,67.75,67.94,60.33,2260900,0.0,0
2015-05-04,68.7,69.38,67.85,68.23,60.59,1992700,0.0,0
2015-05-05,68.05,68.32,66.55,66.69,59.22,2104600,0.0,0
2015-05-06,67.08,67.16,65.91,66.9,59.41,2777000,0.0,0
2015-05-07,67.36,69.2,67.28,68.69,61.0,3552500,0.0,0
2015-05-08,70.86,72.64,70.7,72.45,64.34,5169700,0.0,0
2015-05-11,72.76,74.18,72.37,72.56,64.44,3714400,0.0,0
2015-05-12,72.29,72.91,71.45,72.39,64.29,1840100,0.0,0
2015-05-13,72.39,72.61,71.56,71.72,63.69,1224500,0.0,0
2015-05-14,72.43,74.56,72.29,74.45,66.12,3103600,0.0,0
2015-05-15,74.48,75.35,74.1,74.73,66.63,2363800,0.3,0
2015-05-18,74.39,75.89,74.26,75.72,67.79,1800200,0.3,0
2015-05-19,77.25,77.8,76.52,77.1,69.02,2679100,0.0,0
2015-05-20,76.61,77.82,76.36,76.5,68.49,1882900,0.0,0
2015-05-21,76.1,76.55,75.48,75.93,67.98,1646600,0.0,0
2015-05-22,76.0,76.44,75.58,76.22,68.23,1434800,0.0,0
2015-05-26,75.91,76.33,75.39,75.82,67.88,1969500,0.0,0
2015-05-27,76.29,77.74,76.1,77.47,69.35,2148200,0.0,0
2015-05-28,76.88,77.19,75.55,76.32,68.32,1811300,0.0,0
2015-05-29,75.3,76.75,75.28,75.98,68.02,2549600,0.0,0
2015-06-01,75.5,76.42,75.41,76.16,68.18,1893300,0.0,0
2015-06-02,75.78,77.86,75.72,77.26,69.17,2223200,0.0,0
2015-06-03,77.31,78.9,77.25,78.8,70.54,2784500,0.0,0
2015-06-04,78.43,79.65,77.75,78.17,69.98,1911400,0.0,0
2015-06-05,77.51,79.11,77.24,78.77,70.52,1523400,0.0,0
2015-06-08,78.6,78.92,78.01,78.19,70.0,1567300,0.0,0
2015-06-09,77.47,77.74,76.61,77.62,69.49,1772800,0.0,0
2015-06-10,77.11,77.99,76.34,76.63,68.6,2543200,0.0,0
2015-06-11,77.08,77.72,76.75,77.63,69.5,1605500,0.0,0
2015-06-12,77.1,77.49,76.65,76.8,68.75,1149000,0.0,0
2015-06-15,75.92,76.83,75.51,76.64,68.61,1445800,0.0,0
2015-06-16,76.38,77.22,76.23,77.05,68.98,1154600,0.0,0
2015-06-17,77.03,77.38,76.55,77.02,68.95,1769400,0.0,0
2015-06-18,77.22,79.86,77.22,79.62,71.28,2053100,0.0,0
2015-06-19,79.21,80.2,79.18,79.8,71.44,3920600,0.0,0
2015-06-22,81.03,81.82,80.3,81.38,72.85,2075800,0.0,0
2015-06-23,81.48,81.74,79.79,80.5,72.07,1883000,0.0,0
2015-06-24,80.95,81.6,79.9,79.93,71.56,2182400,0.0,0
2015-06-25,80.57,80.95,79.77,79.95,71.57,1492100,0.0,0
2015-06-26,80.29,80.92,79.73,79.8,71.44,1352400,0.0,0
2015-06-29,78.96,79.47,76.81,76.91,68.85,1699800,0.0,0
2015-06-30,77.87,79.27,77.61,78.69,70.45,2202200,0.0,0
2015-07-01,79.96,80.47,78.22,79.0,70.72,2196100,0.0,0
2015-07-02,79.22,80.0,78.1,78.78,70.53,1323600,0.0,0
2015-07-06,78.25,79.71,77.91,78.4,70.19,1814800,0.0,0
2015-07-07,78.44,80.1,77.74,80.0,71.62,2196600,0.0,0
2015-07-08,78.86,79.44,78.33,78.47,70.25,1879100,0.0,0
2015-07-09,79.67,79.9,78.37,78.51,70.28,1057000,0.0,0
2015-07-10,79.71,82.68,79.6,82.41,73.78,2411700,0.0,0
2015-07-13,83.16,83.5,82.21,83.14,74.43,1840500,0.0,0
2015-07-14,83.19,84.22,82.97,83.62,74.86,1295700,0.0,0
2015-07-15,83.41,84.4,83.03,83.59,74.83,1505400,0.0,0
2015-07-16,84.45,85.07,83.73,84.95,76.05,1466300,0.0,0
2015-07-17,84.9,85.28,83.93,84.28,75.45,1306500,0.0,0
2015-07-20,84.36,85.21,84.35,84.75,75.87,1262600,0.0,0
2015-07-21,85.46,85.63,83.97,84.6,75.74,1285300,0.0,0
2015-07-22,84.71,85.22,83.96,84.9,76.01,1196300,0.0,0
2015-07-23,85.09,85.17,82.77,83.17,74.46,1363900,0.0,0
2015-07-24,83.17,83.27,82.06,82.6,73.95,1418000,0.0,0
2015-07-27,82.32,82.59,81.29,81.69,73.13,1005700,0.0,0
2015-07-28,82.22,83.14,81.73,82.7,74.04,1167700,0.0,0
2015-07-29,83.02,84.08,82.74,83.91,75.12,1557400,0.0,0
2015-07-30,83.48,83.6,81.99,82.74,74.07,2770400,0.0,0
2015-07-31,88.12,90.88,88.05,89.85,80.44,4680100,0.0,0
2015-08-03,90.35,91.38,89.25,90.59,81.1,2770300,0.0,0
2015-08-04,90.22,90.63,88.4,89.15,79.81,1976700,0.0,0
2015-08-05,89.59,91.26,89.45,89.95,80.53,1819300,0.0,0
2015-08-06,90.18,90.58,89.4,90.0,80.57,3738800,0.0,0
2015-08-07,89.96,91.21,89.67,91.19,81.64,1747100,0.0,0
2015-08-10,91.97,92.68,91.7,92.04,82.4,3061900,0.0,0
2015-08-11,90.77,91.45,90.39,90.9,81.38,2280900,0.0,0
2015-08-12,89.96,90.08,88.29,89.71,80.31,2543600,0.0,0
2015-08-13,89.61,90.64,89.05,90.08,80.64,1178200,0.0,0
2015-08-14,89.35,90.24,88.92,89.89,80.47,1474700,0.0,0
2015-08-17,89.46,90.5,89.3,90.48,81.0,1388700,0.0,0
2015-08-18,90.18,90.45,89.77,90.39,80.92,1172400,0.0,0
2015-08-19,89.96,90.86,89.42,90.04,80.61,1276800,0.0,0
