Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,9.62,9.69,9.56,9.56,8.31,10873300,0.0,0
2015-04-28,9.56,9.67,9.53,9.64,8.38,12141100,0.0,0
2015-04-29,9.61,9.89,9.59,9.8,8.52,17493100,0.0,0
2015-04-30,9.79,9.91,9.75,9.83,8.55,22080500,0.0,0
2015-05-01,9.86,9.91,9.75,9.83,8.55,11788000,0.0,0
2015-05-04,9.85,9.99,9.84,9.98,8.68,12280900,0.0,0
2015-05-05,9.94,10.14,9.91,9.91,8.62,26269500,0.0,0
2015-05-06,9.97,10.0,9.82,9.92,8.62,14280600,0.0,0
2015-05-07,9.88,9.96,9.78,9.89,8.6,15442400,0.0,0
2015-05-08,9.94,9.98,9.84,9.93,8.63,20395800,0.0,0
2015-05-11,9.95,10.08,9.92,10.07,8.75,12547900,0.0,0
2015-05-12,10.03,10.25,9.99,10.17,8.84,21751000,0.0,0
2015-05-13,10.15,10.29,10.08,10.26,8.92,14809700,0.0,0
2015-05-14,10.3,10.31,10.16,10.19,8.86,14835700,0.0,0
2015-05-15,10.2,10.23,9.94,9.98,8.68,18780000,0.0,0
2015-05-18,10.02,10.25,10.01,10.21,8.88,14927600,0.0,0
2015-05-19,10.24,10.41,10.23,10.39,9.03,15793800,0.0,0
2015-05-20,10.36,10.39,10.22,10.26,8.92,9431000,0.0,0
2015-05-21,10.22,10.32,10.18,10.24,8.9,13552200,0.0,0
2015-05-22,10.25,10.3,10.22,10.22,8.88,6978800,0.0,0
2015-05-26,10.18,10.21,10.11,10.18,8.85,10852900,0.0,0
2015-05-27,10.21,10.29,10.19,10.28,8.94,8677200,0.0,0
2015-05-28,10.27,10.3,10.13,10.22,8.88,10353300,0.0,0
2015-05-29,10.24,10.24,10.07,10.09,8.77,12771800,0.0,0
2015-06-01,10.14,10.17,9.96,9.98,8.68,14854400,0.0,0
2015-06-02,10.0,10.16,9.98,10.13,8.81,14823800,0.0,0
2015-06-03,10.17,10.35,10.13,10.3,8.95,35803900,0.0,0
2015-06-04,10.25,10.35,10.19,10.22,8.88,15847800,0.0,0
2015-06-05,10.41,10.62,10.41,10.52,9.15,25929000,0.0,0
2015-06-08,10.46,10.64,10.42,10.43,9.07,15661800,0.0,0
2015-06-09,10.45,10.64,10.39,10.55,9.17,17767400,0.0,0
2015-06-10,10.55,10.75,10.53,10.65,9.31,14940100,0.06,0
2015-06-11,10.64,10.69,10.51,10.56,9.23,12486700,0.0,0
2015-06-12,10.55,10.62,10.52,10.58,9.25,9064500,0.0,0
2015-06-15,10.45,10.56,10.42,10.5,9.18,10774100,0.0,0
2015-06-16,10.5,10.62,10.45,10.6,9.27,8919400,0.0,0
2015-06-17,10.63,10.68,10.41,10.44,9.13,14028900,0.0,0
2015-06-18,10.48,10.51,10.27,10.5,9.18,16610800,0.0,0
2015-06-19,10.45,10.51,10.4,10.44,9.13,10049200,0.0,0
2015-06-22,10.54,10.61,10.5,10.61,9.28,9267200,0.0,0
2015-06-23,10.68,10.82,10.64,10.76,9.41,12882600,0.0,0
2015-06-24,10.72,10.79,10.62,10.67,9.33,9869300,0.0,0
2015-06-25,10.71,10.73,10.49,10.57,9.24,15100400,0.0,0
2015-06-26,10.63,10.7,10.51,10.53,9.21,14277200,0.0,0
2015-06-29,10.37,10.48,10.23,10.29,9.0,18228000,0.0,0
2015-06-30,10.39,10.51,10.29,10.36,9.06,12922600,0.0,0
2015-07-01,10.47,10.53,10.39,10.41,9.1,10993200,0.0,0
2015-07-02,10.33,10.41,10.19,10.27,8.98,12811000,0.0,0
2015-07-06,10.11,10.22,10.07,10.17,8.89,12639600,0.0,0
2015-07-07,10.12,10.14,9.82,10.04,8.78,20789400,0.0,0
2015-07-08,9.96,9.97,9.82,9.83,8.59,17361900,0.0,0
2015-07-09,9.99,10.04,9.93,10.0,8.74,14816500,0.0,0
2015-07-10,10.15,10.25,10.08,10.14,8.87,13351700,0.0,0
2015-07-13,10.25,10.3,10.19,10.2,8.92,13757900,0.0,0
2015-07-14,10.07,10.23,10.05,10.22,8.94,21315800,0.0,0
2015-07-15,10.25,10.47,10.23,10.31,9.01,26565600,0.0,0
2015-07-16,10.42,10.46,10.35,10.39,9.08,14450100,0.0,0
2015-07-17,10.24,10.27,10.02,10.12,8.85,26639300,0.0,0
2015-07-20,10.2,10.24,10.09,10.2,8.92,17290200,0.0,0
2015-07-21,10.24,10.52,10.24,10.41,9.1,25902200,0.0,0
2015-07-22,10.37,10.85,10.37,10.7,9.36,50668500,0.0,0
2015-07-23,10.68,10.87,10.52,10.62,9.29,25786400,0.0,0
2015-07-24,10.6,10.65,10.52,10.56,9.23,15410600,0.0,0
2015-07-27,10.48,10.48,10.34,10.41,9.1,18577300,0.0,0
2015-07-28,10.45,10.53,10.28,10.4,9.09,14121000,0.0,0
2015-07-29,10.41,10.56,10.35,10.52,9.2,15971900,0.0,0
2015-07-30,10.51,10.6,10.46,10.57,9.24,11128500,0.0,0
2015-07-31,10.55,10.56,10.38,10.39,9.08,11300700,0.0,0
2015-08-03,10.4,10.46,10.27,10.37,9.07,14982800,0.0,0
2015-08-04,10.37,10.53,10.36,10.37,9.07,13652900,0.0,0
2015-08-05,10.45,10.64,10.42,10.48,9.16,12096000,0.0,0
2015-08-06,10.53,10.67,10.49,10.57,9.24,20280800,0.0,0
2015-08-07,10.54,10.72,10.49,10.62,9.29,26399300,0.0,0
2015-08-10,10.7,10.81,10.64,10.8,9.44,12584800,0.0,0
2015-08-11,10.69,10.73,10.52,10.58,9.25,12792600,0.0,0
2015-08-12,10.47,10.48,10.19,10.35,9.05,16591800,0.0,0
2015-08-13,10.41,10.49,10.33,10.41,9.1,13293400,0.0,0
2015-08-14,10.43,10.57,10.37,10.55,9.22,11154900,0.0,0
2015-08-17,10.44,10.61,10.38,10.55,9.22,13069800,0.0,0
2015-08-18,10.53,10.6,10.46,10.5,9.18,10898700,0.0,0
2015-08-19,10.46,10.5,10.23,10.25,8.96,29846100,0.0,0
2015-08-20,10.16,10.2,9.93,9.93,8.68,19190600,0.0,0
2015-08-21,9.82,9.9,9.65,9.67,8.45,19259700,0.0,0
2015-08-24,9.11,9.3,8.95,8.98,7.85,38293000,0.0,0
2015-08-25,9.45,9.5,8.76,8.77,7.67,29720700,0.0,0
2015-08-26,9.08,9.27,8.93,9.25,8.09,22494200,0.0,0
2015-08-27,9.4,9.59,9.35,9.56,8.36,24075600,0.0,0
2015-08-28,9.51,9.64,9.48,9.62,8.41,13097300,0.0,0
2015-08-31,9.52,9.64,9.48,9.59,8.38,13324600,0.0,0
2015-09-01,9.35,9.42,9.12,9.21,8.05,19585200,0.0,0
2015-09-02,9.35,9.37,9.13,9.34,8.17,12069200,0.0,0
2015-09-03,9.37,9.59,9.31,9.43,8.24,13322100,0.0,0
2015-09-04,9.35,9.4,9.16,9.26,8.1,12480500,0.0,0
2015-09-08,9.47,9.54,9.36,9.52,8.32,10022400,0.0,0
2015-09-09,9.62,9.66,9.31,9.34,8.22,10729200,0.06,0
2015-09-10,9.29,9.58,9.29,9.52,8.38,16330900,0.0,0
2015-09-11,9.43,9.53,9.4,9.51,8.37,12928100,0.0,0
2015-09-14,9.47,9.7,9.44,9.59,8.44,17577000,0.0,0
2015-09-15,9.66,9.77,9.64,9.73,8.56,16306500,0.0,0
2015-09-16,9.72,9.72,9.43,9.57,8.42,17332100,0.0,0
2015-09-17,9.55,9.63,9.23,9.29,8.17,35232500,0.0,0
2015-09-18,9.16,9.18,8.92,8.94,7.87,28374200,0.0,0
2015-09-21,9.03,9.19,9.01,9.09,8.0,15484000,0.0,0
