Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,57.1,57.67,56.81,56.91,52.93,546000,0.0,0
2015-04-28,56.77,57.39,56.44,57.22,53.22,603800,0.0,0
2015-04-29,56.92,57.64,56.92,57.4,53.39,617000,0.0,0
2015-04-30,57.37,57.59,56.42,56.53,52.58,862900,0.0,0
2015-05-01,56.87,57.26,56.66,56.78,52.81,557200,0.0,0
2015-05-04,56.86,57.78,56.74,57.62,53.59,389500,0.0,0
2015-05-05,57.64,58.13,57.26,57.41,53.39,477100,0.0,0
2015-05-06,57.48,57.72,56.91,57.45,53.43,584600,0.0,0
2015-05-07,57.21,58.11,57.18,57.82,53.78,719400,0.0,0
2015-05-08,58.21,58.22,57.78,57.96,53.91,384500,0.0,0
2015-05-11,57.82,58.83,57.8,58.3,54.22,514300,0.0,0
2015-05-12,57.97,58.09,57.34,57.53,53.51,604000,0.0,0
2015-05-13,57.67,57.89,57.36,57.74,53.7,417600,0.0,0
2015-05-14,57.95,58.35,57.59,58.33,54.25,458600,0.0,0
2015-05-15,58.35,58.48,57.5,57.93,53.88,520100,0.0,0
2015-05-18,57.91,58.91,57.71,58.85,54.73,536500,0.0,0
2015-05-19,59.12,59.12,58.48,58.5,54.41,626400,0.0,0
2015-05-20,58.64,58.83,57.9,58.75,54.64,414800,0.0,0
2015-05-21,58.4,58.79,58.1,58.67,54.57,362900,0.0,0
2015-05-22,58.64,59.03,58.47,58.55,54.45,439100,0.0,0
2015-05-26,58.3,58.3,57.72,58.12,54.05,642800,0.0,0
2015-05-27,58.25,58.68,57.87,58.53,54.44,421700,0.0,0
2015-05-28,58.33,58.74,58.11,58.74,54.63,350600,0.0,0
2015-05-29,58.6,58.73,57.8,58.12,54.05,574900,0.0,0
2015-06-01,58.37,58.52,57.57,58.08,54.02,608600,0.0,0
2015-06-02,58.07,58.38,57.58,58.23,54.16,320600,0.0,0
2015-06-03,58.67,59.52,58.36,59.37,55.22,490700,0.0,0
2015-06-04,58.99,59.13,58.67,59.02,54.89,514800,0.0,0
2015-06-05,59.39,60.04,58.93,59.58,55.41,614900,0.0,0
2015-06-08,59.69,60.0,59.25,59.36,55.21,655300,0.0,0
2015-06-09,59.55,59.85,59.01,59.31,55.16,602700,0.0,0
2015-06-10,59.62,60.44,59.53,60.37,56.15,612900,0.0,0
2015-06-11,60.41,60.65,60.19,60.45,56.22,472300,0.0,0
2015-06-12,60.25,60.61,60.03,60.37,56.15,444500,0.0,0
2015-06-15,59.74,60.15,59.28,60.06,55.86,473300,0.0,0
2015-06-16,59.88,60.39,59.78,60.29,56.07,437400,0.0,0
2015-06-17,60.31,60.5,59.73,59.75,55.57,541600,0.0,0
2015-06-18,59.85,60.38,59.61,60.26,56.05,591000,0.0,0
2015-06-19,60.31,60.38,59.9,60.14,55.93,1310800,0.0,0
2015-06-22,60.75,61.08,60.4,61.04,56.77,750400,0.0,0
2015-06-23,61.29,61.46,60.97,61.29,57.0,779700,0.0,0
2015-06-24,61.02,61.41,60.49,60.67,56.43,559300,0.0,0
2015-06-25,60.75,61.32,60.64,60.77,56.52,472800,0.0,0
2015-06-26,61.17,61.31,60.77,61.08,56.81,614900,0.0,0
2015-06-29,60.16,60.48,59.23,59.34,55.35,907000,0.18,0
2015-06-30,60.0,60.34,59.32,59.58,55.58,928400,0.0,0
2015-07-01,60.38,60.61,59.84,60.01,55.98,648400,0.0,0
2015-07-02,60.0,60.11,59.22,59.73,55.72,560500,0.0,0
2015-07-06,58.87,59.5,58.73,59.18,55.2,734700,0.0,0
2015-07-07,59.13,59.46,57.39,58.61,54.67,916300,0.0,0
2015-07-08,57.95,58.11,56.92,57.03,53.2,872500,0.0,0
2015-07-09,57.95,58.16,57.56,57.65,53.78,577700,0.0,0
2015-07-10,58.39,58.71,57.96,58.65,54.71,751900,0.0,0
2015-07-13,59.16,59.61,59.05,59.6,55.6,538000,0.0,0
2015-07-14,59.46,60.0,59.13,59.82,55.8,556100,0.0,0
2015-07-15,60.0,60.29,59.59,60.09,56.05,631700,0.0,0
2015-07-16,60.56,61.3,60.43,61.18,57.07,659400,0.0,0
2015-07-17,61.04,61.29,60.28,60.9,56.81,900700,0.0,0
2015-07-20,61.01,61.1,60.56,60.91,56.82,399700,0.0,0
2015-07-21,60.96,61.25,60.12,60.31,56.26,591500,0.0,0
2015-07-22,60.15,60.82,59.68,60.73,56.65,442000,0.0,0
2015-07-23,61.31,61.82,59.48,59.81,55.79,850200,0.0,0
2015-07-24,59.85,59.9,58.83,58.98,55.02,692400,0.0,0
2015-07-27,58.59,58.76,57.66,57.97,54.07,544300,0.0,0
2015-07-28,58.25,58.55,57.82,58.47,54.54,911900,0.0,0
2015-07-29,58.5,59.37,58.34,59.26,55.28,372000,0.0,0
2015-07-30,59.12,59.72,58.94,59.69,55.68,476100,0.0,0
2015-07-31,59.58,59.58,58.92,59.0,55.04,578000,0.0,0
2015-08-03,59.12,59.18,58.6,58.96,55.0,496000,0.0,0
2015-08-04,59.02,59.72,58.94,59.53,55.53,405500,0.0,0
2015-08-05,59.83,60.26,59.29,59.42,55.43,451500,0.0,0
2015-08-06,59.55,59.71,58.5,58.85,54.9,400800,0.0,0
2015-08-07,58.63,59.22,58.06,58.62,54.68,373700,0.0,0
2015-08-10,58.99,59.75,58.77,59.47,55.47,351300,0.0,0
2015-08-11,58.81,58.85,57.8,58.04,54.14,624600,0.0,0
2015-08-12,57.49,57.93,56.19,57.51,53.65,732000,0.0,0
2015-08-13,57.48,58.23,57.29,57.87,53.98,450700,0.0,0
2015-08-14,57.7,58.56,57.54,58.5,54.57,420200,0.0,0
2015-08-17,58.13,58.62,57.82,58.62,54.68,596600,0.0,0
2015-08-18,58.49,58.79,58.29,58.48,54.55,450400,0.0,0
2015-08-19,58.04,58.28,57.4,57.52,53.65,564200,0.0,0
2015-08-20,56.57,56.64,55.37,55.46,51.73,1101900,0.0,0
2015-08-21,54.85,55.04,53.13,53.16,49.59,1187700,0.0,0
2015-08-24,50.5,52.05,49.61,49.99,46.63,2834800,0.0,0
2015-08-25,52.06,52.06,50.06,50.1,46.73,1523400,0.0,0
2015-08-26,51.31,52.29,50.38,52.13,48.63,1129900,0.0,0
2015-08-27,52.83,53.92,52.61,53.69,50.08,1393800,0.0,0
2015-08-28,53.3,53.58,52.83,53.45,49.86,1074000,0.0,0
2015-08-31,53.15,53.57,52.63,52.99,49.43,747500,0.0,0
2015-09-01,51.68,52.05,50.87,51.05,47.62,1517700,0.0,0
2015-09-02,51.94,52.0,50.84,51.91,48.42,806300,0.0,0
2015-09-03,51.94,52.57,51.51,51.69,48.22,838300,0.0,0
2015-09-04,51.15,51.47,50.8,51.01,47.58,894300,0.0,0
2015-09-08,51.93,52.62,51.79,52.49,48.96,656400,0.0,0
2015-09-09,53.16,53.45,51.62,51.74,48.26,590800,0.0,0
2015-09-10,51.47,52.76,51.47,52.33,48.81,667400,0.0,0
2015-09-11,51.99,52.33,51.46,51.85,48.37,789500,0.0,0
2015-09-14,51.89,52.13,51.49,51.84,48.36,452200,0.0,0
2015-09-15,52.02,52.64,51.57,52.53,49.0,461900,0.0,0
2015-09-16,52.68,53.04,52.26,52.9,49.35,684100,0.0,0
2015-09-17,52.91,53.15,51.4,51.55,48.09,990600,0.0,0
2015-09-18,50.84,50.89,49.76,49.92,46.57,1338600,0.0,0
2015-09-21,50.42,50.77,49.94,50.31,46.93,1307000,0.0,0
2015-09-22,49.71,49.96,49.34,49.78,46.43,735200,0.0,0
2015-09-23,49.76,50.1,49.39,49.55,46.22,446300,0.0,0
2015-09-24,49.0,49.3,48.78,49.15,45.85,873900,0.0,0
2015-09-25,49.86,50.31,49.47,49.67,46.33,629600,0.0,0
