Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,136.2,136.94,135.31,135.7,121.33,453900,0.0,0
2015-04-28,134.74,136.16,133.6,134.86,120.58,523600,0.0,0
2015-04-29,134.45,134.7,132.91,134.07,119.88,855100,0.0,0
2015-04-30,134.01,134.54,132.28,133.41,119.28,834400,0.0,0
2015-05-01,134.11,136.65,133.94,136.12,121.71,738300,0.0,0
2015-05-04,136.11,136.86,135.37,135.95,121.56,685900,0.0,0
2015-05-05,135.27,136.17,134.39,135.4,121.06,622000,0.0,0
2015-05-06,135.31,135.49,133.7,133.94,119.76,601700,0.0,0
2015-05-07,134.23,134.7,133.18,134.08,119.88,621800,0.0,0
2015-05-08,135.0,135.88,134.24,134.39,120.16,746000,0.0,0
2015-05-11,134.25,135.58,133.96,134.64,120.38,1061600,0.0,0
2015-05-12,133.65,134.73,132.38,133.2,119.1,1824500,0.0,0
2015-05-13,129.5,134.78,128.28,129.18,115.5,3250800,0.0,0
2015-05-14,130.26,132.75,127.77,131.69,117.75,1625700,0.0,0
2015-05-15,131.77,134.1,131.48,133.11,119.02,919400,0.0,0
2015-05-18,133.37,134.31,132.32,132.53,118.5,753800,0.0,0
2015-05-19,132.37,132.76,130.35,130.7,116.86,894500,0.0,0
2015-05-20,131.04,132.36,130.82,131.39,117.48,1055700,0.0,0
2015-05-21,131.04,131.77,130.71,131.53,117.6,879700,0.0,0
2015-05-22,131.75,133.4,131.69,133.03,118.95,677700,0.0,0
2015-05-26,132.53,132.64,128.42,128.44,114.84,1189200,0.0,0
2015-05-27,128.03,129.72,127.78,128.26,114.68,765300,0.0,0
2015-05-28,130.71,132.95,129.99,131.85,117.89,1050500,0.0,0
2015-05-29,131.63,132.22,130.0,130.4,116.59,790300,0.0,0
2015-06-01,130.77,132.24,129.78,131.6,117.67,755100,0.0,0
2015-06-02,132.14,136.27,132.11,135.37,121.04,1844500,0.0,0
2015-06-03,135.37,137.57,135.17,136.86,122.37,1181000,0.0,0
2015-06-04,135.95,137.89,135.95,137.08,122.57,963100,0.0,0
2015-06-05,137.0,138.05,136.76,137.1,122.58,887800,0.0,0
2015-06-08,136.5,137.23,136.1,136.43,121.99,583600,0.0,0
2015-06-09,136.7,137.26,135.66,136.31,121.88,684000,0.0,0
2015-06-10,136.72,137.42,135.47,135.58,121.23,605800,0.0,0
2015-06-11,135.56,136.32,134.25,135.77,121.4,518400,0.0,0
2015-06-12,135.28,135.42,134.18,135.25,120.93,357600,0.0,0
2015-06-15,134.49,134.85,133.33,134.05,119.86,506300,0.0,0
2015-06-16,133.5,134.88,133.08,134.37,120.14,716000,0.0,0
2015-06-17,134.61,135.17,132.95,134.71,120.45,721500,0.0,0
2015-06-18,135.53,140.0,135.25,139.5,124.73,1230500,0.0,0
2015-06-19,139.1,140.9,138.71,140.24,125.39,1148700,0.0,0
2015-06-22,141.0,141.03,138.98,139.26,124.52,593900,0.0,0
2015-06-23,139.11,140.0,138.52,139.56,124.78,571200,0.0,0
2015-06-24,138.9,139.0,137.42,137.65,123.52,974600,0.5,0
2015-06-25,138.02,138.44,136.11,136.17,122.19,625500,0.0,0
2015-06-26,136.81,137.44,135.78,136.86,122.81,1357600,0.0,0
2015-06-29,135.39,135.67,133.78,133.83,120.09,836100,0.0,0
2015-06-30,134.58,134.58,131.94,132.36,118.77,599500,0.0,0
2015-07-01,133.34,133.58,131.83,133.26,119.58,858900,0.0,0
2015-07-02,133.58,135.27,133.32,134.76,120.93,639400,0.0,0
2015-07-06,133.69,134.07,131.42,132.62,119.0,674100,0.0,0
2015-07-07,133.05,133.95,130.87,133.79,120.05,618800,0.0,0
2015-07-08,132.64,133.8,129.05,129.54,116.24,725900,0.0,0
2015-07-09,130.8,131.53,128.78,128.99,115.75,621700,0.0,0
2015-07-10,130.5,131.43,128.45,129.7,116.38,791900,0.0,0
2015-07-13,132.0,134.55,131.64,134.27,120.49,819500,0.0,0
2015-07-14,134.5,135.52,133.89,135.28,121.39,541100,0.0,0
2015-07-15,135.03,135.17,132.37,132.59,118.98,625000,0.0,0
2015-07-16,133.45,134.17,132.68,132.99,119.34,500600,0.0,0
2015-07-17,132.6,133.0,130.25,130.76,117.34,427900,0.0,0
2015-07-20,130.71,131.14,129.82,130.51,117.11,691300,0.0,0
2015-07-21,130.43,132.04,129.52,130.27,116.9,448700,0.0,0
2015-07-22,129.87,130.64,129.58,130.03,116.68,489000,0.0,0
2015-07-23,130.78,130.78,128.59,128.82,115.6,389500,0.0,0
2015-07-24,129.59,129.9,125.44,126.85,113.83,573000,0.0,0
2015-07-27,126.49,126.5,124.38,125.0,112.17,792500,0.0,0
2015-07-28,125.5,126.73,123.52,126.61,113.61,764800,0.0,0
2015-07-29,126.46,127.07,125.44,126.92,113.89,539300,0.0,0
2015-07-30,126.38,127.8,125.88,127.12,114.07,548600,0.0,0
2015-07-31,127.42,127.84,125.74,125.89,112.97,1194100,0.0,0
2015-08-03,125.24,125.66,119.16,123.29,110.63,2223800,0.0,0
2015-08-04,123.51,125.73,122.43,123.31,110.65,1489200,0.0,0
2015-08-05,127.65,129.16,120.88,121.5,109.03,2201500,0.0,0
2015-08-06,121.83,122.29,119.62,120.17,107.83,2291400,0.0,0
2015-08-07,119.74,120.84,119.0,120.2,107.86,1434900,0.0,0
2015-08-10,121.03,121.41,119.31,120.54,108.17,1349600,0.0,0
2015-08-11,119.83,120.01,118.51,119.0,106.78,1212900,0.0,0
2015-08-12,118.48,118.48,116.18,118.0,105.89,1107600,0.0,0
2015-08-13,118.23,118.7,117.02,117.29,105.25,906000,0.0,0
2015-08-14,117.33,118.58,117.03,118.0,105.89,1165100,0.0,0
2015-08-17,117.27,118.15,116.46,117.99,105.88,711500,0.0,0
2015-08-18,118.0,118.31,116.62,117.23,105.19,1018300,0.0,0
2015-08-19,117.08,117.43,115.43,115.72,103.84,1164700,0.0,0
2015-08-20,114.46,115.48,112.88,112.9,101.31,1456800,0.0,0
2015-08-21,111.65,112.5,110.18,110.64,99.28,1514100,0.0,0
2015-08-24,105.04,111.72,104.63,107.59,96.54,2295400,0.0,0
2015-08-25,110.01,110.2,104.94,105.02,94.24,1294300,0.0,0
2015-08-26,107.69,108.29,104.34,106.79,95.83,1348800,0.0,0
2015-08-27,108.63,109.88,107.13,109.18,97.97,1151200,0.0,0
2015-08-28,109.04,111.72,108.5,110.89,99.51,1019700,0.0,0
2015-08-31,110.37,113.19,109.42,111.19,99.78,1140600,0.0,0
2015-09-01,109.37,110.71,107.76,108.44,97.31,773200,0.0,0
2015-09-02,109.67,109.87,107.5,109.5,98.26,611000,0.0,0
2015-09-03,110.2,111.54,109.05,110.96,99.57,922400,0.0,0
2015-09-04,109.45,110.32,108.25,108.98,97.79,517400,0.0,0
2015-09-08,110.73,111.36,109.94,111.05,99.65,636700,0.0,0
2015-09-09,112.26,113.5,108.6,108.84,97.67,662900,0.0,0
2015-09-10,108.66,110.26,108.59,109.12,97.92,631300,0.0,0
2015-09-11,108.88,110.33,108.04,109.71,98.45,651500,0.0,0
2015-09-14,109.37,109.38,107.41,107.91,96.83,629400,0.0,0
2015-09-15,108.34,109.9,107.8,109.71,98.45,719800,0.0,0
2015-09-16,109.71,114.91,109.5,114.6,102.83,1249200,0.0,0
2015-09-17,114.41,116.05,113.49,113.95,102.25,1235100,0.0,0
2015-09-18,112.5,112.83,109.07,109.38,98.15,1021500,0.0,0
2015-09-21,110.78,111.89,110.11,111.51,100.06,1116100,0.0,0
2015-09-22,110.0,110.68,109.05,110.35,99.02,785400,0.0,0
2015-09-23,110.44,112.07,106.92,108.07,97.42,563400,0.5,0
2015-09-24,109.53,110.63,106.92,109.2,98.44,932600,0.0,0
2015-09-25,110.47,110.71,107.75,108.32,97.64,746100,0.0,0
2015-09-28,107.79,109.23,104.61,104.88,94.54,763100,0.0,0
2015-09-29,104.79,105.79,103.29,104.05,93.79,717700,0.0,0
2015-09-30,111.62,119.14,111.55,118.16,106.51,4770500,0.0,0
2015-10-01,117.2,118.25,115.11,116.56,105.07,1562700,0.0,0
2015-10-02,115.46,117.37,113.5,117.36,105.79,1105700,0.0,0
2015-10-05,118.26,119.52,116.31,119.28,107.52,915500,0.0,0
2015-10-06,119.11,121.3,117.89,119.99,108.16,990600,0.0,0
2015-10-07,120.33,120.97,117.27,118.62,106.93,1100700,0.0,0
2015-10-08,118.64,122.09,117.1,121.25,109.3,939500,0.0,0
2015-10-09,120.0,121.56,118.9,120.54,108.66,751200,0.0,0
2015-10-12,121.85,123.0,119.74,120.58,108.69,596000,0.0,0
2015-10-13,119.27,120.27,118.19,118.73,107.03,633800,0.0,0
2015-10-14,119.11,120.1,118.12,118.73,107.03,744700,0.0,0
2015-10-15,119.23,119.61,115.88,117.29,105.73,827700,0.0,0
2015-10-16,117.82,117.82,115.18,116.96,105.43,735900,0.0,0
2015-10-19,116.67,117.66,115.75,117.21,105.66,914900,0.0,0
2015-10-20,117.21,118.65,116.0,117.75,106.14,971500,0.0,0
2015-10-21,118.08,118.1,115.5,115.81,104.39,931300,0.0,0
2015-10-22,116.29,117.51,115.81,116.68,105.18,404100,0.0,0
2015-10-23,114.94,116.68,110.48,113.69,102.48,2024300,0.0,0
2015-10-26,114.1,115.52,113.0,113.61,102.41,652500,0.0,0
2015-10-27,113.8,114.47,112.05,112.18,101.12,917900,0.0,0
2015-10-28,112.28,113.36,110.59,112.43,101.35,861900,0.0,0
2015-10-29,109.42,111.01,108.98,110.33,99.45,1222400,0.0,0
2015-10-30,110.67,112.0,110.26,110.77,99.85,1008500,0.0,0
2015-11-02,110.89,111.33,108.75,110.85,99.92,573800,0.0,0
2015-11-03,111.45,114.59,110.46,114.17,102.92,1186900,0.0,0
2015-11-04,114.47,115.14,112.07,113.57,102.37,1413300,0.0,0
