Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,65.32,65.84,64.24,64.55,59.33,1932300,0.0,0
2015-04-28,64.25,65.27,64.03,64.68,59.45,1054500,0.0,0
2015-04-29,64.73,64.85,63.99,64.09,58.9,941900,0.0,0
2015-04-30,63.98,64.53,63.68,63.94,58.77,882800,0.0,0
2015-05-01,63.92,64.85,63.92,64.78,59.54,1021200,0.0,0
2015-05-04,65.1,66.02,65.02,65.65,60.34,971000,0.0,0
2015-05-05,65.68,65.77,64.39,64.61,59.38,834300,0.0,0
2015-05-06,65.15,65.39,64.52,64.83,59.58,581500,0.0,0
2015-05-07,64.99,65.35,64.83,65.17,59.9,505700,0.0,0
2015-05-08,65.93,66.62,65.47,65.62,60.31,554300,0.0,0
2015-05-11,65.36,65.77,65.29,65.6,60.29,636400,0.0,0
2015-05-12,65.2,65.5,64.61,65.37,60.08,395600,0.0,0
2015-05-13,58.95,58.95,54.5,55.48,50.99,8885700,0.0,0
2015-05-14,55.56,56.84,55.56,56.46,51.89,2820200,0.0,0
2015-05-15,56.62,56.62,55.95,56.2,51.65,1023400,0.0,0
2015-05-18,55.78,56.83,55.49,56.81,52.21,2000000,0.0,0
2015-05-19,56.46,57.28,56.46,56.83,52.49,1028500,0.28,0
2015-05-20,56.69,57.89,56.49,57.25,52.88,709800,0.0,0
2015-05-21,57.24,57.46,56.77,57.32,52.94,732500,0.0,0
2015-05-22,57.27,57.49,56.86,57.08,52.72,802600,0.0,0
2015-05-26,57.26,57.63,56.98,57.42,53.03,833200,0.0,0
2015-05-27,57.51,58.4,57.48,58.1,53.66,1099200,0.0,0
2015-05-28,57.99,58.74,57.99,58.65,54.17,572800,0.0,0
2015-05-29,58.65,59.45,58.55,58.82,54.33,885600,0.0,0
2015-06-01,58.8,59.56,58.54,59.34,54.81,795200,0.0,0
2015-06-02,59.05,59.76,58.52,59.68,55.12,845500,0.0,0
2015-06-03,59.67,60.0,59.16,59.59,55.04,591200,0.0,0
2015-06-04,59.22,59.7,58.78,59.59,55.04,766800,0.0,0
2015-06-05,59.56,59.8,59.28,59.66,55.1,427300,0.0,0
2015-06-08,59.72,59.85,58.8,58.93,54.43,881700,0.0,0
2015-06-09,58.95,59.0,58.3,58.7,54.22,1125600,0.0,0
2015-06-10,58.8,58.89,58.31,58.8,54.31,600200,0.0,0
2015-06-11,59.06,59.4,58.89,59.1,54.59,902100,0.0,0
2015-06-12,58.88,58.99,58.46,58.56,54.09,615200,0.0,0
2015-06-15,58.33,58.75,57.76,58.55,54.08,681400,0.0,0
2015-06-16,58.26,58.59,57.57,57.76,53.35,1259800,0.0,0
2015-06-17,57.63,57.74,56.66,57.15,52.79,1148600,0.0,0
2015-06-18,56.85,57.39,56.62,57.2,52.83,856800,0.0,0
2015-06-19,57.25,57.72,56.86,57.56,53.16,1113300,0.0,0
2015-06-22,58.2,58.39,57.52,58.01,53.58,531800,0.0,0
2015-06-23,57.95,57.97,56.58,56.76,52.43,730500,0.0,0
2015-06-24,56.52,56.98,56.29,56.3,52.0,559300,0.0,0
2015-06-25,56.53,57.0,56.0,56.19,51.9,830900,0.0,0
2015-06-26,56.46,56.64,55.78,55.89,51.62,854300,0.0,0
2015-06-29,55.27,56.33,54.9,55.44,51.21,881000,0.0,0
2015-06-30,56.15,56.52,55.83,56.37,52.07,913500,0.0,0
2015-07-01,56.68,56.75,55.13,55.3,51.08,856400,0.0,0
2015-07-02,55.53,55.54,54.81,55.31,51.09,843400,0.0,0
2015-07-06,55.03,55.53,54.85,55.38,51.15,2215300,0.0,0
2015-07-07,55.63,56.7,55.31,56.63,52.31,914100,0.0,0
2015-07-08,56.43,56.97,55.88,56.01,51.73,839400,0.0,0
2015-07-09,56.25,57.05,55.93,56.77,52.43,749000,0.0,0
2015-07-10,57.01,57.26,56.54,57.05,52.69,605200,0.0,0
2015-07-13,57.58,57.91,56.87,57.4,53.02,802100,0.0,0
2015-07-14,57.21,57.72,56.38,57.58,53.18,665600,0.0,0
2015-07-15,57.59,57.68,56.91,57.29,52.91,607000,0.0,0
2015-07-16,57.78,57.9,57.48,57.79,53.38,489200,0.0,0
2015-07-17,57.78,57.78,57.23,57.34,52.96,597400,0.0,0
2015-07-20,57.47,57.47,56.86,57.12,52.76,638700,0.0,0
2015-07-21,57.12,57.2,56.54,56.76,52.43,670600,0.0,0
2015-07-22,56.76,56.76,56.22,56.55,52.23,943800,0.0,0
2015-07-23,56.61,56.61,56.18,56.27,51.97,955800,0.0,0
2015-07-24,56.11,56.65,55.82,55.92,51.65,773900,0.0,0
2015-07-27,55.95,56.35,55.04,55.17,50.96,785600,0.0,0
2015-07-28,55.6,56.99,55.22,56.7,52.37,1061500,0.0,0
2015-07-29,56.4,56.45,55.32,55.92,51.65,1076400,0.0,0
2015-07-30,55.0,56.26,55.0,56.12,51.83,1077500,0.0,0
2015-07-31,56.5,58.82,56.5,57.95,53.52,2017300,0.0,0
2015-08-03,57.69,57.99,55.2,55.4,51.17,1339500,0.0,0
2015-08-04,56.78,57.04,55.53,55.9,51.63,1371700,0.0,0
2015-08-05,55.98,56.09,55.23,55.55,51.31,818200,0.0,0
2015-08-06,55.86,56.31,54.35,54.83,50.64,883100,0.0,0
2015-08-07,54.86,55.13,54.01,54.88,50.69,881300,0.0,0
2015-08-10,55.21,55.6,55.14,55.44,51.21,712100,0.0,0
2015-08-11,54.92,55.71,54.71,55.16,50.95,512100,0.0,0
2015-08-12,54.82,55.24,54.32,55.18,50.97,626800,0.0,0
2015-08-13,54.76,55.64,54.67,55.3,51.08,371600,0.0,0
2015-08-14,55.0,55.89,54.96,55.85,51.58,367200,0.0,0
2015-08-17,55.54,56.04,54.94,55.3,51.08,911200,0.0,0
2015-08-18,55.12,55.62,54.87,54.89,50.97,509600,0.3,0
2015-08-19,54.7,54.75,53.87,54.46,50.58,463600,0.0,0
2015-08-20,53.96,54.62,53.49,53.93,50.08,840100,0.0,0
2015-08-21,53.45,53.73,52.48,52.5,48.76,849000,0.0,0
2015-08-24,50.09,51.38,48.99,49.54,46.01,1818400,0.0,0
2015-08-25,50.75,51.59,50.01,50.52,46.92,1207700,0.0,0
2015-08-26,51.51,51.81,50.5,51.81,48.11,1000100,0.0,0
2015-08-27,52.1,52.21,51.04,51.65,47.97,1020800,0.0,0
2015-08-28,51.7,52.53,51.54,52.47,48.73,530600,0.0,0
2015-08-31,52.41,52.73,51.83,51.94,48.24,651500,0.0,0
2015-09-01,50.8,51.23,50.21,50.75,47.13,1353600,0.0,0
2015-09-02,51.36,51.91,50.92,51.91,48.21,606900,0.0,0
2015-09-03,52.0,52.43,51.58,51.63,47.95,450400,0.0,0
2015-09-04,51.06,51.62,51.06,51.17,47.52,511500,0.0,0
2015-09-08,51.99,51.99,51.24,51.91,48.21,696700,0.0,0
2015-09-09,51.87,51.89,50.29,50.41,46.81,745100,0.0,0
2015-09-10,50.07,51.04,49.91,50.72,47.1,811700,0.0,0
2015-09-11,50.36,51.86,50.24,51.48,47.81,841200,0.0,0
2015-09-14,51.35,51.35,50.78,50.95,47.32,941200,0.0,0
2015-09-15,50.89,51.04,50.46,50.9,47.27,771100,0.0,0
2015-09-16,50.84,51.0,50.52,50.9,47.27,632800,0.0,0
2015-09-17,50.76,51.9,50.71,51.25,47.59,595300,0.0,0
2015-09-18,50.74,51.3,50.57,51.0,47.36,1180500,0.0,0
2015-09-21,51.24,51.85,50.25,50.27,46.68,628000,0.0,0
2015-09-22,50.0,50.1,49.22,49.79,46.24,483000,0.0,0
2015-09-23,49.76,50.52,49.63,49.74,46.19,364300,0.0,0
2015-09-24,49.64,51.8,49.64,51.72,48.03,1181100,0.0,0
2015-09-25,51.72,51.84,50.02,50.52,46.92,917400,0.0,0
2015-09-28,50.22,50.38,49.11,49.43,45.9,979200,0.0,0
2015-09-29,49.37,50.74,49.25,50.62,47.01,969300,0.0,0
2015-09-30,51.07,51.42,50.47,50.96,47.33,1268700,0.0,0
2015-10-01,50.96,51.32,50.48,51.25,47.59,1018900,0.0,0
2015-10-02,50.67,51.67,50.58,51.67,47.98,503700,0.0,0
2015-10-05,52.13,53.0,52.07,52.66,48.9,539800,0.0,0
2015-10-06,52.48,53.07,52.03,52.92,49.15,739900,0.0,0
2015-10-07,53.27,54.1,53.0,54.07,50.21,776700,0.0,0
2015-10-08,53.59,53.98,53.37,53.91,50.06,607500,0.0,0
2015-10-09,53.85,54.71,53.73,54.3,50.43,453000,0.0,0
2015-10-12,54.04,54.63,53.86,54.55,50.66,288100,0.0,0
2015-10-13,54.34,54.68,54.06,54.52,50.63,626300,0.0,0
2015-10-14,54.75,55.47,54.72,55.25,51.31,588300,0.0,0
2015-10-15,55.35,56.35,55.28,56.33,52.31,606900,0.0,0
2015-10-16,56.45,56.91,56.17,56.5,52.47,346900,0.0,0
2015-10-19,56.3,58.0,56.25,57.89,53.76,898400,0.0,0
2015-10-20,57.15,57.29,56.15,56.46,52.43,1117300,0.0,0
2015-10-21,55.76,56.32,55.23,56.21,52.2,1263000,0.0,0
2015-10-22,56.06,56.14,55.3,55.5,51.54,1172800,0.0,0
2015-10-23,56.32,57.93,55.73,56.25,52.24,1395200,0.0,0
2015-10-26,56.0,56.51,55.75,56.24,52.23,693700,0.0,0
2015-10-27,56.47,57.43,56.43,57.41,53.31,747400,0.0,0
2015-10-28,56.89,57.71,55.91,57.7,53.58,660800,0.0,0
2015-10-29,57.14,57.51,56.96,57.31,53.22,625700,0.0,0
2015-10-30,57.56,57.75,57.22,57.61,53.5,843700,0.0,0
2015-11-02,57.65,58.34,57.26,58.22,54.07,459600,0.0,0
2015-11-03,58.09,58.9,57.81,58.56,54.38,532200,0.0,0
2015-11-04,58.85,58.85,58.07,58.53,54.36,696700,0.0,0
2015-11-05,58.36,58.57,57.84,58.48,54.31,373300,0.0,0
2015-11-06,58.01,58.46,57.6,58.36,54.2,503600,0.0,0
2015-11-09,58.0,58.26,57.6,57.97,53.84,811600,0.0,0
2015-11-10,57.63,57.92,57.38,57.9,53.77,626800,0.0,0
2015-11-11,57.9,58.61,57.83,58.37,54.21,653700,0.0,0
2015-11-12,57.84,57.91,57.25,57.36,53.27,832700,0.0,0
2015-11-13,57.02,57.45,56.45,57.32,53.23,626900,0.0,0
2015-11-16,57.1,57.45,56.74,57.43,53.33,531200,0.0,0
2015-11-17,57.16,57.74,57.1,57.58,53.75,479800,0.3,0
2015-11-18,57.7,58.19,57.0,58.14,54.28,502400,0.0,0
2015-11-19,58.13,58.34,57.77,58.24,54.37,453100,0.0,0
2015-11-20,58.4,59.17,58.4,59.12,55.19,439900,0.0,0
2015-11-23,58.48,58.72,58.19,58.45,54.57,632500,0.0,0
2015-11-24,58.23,59.47,58.16,59.09,55.16,1371300,0.0,0
2015-11-25,59.1,59.8,58.81,59.54,55.58,451600,0.0,0
2015-11-27,59.65,60.11,59.54,60.02,56.03,266500,0.0,0
2015-11-30,59.92,60.29,59.41,59.57,55.61,896400,0.0,0
2015-12-01,59.87,59.96,58.88,59.93,55.95,896400,0.0,0
2015-12-02,59.7,60.35,59.01,59.89,55.91,1024900,0.0,0
2015-12-03,59.53,59.92,58.1,58.32,54.44,969500,0.0,0
2015-12-04,58.26,58.78,57.77,57.8,53.96,889000,0.0,0
2015-12-07,56.98,57.0,56.32,56.53,52.77,1511300,0.0,0
2015-12-08,55.69,56.87,55.33,56.42,52.67,1352900,0.0,0
2015-12-09,55.82,55.83,54.89,55.06,51.4,1453100,0.0,0
2015-12-10,55.38,56.0,55.22,55.68,51.98,1223700,0.0,0
2015-12-11,55.28,55.59,55.0,55.31,51.63,1182600,0.0,0
2015-12-14,55.28,55.95,55.14,55.66,51.96,885400,0.0,0
2015-12-15,56.26,56.44,55.31,55.71,52.01,1865900,0.0,0
2015-12-16,56.13,56.82,55.77,56.13,52.4,1861100,0.0,0
2015-12-17,55.73,56.0,55.15,55.19,51.52,3083400,0.0,0
2015-12-18,55.19,55.44,53.96,54.0,50.41,2071900,0.0,0
2015-12-21,54.2,54.21,52.6,52.91,49.39,1174400,0.0,0
2015-12-22,53.48,53.67,52.79,53.54,49.98,1033700,0.0,0
2015-12-23,53.85,54.5,53.54,54.12,50.52,949800,0.0,0
2015-12-24,54.08,54.19,53.89,53.92,50.34,257400,0.0,0
2015-12-28,53.92,54.12,53.8,54.12,50.52,613800,0.0,0
2015-12-29,54.53,54.9,54.35,54.5,50.88,696100,0.0,0
2015-12-30,54.69,55.01,54.3,54.37,50.76,518000,0.0,0
2015-12-31,54.2,54.49,53.68,53.69,50.12,542900,0.0,0
2016-01-04,52.97,52.97,51.7,52.21,48.74,1350700,0.0,0
2016-01-05,52.21,53.02,52.21,52.44,48.96,651200,0.0,0
2016-01-06,51.67,51.89,51.09,51.4,47.98,1274900,0.0,0
2016-01-07,50.81,52.02,50.77,51.86,48.41,1364900,0.0,0
2016-01-08,52.14,52.6,51.92,52.12,48.66,1204500,0.0,0
2016-01-11,52.16,52.66,51.95,52.32,48.84,1328400,0.0,0
2016-01-12,52.67,53.27,52.4,53.13,49.6,1003600,0.0,0
2016-01-13,53.63,53.85,53.03,53.12,49.59,1286200,0.0,0
2016-01-14,53.23,54.27,52.8,54.17,50.57,1198300,0.0,0
2016-01-15,53.17,53.34,52.38,53.29,49.75,1406100,0.0,0
2016-01-19,52.66,53.85,52.6,53.66,50.09,1958600,0.0,0
2016-01-20,53.0,54.11,52.37,53.76,50.19,2601500,0.0,0
2016-01-21,53.88,55.14,53.28,54.04,50.45,1866000,0.0,0
2016-01-22,57.62,60.0,57.38,57.57,53.74,4048300,0.0,0
