Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,112.57,114.96,112.17,114.84,102.73,1951900,0.0,0
2015-04-28,114.15,114.7,112.94,113.54,101.57,1587600,0.0,0
2015-04-29,113.15,113.46,111.4,112.33,100.49,1705200,0.0,0
2015-04-30,117.12,122.66,116.44,118.6,106.09,3902800,0.0,0
2015-05-01,119.15,122.06,119.15,121.24,108.46,1351000,0.0,0
2015-05-04,121.5,122.66,121.09,122.21,109.32,995900,0.0,0
2015-05-05,121.48,122.48,119.88,120.2,107.53,936500,0.0,0
2015-05-06,121.06,121.8,119.77,120.85,108.11,1055400,0.0,0
2015-05-07,120.67,120.99,119.07,119.44,106.85,1091200,0.0,0
2015-05-08,120.81,120.98,119.6,120.08,107.42,1070000,0.0,0
2015-05-11,119.63,121.39,119.38,120.65,107.93,681500,0.0,0
2015-05-12,120.13,122.7,119.65,121.66,108.83,989300,0.0,0
2015-05-13,122.26,124.46,121.77,123.62,110.58,1317400,0.0,0
2015-05-14,123.42,124.7,122.86,124.41,111.88,1019100,0.65,0
2015-05-15,124.34,124.41,122.82,124.37,111.84,681400,0.0,0
2015-05-18,124.0,125.53,123.96,125.06,112.46,1006300,0.0,0
2015-05-19,124.83,125.62,124.13,125.01,112.42,945200,0.0,0
2015-05-20,124.98,125.46,124.37,125.0,112.41,523900,0.0,0
2015-05-21,125.1,126.29,125.1,125.67,113.01,759400,0.0,0
2015-05-22,125.46,126.0,125.13,125.13,112.53,505300,0.0,0
2015-05-26,124.7,124.86,123.51,123.74,111.28,811200,0.0,0
2015-05-27,124.0,124.84,123.78,124.66,112.1,860500,0.0,0
2015-05-28,124.04,124.7,123.64,123.82,111.35,721200,0.0,0
2015-05-29,123.83,123.83,122.25,122.89,110.51,717500,0.0,0
2015-06-01,122.79,124.48,122.32,123.83,111.36,900800,0.0,0
2015-06-02,123.83,126.56,123.24,125.53,112.89,1181900,0.0,0
2015-06-03,126.3,126.67,125.26,126.3,113.58,913200,0.0,0
2015-06-04,125.69,125.78,124.2,124.53,111.99,925600,0.0,0
2015-06-05,124.1,125.34,123.38,125.17,112.56,534100,0.0,0
2015-06-08,124.79,125.31,124.54,124.99,112.4,753900,0.0,0
2015-06-09,125.03,125.92,125.0,125.12,112.52,659400,0.0,0
2015-06-10,125.99,126.92,125.56,126.72,113.96,691800,0.0,0
2015-06-11,126.5,127.05,126.02,126.89,114.11,647000,0.0,0
2015-06-12,126.75,126.89,125.62,125.87,113.19,540000,0.0,0
2015-06-15,125.27,125.27,123.08,123.9,111.42,1127400,0.0,0
2015-06-16,123.82,124.59,123.28,124.09,111.59,653600,0.0,0
2015-06-17,124.28,124.84,123.28,124.61,112.06,446300,0.0,0
2015-06-18,124.88,126.32,124.8,125.59,112.94,627200,0.0,0
2015-06-19,125.4,125.71,124.3,124.37,111.84,618300,0.0,0
2015-06-22,125.27,126.23,124.73,125.85,113.17,727800,0.0,0
2015-06-23,126.18,126.18,125.23,125.59,112.94,543500,0.0,0
2015-06-24,125.5,125.93,125.02,125.17,112.56,508100,0.0,0
2015-06-25,125.17,125.29,123.79,124.02,111.53,410500,0.0,0
2015-06-26,124.35,124.83,123.97,124.72,112.16,636600,0.0,0
2015-06-29,123.6,124.79,122.81,122.91,110.53,1083400,0.0,0
2015-06-30,124.0,125.95,123.81,124.64,112.09,1212100,0.0,0
2015-07-01,125.99,126.77,125.4,126.27,113.55,1050500,0.0,0
2015-07-02,126.35,126.71,125.9,126.13,113.43,573400,0.0,0
2015-07-06,124.9,125.97,123.82,125.42,112.79,1010000,0.0,0
2015-07-07,125.24,125.99,123.18,125.2,112.59,1233700,0.0,0
2015-07-08,124.07,124.24,119.97,120.72,108.56,1173100,0.0,0
2015-07-09,122.36,123.05,121.19,121.49,109.25,820100,0.0,0
2015-07-10,122.67,122.91,121.32,122.17,109.87,643100,0.0,0
2015-07-13,123.17,124.92,122.94,124.4,111.87,739100,0.0,0
2015-07-14,124.38,125.39,123.75,125.0,112.41,553400,0.0,0
2015-07-15,124.77,125.6,122.71,122.89,110.51,849700,0.0,0
2015-07-16,124.06,124.8,122.97,123.5,111.06,585300,0.0,0
2015-07-17,123.41,124.07,122.77,123.74,111.28,666900,0.0,0
2015-07-20,123.56,123.89,122.56,123.38,110.95,607400,0.0,0
2015-07-21,123.14,123.32,120.14,120.81,108.64,1024400,0.0,0
2015-07-22,120.51,121.33,120.16,120.3,108.18,875200,0.0,0
2015-07-23,120.09,120.57,117.83,117.9,106.03,1131200,0.0,0
2015-07-24,117.9,118.22,117.11,117.52,105.68,1151800,0.0,0
2015-07-27,116.6,116.75,115.17,116.32,104.6,1053900,0.0,0
2015-07-28,117.51,119.4,116.49,119.23,107.22,1430200,0.0,0
2015-07-29,117.57,117.57,115.0,116.36,104.64,1857400,0.0,0
2015-07-30,115.39,118.11,114.65,117.1,105.31,1244600,0.0,0
2015-07-31,117.94,118.46,116.56,116.78,105.02,702900,0.0,0
2015-08-03,117.05,117.13,114.67,115.31,103.7,782800,0.0,0
2015-08-04,115.65,116.41,114.73,114.96,103.38,750900,0.0,0
2015-08-05,115.51,117.39,115.51,116.03,104.34,741400,0.0,0
2015-08-06,116.28,117.34,115.19,116.42,104.69,921600,0.0,0
2015-08-07,115.96,116.89,114.91,115.9,104.23,840200,0.0,0
2015-08-10,116.78,118.99,116.42,118.94,106.96,1116100,0.0,0
2015-08-11,117.58,117.88,116.28,116.74,104.98,904700,0.0,0
2015-08-12,115.68,116.4,114.56,115.84,104.17,1238800,0.0,0
2015-08-13,114.91,115.63,113.51,115.19,104.17,606000,0.65,0
2015-08-14,115.09,116.49,114.79,116.17,105.06,512500,0.0,0
2015-08-17,115.33,117.15,114.57,117.0,105.81,481500,0.0,0
2015-08-18,116.37,116.7,115.35,115.68,104.62,628400,0.0,0
2015-08-19,115.0,115.99,113.43,114.01,103.11,749200,0.0,0
2015-08-20,112.96,113.95,111.23,111.23,100.59,833000,0.0,0
2015-08-21,111.0,111.73,108.85,108.94,98.52,1020000,0.0,0
2015-08-24,105.9,108.85,101.46,105.17,95.11,1733100,0.0,0
2015-08-25,107.91,107.91,103.52,103.57,93.66,1063800,0.0,0
2015-08-26,106.26,107.3,104.63,107.1,96.86,977500,0.0,0
2015-08-27,108.16,111.44,107.94,111.22,100.58,1292300,0.0,0
2015-08-28,110.66,112.18,109.14,111.67,100.99,764700,0.0,0
2015-08-31,111.34,112.42,110.69,111.83,101.13,1074200,0.0,0
2015-09-01,109.0,109.83,107.01,107.55,97.26,1429600,0.0,0
