Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,16.91,16.95,16.66,16.74,15.44,379500,0.0,0.0
2015-04-28,16.73,16.93,16.64,16.79,15.49,304500,0.0,0.0
2015-04-29,16.81,16.81,16.38,16.52,15.24,425400,0.0,0.0
2015-04-30,16.49,16.94,16.45,16.53,15.25,705700,0.0,0.0
2015-05-01,16.61,16.67,16.45,16.53,15.24,463900,0.0,0.0
2015-05-04,16.59,16.63,16.47,16.55,15.26,394000,0.0,0.0
2015-05-05,16.49,16.64,16.29,16.38,15.11,384900,0.0,0.0
2015-05-06,16.42,16.42,16.18,16.28,15.09,365200,0.08,0.0
2015-05-07,16.23,16.4,16.14,16.22,15.03,324700,0.0,0.0
2015-05-08,16.34,16.48,16.21,16.23,15.04,341700,0.0,0.0
2015-05-11,16.19,16.33,16.15,16.24,15.05,317800,0.0,0.0
2015-05-12,16.18,16.21,15.92,16.15,14.97,424900,0.0,0.0
2015-05-13,16.23,16.3,16.11,16.15,14.96,240300,0.0,0.0
2015-05-14,16.22,16.41,16.19,16.39,15.19,240300,0.0,0.0
2015-05-15,16.35,16.42,16.28,16.39,15.19,184600,0.0,0.0
2015-05-18,16.35,16.43,16.3,16.36,15.16,250300,0.0,0.0
2015-05-19,16.41,16.49,16.39,16.45,15.24,373500,0.0,0.0
2015-05-20,16.47,16.5,16.35,16.44,15.24,272800,0.0,0.0
2015-05-21,16.4,16.51,16.27,16.36,15.16,238800,0.0,0.0
2015-05-22,16.35,16.49,16.31,16.39,15.19,290700,0.0,0.0
2015-05-26,16.31,16.44,16.25,16.32,15.12,679200,0.0,0.0
2015-05-27,16.35,16.53,16.26,16.48,15.27,436300,0.0,0.0
2015-05-28,16.45,16.57,16.41,16.55,15.34,375300,0.0,0.0
2015-05-29,16.53,16.6,16.4,16.55,15.33,414300,0.0,0.0
2015-06-01,16.56,16.66,16.48,16.56,15.35,405100,0.0,0.0
2015-06-02,16.52,16.59,16.41,16.55,15.33,601000,0.0,0.0
2015-06-03,16.62,16.91,16.56,16.91,15.67,465300,0.0,0.0
2015-06-04,16.8,16.9,16.77,16.87,15.63,355300,0.0,0.0
2015-06-05,16.84,17.01,16.71,16.99,15.75,373900,0.0,0.0
2015-06-08,17.01,17.19,16.97,17.07,15.82,269700,0.0,0.0
2015-06-09,17.06,17.39,17.01,17.36,16.09,533800,0.0,0.0
2015-06-10,17.41,17.61,17.37,17.58,16.29,462900,0.0,0.0
2015-06-11,17.58,17.77,17.56,17.77,16.47,448800,0.0,0.0
2015-06-12,17.79,17.79,17.64,17.78,16.48,297900,0.0,0.0
2015-06-15,17.69,17.69,17.41,17.68,16.39,318900,0.0,0.0
2015-06-16,17.68,17.89,17.68,17.86,16.55,306900,0.0,0.0
2015-06-17,17.91,18.06,17.75,18.03,16.71,451000,0.0,0.0
2015-06-18,18.1,18.25,18.04,18.17,16.84,693100,0.0,0.0
