Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,41.41,41.46,40.5,40.59,36.12,2131200,0.0,0
2015-04-28,40.45,40.96,40.35,40.85,36.35,1522400,0.0,0
2015-04-29,40.62,40.68,39.98,40.22,35.79,1636900,0.0,0
2015-04-30,40.2,40.9,40.05,40.63,36.16,2680900,0.0,0
2015-05-01,40.67,40.78,40.19,40.25,35.82,2116300,0.0,0
2015-05-04,40.36,40.79,40.33,40.49,36.03,1613800,0.0,0
2015-05-05,40.35,40.56,39.77,39.79,35.41,1498800,0.0,0
2015-05-06,39.81,39.99,39.19,39.43,35.09,2380300,0.0,0
2015-05-07,39.35,39.77,39.15,39.75,35.37,2560100,0.0,0
2015-05-08,40.07,40.28,39.92,40.27,35.84,1742800,0.0,0
2015-05-11,40.22,40.43,39.99,40.04,35.63,2207800,0.0,0
2015-05-12,40.02,40.24,39.86,40.18,35.76,951000,0.0,0
2015-05-13,40.25,40.46,39.96,40.04,35.63,975300,0.0,0
2015-05-14,40.2,40.76,40.2,40.72,36.24,1617900,0.0,0
2015-05-15,40.81,40.99,40.61,40.74,36.26,1614300,0.0,0
2015-05-18,40.71,41.02,40.64,40.9,36.4,1003700,0.0,0
2015-05-19,40.85,40.96,40.65,40.83,36.34,982500,0.0,0
2015-05-20,40.76,40.82,40.54,40.62,36.15,1013800,0.0,0
2015-05-21,40.68,40.85,40.6,40.67,36.19,841700,0.0,0
2015-05-22,40.61,40.81,40.47,40.59,36.12,817400,0.0,0
2015-05-26,40.59,40.59,39.74,39.88,35.49,1933700,0.0,0
2015-05-27,39.92,40.1,39.85,40.08,35.67,1889300,0.0,0
2015-05-28,40.09,40.19,39.92,40.17,35.75,2028100,0.0,0
2015-05-29,40.2,40.37,40.05,40.29,35.86,2711100,0.0,0
2015-06-01,40.38,40.51,40.05,40.32,35.88,1019400,0.0,0
2015-06-02,40.16,40.32,40.01,40.11,35.7,962200,0.0,0
2015-06-03,40.22,40.28,39.95,40.1,35.69,1035100,0.0,0
2015-06-04,39.92,40.2,39.82,39.99,35.59,1808500,0.0,0
2015-06-05,39.9,40.02,39.57,39.85,35.46,1672700,0.0,0
2015-06-08,39.79,40.07,39.71,39.96,35.56,820700,0.0,0
2015-06-09,39.92,40.18,39.87,40.03,35.62,1399600,0.0,0
2015-06-10,40.06,40.61,40.03,40.48,36.02,1674700,0.0,0
2015-06-11,40.54,40.98,40.46,40.68,36.2,1803400,0.0,0
2015-06-12,40.64,40.78,40.34,40.43,35.98,1167500,0.0,0
