Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,73.42,73.55,72.81,72.84,64.77,6229400,0.0,0.0
2015-04-28,72.5,73.15,72.34,73.05,64.96,4364500,0.0,0.0
2015-04-29,72.74,73.15,72.48,72.61,64.57,4598200,0.0,0.0
2015-04-30,72.33,72.77,71.3,71.59,63.66,6195800,0.0,0.0
2015-05-01,72.11,72.83,72.06,72.65,64.6,4420100,0.0,0.0
2015-05-04,72.86,73.72,72.81,73.29,65.17,6237300,0.0,0.0
2015-05-05,73.01,73.56,72.19,72.42,64.4,4811800,0.0,0.0
2015-05-06,73.35,73.35,71.91,72.42,64.4,5863900,0.0,0.0
2015-05-07,72.45,73.35,72.11,73.03,64.94,5014400,0.0,0.0
2015-05-08,74.08,74.8,73.83,74.53,66.28,5891700,0.0,0.0
2015-05-11,73.91,74.57,73.91,74.07,65.87,4804800,0.0,0.0
2015-05-12,73.66,74.15,73.01,73.86,65.68,4455700,0.0,0.0
2015-05-13,73.61,74.26,73.54,73.86,66.04,4828500,0.40277,0.0
2015-05-14,74.15,75.12,74.15,74.98,67.04,4336100,0.0,0.0
2015-05-15,74.94,75.14,74.21,74.57,66.67,4710900,0.0,0.0
2015-05-18,74.59,74.97,74.51,74.58,66.69,3869400,0.0,0.0
2015-05-19,74.64,75.17,74.58,74.93,67.0,4462500,0.0,0.0
2015-05-20,75.31,75.31,74.64,74.81,66.89,3863800,0.0,0.0
2015-05-21,74.77,75.31,74.7,74.97,67.03,3370600,0.0,0.0
2015-05-22,74.89,75.31,74.61,74.65,66.75,3797100,0.0,0.0
2015-05-26,74.61,74.65,73.26,73.55,65.76,5457600,0.0,0.0
2015-05-27,73.88,74.19,73.43,74.03,66.2,5347100,0.0,0.0
2015-05-28,73.8,74.26,73.8,74.07,66.22,4613800,0.0,0.0
2015-05-29,73.95,74.02,73.27,73.74,65.93,8042600,0.0,0.0
2015-06-01,73.78,74.03,73.29,73.63,65.84,3720800,0.0,0.0
2015-06-02,73.46,74.29,73.15,73.85,66.03,5566700,0.0,0.0
2015-06-03,74.28,74.97,73.88,74.58,66.69,4973400,0.0,0.0
2015-06-04,74.15,74.52,73.5,73.72,65.91,5691200,0.0,0.0
2015-06-05,73.37,73.87,73.12,73.63,65.84,4238500,0.0,0.0
2015-06-08,73.34,73.86,73.07,73.12,65.37,5143800,0.0,0.0
2015-06-09,73.32,73.79,73.01,73.19,65.44,3971700,0.0,0.0
2015-06-10,73.95,74.26,73.57,73.95,66.12,4998700,0.0,0.0
2015-06-11,74.25,74.51,73.9,74.46,66.58,4302200,0.0,0.0
2015-06-12,73.92,74.28,73.64,74.01,66.17,3726700,0.0,0.0
2015-06-15,72.5,72.71,71.99,72.13,64.49,9490900,0.0,0.0
2015-06-16,72.06,72.61,71.94,72.33,64.68,7843600,0.0,0.0
2015-06-17,72.55,72.67,71.73,72.42,64.75,6037200,0.0,0.0
2015-06-18,71.93,73.35,71.93,72.94,65.22,5964500,0.0,0.0
2015-06-19,72.75,73.1,72.3,72.3,64.65,6690000,0.0,0.0
2015-06-22,72.62,72.86,72.35,72.55,64.87,4721100,0.0,0.0
2015-06-23,72.48,72.7,72.32,72.52,64.84,5772500,0.0,0.0
2015-06-24,72.18,72.27,71.63,71.72,64.13,6786900,0.0,0.0
2015-06-25,71.89,72.15,71.3,71.3,63.75,6016300,0.0,0.0
2015-06-26,71.41,71.74,71.15,71.44,63.88,5828000,0.0,0.0
2015-06-29,70.95,71.13,70.14,70.19,62.76,6610900,0.0,0.0
2015-06-30,70.64,70.79,69.62,69.81,62.42,9390700,0.0,0.0
2015-07-01,70.5,70.59,69.31,69.74,62.36,6557500,0.0,0.0
2015-07-02,70.06,70.23,68.74,68.95,61.65,8198400,0.0,0.0
2015-07-06,68.19,69.11,67.94,68.82,61.54,6666000,0.0,0.0
2015-07-07,68.94,69.36,68.0,69.28,61.95,7519300,0.0,0.0
2015-07-08,68.45,69.05,68.13,68.39,61.15,6048200,0.0,0.0
2015-07-09,69.23,69.5,68.55,68.55,61.29,4059900,0.0,0.0
2015-07-10,69.47,70.03,68.92,69.34,62.0,6848000,0.0,0.0
2015-07-13,69.97,70.47,69.7,70.22,62.79,6185800,0.0,0.0
2015-07-14,70.17,70.26,69.87,70.18,62.75,4747100,0.0,0.0
2015-07-15,70.17,70.38,69.74,70.01,62.6,4519900,0.0,0.0
2015-07-16,70.69,70.71,69.88,70.02,62.61,4868400,0.0,0.0
2015-07-17,70.02,70.15,69.6,69.69,62.31,5506000,0.0,0.0
2015-07-20,69.84,69.86,68.92,69.53,62.17,11896800,0.0,0.0
2015-07-21,65.67,66.05,64.05,64.64,57.79,31049200,0.0,0.0
2015-07-22,64.35,64.51,63.49,63.91,57.14,14990100,0.0,0.0
2015-07-23,64.3,64.31,63.4,63.65,56.91,9415900,0.0,0.0
2015-07-24,63.56,63.68,62.47,62.5,55.88,10468300,0.0,0.0
2015-07-27,62.16,62.64,61.91,62.22,55.63,12013500,0.0,0.0
2015-07-28,62.32,62.48,61.69,62.28,55.69,8871400,0.0,0.0
2015-07-29,62.36,62.67,61.42,62.53,55.91,18966000,0.0,0.0
