Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,30.24,30.59,30.06,30.09,28.45,5787700,0.0,0
2015-04-28,30.12,30.52,30.07,30.49,28.83,5131300,0.0,0
2015-04-29,30.47,31.13,30.29,30.81,29.13,6808400,0.0,0
2015-04-30,30.78,31.1,30.41,30.5,28.83,6820600,0.0,0
2015-05-01,30.67,30.93,30.62,30.71,29.03,4239300,0.0,0
2015-05-04,30.75,31.55,30.6,31.38,29.67,7957100,0.0,0
2015-05-05,31.25,31.85,31.19,31.26,29.55,7959800,0.0,0
2015-05-06,31.69,31.69,30.81,31.02,29.38,8116000,0.06,0
2015-05-07,30.99,31.33,30.82,31.17,29.52,7309200,0.0,0
2015-05-08,31.31,31.39,31.01,31.28,29.63,5923000,0.0,0
2015-05-11,31.31,32.18,31.23,32.04,30.35,11008100,0.0,0
2015-05-12,31.88,32.02,31.53,31.77,30.09,7336800,0.0,0
2015-05-13,31.77,31.85,31.52,31.7,30.03,4858100,0.0,0
2015-05-14,31.96,31.99,31.43,31.81,30.13,6407900,0.0,0
2015-05-15,31.74,31.88,30.99,31.21,29.56,5259000,0.0,0
2015-05-18,31.24,31.91,31.22,31.86,30.18,6779500,0.0,0
2015-05-19,32.12,32.43,31.7,31.74,30.06,5494400,0.0,0
2015-05-20,31.73,31.93,31.46,31.66,29.99,5243300,0.0,0
2015-05-21,31.43,31.75,31.3,31.48,29.82,5961700,0.0,0
2015-05-22,31.46,31.81,31.41,31.41,29.75,5657300,0.0,0
2015-05-26,31.36,31.47,31.2,31.28,29.63,5143000,0.0,0
2015-05-27,31.46,31.85,31.26,31.76,30.08,4590700,0.0,0
2015-05-28,31.69,31.96,31.59,31.9,30.22,4823200,0.0,0
2015-05-29,31.9,31.95,31.18,31.65,29.98,6622800,0.0,0
2015-06-01,31.73,31.83,31.19,31.44,29.78,4921400,0.0,0
2015-06-02,31.35,31.85,31.1,31.63,29.96,4489100,0.0,0
2015-06-03,31.96,32.45,31.76,32.29,30.59,6740000,0.0,0
2015-06-04,32.01,32.37,31.9,32.26,30.56,7954700,0.0,0
2015-06-05,33.47,33.59,32.88,33.23,31.48,13552500,0.0,0
2015-06-08,33.16,33.48,33.01,33.02,31.28,5922600,0.0,0
2015-06-09,32.99,33.17,32.78,33.02,31.28,5549200,0.0,0
2015-06-10,33.19,33.57,33.08,33.43,31.67,7451100,0.0,0
2015-06-11,33.45,33.72,33.34,33.39,31.63,7436700,0.0,0
2015-06-12,33.34,33.53,33.22,33.36,31.6,5910000,0.0,0
2015-06-15,32.99,33.21,32.61,33.05,31.31,5355900,0.0,0
2015-06-16,32.94,33.35,32.91,33.24,31.49,6033300,0.0,0
2015-06-17,33.37,33.59,32.98,33.07,31.32,7677700,0.0,0
2015-06-18,33.15,33.27,32.59,33.07,31.32,9954300,0.0,0
2015-06-19,32.85,33.02,32.59,32.67,30.95,7645400,0.0,0
2015-06-22,32.98,33.48,32.98,33.37,31.61,5668000,0.0,0
2015-06-23,33.53,33.78,33.38,33.48,31.71,6172300,0.0,0
2015-06-24,33.35,33.49,32.97,33.07,31.32,4026400,0.0,0
2015-06-25,33.25,33.52,33.06,33.25,31.49,5647500,0.0,0
2015-06-26,33.42,33.6,33.12,33.53,31.76,13570000,0.0,0
2015-06-29,33.06,33.07,32.16,32.26,30.56,11173600,0.0,0
2015-06-30,32.65,32.83,32.23,32.65,30.93,8009300,0.0,0
2015-07-01,33.16,33.32,32.92,33.12,31.37,7413900,0.0,0
2015-07-02,32.99,32.99,32.59,32.85,31.12,4716900,0.0,0
2015-07-06,32.47,32.76,32.18,32.5,30.78,5972000,0.0,0
2015-07-07,32.39,32.53,31.66,32.39,30.68,9808200,0.0,0
2015-07-08,32.04,32.12,31.45,31.53,29.87,12312700,0.0,0
2015-07-09,32.09,32.39,31.91,32.18,30.48,12130200,0.0,0
2015-07-10,32.7,33.38,32.45,32.83,31.1,7849100,0.0,0
2015-07-13,33.16,33.54,33.09,33.47,31.7,7938900,0.0,0
2015-07-14,33.4,33.86,33.19,33.77,31.99,6366100,0.0,0
2015-07-15,33.83,33.91,33.46,33.65,31.87,7054500,0.0,0
2015-07-16,33.86,34.76,33.74,34.76,32.93,11587400,0.0,0
2015-07-17,34.76,34.93,34.47,34.79,32.95,7498000,0.0,0
2015-07-20,34.93,35.23,34.87,34.99,33.14,6952200,0.0,0
2015-07-21,35.0,35.42,34.67,34.93,33.09,6417800,0.0,0
2015-07-22,34.82,35.3,34.54,35.25,33.39,7356600,0.0,0
2015-07-23,35.23,35.53,34.78,34.96,33.11,6793000,0.0,0
2015-07-24,34.87,34.99,34.61,34.81,32.97,14035500,0.0,0
2015-07-27,34.45,34.48,33.84,34.08,32.28,7563200,0.0,0
2015-07-28,34.46,34.61,34.04,34.48,32.66,6562500,0.0,0
2015-07-29,34.56,34.99,34.39,34.82,32.98,6790200,0.0,0
2015-07-30,34.91,35.22,34.73,35.19,33.33,5121300,0.0,0
2015-07-31,35.03,35.07,34.37,34.88,33.04,9394100,0.0,0
2015-08-03,34.93,34.98,34.34,34.7,32.87,10479900,0.0,0
2015-08-04,34.64,35.38,34.63,35.21,33.35,7528500,0.0,0
2015-08-05,35.5,35.67,35.29,35.38,33.57,10247500,0.06,0
2015-08-06,35.51,35.72,34.81,35.1,33.3,6287900,0.0,0
2015-08-07,35.05,35.51,34.63,35.03,33.24,5219300,0.0,0
2015-08-10,35.4,35.59,35.34,35.42,33.61,6782500,0.0,0
2015-08-11,34.66,35.04,34.42,34.74,32.96,5121500,0.0,0
2015-08-12,34.32,34.33,33.01,33.85,32.12,10378900,0.0,0
2015-08-13,33.99,34.2,33.67,34.06,32.32,4253700,0.0,0
2015-08-14,34.01,34.33,33.94,34.33,32.57,3223000,0.0,0
2015-08-17,34.11,34.17,33.59,34.04,32.3,6397800,0.0,0
2015-08-18,33.96,34.09,33.57,33.92,32.18,5640800,0.0,0
2015-08-19,33.72,33.79,33.09,33.1,31.41,8725500,0.0,0
2015-08-20,32.69,32.75,32.18,32.19,30.54,10267400,0.0,0
2015-08-21,31.81,32.0,30.92,30.93,29.35,11616700,0.0,0
2015-08-24,28.44,30.74,27.53,29.55,28.04,14441200,0.0,0
2015-08-25,30.58,30.58,28.77,28.8,27.33,14719500,0.0,0
2015-08-26,29.87,29.9,28.93,29.74,28.22,21359100,0.0,0
2015-08-27,30.15,30.72,29.76,30.36,28.81,17298000,0.0,0
2015-08-28,30.2,30.84,30.0,30.7,29.13,11173500,0.0,0
2015-08-31,30.58,30.69,30.3,30.38,28.83,7884800,0.0,0
2015-09-01,29.5,29.63,28.91,29.09,27.6,12905000,0.0,0
2015-09-02,29.62,29.7,28.91,29.4,27.9,10986100,0.0,0
2015-09-03,29.57,30.28,29.35,29.76,28.24,10587600,0.0,0
2015-09-04,29.44,29.69,28.83,29.1,27.61,7258000,0.0,0
2015-09-08,29.82,31.15,29.82,31.1,29.51,14208300,0.0,0
2015-09-09,31.47,31.86,30.5,30.58,29.02,8807900,0.0,0
2015-09-10,30.58,30.93,30.37,30.6,29.03,10879000,0.0,0
2015-09-11,30.57,30.57,30.03,30.49,28.93,6891400,0.0,0
2015-09-14,30.44,30.54,29.97,30.23,28.68,7141600,0.0,0
2015-09-15,30.41,31.0,30.22,30.82,29.24,9955300,0.0,0
2015-09-16,30.84,31.22,30.5,31.11,29.52,9795900,0.0,0
2015-09-17,31.11,31.72,29.63,29.78,28.26,19452600,0.0,0
2015-09-18,29.05,29.11,28.45,28.45,26.99,24464200,0.0,0
2015-09-21,28.87,29.29,28.7,29.05,27.56,9777600,0.0,0
2015-09-22,28.54,28.68,27.99,28.33,26.88,11576600,0.0,0
2015-09-23,28.33,28.75,28.23,28.48,27.02,6852800,0.0,0
2015-09-24,28.08,28.2,27.51,27.88,26.45,13876900,0.0,0
2015-09-25,28.52,29.45,28.22,28.42,26.97,18246400,0.0,0
2015-09-28,28.05,28.16,27.1,27.28,25.88,9989600,0.0,0
2015-09-29,27.35,27.8,27.13,27.58,26.17,13568300,0.0,0
2015-09-30,28.05,28.59,27.98,28.56,27.1,11409500,0.0,0
2015-10-01,28.52,28.64,27.84,28.55,27.09,10716100,0.0,0
2015-10-02,27.0,27.68,26.4,27.6,26.19,30332600,0.0,0
2015-10-05,27.91,28.4,27.79,28.37,26.92,8283600,0.0,0
2015-10-06,28.17,28.24,27.6,27.66,26.24,13204000,0.0,0
2015-10-07,27.87,28.14,27.48,28.13,26.69,12248900,0.0,0
2015-10-08,27.95,28.49,27.81,28.33,26.88,9136300,0.0,0
2015-10-09,28.34,28.63,28.09,28.22,26.78,8358700,0.0,0
2015-10-12,28.15,28.4,27.99,28.39,26.94,5291500,0.0,0
2015-10-13,28.12,28.54,28.06,28.09,26.65,5356000,0.0,0
2015-10-14,27.98,28.04,27.51,27.78,26.36,11201100,0.0,0
2015-10-15,27.82,28.63,27.73,28.6,27.14,7432500,0.0,0
2015-10-16,28.89,28.89,28.35,28.68,27.21,9047800,0.0,0
2015-10-19,28.32,28.7,28.21,28.5,27.04,7015200,0.0,0
2015-10-20,28.56,29.4,28.49,29.35,27.85,9334600,0.0,0
2015-10-21,29.48,29.62,28.81,28.86,27.38,7016000,0.0,0
2015-10-22,28.96,29.61,28.85,29.45,27.94,7644900,0.0,0
2015-10-23,29.91,30.49,29.78,30.43,28.87,11372900,0.0,0
2015-10-26,30.37,30.51,30.08,30.45,28.89,6334800,0.0,0
2015-10-27,30.12,30.31,29.61,29.85,28.32,8956100,0.0,0
2015-10-28,29.86,31.05,29.77,30.94,29.36,25173700,0.0,0
2015-10-29,30.94,31.28,30.57,31.0,29.41,9489300,0.0,0
2015-10-30,30.9,31.05,30.48,30.52,28.96,6254200,0.0,0
2015-11-02,30.66,31.48,30.47,31.37,29.76,7031100,0.0,0
2015-11-03,31.26,31.73,31.16,31.49,29.88,7132800,0.0,0
2015-11-04,31.52,31.73,31.39,31.44,29.89,7214600,0.06,0
2015-11-05,31.56,31.8,31.49,31.57,30.01,8704500,0.0,0
2015-11-06,32.52,34.17,32.52,33.51,31.86,27112100,0.0,0
2015-11-09,33.59,33.88,33.38,33.49,31.84,17265800,0.0,0
2015-11-10,33.28,33.46,32.88,33.33,31.68,9354800,0.0,0
2015-11-11,33.32,33.77,33.32,33.53,31.88,6995200,0.0,0
2015-11-12,33.09,33.26,32.67,32.79,31.17,7987900,0.0,0
2015-11-13,32.62,32.91,32.18,32.31,30.72,8309700,0.0,0
2015-11-16,32.26,32.59,31.9,32.59,30.98,7966700,0.0,0
2015-11-17,32.79,33.24,32.29,32.81,31.19,7766000,0.0,0
2015-11-18,32.87,33.52,32.77,33.4,31.75,8036400,0.0,0
2015-11-19,33.36,33.56,32.95,33.04,31.41,7106000,0.0,0
2015-11-20,33.25,33.43,33.16,33.34,31.69,9207300,0.0,0
2015-11-23,33.42,33.55,33.21,33.29,31.65,5874500,0.0,0
2015-11-24,32.91,33.57,32.79,33.5,31.85,9006800,0.0,0
2015-11-25,33.67,33.81,33.43,33.69,32.03,11356600,0.0,0
2015-11-27,33.69,33.79,33.43,33.74,32.07,2004100,0.0,0
2015-11-30,33.93,33.95,33.46,33.71,32.05,6710400,0.0,0
2015-12-01,33.92,34.16,33.46,34.02,32.34,6548600,0.0,0
2015-12-02,34.13,34.22,33.48,33.59,31.93,7199500,0.0,0
2015-12-03,33.79,33.85,32.95,32.98,31.35,9018400,0.0,0
2015-12-04,33.32,34.52,33.17,34.51,32.81,14250300,0.0,0
2015-12-07,34.39,34.48,33.88,34.08,32.4,6641300,0.0,0
2015-12-08,33.73,34.1,33.6,33.86,32.19,6117900,0.0,0
2015-12-09,33.67,34.1,32.84,32.97,31.34,9684800,0.0,0
2015-12-10,33.01,33.65,32.88,33.26,31.62,4641300,0.0,0
2015-12-11,32.63,32.8,31.67,31.77,30.2,10214500,0.0,0
2015-12-14,32.05,32.61,31.62,32.25,30.66,11846900,0.0,0
2015-12-15,32.69,33.29,32.69,33.18,31.54,10841700,0.0,0
2015-12-16,33.62,34.0,32.82,33.81,32.14,15136400,0.0,0
2015-12-17,34.03,34.11,33.08,33.21,31.57,7335300,0.0,0
2015-12-18,32.89,33.03,31.9,31.91,30.34,14251000,0.0,0
2015-12-21,32.23,32.4,31.87,32.21,30.62,6950100,0.0,0
2015-12-22,32.55,32.99,32.16,32.9,31.28,5330900,0.0,0
2015-12-23,33.14,33.17,32.74,33.06,31.43,6389800,0.0,0
2015-12-24,33.0,33.26,32.89,33.05,31.42,1464400,0.0,0
2015-12-28,32.91,33.11,32.6,33.11,31.48,3902000,0.0,0
2015-12-29,33.39,33.62,33.29,33.56,31.9,4152800,0.0,0
2015-12-30,33.42,33.72,33.23,33.25,31.61,3142100,0.0,0
2015-12-31,32.98,33.47,32.7,32.93,31.3,6026400,0.0,0
2016-01-04,31.95,32.08,31.47,31.98,30.4,9605700,0.0,0
2016-01-05,32.02,32.23,31.57,31.88,30.31,5948200,0.0,0
2016-01-06,31.25,31.38,30.53,30.79,29.27,8809000,0.0,0
2016-01-07,29.93,30.21,28.97,29.18,27.74,15041400,0.0,0
2016-01-08,29.51,29.82,28.93,29.0,27.57,15311800,0.0,0
2016-01-11,29.21,29.38,28.24,28.74,27.32,15918100,0.0,0
2016-01-12,29.04,29.42,28.81,29.24,27.8,10914400,0.0,0
2016-01-13,29.11,29.46,27.46,27.71,26.34,12194000,0.0,0
2016-01-14,27.88,28.39,26.91,28.12,26.73,10839900,0.0,0
2016-01-15,26.98,27.52,26.53,27.02,25.69,19308000,0.0,0
2016-01-19,28.05,28.09,26.23,26.51,25.2,14403600,0.0,0
2016-01-20,25.89,25.89,24.37,25.27,24.02,28589700,0.0,0
2016-01-21,25.29,25.48,24.37,24.38,23.18,27541800,0.0,0
2016-01-22,25.11,25.9,24.78,25.83,24.56,20091700,0.0,0
2016-01-25,25.72,25.95,25.12,25.17,23.93,15281700,0.0,0
2016-01-26,25.39,25.74,25.14,25.45,24.19,11637600,0.0,0
2016-01-27,25.36,26.02,24.99,25.25,24.0,10322900,0.0,0
2016-01-28,25.53,25.7,24.65,24.82,23.59,12099100,0.0,0
2016-01-29,25.13,25.63,24.72,25.53,24.27,13883700,0.0,0
2016-02-01,25.43,25.49,24.97,25.28,24.03,9459900,0.0,0
2016-02-02,24.85,24.87,23.88,24.11,22.92,10292000,0.0,0
2016-02-03,24.33,24.58,22.92,24.38,23.18,23511300,0.0,0
2016-02-04,24.31,25.17,24.3,24.97,23.74,13920100,0.0,0
2016-02-05,24.94,25.47,24.26,24.36,23.16,10810100,0.0,0
2016-02-08,23.75,23.82,23.14,23.61,22.44,18211900,0.0,0
2016-02-09,22.89,23.84,22.85,23.34,22.19,17332400,0.0,0
2016-02-10,23.6,24.11,22.68,22.7,21.64,17127300,0.06,0
2016-02-11,21.89,22.4,21.51,22.22,21.18,22320900,0.0,0
2016-02-12,22.8,23.02,22.18,22.82,21.75,10328800,0.0,0
2016-02-16,23.55,23.77,23.05,23.58,22.47,9910600,0.0,0
2016-02-17,23.99,24.64,23.97,24.48,23.33,12636300,0.0,0
2016-02-18,24.5,24.59,23.84,24.16,23.03,9019000,0.0,0
2016-02-19,23.96,24.67,23.95,24.44,23.29,9175500,0.0,0
2016-02-22,24.44,25.1,24.33,24.54,23.39,11227000,0.0,0
2016-02-23,24.45,24.5,23.96,24.13,23.0,10435200,0.0,0
2016-02-24,23.65,23.83,23.0,23.68,22.57,12107400,0.0,0
2016-02-25,23.74,24.1,23.57,24.09,22.96,8114900,0.0,0
2016-02-26,24.43,25.71,24.39,25.46,24.27,16588200,0.0,0
2016-02-29,25.35,25.56,25.01,25.05,23.87,12968300,0.0,0
2016-03-01,25.37,26.53,25.27,26.39,25.15,15668600,0.0,0
2016-03-02,26.41,26.78,26.31,26.74,25.49,10198400,0.0,0
2016-03-03,26.57,27.18,26.28,27.11,25.84,9577900,0.0,0
2016-03-04,27.45,27.83,26.94,27.15,25.88,10308200,0.0,0
2016-03-07,26.92,27.59,26.59,27.53,26.24,8390500,0.0,0
2016-03-08,27.1,27.3,26.36,26.67,25.42,11285800,0.0,0
2016-03-09,26.92,27.03,26.32,26.55,25.3,6938100,0.0,0
2016-03-10,26.84,26.88,25.98,26.64,25.39,14320400,0.0,0
2016-03-11,27.02,28.26,26.95,28.2,26.88,12871000,0.0,0
2016-03-14,28.0,28.12,27.51,27.84,26.53,6567000,0.0,0
2016-03-15,27.48,27.74,27.29,27.74,26.44,7197200,0.0,0
2016-03-16,27.67,28.2,26.75,26.92,25.66,16389400,0.0,0
2016-03-17,26.66,27.92,26.65,27.67,26.37,9637200,0.0,0
2016-03-18,27.86,28.4,27.79,28.37,27.04,12710000,0.0,0
2016-03-21,28.34,29.04,27.84,28.28,26.95,7728600,0.0,0
2016-03-22,27.92,28.62,27.8,28.41,27.08,7022100,0.0,0
