Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,44.85,45.03,44.17,44.2,41.14,1493600,0.0,0
2015-04-28,44.16,44.59,43.97,44.43,41.35,1401200,0.0,0
2015-04-29,44.4,44.76,43.9,44.12,41.06,2337200,0.0,0
2015-04-30,45.47,46.13,44.49,45.6,42.44,4012900,0.0,0
2015-05-01,45.79,47.12,45.64,46.93,43.68,3953100,0.0,0
2015-05-04,46.96,47.66,46.69,47.42,44.13,2167700,0.0,0
2015-05-05,47.4,47.4,46.29,46.67,43.44,2784600,0.0,0
2015-05-06,46.86,47.29,46.53,46.9,43.65,1014500,0.0,0
2015-05-07,46.96,48.08,46.93,47.97,44.65,1878400,0.0,0
2015-05-08,48.59,48.81,47.86,47.91,44.59,3040900,0.0,0
2015-05-11,47.82,48.92,47.73,48.48,45.12,2600900,0.0,0
2015-05-12,48.25,48.47,47.92,47.95,44.63,1324300,0.0,0
2015-05-13,48.15,48.39,47.86,47.99,44.66,1613600,0.0,0
2015-05-14,48.33,49.46,48.06,49.37,45.95,2888500,0.0,0
2015-05-15,49.5,49.53,48.74,48.95,45.56,1650600,0.0,0
2015-05-18,48.84,49.8,48.84,49.72,46.27,1234700,0.0,0
2015-05-19,49.63,49.86,49.44,49.63,46.19,1561600,0.0,0
2015-05-20,49.7,49.82,49.27,49.64,46.2,892500,0.0,0
2015-05-21,49.63,49.7,49.15,49.43,46.0,1322100,0.0,0
2015-05-22,49.41,49.49,48.94,49.32,45.9,1344700,0.0,0
2015-05-26,49.26,49.34,48.9,49.04,45.64,851100,0.0,0
2015-05-27,49.19,49.98,49.03,49.87,46.41,1265700,0.0,0
2015-05-28,49.82,50.11,49.4,49.47,46.04,1327100,0.0,0
2015-05-29,49.34,49.34,48.51,48.7,45.32,2163500,0.0,0
2015-06-01,49.1,49.52,48.69,49.18,45.77,1669400,0.0,0
2015-06-02,49.1,49.34,48.49,48.85,45.46,1380400,0.0,0
2015-06-03,48.97,49.16,48.58,48.74,45.48,1439000,0.13,0
2015-06-04,48.36,48.85,48.16,48.31,45.08,960400,0.0,0
2015-06-05,48.1,48.65,47.97,48.52,45.28,1049800,0.0,0
2015-06-08,49.14,49.68,48.87,49.11,45.83,2114400,0.0,0
2015-06-09,48.99,49.68,48.73,49.56,46.25,1284300,0.0,0
2015-06-10,49.67,50.15,49.5,49.93,46.59,1365300,0.0,0
2015-06-11,49.97,50.55,49.89,50.49,47.12,2083500,0.0,0
2015-06-12,50.33,50.8,50.13,50.65,47.27,1557700,0.0,0
2015-06-15,50.25,50.37,49.53,49.58,46.27,1537900,0.0,0
2015-06-16,49.35,50.75,49.3,50.71,47.32,1837800,0.0,0
2015-06-17,50.84,51.15,50.03,50.96,47.55,2654000,0.0,0
2015-06-18,51.19,51.86,50.81,51.64,48.19,2794000,0.0,0
2015-06-19,51.6,52.64,51.6,52.0,48.53,3737000,0.0,0
2015-06-22,52.31,52.32,51.82,52.16,48.67,2142600,0.0,0
2015-06-23,52.1,52.56,51.5,51.92,48.45,1515200,0.0,0
2015-06-24,51.92,52.19,51.43,51.78,48.32,1742300,0.0,0
2015-06-25,52.11,52.16,51.74,51.85,48.39,1697800,0.0,0
2015-06-26,52.0,52.68,51.96,52.6,49.09,2670700,0.0,0
2015-06-29,52.1,52.42,51.58,51.75,48.29,2239100,0.0,0
2015-06-30,52.08,52.18,51.38,51.38,47.95,2310500,0.0,0
2015-07-01,51.91,52.41,51.8,52.02,48.54,2402500,0.0,0
2015-07-02,52.26,52.27,51.69,51.87,48.4,1409000,0.0,0
2015-07-06,51.36,52.45,51.12,52.26,48.77,1944700,0.0,0
