Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,282.94,284.76,282.04,282.91,269.16,682100,0.0,0
2015-04-28,282.31,283.08,280.17,281.88,268.18,753100,0.0,0
2015-04-29,281.14,281.82,277.17,279.2,265.63,975900,0.0,0
2015-04-30,278.05,281.17,277.31,278.0,264.49,1058900,0.0,0
2015-05-01,279.58,283.25,278.2,282.16,268.45,527400,0.0,0
2015-05-04,282.24,284.09,279.69,280.04,266.43,546600,0.0,0
2015-05-05,280.58,281.09,274.13,274.93,261.57,719400,0.0,0
2015-05-06,276.18,278.19,274.02,277.89,264.39,627400,0.0,0
2015-05-07,278.65,281.94,277.48,281.4,267.73,615000,0.0,0
2015-05-08,284.63,288.47,283.79,287.2,273.24,784100,0.0,0
2015-05-11,287.0,288.77,285.95,286.95,273.01,539800,0.0,0
2015-05-12,286.14,289.84,284.54,288.71,274.68,735200,0.0,0
2015-05-13,287.91,289.55,285.04,287.93,274.57,758600,0.67,0
2015-05-14,288.96,291.74,288.17,291.3,277.79,478500,0.0,0
2015-05-15,291.75,292.23,289.7,291.22,277.71,662900,0.0,0
2015-05-18,290.84,291.99,289.48,291.05,277.55,373300,0.0,0
2015-05-19,291.74,294.35,291.1,292.44,278.88,671700,0.0,0
2015-05-20,292.52,292.93,287.55,287.67,274.33,603000,0.0,0
2015-05-21,288.45,288.73,287.06,287.45,274.12,395800,0.0,0
2015-05-22,286.98,288.03,286.51,286.51,273.22,523900,0.0,0
2015-05-26,286.32,287.26,284.63,286.39,273.11,697000,0.0,0
2015-05-27,286.95,290.92,286.26,289.74,276.3,670900,0.0,0
2015-05-28,288.59,290.27,288.48,289.91,276.46,484300,0.0,0
2015-05-29,289.77,289.99,287.08,288.18,274.81,593600,0.0,0
2015-06-01,288.92,288.92,286.23,288.24,274.87,519400,0.0,0
2015-06-02,287.57,289.2,285.75,286.52,273.23,380700,0.0,0
2015-06-03,286.68,287.7,286.21,287.26,273.94,328500,0.0,0
2015-06-04,285.84,286.37,281.77,282.21,269.12,395400,0.0,0
2015-06-05,283.01,283.01,278.42,280.38,267.38,608700,0.0,0
2015-06-08,279.63,280.22,278.09,278.3,265.39,432500,0.0,0
2015-06-09,278.66,279.65,276.89,278.17,265.27,351800,0.0,0
2015-06-10,279.13,282.84,277.57,282.49,269.39,739800,0.0,0
2015-06-11,283.49,284.82,282.53,282.77,269.65,375500,0.0,0
2015-06-12,282.0,283.49,280.25,280.91,267.88,335700,0.0,0
2015-06-15,279.33,280.57,278.09,278.86,265.93,391300,0.0,0
2015-06-16,279.08,279.27,277.48,279.11,266.16,328700,0.0,0
2015-06-17,280.35,281.59,278.61,280.23,267.23,588300,0.0,0
2015-06-18,281.54,283.9,281.35,283.51,270.36,473400,0.0,0
2015-06-19,284.65,284.72,281.87,281.99,268.91,1757200,0.0,0
2015-06-22,283.19,285.47,282.58,285.18,271.95,552400,0.0,0
2015-06-23,286.0,286.29,283.56,284.52,271.32,415700,0.0,0
2015-06-24,284.15,284.15,281.98,281.98,268.9,416400,0.0,0
2015-06-25,282.59,284.03,281.72,282.6,269.49,399500,0.0,0
2015-06-26,282.85,284.37,281.5,283.09,269.96,543900,0.0,0
2015-06-29,279.63,281.79,276.25,276.27,263.46,769100,0.0,0
2015-06-30,277.72,278.91,275.0,275.02,262.26,504800,0.0,0
2015-07-01,276.16,281.15,275.32,280.81,267.79,597400,0.0,0
2015-07-02,282.27,282.39,277.38,277.67,264.79,506800,0.0,0
2015-07-06,275.0,281.17,275.0,279.96,266.97,589200,0.0,0
2015-07-07,280.96,283.97,279.62,283.63,270.47,698700,0.0,0
2015-07-08,282.14,284.11,280.94,280.94,267.91,834200,0.0,0
2015-07-09,284.42,285.0,277.14,277.41,264.54,654500,0.0,0
2015-07-10,278.5,280.0,276.71,278.21,265.31,683300,0.0,0
2015-07-13,280.56,282.47,279.44,282.08,269.0,538200,0.0,0
2015-07-14,281.33,284.66,281.06,284.28,271.09,565300,0.0,0
2015-07-15,284.0,285.94,282.01,282.16,269.07,968400,0.0,0
2015-07-16,256.07,266.69,250.27,261.23,249.11,7164700,0.0,0
2015-07-17,261.24,269.0,259.69,266.01,253.67,2193000,0.0,0
