Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,116.82,118.32,115.86,118.2,103.63,1426200,0.0,0
2015-04-28,117.87,118.11,116.03,116.19,101.87,1103200,0.0,0
2015-04-29,116.17,116.81,115.62,116.02,101.72,534200,0.0,0
2015-04-30,116.0,117.0,115.22,115.92,101.63,871100,0.0,0
2015-05-01,116.2,117.21,116.13,116.86,102.46,374000,0.0,0
2015-05-04,117.28,118.83,117.28,118.37,103.78,579100,0.0,0
2015-05-05,117.69,118.13,115.49,116.28,101.95,799800,0.0,0
2015-05-06,116.65,116.94,115.24,116.25,101.92,431100,0.0,0
2015-05-07,116.13,116.34,115.47,115.77,101.5,530300,0.0,0
2015-05-08,116.6,117.41,115.92,115.99,101.7,685200,0.0,0
2015-05-11,115.83,116.96,115.61,116.27,101.94,427800,0.0,0
2015-05-12,115.79,116.84,115.74,116.46,102.11,522000,0.0,0
2015-05-13,115.97,117.15,115.97,116.58,102.78,326800,0.64,0
2015-05-14,117.17,118.4,117.02,118.36,104.35,335000,0.0,0
2015-05-15,118.35,118.59,117.84,118.5,104.47,454200,0.0,0
2015-05-18,118.17,119.13,118.11,118.67,104.62,341200,0.0,0
2015-05-19,118.76,119.35,118.48,119.27,105.15,553700,0.0,0
2015-05-20,119.13,120.41,119.04,119.88,105.69,401200,0.0,0
2015-05-21,119.69,119.88,119.18,119.28,105.16,507500,0.0,0
2015-05-22,119.3,120.65,119.19,120.39,106.14,483000,0.0,0
2015-05-26,120.4,120.58,119.34,119.47,105.33,518600,0.0,0
2015-05-27,120.0,120.52,119.32,119.9,105.7,432000,0.0,0
2015-05-28,120.27,120.3,119.14,119.5,105.35,356300,0.0,0
2015-05-29,119.58,119.86,118.48,118.55,104.51,538000,0.0,0
2015-06-01,118.68,118.93,118.04,118.42,104.4,472900,0.0,0
2015-06-02,118.42,118.92,117.46,118.55,104.51,589600,0.0,0
2015-06-03,118.73,118.73,117.79,118.19,104.2,637900,0.0,0
2015-06-04,115.68,116.56,113.07,113.75,100.28,3078900,0.0,0
2015-06-05,113.51,113.73,110.87,111.32,98.14,2032000,0.0,0
2015-06-08,110.94,111.98,110.26,110.48,97.4,1497700,0.0,0
2015-06-09,110.51,111.88,110.05,111.6,98.39,1020700,0.0,0
2015-06-10,111.7,112.26,110.89,111.57,98.36,796600,0.0,0
2015-06-11,111.63,112.34,111.36,111.75,98.52,579200,0.0,0
2015-06-12,111.28,111.75,111.07,111.29,98.11,426600,0.0,0
2015-06-15,110.86,111.39,110.34,110.99,97.85,885500,0.0,0
2015-06-16,111.39,112.53,110.92,112.35,99.05,493200,0.0,0
2015-06-17,112.18,112.98,111.68,112.72,99.38,516300,0.0,0
2015-06-18,112.96,114.09,112.24,113.32,99.9,624700,0.0,0
2015-06-19,113.15,114.47,113.15,113.48,100.05,1569200,0.0,0
2015-06-22,113.76,114.31,113.47,113.68,100.22,404000,0.0,0
2015-06-23,113.67,113.67,112.71,112.81,99.45,823500,0.0,0
2015-06-24,112.86,113.26,111.1,111.7,98.48,823800,0.0,0
2015-06-25,111.68,111.94,110.85,110.93,97.8,681200,0.0,0
2015-06-26,111.37,111.65,110.51,110.62,97.52,1604000,0.0,0
2015-06-29,110.19,110.36,108.29,108.38,95.55,1133200,0.0,0
2015-06-30,109.09,109.37,108.26,108.41,95.58,1024500,0.0,0
2015-07-01,108.82,109.43,108.41,109.21,96.28,760300,0.0,0
2015-07-02,109.52,109.84,108.49,108.75,95.88,857800,0.0,0
2015-07-06,108.02,108.68,107.38,108.03,95.24,1377100,0.0,0
2015-07-07,108.29,110.18,107.64,109.81,96.81,911300,0.0,0
2015-07-08,109.38,109.72,108.44,108.46,95.62,763400,0.0,0
2015-07-09,109.69,109.93,108.27,108.3,95.48,534000,0.0,0
2015-07-10,106.4,108.54,106.26,107.59,94.85,2894400,0.0,0
2015-07-13,108.42,109.34,108.14,108.7,95.83,901200,0.0,0
2015-07-14,108.76,108.79,107.72,108.54,95.69,789400,0.0,0
2015-07-15,108.63,109.04,107.1,108.11,95.31,1100900,0.0,0
2015-07-16,108.46,109.0,108.25,108.61,95.75,395300,0.0,0
2015-07-17,108.94,108.94,107.56,108.46,95.62,431100,0.0,0
2015-07-20,108.38,108.38,107.65,108.07,95.28,424800,0.0,0
2015-07-21,108.15,108.4,107.27,107.38,94.67,595900,0.0,0
2015-07-22,107.44,108.36,107.17,107.43,94.71,479400,0.0,0
2015-07-23,107.34,107.86,106.66,106.93,94.27,421200,0.0,0
2015-07-24,106.79,106.96,105.29,105.59,93.09,598200,0.0,0
2015-07-27,105.19,106.01,104.81,105.98,93.43,609400,0.0,0
2015-07-28,106.33,108.71,105.76,108.71,95.84,937600,0.0,0
2015-07-29,108.95,110.53,108.39,109.77,96.77,919300,0.0,0
2015-07-30,109.3,110.9,108.74,110.76,97.65,848600,0.0,0
2015-07-31,111.06,112.08,110.55,111.69,98.47,1219400,0.0,0
2015-08-03,111.43,111.96,111.18,111.9,98.65,442200,0.0,0
2015-08-04,111.79,112.58,111.54,112.1,98.83,705200,0.0,0
2015-08-05,112.36,113.58,111.77,113.49,100.05,626700,0.0,0
2015-08-06,113.36,113.67,111.12,111.76,98.53,1393500,0.0,0
2015-08-07,111.05,111.59,109.78,110.04,97.01,712500,0.0,0
2015-08-10,110.42,110.99,109.62,110.51,97.43,596300,0.0,0
2015-08-11,109.72,110.0,108.69,108.9,96.01,1038500,0.0,0
2015-08-12,107.75,109.36,106.5,109.35,97.0,643200,0.67,0
2015-08-13,109.55,109.55,108.6,108.63,96.36,363600,0.0,0
2015-08-14,108.93,109.74,108.43,109.38,97.03,383400,0.0,0
2015-08-17,109.11,109.31,107.17,109.01,96.7,464500,0.0,0
2015-08-18,109.02,110.13,108.63,108.97,96.66,650600,0.0,0
2015-08-19,110.63,112.91,110.32,111.88,99.25,1469400,0.0,0
2015-08-20,111.4,112.94,111.01,111.76,99.14,925700,0.0,0
2015-08-21,111.04,111.46,109.75,109.9,97.49,961700,0.0,0
2015-08-24,106.19,110.79,104.3,108.12,95.91,2081400,0.0,0
2015-08-25,110.02,110.92,106.75,106.85,94.78,1420700,0.0,0
