Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,129.24,130.24,128.56,129.15,110.18,581400,0.0,0
2015-04-28,128.5,128.5,127.16,127.75,108.99,503700,0.0,0
2015-04-29,126.77,127.54,123.76,124.06,105.84,645900,0.0,0
2015-04-30,123.61,124.08,121.58,122.36,104.39,799000,0.0,0
2015-05-01,122.78,124.31,122.53,122.72,104.7,671300,0.0,0
2015-05-04,123.17,124.35,123.14,123.65,105.49,529000,0.0,0
2015-05-05,123.08,123.67,119.82,120.19,102.54,667200,0.0,0
2015-05-06,120.0,120.65,118.56,119.33,101.8,600500,0.0,0
2015-05-07,119.51,121.73,118.99,121.16,103.37,547000,0.0,0
2015-05-08,122.51,124.96,122.39,123.01,104.94,529000,0.0,0
2015-05-11,122.47,123.59,120.67,121.13,103.34,454900,0.0,0
2015-05-12,120.29,122.18,119.56,121.53,103.68,486000,0.0,0
2015-05-13,122.03,122.9,119.84,120.27,102.61,580200,0.0,0
2015-05-14,121.01,122.87,120.73,122.79,104.76,449000,0.0,0
2015-05-15,122.72,124.68,122.72,123.72,105.55,1006100,0.0,0
2015-05-18,122.87,123.69,121.75,121.87,103.97,915900,0.0,0
2015-05-19,121.7,121.81,120.2,120.37,102.69,903800,0.0,0
2015-05-20,120.39,121.37,120.0,120.61,102.9,968800,0.0,0
2015-05-21,120.73,121.14,118.85,119.29,101.77,682000,0.0,0
2015-05-22,119.29,120.46,118.65,119.21,101.7,713600,0.0,0
2015-05-26,119.09,119.49,118.36,119.18,101.68,606000,0.0,0
2015-05-27,119.07,120.65,118.97,120.48,102.79,420800,0.0,0
2015-05-28,120.11,121.12,119.13,119.94,102.32,521900,0.0,0
2015-05-29,120.09,120.48,118.43,118.66,101.23,980500,0.0,0
2015-06-01,118.81,121.17,118.26,121.0,103.23,731800,0.0,0
2015-06-02,120.24,120.29,118.92,119.76,102.17,436700,0.0,0
2015-06-03,119.55,120.75,118.3,118.82,101.37,713900,0.0,0
2015-06-04,118.41,118.92,117.41,117.63,100.35,751400,0.0,0
2015-06-05,116.78,116.92,115.62,116.27,99.19,737800,0.0,0
2015-06-08,116.27,116.54,115.37,115.41,98.46,517800,0.0,0
2015-06-09,115.41,115.71,114.33,114.57,97.74,593100,0.0,0
2015-06-10,114.75,116.07,113.99,115.04,98.14,692400,0.0,0
2015-06-11,115.89,116.37,115.21,115.9,98.88,574600,0.0,0
2015-06-12,115.98,116.6,114.79,114.94,98.06,592000,0.0,0
2015-06-15,114.54,114.99,112.9,114.13,97.37,1411300,0.0,0
2015-06-16,114.19,115.14,113.96,114.99,98.1,703100,0.0,0
2015-06-17,115.01,115.83,114.21,115.63,98.65,667400,0.0,0
2015-06-18,116.0,117.66,115.13,116.53,99.42,959900,0.0,0
2015-06-19,116.18,116.35,115.0,115.36,98.42,964400,0.0,0
2015-06-22,115.32,116.18,114.25,114.37,97.57,631500,0.0,0
2015-06-23,114.25,115.66,113.63,113.83,97.11,797800,0.0,0
2015-06-24,114.01,114.58,113.44,113.51,96.84,549800,0.0,0
2015-06-25,113.06,113.56,112.13,112.14,95.67,743000,0.0,0
2015-06-26,111.59,112.67,111.18,111.72,95.82,1145500,0.6,0
2015-06-29,112.35,112.59,109.96,110.03,94.37,701600,0.0,0
2015-06-30,110.72,111.26,109.45,109.89,94.25,785300,0.0,0
2015-07-01,110.62,111.96,109.58,111.96,96.03,1021400,0.0,0
2015-07-02,112.63,114.03,112.54,112.74,96.7,846300,0.0,0
2015-07-06,112.33,113.85,111.05,113.56,97.4,643200,0.0,0
2015-07-07,114.0,115.49,112.47,114.96,98.6,601300,0.0,0
2015-07-08,114.35,115.27,113.93,114.1,97.87,605200,0.0,0
2015-07-09,114.75,115.04,113.53,113.93,97.72,583000,0.0,0
2015-07-10,114.65,115.59,114.23,114.93,98.58,366800,0.0,0
2015-07-13,113.98,116.04,113.36,114.26,98.0,730100,0.0,0
2015-07-14,114.21,114.96,112.62,114.4,98.12,668500,0.0,0
2015-07-15,113.93,114.59,113.45,114.4,98.12,377600,0.0,0
2015-07-16,115.08,115.53,114.73,115.22,98.83,632900,0.0,0
2015-07-17,114.94,115.34,114.16,114.52,98.23,376700,0.0,0
2015-07-20,114.3,114.99,113.76,114.67,98.35,450700,0.0,0
2015-07-21,114.54,115.22,113.95,114.58,98.28,549100,0.0,0
2015-07-22,114.46,115.42,114.06,114.82,98.48,406700,0.0,0
2015-07-23,114.62,115.2,111.92,112.74,96.7,793000,0.0,0
2015-07-24,112.74,113.97,112.13,113.2,97.09,624700,0.0,0
2015-07-27,113.53,114.1,112.92,113.29,97.17,717300,0.0,0
2015-07-28,113.4,114.11,112.91,113.67,97.5,473900,0.0,0
2015-07-29,113.56,114.72,112.79,114.61,98.3,697700,0.0,0
2015-07-30,114.25,114.95,113.81,114.21,97.96,582800,0.0,0
2015-07-31,114.55,115.99,113.49,115.14,98.76,819800,0.0,0
2015-08-03,115.14,115.88,114.69,115.66,99.2,445800,0.0,0
2015-08-04,115.37,116.31,113.09,114.72,98.4,511200,0.0,0
2015-08-05,115.07,115.26,113.21,113.85,97.65,533200,0.0,0
2015-08-06,113.43,114.03,112.0,113.81,97.62,472900,0.0,0
2015-08-07,113.51,114.57,112.7,113.62,97.45,479500,0.0,0
2015-08-10,114.27,114.44,113.23,113.7,97.52,570300,0.0,0
2015-08-11,113.09,115.16,113.09,114.49,98.2,508600,0.0,0
2015-08-12,113.56,114.89,113.42,114.73,98.41,441800,0.0,0
2015-08-13,114.07,115.8,113.08,115.69,99.23,682200,0.0,0
2015-08-14,115.36,116.35,114.42,115.94,99.44,668800,0.0,0
2015-08-17,116.1,117.06,115.19,116.97,100.33,520200,0.0,0
2015-08-18,116.73,116.89,116.06,116.69,100.09,407700,0.0,0
2015-08-19,116.05,116.64,115.1,116.06,99.55,405000,0.0,0
2015-08-20,114.83,115.23,113.85,113.98,97.76,861800,0.0,0
2015-08-21,113.56,113.88,111.53,111.58,95.7,650000,0.0,0
2015-08-24,107.5,109.37,104.64,105.25,90.27,1398900,0.0,0
2015-08-25,107.37,107.45,101.85,101.89,87.39,1105200,0.0,0
2015-08-26,103.72,105.22,102.41,105.01,90.07,1077300,0.0,0
2015-08-27,106.01,107.3,104.58,106.31,91.18,879800,0.0,0
2015-08-28,105.53,106.82,105.28,106.56,91.4,596600,0.0,0
2015-08-31,106.33,106.53,103.4,103.51,88.78,785400,0.0,0
2015-09-01,102.96,102.96,100.4,101.33,86.91,716200,0.0,0
2015-09-02,102.06,103.12,101.51,102.6,88.0,498700,0.0,0
2015-09-03,103.17,103.76,102.23,103.16,88.48,527300,0.0,0
2015-09-04,102.04,102.46,99.97,100.95,86.59,711800,0.0,0
2015-09-08,102.34,102.99,101.43,102.8,88.17,419900,0.0,0
2015-09-09,103.99,104.53,101.62,101.83,87.34,566800,0.0,0
2015-09-10,101.87,104.56,101.87,103.04,88.38,651300,0.0,0
2015-09-11,102.69,105.07,102.56,105.05,90.1,523900,0.0,0
2015-09-14,105.38,105.56,104.34,104.72,89.82,347100,0.0,0
2015-09-15,104.89,106.53,104.11,106.28,91.16,660200,0.0,0
2015-09-16,106.18,108.43,105.46,108.26,92.86,504400,0.0,0
2015-09-17,108.33,112.53,107.83,110.58,94.85,887800,0.0,0
2015-09-18,109.35,110.9,109.23,110.2,94.52,1268600,0.0,0
2015-09-21,110.69,111.95,109.85,111.11,95.3,956500,0.0,0
2015-09-22,110.0,110.77,108.93,109.25,93.71,637800,0.0,0
2015-09-23,109.31,110.79,108.85,110.35,94.65,349100,0.0,0
2015-09-24,110.01,110.66,108.64,109.41,93.84,987300,0.0,0
2015-09-25,109.71,110.56,108.87,109.73,94.12,425200,0.0,0
2015-09-28,108.54,108.96,106.98,107.64,92.83,626700,0.6,0
2015-09-29,107.85,109.5,107.33,108.95,93.96,573300,0.0,0
2015-09-30,110.18,110.18,107.66,108.16,93.28,818100,0.0,0
2015-10-01,108.63,108.77,106.95,108.56,93.63,447800,0.0,0
2015-10-02,107.59,109.7,107.23,109.65,94.57,438200,0.0,0
2015-10-05,109.84,111.81,109.7,111.78,96.4,342000,0.0,0
2015-10-06,111.71,112.76,111.12,112.13,96.7,315300,0.0,0
2015-10-07,112.98,113.85,112.59,113.82,98.16,642600,0.0,0
2015-10-08,113.77,114.27,112.89,114.2,98.49,490200,0.0,0
2015-10-09,114.19,114.31,113.07,114.23,98.52,371000,0.0,0
2015-10-12,114.46,115.13,113.52,114.6,98.84,514200,0.0,0
2015-10-13,114.23,115.0,113.32,113.92,98.25,473700,0.0,0
2015-10-14,114.11,114.95,111.73,113.83,98.17,672200,0.0,0
2015-10-15,114.29,116.36,111.43,116.32,100.32,556800,0.0,0
2015-10-16,116.8,118.02,116.14,117.61,101.43,726000,0.0,0
2015-10-19,117.26,119.08,117.26,119.0,102.63,455900,0.0,0
2015-10-20,118.62,119.59,117.53,118.34,102.06,484200,0.0,0
2015-10-21,118.98,119.3,117.26,117.52,101.35,584300,0.0,0
2015-10-22,117.64,120.75,117.64,119.24,102.84,1202600,0.0,0
2015-10-23,119.28,119.63,117.13,117.68,101.49,1202500,0.0,0
2015-10-26,118.02,118.31,116.83,118.24,101.97,770300,0.0,0
2015-10-27,118.06,118.87,117.35,118.61,102.29,661700,0.0,0
2015-10-28,118.68,119.51,116.26,118.61,102.29,535700,0.0,0
2015-10-29,118.32,119.37,118.15,119.18,102.78,444800,0.0,0
2015-10-30,119.48,119.98,118.58,118.62,102.3,734000,0.0,0
2015-11-02,118.69,121.89,118.37,121.8,105.04,624800,0.0,0
2015-11-03,121.43,121.94,119.68,119.92,103.42,660800,0.0,0
2015-11-04,120.19,120.59,119.33,119.82,103.34,522500,0.0,0
2015-11-05,119.67,120.71,118.91,120.14,103.61,389200,0.0,0
2015-11-06,119.11,119.11,115.19,116.24,100.25,663000,0.0,0
2015-11-09,115.7,115.91,113.74,114.75,98.96,456700,0.0,0
2015-11-10,114.86,117.2,114.6,117.04,100.94,473300,0.0,0
2015-11-11,117.3,117.72,116.52,117.18,101.06,353900,0.0,0
2015-11-12,116.8,117.0,115.8,115.99,100.03,358600,0.0,0
2015-11-13,117.05,117.51,115.08,115.21,99.36,372300,0.0,0
2015-11-16,115.07,116.05,114.47,116.05,100.09,382100,0.0,0
2015-11-17,115.83,117.99,115.24,116.66,100.61,500500,0.0,0
2015-11-18,117.08,118.04,116.23,117.97,101.74,303000,0.0,0
2015-11-19,118.24,119.11,117.54,118.38,102.1,270100,0.0,0
2015-11-20,118.82,119.83,118.8,119.31,102.9,377600,0.0,0
2015-11-23,119.21,119.89,118.35,118.89,102.53,496000,0.0,0
2015-11-24,118.37,118.38,116.84,117.56,101.39,758700,0.0,0
2015-11-25,117.77,118.34,117.21,118.29,102.02,348900,0.0,0
2015-11-27,118.12,119.61,117.71,118.92,102.56,168100,0.0,0
2015-11-30,119.35,119.92,117.95,118.08,101.84,646500,0.0,0
2015-12-01,118.63,120.62,118.63,120.54,103.96,458100,0.0,0
2015-12-02,120.22,120.79,117.54,117.72,101.53,558100,0.0,0
2015-12-03,117.38,117.73,115.52,116.27,100.28,664500,0.0,0
2015-12-04,117.19,118.45,116.94,117.82,101.61,775800,0.0,0
2015-12-07,117.47,117.54,115.52,115.98,100.03,662100,0.0,0
2015-12-08,116.37,117.15,114.71,115.08,99.25,952700,0.0,0
2015-12-09,114.3,116.22,113.79,115.12,99.28,744700,0.0,0
2015-12-10,115.38,115.54,112.83,112.98,97.44,783800,0.0,0
2015-12-11,112.26,113.0,111.01,111.87,96.48,660700,0.0,0
2015-12-14,111.89,112.19,110.23,111.45,96.12,707400,0.0,0
2015-12-15,112.4,113.28,111.86,112.7,97.2,599500,0.0,0
2015-12-16,113.22,114.54,112.28,114.31,98.58,551400,0.0,0
2015-12-17,114.5,114.9,112.3,112.75,97.24,780900,0.0,0
2015-12-18,112.04,112.75,110.14,110.22,95.06,1023900,0.0,0
2015-12-21,111.39,111.86,109.36,110.0,94.87,632700,0.0,0
2015-12-22,110.61,111.18,109.96,110.44,95.25,643300,0.0,0
2015-12-23,110.95,113.29,110.95,113.12,97.56,789300,0.0,0
2015-12-24,113.0,114.2,112.24,113.05,97.5,320800,0.0,0
2015-12-28,112.78,113.63,112.25,113.45,97.84,255300,0.0,0
2015-12-29,114.1,114.73,113.45,114.07,98.38,574000,0.0,0
2015-12-30,113.25,114.48,112.05,114.03,98.97,430800,0.72,0
2015-12-31,113.95,113.97,112.39,112.98,98.06,476100,0.0,0
2016-01-04,111.81,111.81,109.19,110.08,95.54,479200,0.0,0
2016-01-05,110.5,111.14,109.8,110.92,96.27,502000,0.0,0
2016-01-06,109.87,110.21,108.46,109.25,94.82,1133200,0.0,0
2016-01-07,108.02,108.34,106.21,106.39,92.34,993200,0.0,0
2016-01-08,106.74,107.34,104.09,104.27,90.5,786800,0.0,0
2016-01-11,104.71,106.02,104.41,104.71,90.88,882400,0.0,0
2016-01-12,105.18,105.42,102.5,102.97,89.37,886900,0.0,0
2016-01-13,103.2,103.5,101.77,102.15,88.66,863300,0.0,0
2016-01-14,102.3,102.68,101.16,101.82,88.37,838600,0.0,0
2016-01-15,100.47,100.51,98.56,100.14,86.91,1120700,0.0,0
2016-01-19,101.24,101.24,99.56,100.06,86.84,786800,0.0,0
2016-01-20,98.95,99.23,94.22,96.63,83.87,1340200,0.0,0
2016-01-21,97.12,99.0,96.07,96.75,83.97,954800,0.0,0
2016-01-22,98.16,102.99,98.16,102.11,88.62,1570800,0.0,0
2016-01-25,102.29,103.81,101.28,101.66,88.23,1047800,0.0,0
2016-01-26,101.87,103.18,101.87,103.18,89.55,1089500,0.0,0
2016-01-27,102.71,102.71,100.82,101.67,88.24,896300,0.0,0
2016-01-28,105.0,105.24,92.0,93.42,81.08,3049500,0.0,0
2016-01-29,94.74,97.4,92.88,96.61,83.85,3597000,0.0,0
2016-02-01,95.77,96.45,92.84,92.97,80.69,2071800,0.0,0
2016-02-02,93.4,93.57,88.24,89.88,78.01,2581300,0.0,0
2016-02-03,90.28,90.31,87.15,89.07,77.31,1413300,0.0,0
2016-02-04,88.65,92.36,88.05,91.05,79.02,1471500,0.0,0
2016-02-05,91.06,91.23,87.63,87.75,76.16,2033300,0.0,0
2016-02-08,87.36,87.85,82.09,83.88,72.8,1735600,0.0,0
2016-02-09,82.45,83.47,80.3,81.19,70.47,1889800,0.0,0
2016-02-10,82.05,84.12,81.58,82.72,71.79,1189300,0.0,0
2016-02-11,81.49,81.89,80.12,80.54,69.9,1849400,0.0,0
2016-02-12,81.73,82.0,80.55,81.01,70.31,1348000,0.0,0
2016-02-16,83.34,84.0,82.04,82.73,71.8,976200,0.0,0
2016-02-17,83.49,85.64,83.45,83.69,72.64,1786600,0.0,0
2016-02-18,83.76,85.98,83.24,85.17,73.92,1545400,0.0,0
2016-02-19,84.76,87.69,84.3,87.32,75.79,2733600,0.0,0
2016-02-22,88.19,90.3,88.09,90.1,78.2,1461900,0.0,0
2016-02-23,89.33,91.25,88.11,88.64,76.93,1146800,0.0,0
2016-02-24,88.0,88.77,87.07,88.51,76.82,559100,0.0,0
2016-02-25,89.2,90.28,89.2,90.04,78.15,816700,0.0,0
2016-02-26,89.98,90.61,89.31,89.34,77.54,901500,0.0,0
2016-02-29,89.44,89.98,87.98,88.18,76.53,1337200,0.0,0
2016-03-01,89.01,93.39,88.93,93.37,81.04,1177900,0.0,0
2016-03-02,93.06,94.33,92.44,94.31,81.85,804700,0.0,0
2016-03-03,94.42,95.43,93.84,95.33,82.74,1160900,0.0,0
2016-03-04,95.28,95.62,94.33,94.98,82.43,1624600,0.0,0
2016-03-07,94.42,94.68,93.24,93.84,81.44,951500,0.0,0
2016-03-08,93.51,93.97,90.79,91.1,79.07,1017500,0.0,0
2016-03-09,91.53,93.48,91.03,92.63,80.39,872000,0.0,0
2016-03-10,93.5,93.5,91.5,92.54,80.32,651800,0.0,0
2016-03-11,94.36,95.03,92.9,94.89,82.36,809900,0.0,0
2016-03-14,94.4,96.76,93.61,94.3,81.84,548300,0.0,0
2016-03-15,93.5,93.88,92.25,92.75,80.5,864300,0.0,0
2016-03-16,92.14,95.46,92.09,95.25,82.67,1053400,0.0,0
2016-03-17,95.46,97.08,95.0,96.5,83.75,851300,0.0,0
2016-03-18,96.48,96.86,94.73,94.75,82.23,954800,0.0,0
2016-03-21,95.32,96.23,94.67,96.1,83.41,1011600,0.0,0
2016-03-22,95.25,96.69,95.1,96.17,83.47,951300,0.0,0
2016-03-23,95.89,96.44,94.53,94.53,82.04,900100,0.0,0
2016-03-24,93.7,94.38,92.51,94.27,81.82,961100,0.0,0
2016-03-28,94.48,95.05,93.22,94.2,81.76,550500,0.0,0
