Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,44.98,45.05,44.27,44.32,35.09,4099900,0.0,0
2015-04-28,44.33,44.67,44.08,44.66,35.36,4540700,0.0,0
2015-04-29,44.22,44.77,43.96,44.65,35.35,5460000,0.0,0
2015-04-30,44.57,44.57,43.98,44.3,35.08,8463100,0.0,0
2015-05-01,44.24,44.87,44.24,44.82,35.49,5969400,0.0,0
2015-05-04,44.9,45.33,44.67,44.98,35.61,4957700,0.0,0
2015-05-05,44.81,44.9,44.14,44.27,35.05,7076600,0.0,0
2015-05-06,44.33,44.5,43.77,44.08,34.9,6705400,0.0,0
2015-05-07,44.22,44.56,44.06,44.23,35.02,5118500,0.0,0
2015-05-08,44.64,44.72,43.76,44.15,34.96,8423800,0.0,0
2015-05-11,44.15,44.29,43.51,43.59,34.51,8343600,0.0,0
2015-05-12,43.5,43.54,43.11,43.47,34.42,7320700,0.0,0
2015-05-13,43.63,43.74,43.27,43.38,34.35,6066400,0.0,0
2015-05-14,42.95,43.4,42.95,43.18,34.62,4831600,0.5425,0
2015-05-15,43.28,43.83,43.21,43.72,35.05,5156300,0.0,0
2015-05-18,43.52,43.82,43.42,43.65,35.0,3484500,0.0,0
2015-05-19,43.41,43.73,43.35,43.67,35.01,3759700,0.0,0
2015-05-20,43.66,44.0,43.62,43.67,35.01,4028000,0.0,0
2015-05-21,43.66,43.71,43.22,43.38,34.78,4894500,0.0,0
2015-05-22,43.3,43.33,42.89,43.23,34.66,4890400,0.0,0
2015-05-26,43.12,43.35,42.73,43.3,34.72,6725900,0.0,0
2015-05-27,43.3,43.94,43.18,43.73,35.06,6778900,0.0,0
2015-05-28,43.7,43.77,43.32,43.51,34.89,4283400,0.0,0
2015-05-29,43.51,43.89,43.37,43.69,35.03,6216400,0.0,0
2015-06-01,43.77,43.92,43.5,43.67,35.01,4620300,0.0,0
2015-06-02,43.58,43.68,43.01,43.28,34.7,6006700,0.0,0
2015-06-03,43.31,43.35,42.75,43.12,34.57,7415300,0.0,0
2015-06-04,42.91,43.46,42.87,43.18,34.62,7610500,0.0,0
2015-06-05,42.81,42.9,42.51,42.66,34.2,7291400,0.0,0
2015-06-08,42.96,42.96,42.33,42.6,34.16,6370600,0.0,0
2015-06-09,42.46,42.7,42.4,42.44,34.03,4216800,0.0,0
2015-06-10,42.76,42.83,42.3,42.34,33.95,4067500,0.0,0
