Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,110.05,110.05,107.99,108.43,93.26,647000,0.0,0
2015-04-28,108.06,109.08,107.48,108.98,93.73,443700,0.0,0
2015-04-29,108.28,108.58,106.8,107.64,92.58,1377800,0.0,0
2015-04-30,107.23,107.49,105.09,106.17,91.32,1321600,0.0,0
2015-05-01,106.17,106.89,105.26,106.8,91.86,1336900,0.0,0
2015-05-04,107.02,108.83,106.87,107.81,92.73,1038300,0.0,0
2015-05-05,107.08,108.07,103.39,104.33,89.73,1801100,0.0,0
2015-05-06,104.33,105.39,102.45,103.22,88.78,1641100,0.0,0
2015-05-07,103.52,104.5,103.25,103.79,89.27,1019300,0.0,0
2015-05-08,105.06,106.18,105.06,105.86,91.05,1228500,0.0,0
2015-05-11,105.44,106.29,104.65,104.99,90.3,967700,0.0,0
2015-05-12,104.46,105.64,103.85,105.38,90.64,1308100,0.0,0
2015-05-13,105.57,106.62,103.85,104.26,89.67,1073200,0.0,0
2015-05-14,104.71,105.8,104.71,105.44,90.69,899700,0.0,0
2015-05-15,105.65,106.89,105.07,106.86,91.91,1560000,0.0,0
2015-05-18,106.27,107.43,106.23,107.42,92.39,823100,0.0,0
2015-05-19,107.01,108.09,106.38,107.82,92.74,651300,0.0,0
2015-05-20,107.71,108.41,107.13,107.75,92.68,833100,0.0,0
2015-05-21,108.22,108.44,107.34,107.69,92.62,825400,0.0,0
2015-05-22,107.58,107.87,106.81,107.6,92.55,741200,0.0,0
2015-05-26,107.58,107.86,106.69,107.09,92.11,1561600,0.0,0
2015-05-27,107.3,107.67,106.87,107.4,92.37,1314200,0.0,0
2015-05-28,107.57,108.13,106.99,107.98,92.87,931900,0.0,0
2015-05-29,107.96,108.23,107.34,107.47,92.44,914000,0.0,0
2015-06-01,107.47,108.36,107.1,107.59,92.54,507500,0.0,0
2015-06-02,107.01,107.25,105.3,106.3,91.43,824900,0.0,0
2015-06-03,106.02,106.76,104.26,104.76,90.1,870400,0.0,0
2015-06-04,103.44,105.3,103.39,104.3,89.71,1009700,0.0,0
2015-06-05,103.43,103.93,102.39,103.87,89.34,1023000,0.0,0
2015-06-08,104.31,104.31,102.73,103.04,88.62,1329900,0.0,0
2015-06-09,103.0,103.94,102.57,103.05,88.63,991500,0.0,0
2015-06-10,103.46,104.05,103.21,103.33,88.87,1076900,0.0,0
2015-06-11,103.99,104.66,103.51,104.04,89.49,695800,0.0,0
2015-06-12,103.57,103.9,102.82,102.86,88.47,691000,0.0,0
2015-06-15,102.78,103.18,102.06,102.59,88.24,714800,0.0,0
2015-06-16,102.28,102.88,101.6,102.8,88.42,714300,0.0,0
2015-06-17,103.22,105.16,102.85,104.37,89.77,2466700,0.0,0
2015-06-18,104.31,105.29,104.1,104.68,90.04,1380100,0.0,0
2015-06-19,104.15,105.2,103.97,103.97,89.42,1514400,0.0,0
2015-06-22,104.13,104.61,103.59,103.82,89.3,927200,0.0,0
2015-06-23,103.63,104.99,102.26,102.54,88.19,712600,0.0,0
2015-06-24,102.68,103.06,100.98,100.99,86.86,1064800,0.0,0
2015-06-25,100.57,100.71,99.36,99.4,86.09,1299200,0.7,0
2015-06-26,99.41,99.62,98.69,99.44,86.13,1541900,0.0,0
2015-06-29,99.29,100.63,99.07,99.28,85.99,1391400,0.0,0
2015-06-30,99.6,99.67,98.67,98.94,85.69,1432100,0.0,0
2015-07-01,98.9,99.39,98.49,98.84,85.61,1296700,0.0,0
2015-07-02,99.5,100.5,99.14,100.38,86.94,1288400,0.0,0
2015-07-06,100.4,100.96,99.34,99.91,86.53,1154500,0.0,0
2015-07-07,100.58,101.71,100.29,101.2,87.65,2140600,0.0,0
2015-07-08,100.69,102.03,100.65,101.44,87.86,1347500,0.0,0
2015-07-09,101.7,102.12,100.0,100.13,86.72,1314300,0.0,0
2015-07-10,100.23,101.85,99.96,101.1,87.56,761200,0.0,0
2015-07-13,101.52,102.14,101.13,101.75,88.13,1286100,0.0,0
2015-07-14,101.78,102.38,101.49,101.98,88.33,896500,0.0,0
2015-07-15,101.9,102.55,101.51,102.54,88.81,892000,0.0,0
2015-07-16,102.52,103.96,102.34,103.9,89.99,1269600,0.0,0
2015-07-17,103.67,103.76,102.35,102.4,88.69,866200,0.0,0
2015-07-20,102.46,102.49,101.58,102.02,88.36,757600,0.0,0
2015-07-21,101.98,102.34,100.35,100.69,87.21,831000,0.0,0
2015-07-22,100.72,101.39,100.36,100.96,87.44,1030400,0.0,0
2015-07-23,100.76,101.0,99.27,99.7,86.35,877000,0.0,0
2015-07-24,99.67,100.15,99.47,99.62,86.28,745200,0.0,0
2015-07-27,99.72,101.12,99.62,100.35,86.91,873300,0.0,0
2015-07-28,100.37,100.89,99.72,100.37,86.93,806800,0.0,0
2015-07-29,100.21,100.85,99.78,100.59,87.12,891400,0.0,0
2015-07-30,100.26,101.34,100.07,100.86,87.36,700300,0.0,0
2015-07-31,101.64,102.6,101.58,101.78,88.15,1260500,0.0,0
2015-08-03,101.96,103.29,101.7,102.75,88.99,1367300,0.0,0
2015-08-04,101.86,103.2,99.54,99.96,86.58,1520900,0.0,0
2015-08-05,101.07,102.16,100.37,100.69,87.21,1801800,0.0,0
2015-08-06,100.55,100.66,98.93,100.24,86.82,1400100,0.0,0
2015-08-07,100.04,101.94,99.73,101.84,88.2,972200,0.0,0
2015-08-10,102.0,103.17,101.68,102.35,88.65,1237900,0.0,0
2015-08-11,102.32,103.95,101.93,102.85,89.08,870400,0.0,0
2015-08-12,102.5,105.38,102.17,105.33,91.23,1454800,0.0,0
2015-08-13,105.15,105.59,104.42,105.08,91.01,1023300,0.0,0
2015-08-14,104.8,106.29,104.5,106.13,91.92,786800,0.0,0
2015-08-17,106.15,106.7,105.02,106.38,92.14,979800,0.0,0
2015-08-18,105.84,106.28,105.23,105.6,91.46,1102300,0.0,0
2015-08-19,105.09,105.59,104.27,104.9,90.85,978200,0.0,0
2015-08-20,104.21,105.5,104.01,104.3,90.33,1210000,0.0,0
2015-08-21,103.77,104.53,101.95,101.96,88.31,1312300,0.0,0
2015-08-24,98.28,101.1,97.82,98.74,85.52,2475500,0.0,0
2015-08-25,100.04,100.82,96.51,96.59,83.66,2361100,0.0,0
2015-08-26,97.93,98.25,94.87,96.93,83.95,1777300,0.0,0
2015-08-27,97.56,97.94,96.54,97.84,84.74,2160300,0.0,0
2015-08-28,97.7,98.14,96.1,97.36,84.32,2048800,0.0,0
2015-08-31,97.06,97.14,94.05,94.85,82.15,2016400,0.0,0
2015-09-01,93.58,94.09,91.69,92.22,79.87,1647200,0.0,0
2015-09-02,93.17,93.3,90.68,92.0,79.68,2412000,0.0,0
2015-09-03,92.12,93.55,91.75,93.39,80.89,2616800,0.0,0
2015-09-04,92.44,93.09,91.83,92.64,80.24,2220600,0.0,0
2015-09-08,93.29,93.67,92.62,92.95,80.5,1569100,0.0,0
2015-09-09,93.15,93.32,91.28,91.48,79.23,1272500,0.0,0
2015-09-10,91.39,91.65,89.74,90.09,78.03,1944300,0.0,0
2015-09-11,89.9,90.44,89.44,90.32,78.23,1488200,0.0,0
2015-09-14,90.43,91.02,90.0,90.31,78.22,1013200,0.0,0
2015-09-15,90.41,91.0,89.87,90.85,78.69,1308400,0.0,0
2015-09-16,90.87,91.78,90.5,91.46,79.21,982400,0.0,0
2015-09-17,91.46,94.31,91.05,92.93,80.49,1359500,0.0,0
2015-09-18,92.5,93.41,92.25,92.43,80.05,2514100,0.0,0
2015-09-21,92.65,93.27,92.2,93.06,80.6,1295300,0.0,0
2015-09-22,93.59,94.15,92.69,93.0,80.55,3013600,0.0,0
2015-09-23,92.4,93.08,91.53,92.11,80.38,1158900,0.7,0
2015-09-24,91.8,92.85,91.51,92.74,80.93,1112700,0.0,0
2015-09-25,92.87,95.11,92.87,93.94,81.98,1649900,0.0,0
2015-09-28,93.63,94.54,93.4,94.03,82.06,1903400,0.0,0
2015-09-29,94.01,94.81,93.86,94.46,82.43,1602700,0.0,0
2015-09-30,94.96,96.81,94.7,96.72,84.41,1888200,0.0,0
2015-10-01,96.71,96.92,95.49,96.4,84.13,1782700,0.0,0
2015-10-02,96.99,96.99,95.82,96.68,84.37,1904200,0.0,0
2015-10-05,97.1,98.42,96.85,98.36,85.84,1082500,0.0,0
2015-10-06,97.98,98.69,97.34,97.67,85.23,1841600,0.0,0
2015-10-07,97.86,98.8,97.37,97.79,85.34,1119100,0.0,0
2015-10-08,97.59,99.8,97.14,99.66,86.97,1161400,0.0,0
2015-10-09,99.79,100.3,99.17,99.72,87.02,1268200,0.0,0
2015-10-12,100.1,100.96,99.56,100.33,87.56,826400,0.0,0
2015-10-13,100.02,100.84,99.89,100.53,87.73,1062000,0.0,0
2015-10-14,100.53,101.04,99.25,99.39,86.74,1512200,0.0,0
2015-10-15,99.8,101.0,99.21,100.71,87.89,960500,0.0,0
2015-10-16,101.28,102.03,100.32,101.61,88.67,1249100,0.0,0
2015-10-19,101.27,101.89,100.81,101.84,88.87,982900,0.0,0
2015-10-20,101.54,101.76,101.11,101.46,88.54,846900,0.0,0
2015-10-21,101.83,102.36,101.05,101.14,88.26,670500,0.0,0
2015-10-22,101.36,102.55,101.17,102.51,89.46,1030800,0.0,0
2015-10-23,102.41,102.96,101.24,101.47,88.55,1106300,0.0,0
2015-10-26,101.63,101.83,100.47,101.45,88.53,1038300,0.0,0
2015-10-27,101.07,101.45,100.29,101.01,88.15,772700,0.0,0
2015-10-28,101.02,101.4,99.5,100.91,88.06,1230300,0.0,0
2015-10-29,100.5,101.48,99.61,101.3,88.4,929400,0.0,0
2015-10-30,101.49,102.45,100.87,102.41,89.37,1283100,0.0,0
2015-11-02,102.29,102.59,101.73,102.39,89.35,1649400,0.0,0
2015-11-03,102.83,104.7,99.17,104.45,91.15,1851200,0.0,0
2015-11-04,104.24,105.78,104.11,105.52,92.08,1587200,0.0,0
2015-11-05,105.29,105.52,104.07,104.12,90.86,1175100,0.0,0
2015-11-06,103.19,103.3,100.17,100.92,88.07,1476900,0.0,0
2015-11-09,100.7,100.93,99.78,100.35,87.57,1306000,0.0,0
2015-11-10,100.46,101.37,100.05,101.3,88.4,957500,0.0,0
2015-11-11,101.49,102.15,100.98,101.48,88.56,997000,0.0,0
2015-11-12,101.18,102.21,99.48,99.5,86.83,961700,0.0,0
2015-11-13,99.65,100.38,98.67,98.86,86.27,1032000,0.0,0
2015-11-16,98.81,101.5,98.78,101.48,88.56,1045600,0.0,0
2015-11-17,101.42,101.96,99.94,100.11,87.36,857400,0.0,0
