Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,58.35,58.49,57.7,57.92,42.86,2214800,0.0,0
2015-04-28,58.03,59.07,57.52,59.0,43.66,3685900,0.0,0
2015-04-29,57.85,58.63,56.68,58.17,43.44,3996600,0.54,0
2015-04-30,57.74,59.08,57.74,58.72,43.85,3902600,0.0,0
2015-05-01,58.98,60.09,58.85,59.63,44.53,3432500,0.0,0
2015-05-04,59.56,59.86,58.74,59.21,44.22,2074500,0.0,0
2015-05-05,58.68,58.98,57.29,57.7,43.09,4170400,0.0,0
2015-05-06,57.88,57.95,55.63,56.29,42.04,3500300,0.0,0
2015-05-07,56.46,57.05,56.09,56.43,42.14,2291200,0.0,0
2015-05-08,56.9,57.46,56.58,57.24,42.75,2413500,0.0,0
2015-05-11,57.36,57.47,56.68,56.76,42.39,1761300,0.0,0
2015-05-12,56.26,56.62,55.59,56.16,41.94,1586300,0.0,0
2015-05-13,56.77,57.33,56.49,56.59,42.26,1653700,0.0,0
2015-05-14,56.97,57.55,56.74,57.43,42.89,1518500,0.0,0
2015-05-15,57.67,57.88,56.85,56.89,42.49,2299900,0.0,0
2015-05-18,56.68,57.2,56.56,56.9,42.49,1789100,0.0,0
2015-05-19,56.9,56.98,54.36,55.15,41.19,6521700,0.0,0
2015-05-20,54.97,55.43,54.45,54.6,40.78,3153500,0.0,0
2015-05-21,54.43,55.61,54.3,55.37,41.35,2885900,0.0,0
2015-05-22,55.42,56.01,55.2,55.79,41.66,1745100,0.0,0
2015-05-26,55.48,55.67,54.37,54.59,40.77,2748300,0.0,0
2015-05-27,54.75,55.77,54.63,55.34,41.33,2282200,0.0,0
2015-05-28,55.62,56.94,55.62,56.37,42.1,3727700,0.0,0
2015-05-29,56.37,56.4,55.26,55.64,41.55,2711000,0.0,0
2015-06-01,55.74,55.83,54.96,55.2,41.22,2414600,0.0,0
2015-06-02,55.29,55.76,54.95,55.29,41.29,2610700,0.0,0
2015-06-03,55.52,56.12,55.36,55.67,41.57,1805400,0.0,0
2015-06-04,55.63,55.65,54.3,54.54,40.73,3307700,0.0,0
2015-06-05,54.24,54.54,53.78,54.43,40.65,2500900,0.0,0
2015-06-08,54.27,54.34,52.67,53.04,39.61,3769500,0.0,0
2015-06-09,53.17,53.21,52.23,52.62,39.3,4191500,0.0,0
2015-06-10,53.08,53.91,52.76,53.59,40.02,3034800,0.0,0
2015-06-11,53.83,54.5,53.51,54.3,40.55,2895600,0.0,0
2015-06-12,53.91,54.31,53.41,53.55,39.99,2264700,0.0,0
2015-06-15,53.22,53.77,52.77,53.37,39.86,3213600,0.0,0
2015-06-16,53.2,53.52,53.05,53.2,39.73,2639300,0.0,0
2015-06-17,53.18,53.69,52.78,53.18,39.72,2008200,0.0,0
2015-06-18,53.29,54.22,53.02,54.14,40.43,2252300,0.0,0
2015-06-19,54.03,54.16,53.25,53.35,39.84,4805300,0.0,0
2015-06-22,53.69,54.0,53.33,53.87,40.23,1853500,0.0,0
2015-06-23,53.8,53.99,52.09,52.29,39.05,5030400,0.0,0
2015-06-24,52.27,52.49,51.63,51.97,38.81,3168400,0.0,0
2015-06-25,51.92,51.92,50.37,50.69,37.86,5463700,0.0,0
