Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,99.82,100.28,99.38,99.71,90.55,1196300,0.0,0
2015-04-28,99.44,99.74,98.5,99.73,90.57,1185700,0.0,0
2015-04-29,99.12,100.06,98.47,99.64,90.49,1012800,0.0,0
2015-04-30,99.16,99.58,98.54,98.7,89.64,1598100,0.0,0
2015-05-01,98.99,99.54,98.82,99.3,90.18,719300,0.0,0
2015-05-04,99.48,100.85,99.35,100.55,91.32,1265200,0.0,0
2015-05-05,100.67,101.5,100.27,100.74,91.49,1477100,0.0,0
2015-05-06,101.28,102.53,100.89,101.96,92.6,1892000,0.0,0
2015-05-07,102.03,102.75,101.38,102.37,92.97,1486700,0.0,0
2015-05-08,103.11,103.74,102.78,103.33,93.84,1323400,0.0,0
2015-05-11,103.28,103.7,102.82,103.48,93.98,1460500,0.0,0
2015-05-12,103.17,103.53,102.27,103.43,93.93,1133100,0.0,0
2015-05-13,103.53,104.02,103.2,103.63,94.11,708700,0.0,0
2015-05-14,104.16,104.28,103.85,104.04,94.49,1005400,0.0,0
2015-05-15,103.99,104.47,103.71,104.05,94.5,657600,0.0,0
2015-05-18,104.01,104.02,103.15,103.26,93.78,1242600,0.0,0
2015-05-19,103.38,103.94,103.02,103.66,94.14,874500,0.0,0
2015-05-20,104.01,104.18,103.36,103.69,94.17,629500,0.0,0
2015-05-21,103.57,104.1,103.31,103.88,94.34,763600,0.0,0
2015-05-22,104.01,104.22,103.59,103.6,94.09,734100,0.0,0
2015-05-26,103.5,103.71,102.22,102.41,93.01,1155000,0.0,0
2015-05-27,102.74,103.66,102.36,103.45,93.95,721500,0.0,0
2015-05-28,103.25,103.48,102.87,103.34,93.85,530600,0.0,0
2015-05-29,103.19,103.59,101.98,102.44,93.03,1134700,0.0,0
2015-06-01,102.36,103.17,101.94,102.83,93.86,947200,0.52,0
2015-06-02,102.45,103.95,102.39,103.4,94.38,1037000,0.0,0
2015-06-03,103.67,104.24,103.41,103.87,94.81,1660500,0.0,0
2015-06-04,103.4,103.65,102.69,103.07,94.08,1503800,0.0,0
2015-06-05,102.86,103.63,102.85,103.5,94.48,896700,0.0,0
2015-06-08,103.51,104.14,103.34,103.64,94.6,1115200,0.0,0
2015-06-09,103.66,104.26,103.38,103.97,94.9,861800,0.0,0
2015-06-10,104.3,106.52,104.23,106.39,97.11,1540300,0.0,0
2015-06-11,106.78,107.24,106.3,106.79,97.48,1478400,0.0,0
2015-06-12,106.59,106.7,106.0,106.28,97.01,853800,0.0,0
2015-06-15,105.3,105.79,105.07,105.69,96.47,904500,0.0,0
2015-06-16,105.64,105.96,105.27,105.78,96.56,1131500,0.0,0
2015-06-17,106.27,106.35,104.87,105.6,96.39,1133200,0.0,0
2015-06-18,104.79,106.83,104.79,106.56,97.27,785500,0.0,0
2015-06-19,106.71,107.19,106.38,106.86,97.54,1299000,0.0,0
2015-06-22,107.48,107.69,106.96,107.29,97.93,686700,0.0,0
2015-06-23,107.28,107.56,107.14,107.33,97.97,659000,0.0,0
2015-06-24,107.35,107.42,106.04,106.36,97.09,1034600,0.0,0
2015-06-25,106.38,106.73,105.57,105.7,96.48,778100,0.0,0
2015-06-26,105.88,106.44,105.66,106.39,97.11,784400,0.0,0
2015-06-29,105.53,106.07,104.9,104.99,95.84,834800,0.0,0
2015-06-30,105.68,106.59,104.83,105.24,96.06,1069000,0.0,0
2015-07-01,106.7,108.63,106.7,107.5,98.13,2290700,0.0,0
2015-07-02,107.75,107.85,107.09,107.71,98.32,1111000,0.0,0
2015-07-06,106.75,108.13,106.32,107.38,98.02,737200,0.0,0
2015-07-07,107.66,107.84,106.07,107.65,98.26,958200,0.0,0
2015-07-08,107.24,107.24,105.74,106.19,96.93,1000200,0.0,0
2015-07-09,107.71,107.93,105.8,105.82,96.59,961700,0.0,0
2015-07-10,107.17,107.17,106.18,106.66,97.36,829400,0.0,0
2015-07-13,107.6,107.69,107.14,107.58,98.2,780200,0.0,0
2015-07-14,107.61,107.97,107.47,107.59,98.21,863300,0.0,0
2015-07-15,107.59,107.72,106.91,107.18,97.83,657700,0.0,0
2015-07-16,107.89,108.03,107.14,107.21,97.86,906900,0.0,0
2015-07-17,107.1,107.47,106.66,107.35,97.99,624200,0.0,0
2015-07-20,107.49,108.28,107.16,107.9,98.49,1033200,0.0,0
2015-07-21,107.61,107.76,106.26,106.79,97.48,1102600,0.0,0
2015-07-22,106.68,107.13,106.18,106.69,97.39,911400,0.0,0
2015-07-23,106.35,107.13,106.1,106.35,97.08,755300,0.0,0
2015-07-24,106.22,106.36,104.7,105.14,95.97,959400,0.0,0
2015-07-27,104.46,104.9,104.16,104.68,95.55,1016800,0.0,0
2015-07-28,104.98,106.78,104.81,106.17,96.91,1375900,0.0,0
2015-07-29,106.2,108.67,105.77,108.17,98.74,2506300,0.0,0
2015-07-30,109.61,111.18,104.34,104.51,95.4,3568100,0.0,0
2015-07-31,104.56,106.01,104.56,105.49,96.29,2357100,0.0,0
2015-08-03,104.79,105.25,102.93,103.74,94.69,2166400,0.0,0
2015-08-04,103.95,104.42,103.57,103.97,94.9,1111800,0.0,0
2015-08-05,103.84,105.5,103.84,105.28,96.1,1869700,0.0,0
2015-08-06,105.45,105.95,104.75,105.2,96.03,952100,0.0,0
2015-08-07,105.15,105.36,104.5,104.69,95.56,1140700,0.0,0
2015-08-10,105.68,106.8,105.68,105.99,96.75,1489100,0.0,0
2015-08-11,104.85,105.1,104.29,105.02,95.86,1182000,0.0,0
2015-08-12,104.39,105.05,103.17,104.69,95.56,1141200,0.0,0
2015-08-13,103.71,104.82,103.54,104.5,95.39,890100,0.0,0
2015-08-14,104.8,105.56,104.49,105.41,96.22,864100,0.0,0
2015-08-17,105.09,106.0,104.48,105.74,96.52,649900,0.0,0
2015-08-18,105.79,106.22,105.34,105.85,96.62,964400,0.0,0
2015-08-19,105.49,106.42,104.94,105.76,96.54,1033700,0.0,0
2015-08-20,105.11,105.43,104.5,104.56,95.44,1409000,0.0,0
2015-08-21,103.83,104.19,101.06,101.15,92.33,2282800,0.0,0
2015-08-24,96.02,99.37,91.19,96.64,88.21,2970200,0.0,0
2015-08-25,99.17,99.61,94.58,94.66,86.41,2326400,0.0,0
2015-08-26,96.73,98.13,94.85,97.84,89.31,2606300,0.0,0
2015-08-27,99.21,100.96,98.57,100.73,91.95,1873400,0.0,0
2015-08-28,100.25,100.71,99.19,100.5,91.74,975700,0.0,0
2015-08-31,100.51,102.33,100.18,101.52,92.67,1507000,0.0,0
2015-09-01,99.17,99.66,97.94,98.36,89.78,1782300,0.0,0
2015-09-02,98.86,99.1,97.9,99.09,90.96,1547200,0.55,0
2015-09-03,99.11,100.15,98.85,99.29,91.14,829300,0.0,0
2015-09-04,97.81,98.37,97.25,97.79,89.77,806800,0.0,0
2015-09-08,99.69,100.31,98.93,100.28,92.05,845200,0.0,0
2015-09-09,101.13,101.7,98.93,99.09,90.96,770800,0.0,0
2015-09-10,98.85,99.6,98.19,98.73,90.63,717600,0.0,0
2015-09-11,98.43,99.91,98.08,99.88,91.68,857900,0.0,0
2015-09-14,99.78,99.88,98.67,99.01,90.89,734400,0.0,0
2015-09-15,99.43,101.55,99.0,101.25,92.94,1099200,0.0,0
2015-09-16,100.93,102.21,100.84,101.7,93.35,920700,0.0,0
2015-09-17,106.78,106.78,100.71,100.95,92.67,1101000,0.0,0
2015-09-18,100.08,101.31,99.87,100.31,92.08,2055800,0.0,0
2015-09-21,100.74,101.53,100.14,100.71,92.45,581800,0.0,0
2015-09-22,99.19,99.7,98.54,99.12,90.99,1148500,0.0,0
2015-09-23,99.47,99.61,97.93,98.65,90.55,898100,0.0,0
2015-09-24,97.54,98.42,96.85,98.26,90.2,1149300,0.0,0
2015-09-25,98.89,99.02,97.92,98.35,90.28,739500,0.0,0
2015-09-28,97.66,97.89,96.51,96.66,88.73,678200,0.0,0
2015-09-29,96.74,97.08,94.56,94.9,87.11,1373100,0.0,0
2015-09-30,96.04,97.16,95.19,96.98,89.02,1403200,0.0,0
2015-10-01,96.94,97.39,95.72,96.62,88.69,1149500,0.0,0
2015-10-02,94.89,97.46,94.89,97.46,89.46,1400300,0.0,0
2015-10-05,98.24,99.99,98.24,99.79,91.6,1129700,0.0,0
2015-10-06,99.78,100.49,99.28,99.88,91.68,680800,0.0,0
2015-10-07,100.44,101.49,99.1,100.44,92.2,680200,0.0,0
2015-10-08,100.06,102.42,99.38,101.74,93.39,972500,0.0,0
2015-10-09,102.0,103.11,101.3,101.55,93.22,1117900,0.0,0
2015-10-12,101.57,102.0,100.91,101.51,93.18,611600,0.0,0
2015-10-13,100.85,101.65,100.1,100.32,92.09,607000,0.0,0
2015-10-14,100.28,100.35,98.2,98.43,90.35,966000,0.0,0
