Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,97.44,97.44,94.5,94.63,88.85,1840500,0.0,0
2015-04-28,94.62,95.41,93.55,95.1,89.3,1619100,0.0,0
2015-04-29,94.95,94.95,93.18,94.32,88.56,1260000,0.0,0
2015-04-30,93.6,93.99,91.78,92.24,86.61,1923500,0.0,0
2015-05-01,92.81,93.45,92.48,93.4,87.7,1275700,0.0,0
2015-05-04,93.65,94.15,93.46,93.63,87.91,1044600,0.0,0
2015-05-05,93.21,93.55,92.47,92.9,87.23,1028700,0.0,0
2015-05-06,93.37,93.47,92.13,92.56,86.91,984900,0.0,0
2015-05-07,92.37,93.28,92.37,92.61,86.96,801500,0.0,0
2015-05-08,93.77,94.8,93.49,94.56,88.79,1258400,0.0,0
2015-05-11,94.59,94.88,94.2,94.36,88.6,741500,0.0,0
2015-05-12,93.98,94.14,93.04,93.08,87.4,1098300,0.0,0
2015-05-13,93.15,93.81,92.71,92.91,87.24,821400,0.0,0
2015-05-14,93.66,95.34,93.34,95.26,89.45,1319700,0.0,0
2015-05-15,95.23,95.68,95.0,95.51,89.68,1260900,0.0,0
2015-05-18,95.69,96.89,95.53,96.59,90.69,995700,0.0,0
2015-05-19,96.48,96.96,96.16,96.68,90.78,1025800,0.0,0
2015-05-20,96.67,97.57,96.67,96.78,90.87,983800,0.0,0
2015-05-21,96.65,96.84,96.13,96.4,90.52,744300,0.0,0
2015-05-22,96.19,96.71,95.79,96.44,90.55,1267900,0.0,0
2015-05-26,96.37,96.37,95.3,95.53,89.7,1164400,0.0,0
2015-05-27,96.0,96.79,95.55,96.59,90.69,889500,0.0,0
2015-05-28,96.46,96.94,95.83,96.24,90.37,862600,0.0,0
2015-05-29,96.15,97.12,95.73,96.13,90.26,1330000,0.0,0
2015-06-01,96.67,96.84,95.44,96.12,90.25,831400,0.0,0
2015-06-02,95.75,96.64,95.14,96.11,90.24,776900,0.0,0
2015-06-03,96.45,96.45,95.61,96.04,90.18,605000,0.0,0
2015-06-04,95.77,95.97,94.73,95.04,89.24,968000,0.0,0
2015-06-05,95.04,95.38,94.49,95.2,89.39,783000,0.0,0
2015-06-08,94.96,95.46,94.6,94.62,88.84,610600,0.0,0
2015-06-09,94.47,94.74,93.95,94.16,88.41,757100,0.0,0
2015-06-10,94.5,96.11,94.16,96.01,90.15,1194400,0.0,0
2015-06-11,96.12,96.85,95.87,96.54,90.65,798500,0.0,0
2015-06-12,96.11,96.49,95.53,95.67,89.83,629200,0.0,0
2015-06-15,95.05,95.17,93.9,94.67,88.89,1187600,0.0,0
2015-06-16,94.57,95.31,94.37,95.16,89.35,719900,0.0,0
2015-06-17,95.34,95.5,94.57,95.1,89.3,686100,0.0,0
2015-06-18,95.41,97.33,95.37,97.15,91.22,1081600,0.0,0
2015-06-19,97.06,97.3,96.71,96.88,90.97,1135400,0.0,0
2015-06-22,97.5,97.9,97.23,97.4,91.45,604700,0.0,0
2015-06-23,97.3,97.67,96.48,96.62,90.72,957900,0.0,0
2015-06-24,96.41,97.27,96.13,96.72,90.82,1393500,0.0,0
2015-06-25,96.89,97.18,96.29,96.45,90.56,860000,0.0,0
2015-06-26,96.48,97.94,96.31,97.34,91.73,1492800,0.345,0
2015-06-29,96.66,97.33,95.28,95.36,89.86,1153400,0.0,0
2015-06-30,96.3,96.48,95.35,95.57,90.06,980800,0.0,0
2015-07-01,96.23,96.43,95.44,96.07,90.53,782800,0.0,0
2015-07-02,96.25,96.29,95.25,95.76,90.24,641300,0.0,0
2015-07-06,94.92,96.05,94.77,95.99,90.45,852200,0.0,0
2015-07-07,96.38,96.99,95.05,96.9,91.31,1012100,0.0,0
2015-07-08,96.45,96.52,95.4,95.42,89.92,907000,0.0,0
2015-07-09,96.75,96.87,95.64,95.66,90.14,949300,0.0,0
2015-07-10,96.7,96.91,95.81,96.37,90.81,1193600,0.0,0
2015-07-13,97.0,97.69,96.91,97.63,92.0,745500,0.0,0
2015-07-14,97.77,98.5,97.45,98.26,92.59,783900,0.0,0
2015-07-15,98.28,98.3,97.44,97.51,91.89,1064700,0.0,0
2015-07-16,98.29,98.33,97.4,98.17,92.51,1110000,0.0,0
2015-07-17,97.87,98.24,97.46,98.21,92.55,867300,0.0,0
2015-07-20,98.27,98.66,98.05,98.38,92.71,625400,0.0,0
2015-07-21,98.46,99.24,98.22,99.06,93.35,1220900,0.0,0
2015-07-22,98.89,99.21,98.07,98.54,92.86,1348400,0.0,0
2015-07-23,98.96,98.96,98.01,98.25,92.58,1612100,0.0,0
2015-07-24,100.05,103.99,99.83,100.97,95.15,3012400,0.0,0
2015-07-27,100.84,101.19,99.69,100.02,94.25,2172900,0.0,0
2015-07-28,100.57,101.75,99.98,101.61,95.75,1113900,0.0,0
2015-07-29,102.06,102.3,101.37,101.98,96.1,1222800,0.0,0
2015-07-30,101.82,102.02,101.31,101.84,95.97,673000,0.0,0
2015-07-31,101.92,102.8,101.59,102.27,96.37,1242800,0.0,0
2015-08-03,102.31,102.7,100.93,101.51,95.66,970900,0.0,0
2015-08-04,101.81,102.42,101.27,101.48,95.63,913600,0.0,0
2015-08-05,102.24,103.36,102.0,103.12,97.17,1440700,0.0,0
2015-08-06,102.97,103.48,101.03,101.32,95.48,1159400,0.0,0
2015-08-07,101.32,101.4,99.88,100.94,95.12,1092500,0.0,0
2015-08-10,101.72,102.5,101.53,102.19,96.3,722500,0.0,0
2015-08-11,101.3,101.95,100.8,101.82,95.95,1115800,0.0,0
2015-08-12,101.88,103.31,100.95,103.13,97.18,1934400,0.0,0
2015-08-13,102.9,103.84,102.21,102.97,97.03,1533900,0.0,0
2015-08-14,102.82,103.74,102.66,103.64,97.66,831300,0.0,0
2015-08-17,103.27,104.24,102.6,104.14,98.13,786700,0.0,0
2015-08-18,103.93,104.45,103.73,104.31,98.29,684900,0.0,0
2015-08-19,103.88,105.34,102.95,104.53,98.5,1163600,0.0,0
2015-08-20,103.55,103.92,102.5,102.52,96.61,1027000,0.0,0
2015-08-21,101.61,101.79,99.34,99.37,93.64,1783600,0.0,0
2015-08-24,95.14,96.43,91.81,95.61,90.1,2560800,0.0,0
2015-08-25,98.35,98.43,95.39,95.49,89.98,2489400,0.0,0
2015-08-26,97.79,98.84,95.66,98.81,93.11,2182700,0.0,0
2015-08-27,100.1,101.3,99.46,101.08,95.25,2286700,0.0,0
2015-08-28,100.33,100.8,99.09,99.69,93.94,2478300,0.0,0
2015-08-31,99.48,100.35,98.4,98.65,92.96,1812000,0.0,0
2015-09-01,96.49,97.13,94.84,95.46,89.96,2028700,0.0,0
2015-09-02,96.66,97.03,95.61,96.9,91.31,1430700,0.0,0
2015-09-03,97.5,97.87,96.39,96.68,91.1,1661000,0.0,0
2015-09-04,95.71,96.26,94.52,95.34,89.84,1444000,0.0,0
2015-09-08,96.84,98.63,96.84,98.57,92.89,1893100,0.0,0
2015-09-09,99.44,99.52,97.08,97.29,91.68,1611900,0.0,0
2015-09-10,97.27,98.89,96.95,98.3,92.63,1735700,0.0,0
2015-09-11,97.83,99.76,97.58,99.65,93.9,2048900,0.0,0
2015-09-14,99.65,99.95,98.36,98.76,93.06,1159000,0.0,0
2015-09-15,98.98,100.12,98.76,99.85,94.09,945800,0.0,0
2015-09-16,99.67,100.85,99.56,100.6,94.8,1218200,0.0,0
2015-09-17,100.59,102.22,100.18,100.56,94.76,1683900,0.0,0
2015-09-18,99.53,100.16,99.05,99.22,93.5,4146000,0.0,0
2015-09-21,100.02,100.7,98.81,99.61,93.87,1229300,0.0,0
2015-09-22,98.41,98.9,97.72,98.56,92.88,1295000,0.0,0
2015-09-23,98.25,98.88,97.86,98.59,92.9,1332100,0.0,0
2015-09-24,97.96,98.4,97.4,98.22,92.56,1714200,0.0,0
2015-09-25,98.97,99.45,96.3,96.9,91.31,1564500,0.0,0
2015-09-28,95.46,96.01,91.73,92.4,87.38,2584800,0.345,0
2015-09-29,92.89,94.16,92.44,93.23,88.17,1653300,0.0,0
2015-09-30,94.29,94.85,92.87,94.1,88.99,1693200,0.0,0
2015-10-01,94.5,94.97,93.65,94.91,89.76,1785600,0.0,0
2015-10-02,94.12,96.46,93.53,96.46,91.22,1593000,0.0,0
2015-10-05,95.89,97.42,95.89,96.89,91.63,1457100,0.0,0
2015-10-06,96.63,96.78,94.25,94.92,89.77,1477900,0.0,0
2015-10-07,95.34,96.03,94.5,96.0,90.79,1038100,0.0,0
2015-10-08,95.82,97.36,95.45,97.35,92.06,1301600,0.0,0
2015-10-09,97.18,98.46,96.9,97.75,92.44,1459600,0.0,0
2015-10-12,97.51,98.74,97.38,98.51,93.16,792000,0.0,0
2015-10-13,98.25,99.05,97.44,97.57,92.27,876000,0.0,0
2015-10-14,97.6,98.38,96.68,96.9,91.64,1267200,0.0,0
2015-10-15,97.4,98.76,96.53,98.69,93.33,1226000,0.0,0
2015-10-16,99.31,100.06,98.3,100.03,94.6,1248800,0.0,0
2015-10-19,99.62,100.51,99.32,100.46,95.0,927900,0.0,0
2015-10-20,100.13,100.43,98.9,99.21,93.82,1121400,0.0,0
