Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,75.41,75.42,74.56,74.6,65.92,1188000,0.0,0
2015-04-28,74.24,75.28,73.95,74.7,66.01,1223800,0.0,0
2015-04-29,74.16,74.69,73.64,74.07,65.45,1288600,0.0,0
2015-04-30,74.05,74.48,73.33,73.51,64.96,991000,0.0,0
2015-05-01,73.59,74.14,73.17,74.04,65.43,1053600,0.0,0
2015-05-04,74.1,74.26,73.47,73.65,65.08,906900,0.0,0
2015-05-05,73.5,73.68,72.73,72.92,64.44,1753900,0.0,0
2015-05-06,73.5,74.0,72.91,73.52,64.97,1715900,0.0,0
2015-05-07,73.17,75.08,71.5,74.02,65.41,4365900,0.0,0
2015-05-08,74.61,75.0,73.46,74.55,65.88,1987500,0.0,0
2015-05-11,74.35,75.49,74.11,74.93,66.21,2533800,0.0,0
2015-05-12,74.5,74.55,73.51,73.98,65.37,1216000,0.0,0
2015-05-13,73.97,74.92,73.77,74.62,65.94,2083000,0.0,0
2015-05-14,75.19,75.56,74.74,75.05,66.32,1872000,0.0,0
2015-05-15,75.06,75.19,74.77,75.0,66.28,1175100,0.0,0
2015-05-18,74.83,75.77,74.62,75.61,66.82,1213900,0.0,0
2015-05-19,75.88,76.3,75.43,75.69,66.89,1928600,0.0,0
2015-05-20,75.83,76.19,75.5,75.55,66.76,1463900,0.0,0
2015-05-21,75.36,75.72,74.93,75.07,66.34,1159100,0.0,0
2015-05-22,74.89,75.23,74.05,74.24,65.6,1299900,0.0,0
2015-05-26,74.08,74.32,73.53,73.65,65.08,1275100,0.0,0
2015-05-27,73.29,73.57,72.94,72.97,64.84,1534400,0.41,0
2015-05-28,73.96,74.77,73.84,74.54,66.24,1755000,0.0,0
2015-05-29,74.19,74.4,73.26,73.38,65.21,1377700,0.0,0
2015-06-01,73.32,73.85,72.83,73.08,64.94,1455100,0.0,0
2015-06-02,72.81,74.28,72.67,74.02,65.78,1715900,0.0,0
2015-06-03,74.15,74.84,73.9,74.76,66.43,1305300,0.0,0
2015-06-04,74.32,75.11,74.2,74.86,66.52,2078600,0.0,0
2015-06-05,74.71,75.12,71.62,72.61,64.52,5433600,0.0,0
2015-06-08,72.64,73.96,72.23,72.84,64.73,1812500,0.0,0
2015-06-09,72.95,73.12,71.99,72.46,64.39,1424000,0.0,0
2015-06-10,72.81,73.13,72.5,72.65,64.56,1118700,0.0,0
2015-06-11,72.81,72.84,72.43,72.72,64.62,912300,0.0,0
2015-06-12,72.5,72.83,72.35,72.77,64.67,909500,0.0,0
2015-06-15,72.41,72.65,71.28,71.4,63.45,2043400,0.0,0
2015-06-16,71.46,72.72,70.9,72.51,64.43,1440100,0.0,0
2015-06-17,72.5,73.11,72.24,72.97,64.84,1177400,0.0,0
2015-06-18,73.41,74.12,73.01,73.72,65.51,1168800,0.0,0
2015-06-19,73.43,73.66,73.02,73.18,65.03,1394300,0.0,0
2015-06-22,73.77,74.15,73.61,73.85,65.63,1125500,0.0,0
2015-06-23,72.71,73.59,72.22,72.23,64.19,2154500,0.0,0
2015-06-24,72.13,73.89,72.13,72.57,64.49,2284700,0.0,0
2015-06-25,72.53,72.8,72.08,72.17,64.13,1497900,0.0,0
2015-06-26,72.6,73.07,72.21,72.29,64.24,992300,0.0,0
2015-06-29,71.56,71.75,70.55,70.59,62.73,1254300,0.0,0
2015-06-30,71.25,71.47,69.69,69.81,62.04,1575900,0.0,0
2015-07-01,70.36,70.96,70.13,70.25,62.43,1181400,0.0,0
2015-07-02,70.04,70.37,69.51,70.06,62.26,1053900,0.0,0
2015-07-06,69.4,69.57,69.0,69.42,61.69,1705700,0.0,0
2015-07-07,69.39,70.35,68.5,70.16,62.35,1320000,0.0,0
2015-07-08,70.3,71.17,69.79,70.09,62.28,1869600,0.0,0
2015-07-09,71.17,71.71,70.66,71.19,63.26,1999100,0.0,0
2015-07-10,72.03,72.29,70.81,71.09,63.17,912900,0.0,0
2015-07-13,71.4,72.38,71.13,72.17,64.13,1679500,0.0,0
2015-07-14,72.22,72.22,71.4,71.64,63.66,1111800,0.0,0
2015-07-15,71.77,72.08,71.18,71.68,63.7,1075000,0.0,0
2015-07-16,72.2,72.38,71.92,72.18,64.14,784200,0.0,0
2015-07-17,71.8,72.18,71.34,71.65,63.67,1913200,0.0,0
2015-07-20,71.6,72.05,71.44,71.72,63.73,828900,0.0,0
2015-07-21,71.74,72.34,71.05,71.32,63.38,686400,0.0,0
2015-07-22,71.27,71.94,71.17,71.36,63.41,739700,0.0,0
2015-07-23,71.26,71.26,70.7,70.82,62.93,1164800,0.0,0
2015-07-24,70.86,71.01,69.68,70.0,62.2,715800,0.0,0
2015-07-27,69.52,69.71,68.57,69.54,61.8,1404100,0.0,0
2015-07-28,69.64,69.71,68.63,69.31,61.59,1337100,0.0,0
2015-07-29,69.59,70.2,69.1,70.04,62.61,2291600,0.41,0
2015-07-30,69.57,70.17,69.07,70.07,62.64,1197600,0.0,0
2015-07-31,70.2,71.21,69.88,71.14,63.59,1478000,0.0,0
2015-08-03,71.11,71.35,69.67,70.18,62.74,1653500,0.0,0
2015-08-04,70.21,70.25,69.47,69.59,62.21,1699600,0.0,0
2015-08-05,69.89,70.7,69.76,70.41,62.94,3451100,0.0,0
2015-08-06,72.3,74.1,71.82,73.76,65.94,3842000,0.0,0
2015-08-07,73.49,73.49,72.39,72.99,65.25,1695800,0.0,0
2015-08-10,73.43,73.64,72.49,72.75,65.03,1243800,0.0,0
2015-08-11,72.16,72.88,71.83,72.52,64.83,1555600,0.0,0
2015-08-12,71.96,72.42,71.69,72.23,64.57,1114900,0.0,0
2015-08-13,72.17,72.41,71.48,71.62,64.02,834300,0.0,0
2015-08-14,71.52,71.82,70.85,71.63,64.03,681300,0.0,0
2015-08-17,71.27,73.26,71.06,73.23,65.46,1830900,0.0,0
2015-08-18,73.16,74.33,73.12,73.27,65.5,1557800,0.0,0
2015-08-19,72.96,73.75,72.45,73.4,65.61,1709500,0.0,0
2015-08-20,72.77,72.84,71.98,71.99,64.35,1617300,0.0,0
2015-08-21,71.43,71.64,69.98,69.98,62.56,2143900,0.0,0
2015-08-24,66.52,68.0,63.91,66.48,59.43,5034500,0.0,0
2015-08-25,68.03,68.18,65.14,65.19,58.27,2716100,0.0,0
2015-08-26,66.5,66.8,64.62,66.68,59.61,2206200,0.0,0
2015-08-27,67.03,68.05,66.14,67.1,59.98,1596900,0.0,0
2015-08-28,66.83,67.39,66.65,67.14,60.02,1147300,0.0,0
2015-08-31,67.05,68.78,67.03,68.09,60.87,1813700,0.0,0
2015-09-01,66.83,67.32,66.01,66.3,59.27,1823300,0.0,0
2015-09-02,66.96,67.17,65.77,66.8,59.71,1347200,0.0,0
2015-09-03,66.87,67.93,66.72,66.96,59.86,1606300,0.0,0
2015-09-04,66.46,67.95,66.06,67.27,60.13,1596200,0.0,0
2015-09-08,68.25,69.41,68.02,69.29,61.94,2054600,0.0,0
2015-09-09,69.8,69.91,68.27,68.44,61.18,1461900,0.0,0
2015-09-10,68.49,69.75,68.05,69.26,61.91,1544900,0.0,0
2015-09-11,68.97,69.38,68.28,69.35,61.99,1507400,0.0,0
2015-09-14,69.35,69.55,68.85,69.09,61.76,1346900,0.0,0
2015-09-15,69.42,72.71,68.83,72.64,64.93,3844100,0.0,0
2015-09-16,80.7,83.3,80.3,82.98,74.18,20381700,0.0,0
2015-09-17,82.8,83.75,81.7,82.6,73.84,7079700,0.0,0
2015-09-18,81.52,84.52,81.52,84.38,75.43,7130500,0.0,0
2015-09-21,85.76,85.79,83.39,83.67,74.79,3932100,0.0,0
2015-09-22,82.81,83.41,81.3,82.89,74.1,3324000,0.0,0
2015-09-23,82.95,83.46,82.61,82.79,74.01,3151000,0.0,0
2015-09-24,82.24,82.65,80.8,81.11,72.51,3224600,0.0,0
2015-09-25,81.7,82.83,81.63,82.3,73.57,2112600,0.0,0
2015-09-28,82.5,84.57,82.01,82.39,73.65,4958100,0.0,0
2015-09-29,82.58,83.35,80.16,82.0,73.3,5460000,0.0,0
2015-09-30,83.04,83.87,81.79,83.02,74.21,2535200,0.0,0
2015-10-01,83.02,83.82,82.56,83.24,74.41,2271100,0.0,0
2015-10-02,82.46,83.86,81.99,83.84,74.95,2256900,0.0,0
2015-10-05,84.4,85.05,83.85,84.26,75.32,2669200,0.0,0
2015-10-06,82.23,82.84,80.95,80.99,72.4,4301800,0.0,0
2015-10-07,81.5,82.27,79.46,82.21,73.49,4049200,0.0,0
2015-10-08,81.98,82.68,80.13,82.0,73.3,3751700,0.0,0
2015-10-09,81.92,82.42,81.37,81.61,72.95,3787600,0.0,0
2015-10-12,82.5,82.87,78.17,78.75,70.4,5811500,0.0,0
2015-10-13,86.74,89.0,85.72,86.58,77.4,14511800,0.0,0
2015-10-14,86.8,86.98,85.42,86.0,76.88,3207800,0.0,0
2015-10-15,86.41,87.95,86.03,87.76,78.45,3588500,0.0,0
2015-10-16,88.03,88.41,87.31,88.3,78.93,2705500,0.0,0
2015-10-19,88.28,88.8,87.87,88.13,78.78,2058800,0.0,0
2015-10-20,88.13,88.69,87.58,88.5,79.11,1694900,0.0,0
2015-10-21,88.6,88.89,87.65,87.91,78.58,1414500,0.0,0
2015-10-22,88.04,88.77,87.8,88.07,78.73,1704100,0.0,0
2015-10-23,88.69,88.69,87.53,88.48,79.09,1803600,0.0,0
2015-10-26,88.28,88.68,87.56,88.24,78.88,1007500,0.0,0
2015-10-27,87.89,88.07,86.28,86.71,77.51,1659500,0.0,0
2015-10-28,86.84,88.32,86.84,87.97,78.64,1928900,0.0,0
2015-10-29,87.97,88.49,87.13,87.49,78.21,1118700,0.0,0
2015-10-30,87.95,88.64,87.12,88.1,78.75,1328800,0.0,0
2015-11-02,88.07,88.83,87.67,88.71,79.3,1317700,0.0,0
2015-11-03,88.25,88.64,87.46,87.9,78.58,2545500,0.0,0
2015-11-04,87.9,88.2,86.66,87.42,78.15,1889600,0.0,0
2015-11-05,87.28,88.48,86.12,87.82,78.5,1243700,0.0,0
2015-11-06,87.33,87.91,86.0,87.57,78.28,1423600,0.0,0
2015-11-09,87.41,87.7,86.51,87.36,78.09,1897600,0.0,0
2015-11-10,87.32,90.59,86.66,88.31,78.94,5595400,0.0,0
2015-11-11,88.15,93.35,87.2,92.19,82.41,10523400,0.0,0
2015-11-12,91.86,94.63,91.45,92.12,82.35,5049200,0.0,0
2015-11-13,91.61,94.26,91.51,93.81,83.86,3859000,0.0,0
2015-11-16,94.32,95.16,92.91,93.88,83.92,2882600,0.0,0
2015-11-17,94.35,95.49,93.88,95.13,85.04,2437100,0.0,0
2015-11-18,95.36,95.74,93.32,94.09,84.11,1968500,0.0,0
2015-11-19,94.41,94.41,93.13,93.88,83.92,2248900,0.0,0
2015-11-20,94.36,94.51,92.39,92.5,82.69,2214700,0.0,0
2015-11-23,93.15,93.41,91.99,92.25,82.46,2020500,0.0,0
2015-11-24,92.21,92.66,91.62,92.11,82.34,1818200,0.0,0
2015-11-25,92.24,92.97,92.03,92.5,83.06,2367700,0.41,0
2015-11-27,92.77,93.72,92.29,93.37,83.84,659200,0.0,0
2015-11-30,93.38,94.15,91.95,92.03,82.64,1644500,0.0,0
2015-12-01,92.34,93.54,92.27,93.17,83.66,1193200,0.0,0
2015-12-02,93.0,93.33,92.37,92.75,83.28,1235300,0.0,0
2015-12-03,92.7,93.19,91.41,91.96,82.57,2261700,0.0,0
2015-12-04,92.0,95.51,91.99,95.14,85.43,2537900,0.0,0
2015-12-07,95.22,95.24,94.24,94.75,85.08,1278400,0.0,0
2015-12-08,94.28,94.81,92.75,94.59,84.93,2175800,0.0,0
2015-12-09,94.21,95.13,93.24,93.72,84.15,1132800,0.0,0
2015-12-10,93.6,94.18,93.0,93.39,83.86,1096600,0.0,0
2015-12-11,92.22,93.93,92.01,92.68,83.22,2142100,0.0,0
2015-12-14,92.55,93.15,90.93,91.91,82.53,1948800,0.0,0
2015-12-15,92.75,94.39,92.19,93.72,84.15,1955900,0.0,0
2015-12-16,94.02,94.55,92.56,94.16,84.55,1922000,0.0,0
