Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,223.23,223.36,218.78,219.04,164.7,275300,0.0,0
2015-04-28,218.05,219.82,216.56,217.87,163.82,343100,0.0,0
2015-04-29,216.17,217.16,212.86,213.1,160.23,353600,0.0,0
2015-04-30,212.26,213.96,211.33,212.13,159.5,275300,0.0,0
2015-05-01,214.5,219.66,214.01,218.84,164.55,409800,0.0,0
2015-05-04,219.98,220.73,219.05,220.28,165.63,505900,0.0,0
2015-05-05,218.56,219.25,212.47,214.93,161.61,900200,0.0,0
2015-05-06,216.08,220.3,214.52,220.12,165.51,609800,0.0,0
2015-05-07,219.97,223.19,218.33,222.07,166.98,694500,0.0,0
2015-05-08,224.0,224.99,221.42,221.86,166.82,443700,0.0,0
2015-05-11,222.18,224.0,221.77,222.45,167.26,345300,0.0,0
2015-05-12,221.17,223.88,220.98,223.45,168.02,295600,0.0,0
2015-05-13,224.0,224.92,222.77,224.53,168.83,198300,0.0,0
2015-05-14,224.98,230.08,224.08,229.22,172.35,398600,0.0,0
2015-05-15,229.73,230.0,226.64,227.55,171.1,384100,0.0,0
2015-05-18,226.63,228.0,226.14,226.74,170.49,292000,0.0,0
2015-05-19,227.26,229.9,226.82,228.84,172.07,211100,0.0,0
2015-05-20,229.4,230.37,227.44,228.19,171.58,185000,0.0,0
2015-05-21,228.36,229.0,227.65,228.91,172.12,144700,0.0,0
2015-05-22,228.95,228.98,226.7,227.12,170.78,191400,0.0,0
2015-05-26,227.9,229.36,225.92,226.89,170.6,303400,0.0,0
2015-05-27,227.12,229.25,226.56,228.99,172.18,241000,0.0,0
2015-05-28,229.0,229.0,226.68,227.49,171.05,166400,0.0,0
2015-05-29,227.74,227.74,224.92,226.04,169.96,435500,0.0,0
2015-06-01,227.0,229.05,225.39,228.25,171.62,273100,0.0,0
2015-06-02,228.13,228.13,225.87,226.41,170.24,203300,0.0,0
2015-06-03,226.85,228.79,225.3,227.31,170.92,205100,0.0,0
2015-06-04,225.94,226.9,224.57,225.18,169.32,221300,0.0,0
2015-06-05,224.95,226.33,224.15,226.12,170.02,150500,0.0,0
2015-06-08,226.12,227.49,224.62,225.05,169.22,239200,0.0,0
2015-06-09,225.39,226.24,224.3,225.82,169.8,232300,0.0,0
2015-06-10,226.5,227.89,225.58,226.5,170.31,243300,0.0,0
2015-06-11,226.94,228.67,226.38,227.84,171.32,183000,0.0,0
2015-06-12,226.7,226.82,224.32,225.62,169.65,244800,0.0,0
2015-06-15,225.87,225.87,224.11,225.13,169.28,320100,0.0,0
2015-06-16,225.35,227.36,225.23,225.97,169.91,213100,0.0,0
2015-06-17,226.23,228.15,225.73,227.47,171.04,146400,0.0,0
2015-06-18,228.23,229.22,228.23,228.79,172.03,185800,0.0,0
2015-06-19,228.84,232.0,228.32,231.09,173.76,379800,0.0,0
2015-06-22,231.96,232.18,230.3,231.09,173.76,170700,0.0,0
2015-06-23,231.15,231.99,229.55,229.82,172.81,120400,0.0,0
2015-06-24,229.5,231.18,227.1,227.62,171.15,170300,0.0,0
2015-06-25,228.73,229.09,227.31,228.49,171.81,189300,0.0,0
2015-06-26,229.06,229.71,227.31,229.17,172.32,280300,0.0,0
2015-06-29,227.28,228.77,225.29,225.38,169.47,225200,0.0,0
2015-06-30,227.03,227.91,224.47,224.67,168.93,368200,0.0,0
2015-07-01,225.81,228.14,225.52,227.51,171.07,304500,0.0,0
2015-07-02,227.77,229.0,227.17,227.78,171.27,161600,0.0,0
2015-07-06,226.33,228.42,225.02,227.33,170.93,353300,0.0,0
2015-07-07,227.5,227.83,223.32,227.62,171.15,506500,0.0,0
2015-07-08,226.08,226.24,221.5,222.33,167.17,421500,0.0,0
2015-07-09,224.33,226.64,223.53,223.64,168.16,473700,0.0,0
2015-07-10,225.12,227.07,222.9,223.52,168.07,285700,0.0,0
2015-07-13,225.56,226.42,224.02,225.26,169.38,234200,0.0,0
2015-07-14,226.2,232.18,224.88,231.7,174.22,505600,0.0,0
2015-07-15,232.44,234.26,228.37,228.59,171.88,437900,0.0,0
2015-07-16,229.13,231.59,228.21,231.08,173.75,536700,0.0,0
2015-07-17,230.81,233.85,230.2,233.6,175.65,190700,0.0,0
2015-07-20,233.8,234.91,232.38,234.28,176.16,347500,0.0,0
2015-07-21,233.05,233.05,227.84,229.22,172.35,566700,0.0,0
2015-07-22,228.0,229.6,225.37,226.35,170.2,774700,0.0,0
2015-07-23,225.92,230.84,225.59,225.78,169.77,338100,0.0,0
2015-07-24,225.58,227.06,223.2,224.61,168.89,411100,0.0,0
2015-07-27,222.27,225.93,216.11,216.93,163.11,1018300,0.0,0
2015-07-28,217.48,218.77,214.81,217.06,163.21,816700,0.0,0
2015-07-29,219.26,223.91,218.99,221.02,166.19,679700,0.0,0
2015-07-30,221.0,222.47,219.42,219.76,165.24,653900,0.0,0
2015-07-31,220.54,226.96,220.54,226.3,170.16,515100,0.0,0
2015-08-03,226.82,230.12,225.24,229.33,172.44,645900,0.0,0
2015-08-04,216.35,231.91,216.32,228.35,171.7,815600,0.0,0
2015-08-05,230.6,239.71,230.6,238.64,179.44,679300,0.0,0
2015-08-06,240.31,240.81,235.83,238.18,179.09,547300,0.0,0
2015-08-07,238.12,238.44,233.65,234.91,176.63,315600,0.0,0
2015-08-10,237.28,239.18,235.75,237.0,178.2,341900,0.0,0
2015-08-11,236.05,238.15,235.0,237.6,178.66,339200,0.0,0
2015-08-12,235.8,237.13,230.67,234.35,176.21,561600,0.0,0
2015-08-13,233.88,239.79,232.86,239.02,179.72,256700,0.0,0
2015-08-14,238.28,244.0,237.03,243.08,182.78,500500,0.0,0
