Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,124.95,125.0,122.5,123.28,119.19,354400,0.0,0
2015-04-28,122.94,123.76,121.4,123.3,119.21,223500,0.0,0
2015-04-29,123.17,123.53,120.87,121.93,117.88,331700,0.0,0
2015-04-30,121.75,124.46,121.75,122.96,118.88,405800,0.0,0
2015-05-01,123.27,124.11,121.37,122.61,118.54,291800,0.0,0
2015-05-04,122.56,124.63,122.5,124.61,120.48,342400,0.0,0
2015-05-05,123.83,124.99,122.65,123.04,118.96,420500,0.0,0
2015-05-06,123.45,123.45,121.97,122.71,118.64,316500,0.0,0
2015-05-07,122.35,123.65,121.85,122.78,118.71,393300,0.0,0
2015-05-08,123.87,124.5,123.09,124.3,120.18,547800,0.0,0
2015-05-11,124.0,125.45,124.0,125.27,121.11,279100,0.0,0
2015-05-12,124.27,126.79,123.82,126.13,122.28,562100,0.34,0
2015-05-13,126.15,127.1,125.26,126.6,122.73,504200,0.0,0
2015-05-14,127.26,129.53,126.46,129.27,125.32,771200,0.0,0
2015-05-15,128.93,129.17,128.07,128.38,124.46,694000,0.0,0
2015-05-18,127.97,129.1,127.86,128.64,124.71,224700,0.0,0
2015-05-19,128.98,129.46,127.58,128.0,124.09,314500,0.0,0
2015-05-20,127.61,128.65,127.23,127.67,123.77,282200,0.0,0
2015-05-21,127.75,129.07,127.12,128.91,124.97,260100,0.0,0
2015-05-22,129.8,130.25,128.89,129.72,125.76,244300,0.0,0
2015-05-26,129.09,129.79,127.18,127.45,123.56,278400,0.0,0
2015-05-27,127.98,129.2,127.3,129.0,125.06,178600,0.0,0
2015-05-28,128.8,129.68,128.09,128.8,124.87,311500,0.0,0
2015-05-29,128.34,129.56,128.0,128.74,124.81,229600,0.0,0
2015-06-01,128.75,129.82,127.68,129.38,125.43,210700,0.0,0
2015-06-02,129.12,129.26,128.13,129.02,125.08,143000,0.0,0
2015-06-03,129.25,129.68,128.8,129.09,125.15,252200,0.0,0
2015-06-04,129.08,129.61,128.66,129.54,125.58,348100,0.0,0
2015-06-05,129.51,132.0,128.75,131.2,127.19,871100,0.0,0
2015-06-08,130.87,132.14,130.27,130.7,126.71,290700,0.0,0
2015-06-09,130.9,131.39,129.88,131.1,127.1,320800,0.0,0
2015-06-10,131.49,132.14,131.14,131.71,127.69,305400,0.0,0
2015-06-11,132.0,133.12,131.29,131.74,127.72,201100,0.0,0
2015-06-12,131.4,131.48,130.07,130.91,126.91,191200,0.0,0
2015-06-15,130.38,131.09,129.11,130.99,126.99,177500,0.0,0
2015-06-16,131.24,131.82,130.57,131.58,127.56,234400,0.0,0
2015-06-17,132.0,132.85,131.26,132.45,128.4,191600,0.0,0
2015-06-18,132.87,133.49,132.35,133.26,129.19,241400,0.0,0
2015-06-19,133.64,134.66,133.22,134.39,130.28,341300,0.0,0
2015-06-22,135.02,135.79,134.59,135.67,131.53,255000,0.0,0
2015-06-23,135.5,136.81,135.19,135.98,131.83,267900,0.0,0
2015-06-24,135.82,136.91,134.36,134.91,130.79,330200,0.0,0
2015-06-25,135.4,135.72,134.03,134.57,130.46,268400,0.0,0
2015-06-26,134.98,137.29,134.5,136.76,132.58,487000,0.0,0
2015-06-29,135.74,136.94,134.93,135.1,130.97,291400,0.0,0
2015-06-30,136.1,136.88,134.8,135.45,131.31,187500,0.0,0
2015-07-01,136.03,136.5,135.46,136.28,132.12,370000,0.0,0
2015-07-02,136.32,136.48,135.0,135.86,131.71,294900,0.0,0
2015-07-06,135.42,137.92,135.42,137.58,133.38,504700,0.0,0
2015-07-07,138.11,138.11,135.5,136.9,132.72,385900,0.0,0
2015-07-08,136.17,137.43,133.87,134.95,130.83,602800,0.0,0
2015-07-09,135.96,136.64,134.4,134.48,130.37,158700,0.0,0
2015-07-10,136.01,136.17,134.87,135.95,131.8,144200,0.0,0
2015-07-13,136.56,138.26,136.46,138.16,133.94,159500,0.0,0
2015-07-14,137.96,138.86,137.38,137.87,133.66,241400,0.0,0
2015-07-15,137.61,137.99,136.47,136.91,132.73,434100,0.0,0
2015-07-16,137.72,137.72,136.27,136.48,132.31,218500,0.0,0
2015-07-17,136.66,136.96,135.54,136.85,132.67,277900,0.0,0
