Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,82.85,82.94,81.17,81.38,68.99,4778900,0.0,0
2015-04-28,81.28,81.81,80.87,81.51,69.1,3233300,0.0,0
2015-04-29,81.2,81.29,78.74,78.87,66.86,6637200,0.0,0
2015-04-30,78.78,79.38,78.39,78.83,66.83,5376700,0.0,0
2015-05-01,78.7,79.7,78.59,79.65,67.52,3066500,0.0,0
2015-05-04,79.74,80.78,79.65,80.18,67.97,2946400,0.0,0
2015-05-05,80.02,80.19,78.92,78.97,66.94,3172100,0.0,0
2015-05-06,79.43,79.43,78.5,79.12,67.07,3907000,0.0,0
2015-05-07,79.35,80.29,79.16,80.11,67.91,3964700,0.0,0
2015-05-08,80.8,81.33,80.58,80.74,68.45,4021200,0.0,0
2015-05-11,80.8,81.37,80.53,80.61,68.33,2778000,0.0,0
2015-05-12,80.21,81.31,80.14,80.81,68.5,2760900,0.0,0
2015-05-13,80.56,80.93,79.73,79.81,67.66,4881200,0.0,0
2015-05-14,77.36,78.1,76.46,77.26,65.5,9895600,0.0,0
2015-05-15,77.64,78.54,77.24,78.53,66.57,6851300,0.0,0
2015-05-18,78.28,78.53,77.66,78.36,66.87,4754100,0.52,0
2015-05-19,77.99,78.46,77.39,77.92,66.49,8702700,0.0,0
2015-05-20,79.33,79.4,77.57,78.18,66.72,10683400,0.0,0
2015-05-21,78.3,79.97,78.0,79.39,67.75,6725000,0.0,0
2015-05-22,79.59,79.59,78.93,79.29,67.66,3847300,0.0,0
2015-05-26,79.44,79.59,78.95,79.08,67.48,4691200,0.0,0
2015-05-27,79.49,80.49,79.32,80.3,68.53,4792200,0.0,0
2015-05-28,80.42,80.7,79.64,80.05,68.31,2968300,0.0,0
2015-05-29,79.96,80.01,79.0,79.32,67.69,3576700,0.0,0
2015-06-01,79.5,79.92,79.11,79.51,67.85,3181600,0.0,0
2015-06-02,79.2,80.14,78.91,80.0,68.27,3453000,0.0,0
2015-06-03,80.35,80.75,79.89,80.34,68.56,3440800,0.0,0
2015-06-04,79.98,80.5,79.57,79.96,68.24,5688100,0.0,0
2015-06-05,80.14,80.26,79.09,79.2,67.59,3922400,0.0,0
2015-06-08,79.25,79.25,78.63,78.89,67.32,3196000,0.0,0
2015-06-09,78.69,79.26,78.25,78.9,67.33,5471500,0.0,0
2015-06-10,79.67,79.8,79.05,79.67,67.99,4670000,0.0,0
2015-06-11,80.0,80.44,79.92,80.07,68.33,3575100,0.0,0
2015-06-12,79.6,80.15,79.41,79.47,67.82,2909100,0.0,0
2015-06-15,80.35,81.09,80.02,80.45,68.65,6228300,0.0,0
2015-06-16,80.48,81.47,80.05,80.97,69.1,4060700,0.0,0
2015-06-17,81.14,82.47,81.09,82.1,70.06,5215200,0.0,0
2015-06-18,82.1,83.41,82.1,83.19,70.99,6680000,0.0,0
2015-06-19,83.0,84.5,82.91,83.35,71.13,11601500,0.0,0
2015-06-22,84.23,84.33,83.65,84.23,71.88,4797900,0.0,0
2015-06-23,84.58,85.81,84.4,84.76,72.33,5916800,0.0,0
2015-06-24,84.72,84.86,83.99,84.34,71.97,3281300,0.0,0
2015-06-25,84.42,85.21,84.34,84.5,72.11,5008600,0.0,0
2015-06-26,84.49,84.65,83.85,84.08,71.75,6189100,0.0,0
2015-06-29,83.48,83.9,81.97,82.09,70.05,5224500,0.0,0
2015-06-30,82.65,83.0,81.57,81.63,69.66,5060000,0.0,0
2015-07-01,82.1,83.13,81.84,82.99,70.82,4087900,0.0,0
2015-07-02,83.06,83.43,82.15,82.27,70.21,3422000,0.0,0
2015-07-06,81.85,83.21,81.75,82.93,70.77,3539100,0.0,0
2015-07-07,83.09,84.48,82.75,84.45,72.07,5709100,0.0,0
2015-07-08,83.68,84.24,83.39,83.48,71.24,4087600,0.0,0
2015-07-09,84.2,84.33,83.02,83.04,70.86,3864000,0.0,0
2015-07-10,84.09,84.19,83.61,83.91,71.61,3271100,0.0,0
2015-07-13,84.67,84.74,84.1,84.1,71.77,3450800,0.0,0
2015-07-14,84.11,84.37,83.32,84.1,71.77,4095400,0.0,0
2015-07-15,84.1,84.55,83.44,84.46,72.08,2853900,0.0,0
2015-07-16,84.75,85.31,84.5,85.01,72.55,2971600,0.0,0
2015-07-17,84.7,85.01,84.44,84.69,72.27,2924600,0.0,0
2015-07-20,84.65,84.98,84.17,84.23,71.88,3261400,0.0,0
2015-07-21,84.18,84.25,82.15,82.28,70.22,6085900,0.0,0
2015-07-22,82.55,83.35,82.44,82.82,70.68,4350900,0.0,0
2015-07-23,82.89,82.95,81.62,81.65,69.68,3489600,0.0,0
2015-07-24,81.87,81.87,80.1,80.21,68.45,5294300,0.0,0
2015-07-27,79.87,79.88,79.13,79.49,67.83,4637300,0.0,0
2015-07-28,80.49,80.6,79.49,80.53,68.72,5457200,0.0,0
2015-07-29,80.69,82.02,80.6,81.84,69.84,5323500,0.0,0
2015-07-30,81.58,82.28,81.54,81.93,69.92,2991300,0.0,0
2015-07-31,82.28,82.36,81.71,81.85,69.85,2832200,0.0,0
2015-08-03,81.18,81.63,80.05,80.39,68.6,3595800,0.0,0
2015-08-04,80.31,80.78,79.71,80.05,68.31,4355600,0.0,0
2015-08-05,80.63,81.07,79.75,80.04,68.3,4303400,0.0,0
2015-08-06,80.0,80.34,78.62,79.54,67.88,4508200,0.0,0
2015-08-07,79.64,79.74,78.6,78.98,67.4,3153400,0.0,0
2015-08-10,79.45,79.69,78.82,78.97,67.39,2998400,0.0,0
2015-08-11,78.65,79.26,78.27,78.87,67.31,4188100,0.0,0
2015-08-12,78.55,79.24,77.08,79.0,67.42,5077100,0.0,0
2015-08-13,78.73,79.81,78.29,78.99,67.41,3322900,0.0,0
2015-08-14,78.98,79.61,78.73,79.35,67.72,3597900,0.0,0
2015-08-17,78.43,79.2,78.19,78.98,67.88,2908900,0.56,0
2015-08-18,78.6,80.73,78.6,80.3,69.01,7326700,0.0,0
2015-08-19,83.95,84.62,79.12,80.87,69.5,21173800,0.0,0
2015-08-20,80.35,81.67,79.81,80.66,69.32,7497600,0.0,0
2015-08-21,80.07,80.87,78.36,78.4,67.38,7982000,0.0,0
2015-08-24,73.9,77.58,71.91,75.28,64.7,10419100,0.0,0
