Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,87.19,87.5,85.83,85.97,77.12,1133300,0.0,0
2015-04-28,85.68,86.52,85.21,86.42,77.52,878200,0.0,0
2015-04-29,85.94,88.04,85.7,86.94,77.99,2094400,0.0,0
2015-04-30,86.86,87.8,86.76,87.48,78.47,1567500,0.0,0
2015-05-01,87.66,89.37,87.43,89.17,79.99,1272300,0.0,0
2015-05-04,89.23,89.49,88.61,88.8,79.66,795700,0.0,0
2015-05-05,88.81,89.36,88.54,88.81,79.66,1278100,0.0,0
2015-05-06,88.89,88.96,86.66,86.98,78.02,1301900,0.0,0
2015-05-07,87.54,88.16,87.05,87.98,78.92,873700,0.0,0
2015-05-08,88.47,88.98,88.38,88.65,79.52,830600,0.0,0
2015-05-11,88.41,88.68,87.33,87.47,78.46,1018300,0.0,0
2015-05-12,86.99,88.42,86.97,88.02,78.96,994800,0.0,0
2015-05-13,87.96,87.99,86.76,86.93,77.98,1024500,0.0,0
2015-05-14,87.22,87.22,84.85,85.54,76.73,2028300,0.0,0
2015-05-15,85.62,87.1,85.46,86.52,77.61,1429000,0.0,0
2015-05-18,86.49,86.86,85.95,86.64,77.72,747800,0.0,0
2015-05-19,87.03,87.24,85.59,86.41,77.51,791300,0.0,0
2015-05-20,86.71,87.13,86.24,86.41,77.51,823300,0.0,0
2015-05-21,86.24,87.37,85.93,86.9,77.95,1859900,0.0,0
2015-05-22,87.17,87.52,86.81,86.91,77.96,1396100,0.0,0
2015-05-26,87.11,87.63,84.83,85.53,76.72,2388200,0.0,0
2015-05-27,92.39,96.33,92.32,94.54,84.8,7246700,0.0,0
2015-05-28,94.3,94.8,93.72,94.63,84.88,2500700,0.0,0
2015-05-29,94.63,94.8,93.58,93.73,84.08,1665900,0.0,0
2015-06-01,94.0,94.37,93.06,93.78,84.12,979600,0.0,0
2015-06-02,93.41,94.52,93.07,94.02,84.34,661800,0.0,0
2015-06-03,94.39,94.56,93.64,93.92,84.25,1317500,0.0,0
2015-06-04,93.5,93.99,92.6,92.86,83.3,1337400,0.0,0
2015-06-05,92.85,93.36,92.3,92.87,83.31,893800,0.0,0
2015-06-08,92.96,93.29,92.17,92.19,82.7,839400,0.0,0
2015-06-09,92.0,92.37,91.45,92.07,82.59,744400,0.0,0
