Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,33.13,33.18,32.64,32.65,28.77,6334400,0.0,0.0
2015-04-28,32.73,32.73,32.28,32.46,28.6,5665600,0.0,0.0
2015-04-29,32.39,32.4,31.83,32.12,28.3,6633400,0.0,0.0
2015-04-30,31.99,32.54,31.95,32.27,28.43,8329600,0.0,0.0
2015-05-01,32.42,32.83,32.31,32.78,28.88,8369400,0.0,0.0
2015-05-04,32.8,32.94,32.72,32.77,28.87,6932600,0.0,0.0
2015-05-05,32.61,32.9,32.58,32.81,28.91,6828600,0.0,0.0
2015-05-06,32.85,32.94,32.71,32.92,29.01,6978800,0.0,0.0
2015-05-07,32.98,33.15,32.81,33.1,29.16,5062200,0.0,0.0
2015-05-08,33.29,33.77,33.28,33.66,29.66,5935600,0.0,0.0
2015-05-11,33.68,33.76,33.35,33.42,29.45,5075000,0.0,0.0
2015-05-12,33.24,33.32,32.92,33.19,29.43,4820200,0.21,0.0
2015-05-13,33.27,33.37,32.81,32.94,29.2,5892400,0.0,0.0
2015-05-14,33.08,33.12,32.62,32.83,29.11,6501400,0.0,0.0
2015-05-15,32.89,33.03,32.67,32.97,29.24,5518400,0.0,0.0
2015-05-18,33.06,33.67,33.06,33.63,29.82,6467200,0.0,0.0
2015-05-19,34.96,35.26,34.55,34.6,30.67,13578400,0.0,0.0
2015-05-20,34.62,34.72,34.0,34.23,30.35,8511600,0.0,0.0
2015-05-21,34.11,34.12,33.86,33.94,30.09,6360000,0.0,0.0
2015-05-22,33.83,34.15,33.56,33.58,29.77,5460000,0.0,0.0
2015-05-26,33.46,33.56,32.99,33.08,29.34,6603000,0.0,0.0
2015-05-27,33.22,33.34,33.01,33.25,29.48,4630800,0.0,0.0
2015-05-28,33.26,33.28,32.94,32.99,29.25,3850600,0.0,0.0
2015-05-29,32.99,32.99,32.19,32.19,28.54,12800000,0.0,0.0
2015-06-01,32.19,32.72,32.15,32.54,28.86,6235000,0.0,0.0
2015-06-02,32.52,32.75,32.35,32.44,28.77,5128600,0.0,0.0
2015-06-03,32.6,33.1,32.47,33.01,29.27,5164600,0.0,0.0
2015-06-04,32.33,33.1,32.33,32.81,29.09,4973400,0.0,0.0
2015-06-05,32.78,32.99,32.67,32.81,29.1,4542800,0.0,0.0
2015-06-08,32.71,32.87,32.62,32.63,28.93,3382400,0.0,0.0
2015-06-09,32.62,32.7,32.26,32.35,28.68,4808000,0.0,0.0
2015-06-10,32.53,32.81,32.45,32.76,29.05,4630800,0.0,0.0
2015-06-11,32.92,33.08,32.72,32.76,29.05,4097800,0.0,0.0
2015-06-12,32.71,32.83,32.58,32.69,28.98,3085400,0.0,0.0
2015-06-15,32.43,32.59,32.36,32.53,28.85,4624200,0.0,0.0
2015-06-16,32.5,32.75,32.42,32.68,28.98,3986800,0.0,0.0
2015-06-17,32.75,32.97,32.6,32.85,29.13,3549200,0.0,0.0
2015-06-18,32.97,33.6,32.85,33.58,29.77,6477200,0.0,0.0
2015-06-19,33.44,33.63,33.28,33.31,29.54,6040800,0.0,0.0
2015-06-22,33.51,33.58,33.24,33.27,29.5,3051200,0.0,0.0
2015-06-23,33.38,33.78,33.28,33.76,29.93,4430800,0.0,0.0
2015-06-24,33.83,33.96,33.78,33.79,29.96,5696400,0.0,0.0
