Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,34.51,34.75,34.03,34.06,33.43,7550100,0.0,0
2015-04-28,34.33,35.0,33.18,33.97,33.34,10224800,0.0,0
2015-04-29,33.94,35.28,33.92,34.62,33.98,5154900,0.0,0
2015-04-30,34.5,34.66,33.89,34.04,33.41,4402600,0.0,0
2015-05-01,34.12,34.28,33.49,33.85,33.22,2815700,0.0,0
2015-05-04,34.0,34.27,33.89,34.15,33.51,1878300,0.0,0
2015-05-05,34.11,34.32,33.61,33.8,33.17,3980300,0.0,0
2015-05-06,33.75,33.8,32.9,33.3,32.68,4407100,0.0,0
2015-05-07,33.2,33.6,32.97,33.3,32.68,2264300,0.0,0
2015-05-08,33.49,33.87,33.22,33.77,33.14,2636500,0.0,0
2015-05-11,33.71,34.33,33.61,33.97,33.34,3780600,0.0,0
2015-05-12,33.72,34.57,33.37,34.56,33.92,7012700,0.0,0
2015-05-13,34.72,34.84,33.79,33.93,33.3,6145600,0.0,0
2015-05-14,34.17,34.51,34.05,34.08,33.45,2803100,0.0,0
2015-05-15,34.11,34.54,33.93,34.4,33.76,2278000,0.0,0
2015-05-18,34.38,35.05,34.37,34.83,34.18,3232200,0.0,0
2015-05-19,34.73,34.74,34.3,34.4,33.76,2519500,0.0,0
2015-05-20,34.36,35.55,34.33,35.21,34.56,6234100,0.0,0
2015-05-21,35.31,36.82,35.26,36.25,35.58,8723600,0.0,0
2015-05-22,36.18,36.74,36.1,36.68,36.0,5645600,0.0,0
2015-05-26,36.55,38.7,36.44,38.55,37.83,13521400,0.0,0
2015-05-27,37.7,38.99,37.62,38.65,37.93,13287000,0.0,0
2015-05-28,38.49,38.49,37.95,38.32,37.61,8532900,0.0,0
2015-05-29,38.27,39.07,38.14,38.88,38.16,6655400,0.0,0
2015-06-01,39.04,39.12,38.57,38.89,38.17,5254800,0.0,0
2015-06-02,38.81,38.95,38.4,38.64,37.92,4384300,0.0,0
2015-06-03,38.76,38.8,38.23,38.33,37.62,4115700,0.0,0
2015-06-04,40.43,40.77,39.19,39.34,38.61,18957400,0.0,0
2015-06-05,39.31,40.59,39.25,40.24,39.49,9640900,0.0,0
2015-06-08,40.3,40.36,39.09,39.48,38.75,5255300,0.0,0
2015-06-09,39.48,39.5,37.92,38.79,38.07,11472000,0.0,0
2015-06-10,38.84,38.98,38.48,38.66,37.94,3154800,0.0,0
2015-06-11,37.6,38.28,37.58,38.12,37.41,6434000,0.0,0
2015-06-12,39.0,39.25,38.63,39.0,38.27,5796500,0.0,0
2015-06-15,38.59,39.24,38.44,38.96,38.24,2544900,0.0,0
2015-06-16,38.87,39.14,38.71,38.85,38.13,1387400,0.0,0
2015-06-17,39.59,40.34,39.23,39.77,39.03,7334200,0.0,0
2015-06-18,39.79,40.28,39.54,39.57,38.83,2769800,0.0,0
2015-06-19,39.51,39.58,38.98,39.16,38.43,2421900,0.0,0
2015-06-22,39.37,39.77,39.13,39.2,38.47,3372600,0.0,0
2015-06-23,39.18,39.73,39.18,39.5,38.77,2112900,0.0,0
2015-06-24,39.36,39.48,38.85,39.03,38.3,3028000,0.0,0
2015-06-25,39.31,39.72,39.24,39.3,38.57,2375300,0.0,0
2015-06-26,39.35,39.4,38.94,39.1,38.37,3780400,0.0,0
2015-06-29,38.76,39.31,38.6,38.68,37.96,2268600,0.0,0
2015-06-30,39.07,39.33,38.63,38.77,38.05,2606000,0.0,0
2015-07-01,38.95,39.0,38.52,38.63,37.91,2068400,0.0,0
2015-07-02,38.86,39.25,38.61,38.97,38.25,1804100,0.0,0
2015-07-06,38.73,38.81,38.25,38.55,37.83,1840700,0.0,0
2015-07-07,38.49,38.74,37.61,38.68,37.96,2132200,0.0,0
2015-07-08,38.51,39.36,37.91,38.47,37.75,5076300,0.0,0
2015-07-09,39.47,39.7,38.41,38.77,38.05,5942400,0.0,0
2015-07-10,39.16,39.21,38.86,39.03,38.3,2606800,0.0,0
2015-07-13,39.13,39.45,38.86,39.26,38.53,2687000,0.0,0
2015-07-14,39.2,39.6,39.05,39.44,38.71,2100400,0.0,0
2015-07-15,39.5,39.53,38.77,39.05,38.32,2116000,0.0,0
2015-07-16,39.35,39.69,37.01,38.62,37.9,5880300,0.0,0
2015-07-17,38.68,38.76,37.73,38.04,37.33,4434000,0.0,0
2015-07-20,38.1,38.4,37.76,38.08,37.37,1507100,0.0,0
2015-07-21,37.85,38.03,37.56,37.63,36.93,1845400,0.0,0
2015-07-22,37.45,37.77,37.22,37.73,37.03,4180800,0.0,0
2015-07-23,37.72,38.21,37.58,37.93,37.22,2385200,0.0,0
2015-07-24,37.9,38.09,36.98,37.4,36.7,2953800,0.0,0
2015-07-27,37.18,37.2,36.33,36.5,35.82,3027700,0.0,0
2015-07-28,36.55,37.19,36.43,36.92,36.23,3792100,0.0,0
2015-07-29,37.0,37.55,36.61,37.04,36.35,4825700,0.0,0
2015-07-30,37.75,39.69,37.71,38.86,38.14,7425000,0.0,0
2015-07-31,39.55,41.21,39.55,40.66,39.9,10469900,0.0,0
2015-08-03,40.69,41.8,40.66,41.49,40.72,5018200,0.0,0
2015-08-04,41.56,41.95,40.85,41.21,40.44,3666100,0.0,0
2015-08-05,41.25,42.02,40.15,40.74,39.98,6131300,0.0,0
2015-08-06,40.97,41.5,40.16,40.42,39.67,4279600,0.0,0
2015-08-07,40.3,40.68,40.07,40.36,39.61,2421100,0.0,0
2015-08-10,40.63,41.71,40.37,41.47,40.7,3455200,0.0,0
2015-08-11,41.22,41.65,40.66,40.95,40.19,2842600,0.0,0
2015-08-12,40.87,41.38,40.39,41.36,40.59,2792000,0.0,0
2015-08-13,41.34,41.51,41.02,41.23,40.46,3495300,0.0,0
2015-08-14,41.23,41.44,41.07,41.23,40.46,2123800,0.0,0
2015-08-17,41.17,42.56,41.0,42.0,41.22,3836100,0.0,0
2015-08-18,42.02,42.16,41.67,42.04,41.26,2347400,0.0,0
2015-08-19,42.02,42.08,41.4,41.86,41.08,2086600,0.0,0
2015-08-20,41.43,41.73,40.57,40.74,39.98,2274000,0.0,0
2015-08-21,40.45,41.02,40.08,40.13,39.38,2449400,0.0,0
2015-08-24,38.27,39.74,36.43,38.73,38.01,9103400,0.0,0
2015-08-25,39.71,39.71,38.0,38.13,37.42,4532800,0.0,0
2015-08-26,39.0,39.3,37.74,38.96,38.24,3306800,0.0,0
2015-08-27,39.39,39.95,38.94,39.94,39.2,3758000,0.0,0
2015-08-28,39.78,40.27,39.67,40.0,39.26,1780400,0.0,0
2015-08-31,39.92,40.24,39.46,39.61,38.87,2214100,0.0,0
2015-09-01,38.82,39.58,38.68,38.96,38.24,2349500,0.0,0
2015-09-02,39.33,39.61,38.65,39.32,38.59,2213700,0.0,0
2015-09-03,39.41,39.84,39.16,39.45,38.72,1825800,0.0,0
2015-09-04,39.11,39.51,38.86,39.22,38.49,1215200,0.0,0
2015-09-08,39.88,40.46,39.74,40.28,39.53,4158700,0.0,0
2015-09-09,40.78,40.79,39.4,39.44,38.71,2442500,0.0,0
2015-09-10,39.48,39.98,39.34,39.65,38.91,3158200,0.0,0
2015-09-11,39.36,39.82,39.23,39.82,39.08,2726700,0.0,0
2015-09-14,39.87,39.99,39.55,39.95,39.21,1636200,0.0,0
2015-09-15,40.1,41.57,39.89,41.31,40.54,4564200,0.0,0
2015-09-16,41.3,41.74,40.64,41.53,40.76,2736000,0.0,0
2015-09-17,41.35,42.73,41.35,42.47,41.68,4181700,0.0,0
2015-09-18,42.0,42.76,41.53,41.84,41.06,5411000,0.0,0
2015-09-21,42.0,43.43,41.77,42.81,42.01,4175300,0.0,0
2015-09-22,42.52,42.73,41.79,42.34,41.55,2371000,0.0,0
2015-09-23,42.48,43.28,42.35,43.03,42.23,3106300,0.0,0
2015-09-24,42.76,42.76,41.9,42.52,41.73,4490500,0.0,0
2015-09-25,43.0,43.31,42.39,42.73,41.94,5269400,0.0,0
2015-09-28,42.43,42.69,40.36,40.54,39.79,2876300,0.0,0
2015-09-29,40.6,40.93,39.0,39.56,38.82,4196500,0.0,0
2015-09-30,40.07,40.28,39.1,39.81,39.07,4168800,0.0,0
2015-10-01,39.95,40.64,39.5,40.13,39.38,2469700,0.0,0
2015-10-02,39.78,40.72,38.2,40.7,39.94,4610000,0.0,0
