Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,82.67,83.06,82.2,82.4,71.51,1011000,0.0,0
2015-04-28,82.09,82.79,81.69,82.78,71.84,1149900,0.0,0
2015-04-29,82.1,82.87,81.5,81.94,71.11,1370700,0.0,0
2015-04-30,81.52,82.16,80.85,81.18,70.45,1717800,0.0,0
2015-05-01,81.45,81.59,80.96,81.49,70.72,904700,0.0,0
2015-05-04,81.9,82.08,81.56,81.92,71.09,1004800,0.0,0
2015-05-05,81.51,82.13,81.22,81.39,70.63,973500,0.0,0
2015-05-06,81.58,81.88,80.17,80.62,69.96,1121100,0.0,0
2015-05-07,80.57,80.96,80.29,80.75,70.08,2241300,0.0,0
2015-05-08,81.33,81.94,81.24,81.68,70.88,1143800,0.0,0
2015-05-11,81.68,82.1,81.58,81.65,70.86,1017400,0.0,0
2015-05-12,81.31,81.39,80.33,81.13,70.41,1003100,0.0,0
2015-05-13,80.91,81.35,80.62,81.18,70.45,1369700,0.0,0
2015-05-14,81.68,82.1,81.22,81.98,71.14,799400,0.0,0
2015-05-15,82.06,82.22,81.31,81.55,70.77,1569300,0.0,0
2015-05-18,81.5,82.33,81.48,82.13,71.27,716100,0.0,0
2015-05-19,82.31,82.5,81.76,81.95,71.12,1056200,0.0,0
2015-05-20,81.88,82.13,81.49,81.79,70.98,847700,0.0,0
2015-05-21,81.52,81.83,81.31,81.69,70.89,830200,0.0,0
2015-05-22,81.62,81.96,81.33,81.57,70.79,888200,0.0,0
2015-05-26,81.44,81.64,80.27,80.67,70.01,1403800,0.0,0
2015-05-27,81.04,81.6,80.65,81.27,70.53,1215800,0.0,0
2015-05-28,81.11,81.34,80.89,81.28,70.54,992600,0.0,0
2015-05-29,81.03,81.28,80.66,80.69,70.02,1182400,0.0,0
2015-06-01,80.95,81.22,80.14,80.81,70.13,1288200,0.0,0
2015-06-02,80.41,80.61,79.82,80.28,69.67,1600300,0.0,0
2015-06-03,80.55,80.8,79.55,79.97,69.4,2797400,0.0,0
2015-06-04,79.81,79.93,78.95,79.2,68.73,1628300,0.0,0
2015-06-05,79.64,79.71,78.87,79.22,68.75,1306900,0.0,0
2015-06-08,79.06,79.6,78.56,78.61,68.22,1372300,0.0,0
2015-06-09,78.93,78.93,78.07,78.1,67.78,1754600,0.0,0
2015-06-10,78.61,79.01,78.5,78.87,68.45,1515900,0.0,0
2015-06-11,78.98,79.2,78.57,78.97,68.99,1482000,0.52,0
2015-06-12,78.82,78.83,78.15,78.33,68.43,1039400,0.0,0
2015-06-15,77.63,78.33,77.41,78.03,68.17,1565600,0.0,0
2015-06-16,77.65,78.86,77.65,78.78,68.82,1095200,0.0,0
2015-06-17,78.97,79.24,78.62,78.75,68.79,1204600,0.0,0
2015-06-18,79.03,79.96,79.03,79.65,69.58,1373100,0.0,0
2015-06-19,79.48,79.74,78.85,78.85,68.88,1852200,0.0,0
2015-06-22,79.28,79.81,78.89,79.07,69.07,1347500,0.0,0
2015-06-23,79.24,79.33,78.78,78.95,68.97,1873100,0.0,0
2015-06-24,78.83,79.33,78.68,78.73,68.78,1675000,0.0,0
2015-06-25,78.67,78.96,77.98,78.06,68.19,1466600,0.0,0
2015-06-26,79.04,79.78,78.71,79.4,69.36,2062500,0.0,0
2015-06-29,77.55,78.97,77.39,77.47,67.68,2136700,0.0,0
2015-06-30,78.42,78.86,77.29,77.73,67.9,1708300,0.0,0
2015-07-01,78.46,78.8,77.47,77.68,67.86,1581500,0.0,0
2015-07-02,77.91,77.98,76.92,77.34,67.56,1132600,0.0,0
2015-07-06,76.48,77.18,76.37,76.93,67.2,1408000,0.0,0
2015-07-07,77.12,77.3,75.88,77.22,67.46,1514200,0.0,0
2015-07-08,76.48,76.76,75.61,75.77,66.19,1863800,0.0,0
2015-07-09,76.74,77.17,76.48,76.61,66.93,2030700,0.0,0
2015-07-10,77.48,77.58,76.92,77.43,67.64,1193500,0.0,0
2015-07-13,78.13,78.38,77.73,78.31,68.41,1209800,0.0,0
2015-07-14,78.34,78.46,77.91,78.09,68.22,1077600,0.0,0
2015-07-15,78.38,78.53,77.87,78.19,68.31,1113600,0.0,0
2015-07-16,78.69,79.52,78.41,79.51,69.46,1464000,0.0,0
2015-07-17,79.16,79.5,79.02,79.42,69.38,1180900,0.0,0
2015-07-20,79.53,79.62,79.05,79.35,69.32,792500,0.0,0
2015-07-21,79.14,79.74,78.74,79.07,69.07,1029800,0.0,0
2015-07-22,79.07,79.22,78.45,78.74,68.79,1639200,0.0,0
2015-07-23,78.06,78.98,77.03,77.28,67.51,2349900,0.0,0
2015-07-24,77.1,77.56,75.99,76.84,67.13,1714000,0.0,0
2015-07-27,76.58,76.9,75.55,76.63,66.94,1427900,0.0,0
2015-07-28,77.37,77.38,76.65,77.16,67.41,1042700,0.0,0
2015-07-29,77.38,77.77,76.93,77.56,67.76,1105300,0.0,0
2015-07-30,77.09,77.83,77.02,77.5,67.7,1175200,0.0,0
2015-07-31,77.63,77.98,77.02,77.13,67.38,1431800,0.0,0
2015-08-03,77.13,77.39,76.71,77.24,67.48,1100100,0.0,0
2015-08-04,77.25,77.77,76.73,77.05,67.31,1113600,0.0,0
2015-08-05,77.34,77.49,76.07,76.48,66.81,1561900,0.0,0
2015-08-06,76.85,76.87,75.46,75.89,66.3,1164100,0.0,0
2015-08-07,76.06,76.27,75.33,75.84,66.25,969300,0.0,0
2015-08-10,76.51,76.9,76.25,76.89,67.17,1181900,0.0,0
2015-08-11,76.67,76.67,75.88,76.18,66.55,1131000,0.0,0
2015-08-12,75.74,75.76,74.04,75.47,65.93,2510300,0.0,0
2015-08-13,75.38,76.36,75.02,75.83,66.24,982000,0.0,0
2015-08-14,75.59,76.15,75.5,76.07,66.45,772200,0.0,0
2015-08-17,75.5,76.28,75.36,76.23,66.59,819100,0.0,0
2015-08-18,77.57,77.57,76.05,76.34,66.69,675700,0.0,0
2015-08-19,75.97,76.24,75.1,75.47,65.93,899300,0.0,0
2015-08-20,75.2,75.2,72.0,73.93,64.58,1509600,0.0,0
2015-08-21,73.37,73.77,72.01,72.09,62.98,3034700,0.0,0
2015-08-24,68.33,72.1,67.76,69.65,60.85,4135400,0.0,0
2015-08-25,72.2,72.2,68.32,68.33,59.69,3049100,0.0,0
2015-08-26,69.62,71.12,69.16,70.81,61.86,3412800,0.0,0
2015-08-27,71.57,73.12,71.57,72.9,63.68,2214800,0.0,0
2015-08-28,72.09,72.48,71.81,72.4,63.25,1408200,0.0,0
2015-08-31,71.87,72.25,71.3,71.88,62.79,1305800,0.0,0
2015-09-01,70.15,70.32,69.05,69.38,60.61,2445400,0.0,0
2015-09-02,70.37,70.54,69.0,69.91,61.07,1591100,0.0,0
2015-09-03,69.89,70.77,69.74,70.36,61.47,1853900,0.0,0
2015-09-04,69.45,70.12,68.99,69.44,60.66,1500900,0.0,0
2015-09-08,70.26,71.18,69.6,71.15,62.16,1839800,0.0,0
2015-09-09,72.0,72.88,70.32,70.45,61.54,1689600,0.0,0
2015-09-10,70.46,71.5,70.42,70.92,61.95,1372400,0.0,0
2015-09-11,70.22,71.03,70.0,71.0,62.48,1181200,0.52,0
2015-09-14,70.96,70.98,70.28,70.58,62.11,1309400,0.0,0
2015-09-15,70.58,71.51,70.17,70.95,62.44,1900100,0.0,0
2015-09-16,71.04,71.79,70.48,71.68,63.08,1380900,0.0,0
2015-09-17,71.46,72.44,70.93,71.06,62.54,1858000,0.0,0
2015-09-18,70.09,70.76,69.28,69.57,61.22,2956100,0.0,0
2015-09-21,69.9,70.44,69.55,70.22,61.8,1032900,0.0,0
2015-09-22,69.16,69.85,68.56,69.06,60.78,1969000,0.0,0
