Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,105.13,105.4,103.04,103.33,92.01,2486900,0.0,0
2015-04-28,103.1,104.31,102.73,103.68,92.32,2038700,0.0,0
2015-04-29,103.19,103.58,102.21,102.85,91.58,2177200,0.0,0
2015-04-30,102.67,103.01,100.76,101.11,90.03,3058100,0.0,0
2015-05-01,101.85,102.21,101.49,102.12,90.93,1803800,0.0,0
2015-05-04,102.18,102.68,102.12,102.17,90.98,1528900,0.0,0
2015-05-05,101.72,102.78,101.71,102.05,90.87,1720400,0.0,0
2015-05-06,102.14,102.53,100.96,101.77,90.62,1778800,0.0,0
2015-05-07,101.43,102.81,101.25,102.58,91.34,1744400,0.0,0
2015-05-08,103.4,104.09,103.27,103.73,92.37,1423400,0.0,0
2015-05-11,102.39,103.08,101.48,102.22,91.02,5003600,0.0,0
2015-05-12,101.53,102.15,101.13,101.67,90.53,2083100,0.0,0
2015-05-13,101.92,102.47,101.4,101.97,90.8,1699300,0.0,0
2015-05-14,102.71,102.94,102.4,102.75,91.49,1641600,0.0,0
2015-05-15,102.71,103.17,102.5,102.68,91.43,1627500,0.0,0
2015-05-18,102.7,103.41,102.7,103.17,91.87,1382600,0.0,0
2015-05-19,103.6,103.91,103.31,103.66,92.3,1667400,0.0,0
2015-05-20,103.92,104.12,103.52,103.7,92.34,1824100,0.0,0
2015-05-21,103.62,103.8,103.04,103.09,91.8,1777100,0.0,0
2015-05-22,103.05,103.37,102.71,102.73,91.48,1565200,0.0,0
2015-05-26,102.46,102.7,101.46,101.6,90.47,1545600,0.0,0
2015-05-27,102.0,102.49,101.4,102.34,91.13,1288500,0.0,0
2015-05-28,101.97,102.22,101.65,102.15,90.96,1215700,0.0,0
2015-05-29,102.27,102.28,101.03,101.12,90.04,2046200,0.0,0
2015-06-01,101.59,101.87,100.95,101.01,89.94,1350800,0.0,0
2015-06-02,100.77,101.0,100.22,100.33,89.34,2445800,0.0,0
2015-06-03,100.81,101.39,100.29,101.01,89.94,1828500,0.0,0
2015-06-04,100.11,101.23,99.97,100.21,89.23,1637800,0.0,0
2015-06-05,100.56,100.89,99.28,99.31,88.43,1804100,0.0,0
2015-06-08,98.9,99.09,97.73,97.76,87.59,2447700,0.61,0
2015-06-09,98.01,98.44,97.54,97.8,87.62,1883500,0.0,0
2015-06-10,98.04,99.92,98.04,99.18,88.86,1891500,0.0,0
