Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,91.23,91.59,90.21,90.65,84.7,902500,0.0,0
2015-04-28,90.43,90.43,89.01,89.6,83.72,1061100,0.0,0
2015-04-29,89.6,90.14,88.05,88.45,82.64,805000,0.0,0
2015-04-30,88.23,88.6,85.34,86.06,80.41,1194500,0.0,0
2015-05-01,86.25,87.55,86.25,87.16,81.44,921500,0.0,0
2015-05-04,87.4,88.11,86.67,87.33,81.59,653600,0.0,0
2015-05-05,86.85,87.51,85.67,85.89,80.25,769100,0.0,0
2015-05-06,85.61,86.06,84.08,84.65,79.09,1282000,0.0,0
2015-05-07,84.38,85.95,84.17,85.69,80.06,691600,0.0,0
2015-05-08,86.46,88.29,86.46,86.92,81.21,668100,0.0,0
2015-05-11,86.87,87.63,86.66,87.12,81.4,669100,0.0,0
2015-05-12,86.69,87.53,86.38,86.82,81.12,680400,0.0,0
2015-05-13,86.93,87.19,85.93,86.43,80.75,631000,0.0,0
2015-05-14,86.76,87.73,85.69,87.66,82.09,623600,0.2,0
2015-05-15,88.1,88.51,87.24,88.48,82.86,501700,0.0,0
2015-05-18,88.39,90.35,88.39,90.13,84.41,693900,0.0,0
2015-05-19,90.35,90.69,89.42,90.07,84.35,638100,0.0,0
2015-05-20,90.16,90.52,89.36,89.91,84.2,628100,0.0,0
2015-05-21,89.86,90.74,89.63,90.59,84.84,438400,0.0,0
2015-05-22,90.41,90.86,90.0,90.52,84.77,570900,0.0,0
2015-05-26,90.3,90.56,88.19,88.33,82.72,556600,0.0,0
2015-05-27,88.52,89.57,88.4,89.0,83.35,560000,0.0,0
2015-05-28,88.71,89.36,88.17,88.37,82.76,444900,0.0,0
2015-05-29,88.27,88.47,86.91,87.14,81.61,756500,0.0,0
2015-06-01,87.54,88.36,86.58,87.75,82.18,802000,0.0,0
2015-06-02,87.46,88.95,87.17,88.58,82.95,453800,0.0,0
2015-06-03,88.71,90.28,88.47,90.25,84.52,569300,0.0,0
2015-06-04,89.68,89.8,87.98,88.19,82.59,784800,0.0,0
2015-06-05,87.93,88.47,87.06,87.98,82.39,733600,0.0,0
2015-06-08,87.75,88.43,87.53,87.59,82.03,561700,0.0,0
2015-06-09,87.39,88.06,86.89,87.3,81.76,677300,0.0,0
2015-06-10,87.68,89.34,87.63,88.94,83.29,612800,0.0,0
2015-06-11,89.43,90.47,89.43,90.11,84.39,633500,0.0,0
2015-06-12,89.33,90.49,89.33,90.19,84.46,780100,0.0,0
2015-06-15,89.57,90.59,89.31,90.31,84.57,833800,0.0,0
2015-06-16,90.19,91.58,90.19,91.13,85.34,615600,0.0,0
2015-06-17,91.55,92.27,91.22,91.73,85.9,728500,0.0,0
2015-06-18,92.07,93.94,92.07,92.95,87.05,668200,0.0,0
2015-06-19,93.06,93.47,92.26,92.44,86.57,876300,0.0,0
2015-06-22,93.04,93.53,92.64,93.05,87.14,553800,0.0,0
2015-06-23,93.28,93.99,92.83,92.89,86.99,493000,0.0,0
2015-06-24,92.6,93.18,91.63,91.88,86.04,411600,0.0,0
2015-06-25,92.12,92.86,91.4,92.7,86.81,584500,0.0,0
2015-06-26,92.94,93.62,92.36,92.75,86.86,708900,0.0,0
2015-06-29,92.1,92.51,90.01,90.1,84.38,532800,0.0,0
2015-06-30,91.3,91.3,89.61,89.94,84.23,1145700,0.0,0
2015-07-01,91.24,91.83,89.76,90.78,85.01,717900,0.0,0
2015-07-02,91.09,91.39,89.4,90.32,84.58,593100,0.0,0
2015-07-06,89.53,91.25,89.53,91.04,85.26,435900,0.0,0
2015-07-07,91.47,91.61,89.27,90.73,84.97,1400100,0.0,0
2015-07-08,89.9,91.09,87.48,87.61,82.05,1690600,0.0,0
2015-07-09,88.72,89.47,88.46,88.72,83.09,1248700,0.0,0
2015-07-10,90.2,91.35,89.64,91.15,85.36,522000,0.0,0
2015-07-13,91.74,92.71,91.68,92.52,86.64,648400,0.0,0
2015-07-14,92.59,93.67,92.27,93.3,87.37,676700,0.0,0
2015-07-15,92.9,93.86,92.59,93.42,87.49,692000,0.0,0
2015-07-16,94.0,94.67,93.3,93.92,87.96,625400,0.0,0
2015-07-17,94.63,95.04,94.0,94.5,88.5,977500,0.0,0
2015-07-20,93.7,94.0,92.8,93.13,87.22,1392600,0.0,0
2015-07-21,93.6,94.4,93.15,93.53,87.59,1054800,0.0,0
2015-07-22,93.61,94.94,93.37,94.78,88.76,1156900,0.0,0
2015-07-23,94.6,96.28,93.5,95.46,89.4,2742200,0.0,0
2015-07-24,95.9,96.09,92.69,93.57,87.63,1293800,0.0,0
2015-07-27,93.69,93.84,91.48,92.08,86.23,787700,0.0,0
2015-07-28,92.54,92.76,91.2,91.72,85.89,828500,0.0,0
2015-07-29,91.87,92.6,91.69,92.28,86.42,711300,0.0,0
2015-07-30,92.05,92.49,91.43,91.99,86.15,506200,0.0,0
2015-07-31,92.04,93.44,91.71,92.52,86.64,689100,0.0,0
2015-08-03,92.75,93.07,90.47,91.34,85.54,512400,0.0,0
2015-08-04,91.09,92.48,91.09,92.27,86.41,493700,0.0,0
2015-08-05,93.54,93.87,92.76,93.35,87.42,985100,0.0,0
2015-08-06,93.5,93.99,91.07,91.17,85.38,813900,0.0,0
2015-08-07,90.96,91.82,90.42,91.7,85.88,538000,0.0,0
2015-08-10,92.68,93.72,92.47,93.11,87.2,572500,0.0,0
2015-08-11,92.54,93.62,92.19,93.47,87.53,653100,0.0,0
2015-08-12,92.77,93.08,91.25,92.76,86.87,620000,0.0,0
2015-08-13,92.47,94.73,92.42,93.2,87.47,666300,0.2,0
2015-08-14,92.93,94.74,92.39,93.1,87.38,533300,0.0,0
2015-08-17,93.02,94.09,92.37,93.94,88.16,639400,0.0,0
2015-08-18,93.85,94.52,93.18,94.09,88.3,672900,0.0,0
2015-08-19,93.7,94.31,92.5,93.35,87.61,583500,0.0,0
2015-08-20,92.65,93.09,89.65,89.65,84.14,1005300,0.0,0
2015-08-21,88.83,88.99,85.52,85.59,80.33,1595700,0.0,0
2015-08-24,79.7,86.39,75.0,83.58,78.44,2718600,0.0,0
2015-08-25,85.25,86.39,83.04,83.04,77.93,1454400,0.0,0
2015-08-26,85.28,85.94,82.59,85.04,79.81,1199800,0.0,0
2015-08-27,85.79,88.95,85.12,87.12,81.76,1486700,0.0,0
2015-08-28,86.94,87.27,84.67,85.39,80.14,1646900,0.0,0
2015-08-31,85.13,86.54,84.79,85.31,80.06,1182700,0.0,0
2015-09-01,83.27,84.32,81.68,82.23,77.17,1230400,0.0,0
2015-09-02,83.58,84.15,82.41,83.69,78.54,1432100,0.0,0
2015-09-03,84.0,85.67,83.22,83.95,78.79,1561200,0.0,0
2015-09-04,83.02,84.39,82.65,83.19,78.08,761000,0.0,0
2015-09-08,85.06,86.49,84.27,86.36,81.05,710000,0.0,0
2015-09-09,86.62,87.61,85.61,85.8,80.52,1036300,0.0,0
2015-09-10,85.36,87.38,85.05,86.69,81.36,911900,0.0,0
2015-09-11,86.41,88.07,85.91,87.96,82.55,837000,0.0,0
2015-09-14,87.59,87.59,85.8,86.11,80.82,976200,0.0,0
2015-09-15,86.37,87.19,85.31,86.5,81.18,699600,0.0,0
2015-09-16,86.48,88.33,86.24,87.96,82.55,1074800,0.0,0
2015-09-17,88.14,88.34,86.1,86.99,81.64,1410800,0.0,0
2015-09-18,86.07,87.86,85.92,86.27,80.97,1565100,0.0,0
2015-09-21,86.41,87.68,84.27,84.89,79.67,1720400,0.0,0
2015-09-22,83.91,83.99,81.37,82.81,77.72,2306800,0.0,0
2015-09-23,83.1,83.59,82.23,83.04,77.93,1795100,0.0,0
2015-09-24,82.46,83.22,81.01,82.35,77.29,1409100,0.0,0
2015-09-25,83.0,84.95,82.52,83.97,78.81,2728400,0.0,0
2015-09-28,83.14,84.0,81.62,81.68,76.66,1546500,0.0,0
2015-09-29,81.89,82.5,80.06,82.31,77.25,2333500,0.0,0
2015-09-30,83.54,84.92,82.95,84.32,79.14,1692200,0.0,0
2015-10-01,84.4,85.99,83.37,85.95,80.67,1514000,0.0,0
