Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,55.32,56.3,55.09,55.56,48.72,8397300,0.0,0
2015-04-28,55.31,55.52,54.64,55.09,48.6,6729300,0.34,0
2015-04-29,54.67,55.32,54.37,55.02,48.54,5276300,0.0,0
2015-04-30,54.91,55.15,53.92,54.21,47.83,6756900,0.0,0
2015-05-01,54.71,55.43,54.42,55.31,48.8,5726700,0.0,0
2015-05-04,55.3,55.61,55.01,55.3,48.79,4060500,0.0,0
2015-05-05,54.97,55.03,53.85,54.01,47.65,7970100,0.0,0
2015-05-06,54.13,54.55,53.34,53.7,47.38,7737300,0.0,0
2015-05-07,53.97,54.4,53.82,54.06,47.69,5846600,0.0,0
2015-05-08,54.5,55.17,54.34,54.7,48.26,4814600,0.0,0
2015-05-11,54.62,54.75,54.31,54.44,48.03,4204100,0.0,0
2015-05-12,54.2,54.59,53.75,54.17,47.79,4315500,0.0,0
2015-05-13,54.16,54.96,54.13,54.69,48.25,4332600,0.0,0
2015-05-14,55.12,55.86,55.0,55.61,49.06,4109300,0.0,0
2015-05-15,55.9,56.0,55.27,55.61,49.06,4165300,0.0,0
2015-05-18,55.51,55.9,55.28,55.79,49.22,3861300,0.0,0
2015-05-19,55.89,56.13,55.57,55.78,49.21,4848500,0.0,0
2015-05-20,55.81,56.27,55.56,55.63,49.08,4179300,0.0,0
2015-05-21,55.51,56.0,55.26,55.5,48.96,4260800,0.0,0
2015-05-22,55.23,55.6,55.23,55.37,48.85,5419700,0.0,0
2015-05-26,55.25,55.25,54.2,54.56,48.13,5312000,0.0,0
2015-05-27,54.71,56.23,54.59,55.97,49.38,7278200,0.0,0
2015-05-28,55.96,56.4,55.72,55.91,49.33,6851200,0.0,0
2015-05-29,56.02,56.34,55.57,55.92,49.33,5928700,0.0,0
2015-06-01,55.7,56.34,55.42,55.71,49.15,4576000,0.0,0
2015-06-02,55.42,55.6,54.88,55.25,48.74,4630100,0.0,0
2015-06-03,55.46,55.58,54.82,54.89,48.43,3659000,0.0,0
2015-06-04,54.66,54.88,53.83,53.98,47.62,6640700,0.0,0
2015-06-05,53.98,54.26,53.58,53.79,47.46,3650400,0.0,0
2015-06-08,53.67,53.72,52.71,52.82,46.6,4795400,0.0,0
2015-06-09,52.84,53.29,52.44,52.92,46.69,4414300,0.0,0
2015-06-10,53.14,54.39,52.92,54.19,47.81,6930600,0.0,0
2015-06-11,54.17,54.26,53.57,53.64,47.32,4711200,0.0,0
2015-06-12,53.35,53.51,52.99,53.01,46.77,4174100,0.0,0
2015-06-15,52.45,53.11,52.32,53.05,46.8,4895300,0.0,0
2015-06-16,52.91,53.2,52.66,53.09,46.84,2702200,0.0,0
2015-06-17,53.31,53.53,52.87,53.29,47.01,3465700,0.0,0
2015-06-18,53.48,54.37,53.34,54.22,47.83,5911000,0.0,0
2015-06-19,54.25,54.59,53.54,54.51,48.09,9948600,0.0,0
