Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,44.42,44.42,43.66,43.67,43.28,2296800,0.0,0
2015-04-28,43.32,44.67,42.97,44.36,43.96,5609000,0.0,0
2015-04-29,44.21,44.7,44.05,44.16,43.76,3505900,0.0,0
2015-04-30,43.87,44.39,43.7,43.98,43.59,2174600,0.0,0
2015-05-01,44.07,44.59,43.91,44.41,44.01,2217900,0.0,0
2015-05-04,44.48,44.91,44.34,44.6,44.2,1616000,0.0,0
2015-05-05,44.55,44.88,44.22,44.4,44.0,2538600,0.0,0
2015-05-06,44.6,44.91,44.34,44.61,44.21,2075500,0.0,0
2015-05-07,44.43,44.9,44.25,44.68,44.28,1955600,0.0,0
2015-05-08,45.21,45.45,45.0,45.19,44.78,1781500,0.0,0
2015-05-11,45.1,45.58,45.04,45.4,44.99,1563900,0.0,0
2015-05-12,45.2,45.67,44.8,45.52,45.11,1675900,0.0,0
2015-05-13,45.62,46.04,45.45,45.89,45.48,1668400,0.0,0
2015-05-14,46.27,46.88,46.09,46.86,46.44,2065400,0.0,0
2015-05-15,46.84,46.93,46.38,46.62,46.2,1413400,0.0,0
2015-05-18,46.54,46.76,46.24,46.66,46.24,1159400,0.0,0
2015-05-19,46.71,46.79,46.24,46.29,45.88,839400,0.0,0
2015-05-20,46.29,46.68,46.25,46.47,46.05,1047000,0.0,0
2015-05-21,46.63,46.81,46.48,46.51,46.09,751700,0.0,0
2015-05-22,46.48,46.64,46.16,46.35,45.93,840000,0.0,0
2015-05-26,46.17,46.35,45.21,45.7,45.29,1678100,0.0,0
2015-05-27,45.73,46.06,45.63,45.94,45.53,868400,0.0,0
2015-05-28,45.94,45.97,45.61,45.95,45.54,793900,0.0,0
2015-05-29,45.85,45.99,45.16,45.22,44.81,1060800,0.0,0
2015-06-01,45.3,45.45,44.9,45.15,44.75,655400,0.0,0
2015-06-02,44.89,45.33,44.89,45.15,44.75,695100,0.0,0
2015-06-03,45.3,45.7,45.08,45.36,44.95,470100,0.0,0
