Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,41.42,41.51,40.65,40.72,40.72,4564000,0,0.0
2015-04-28,40.5,40.58,39.82,40.24,40.24,5967400,0,0.0
2015-04-29,39.97,40.01,39.08,39.45,39.45,8280800,0,0.0
2015-04-30,39.45,39.65,38.53,38.78,38.78,6638000,0,0.0
2015-05-01,38.9,39.19,38.76,38.98,38.98,4969000,0,0.0
2015-05-04,39.06,39.19,38.4,38.56,38.56,5220400,0,0.0
2015-05-05,38.45,38.78,38.17,38.54,38.54,4146200,0,0.0
2015-05-06,38.56,38.7,38.08,38.37,38.37,4695000,0,0.0
2015-05-07,38.5,39.17,38.42,38.88,38.88,3843000,0,0.0
2015-05-08,39.37,39.85,39.22,39.54,39.54,4571800,0,0.0
2015-05-11,39.51,39.72,39.1,39.13,39.13,3670400,0,0.0
2015-05-12,38.8,39.15,38.53,38.96,38.96,2453000,0,0.0
2015-05-13,38.96,39.08,38.44,38.69,38.69,2800000,0,0.0
2015-05-14,38.84,39.19,38.26,39.04,39.04,3178800,0,0.0
2015-05-15,39.12,39.22,38.82,38.91,38.91,2296800,0,0.0
2015-05-18,38.96,39.53,38.91,39.43,39.43,3069400,0,0.0
2015-05-19,39.51,39.69,39.22,39.29,39.29,2584200,0,0.0
2015-05-20,39.37,39.42,38.83,39.29,39.29,2621400,0,0.0
2015-05-21,39.29,39.4,38.85,39.1,39.1,2225400,0,0.0
2015-05-22,39.08,39.47,39.01,39.24,39.24,2978400,0,0.0
2015-05-26,39.08,39.22,38.81,38.86,38.86,2854800,0,0.0
2015-05-27,38.78,38.85,38.33,38.46,38.46,4478800,0,0.0
2015-05-28,38.46,39.22,38.31,39.19,39.19,3083600,0,0.0
2015-05-29,39.26,39.44,38.9,39.21,39.21,4403600,0,0.0
2015-06-01,39.29,39.47,38.85,39.31,39.31,2659000,0,0.0
2015-06-02,39.28,39.37,38.9,38.95,38.95,3161800,0,0.0
2015-06-03,39.14,39.3,38.92,39.19,39.19,2318600,0,0.0
2015-06-04,38.95,39.29,38.78,39.02,39.02,3132600,0,0.0
2015-06-05,39.7,41.0,39.58,40.92,40.92,7254400,0,0.0
2015-06-08,40.85,41.06,40.46,40.48,40.48,2948600,0,0.0
2015-06-09,40.47,40.58,39.81,40.33,40.33,2178200,0,0.0
2015-06-10,40.54,40.92,40.27,40.78,40.78,2659200,0,0.0
2015-06-11,40.65,41.08,40.46,40.63,40.63,3111600,0,0.0
2015-06-12,40.34,40.81,40.31,40.65,40.65,1844600,0,0.0
2015-06-15,40.38,40.8,40.2,40.6,40.6,1961600,0,0.0
2015-06-16,40.69,41.4,40.6,41.39,41.39,3823200,0,0.0
2015-06-17,41.53,41.53,41.03,41.32,41.32,2853000,0,0.0
2015-06-18,41.35,41.97,41.35,41.85,41.85,2995800,0,0.0
2015-06-19,41.76,41.97,41.54,41.59,41.59,3528000,0,0.0
2015-06-22,42.0,42.54,41.88,42.45,42.45,4089200,0,0.0
2015-06-23,42.57,42.79,42.25,42.69,42.69,3630400,0,0.0
2015-06-24,42.63,42.63,42.1,42.17,42.17,2913600,0,0.0
2015-06-25,42.42,42.65,42.15,42.58,42.58,2892600,0,0.0
2015-06-26,42.85,43.15,42.69,42.97,42.97,4415800,0,0.0
2015-06-29,42.49,42.6,41.42,41.47,41.47,4312200,0,0.0
2015-06-30,41.94,42.02,41.51,41.72,41.72,3740400,0,0.0
2015-07-01,42.13,42.37,41.85,42.13,42.13,3215200,0,0.0
2015-07-02,42.24,42.39,41.95,42.29,42.29,2103200,0,0.0
2015-07-06,41.99,42.5,41.85,42.29,42.29,1775600,0,0.0
2015-07-07,42.4,42.47,41.65,42.47,42.47,2797400,0,0.0
2015-07-08,42.19,42.56,41.94,42.19,42.19,3466200,0,0.0
2015-07-09,42.69,42.9,42.24,42.24,42.24,3840000,0,0.0
2015-07-10,42.72,43.2,42.38,43.12,43.12,3368000,0,0.0
2015-07-13,43.58,44.73,43.54,44.67,44.67,5443600,0,0.0
2015-07-14,44.64,44.65,44.13,44.4,44.4,3714800,0,0.0
2015-07-15,44.4,44.5,44.05,44.14,44.14,2746800,0,0.0
2015-07-16,43.47,43.62,42.19,42.67,42.67,12416600,0,0.0
2015-07-17,42.76,43.83,42.71,43.61,43.61,5413200,0,0.0
2015-07-20,43.95,44.74,43.83,44.47,44.47,5391800,0,0.0
2015-07-21,44.33,44.55,43.8,44.17,44.17,3946000,0,0.0
2015-07-22,44.0,44.98,44.0,44.69,44.69,6086600,0,0.0
2015-07-23,46.75,48.85,46.67,47.97,47.97,20061000,0,0.0
2015-07-24,48.35,48.6,47.38,48.03,48.03,7970400,0,0.0
2015-07-27,47.62,48.24,47.1,48.22,48.22,5986000,0,0.0
2015-07-28,48.5,48.97,48.01,48.92,48.92,5463600,0,0.0
2015-07-29,48.92,49.46,48.8,49.41,49.41,4329400,0,0.0
2015-07-30,49.33,49.72,49.08,49.64,49.64,3519800,0,0.0
2015-07-31,49.94,50.01,49.35,49.67,49.67,4717400,0,0.0
2015-08-03,49.83,49.83,48.54,49.13,49.13,5072400,0,0.0
2015-08-04,49.27,49.79,48.88,49.67,49.67,2943800,0,0.0
2015-08-05,49.92,50.91,49.76,50.52,50.52,4125600,0,0.0
2015-08-06,50.57,50.89,48.79,49.1,49.1,4845400,0,0.0
2015-08-07,49.08,49.1,48.17,48.97,48.97,4943600,0,0.0
2015-08-10,49.47,50.1,49.28,49.38,49.38,4149400,0,0.0
2015-08-11,49.19,49.68,48.85,49.54,49.54,3090600,0,0.0
2015-08-12,49.22,49.23,47.92,48.88,48.88,4995000,0,0.0
2015-08-13,49.06,50.26,48.83,49.7,49.7,3742600,0,0.0
