Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,33.63,33.8,33.46,33.65,28.37,2111500,0.0,0
2015-04-28,33.81,34.01,33.55,33.85,28.54,2072800,0.0,0
2015-04-29,33.47,33.8,33.03,33.43,28.19,2494900,0.0,0
2015-04-30,33.35,33.47,32.49,32.77,27.63,3450900,0.0,0
2015-05-01,32.82,33.42,32.75,32.95,27.78,1777100,0.0,0
2015-05-04,33.28,33.68,33.12,33.2,27.99,1494100,0.0,0
2015-05-05,33.13,33.19,32.13,32.28,27.22,1658500,0.0,0
2015-05-06,32.32,32.55,32.12,32.27,27.21,1834600,0.0,0
2015-05-07,32.39,33.13,32.32,33.01,27.83,1565100,0.0,0
2015-05-08,33.48,33.96,33.43,33.55,28.29,1516500,0.0,0
2015-05-11,33.45,33.63,32.73,32.82,27.67,1576100,0.0,0
2015-05-12,32.61,33.16,32.31,33.05,27.87,867900,0.0,0
2015-05-13,33.19,33.48,32.47,32.54,27.44,1267000,0.0,0
2015-05-14,32.68,33.13,32.66,33.09,27.9,1201600,0.0,0
2015-05-15,33.21,33.51,33.06,33.36,28.13,1064000,0.0,0
2015-05-18,33.21,33.33,33.01,33.09,27.9,1022900,0.0,0
2015-05-19,32.96,33.15,32.8,32.93,27.77,1915200,0.0,0
2015-05-20,32.8,33.28,32.8,33.01,27.83,1277300,0.0,0
2015-05-21,33.12,33.13,32.69,32.82,27.67,912500,0.0,0
2015-05-22,32.73,33.09,32.6,32.9,27.74,732900,0.0,0
2015-05-26,32.88,32.88,32.49,32.61,27.5,1049900,0.0,0
2015-05-27,32.72,33.22,32.55,33.19,27.98,1127200,0.0,0
2015-05-28,33.19,33.24,32.94,33.12,27.93,1502400,0.0,0
2015-05-29,33.0,33.04,32.48,32.56,27.45,4267500,0.0,0
2015-06-01,32.63,33.2,32.45,33.12,27.93,2151000,0.0,0
2015-06-02,32.97,33.1,32.45,32.51,27.41,1510300,0.0,0
2015-06-03,32.48,32.7,31.69,31.77,26.79,1674600,0.0,0
2015-06-04,31.76,31.94,31.52,31.72,26.74,1047900,0.0,0
2015-06-05,31.32,31.93,31.05,31.71,26.74,1852700,0.0,0
2015-06-08,31.76,31.91,31.52,31.73,26.75,862500,0.0,0
2015-06-09,31.67,31.91,31.55,31.62,26.66,1099600,0.0,0
2015-06-10,31.59,32.12,31.43,31.92,26.91,1371700,0.0,0
2015-06-11,32.12,32.4,32.05,32.4,27.32,1664000,0.0,0
