Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,123.13,123.13,120.03,120.25,118.08,651500,0.0,0
2015-04-28,122.78,123.0,117.24,121.84,119.64,1120000,0.0,0
2015-04-29,121.8,122.07,118.64,119.71,117.55,668700,0.0,0
2015-04-30,119.51,120.38,116.66,116.95,114.84,1060800,0.0,0
2015-05-01,117.72,118.17,116.25,116.81,114.7,835800,0.0,0
2015-05-04,117.25,119.83,117.03,119.38,117.22,786000,0.0,0
2015-05-05,119.54,119.94,115.85,116.27,114.17,743500,0.0,0
2015-05-06,116.65,116.78,114.76,115.37,113.28,623500,0.0,0
2015-05-07,115.18,118.75,115.18,118.49,116.35,957800,0.0,0
2015-05-08,119.57,120.79,119.07,120.63,118.45,680700,0.0,0
2015-05-11,120.59,122.95,120.24,122.13,119.92,724300,0.0,0
2015-05-12,121.25,121.68,119.15,119.54,117.38,497600,0.0,0
2015-05-13,120.12,120.61,119.23,119.85,117.68,605000,0.0,0
2015-05-14,120.95,123.09,120.24,122.11,119.9,637900,0.0,0
2015-05-15,122.27,122.49,121.14,122.25,120.04,614600,0.0,0
2015-05-18,122.34,126.05,121.97,125.76,123.49,818000,0.0,0
2015-05-19,125.83,129.31,125.48,127.91,125.6,790900,0.0,0
2015-05-20,127.8,128.26,126.75,126.78,124.49,1071600,0.0,0
2015-05-21,126.6,127.68,126.16,126.69,124.4,757300,0.0,0
2015-05-22,126.62,128.28,125.98,126.8,124.51,451400,0.0,0
2015-05-26,126.87,127.77,126.13,126.68,124.39,606600,0.0,0
2015-05-27,127.59,131.8,127.59,131.72,129.34,1515700,0.0,0
2015-05-28,131.12,132.03,129.0,129.94,127.69,1281300,0.1,0
2015-05-29,129.66,131.31,128.93,129.58,127.33,654900,0.0,0
2015-06-01,130.02,131.24,128.93,131.03,128.76,678500,0.0,0
2015-06-02,130.3,130.88,129.21,129.33,127.09,470700,0.0,0
2015-06-03,129.46,129.88,128.47,129.11,126.87,540400,0.0,0
2015-06-04,128.7,128.94,127.02,127.23,125.02,524400,0.0,0
2015-06-05,127.54,128.29,126.13,127.43,125.22,497800,0.0,0
2015-06-08,127.23,128.01,126.4,126.46,124.27,340600,0.0,0
2015-06-09,126.54,127.65,126.35,127.44,125.23,619300,0.0,0
2015-06-10,127.87,132.13,127.69,131.34,129.06,1126000,0.0,0
